# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36123001
# NOM_USUEL= MEZIERES
# LATITUDE (°) = 46.817
# LONGITUDE(°)= 1.207
# ALTITUDE (m) = 88
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-04-01
# NUM_SERIE= MRR136123001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201812
# Date(s) de rupture(s) d'homogénéité : 195509 199106
#     Periode homogénéisée  194701 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;45.9;1
194702;86.4;1
194703;90.1;1
194704;34;1
194705;63.9;1
194706;34;1
194707;10.2;1
194708;31.8;1
194709;28.3;1
194710;20.4;1
194711;41.9;1
194712;63.5;1
194801;89.5;1
194802;26.1;1
194803;16.4;1
194804;71.4;1
194805;73;1
194806;32.3;1
194807;30;1
194808;87.3;1
194809;47.6;1
194810;26.1;1
194811;58.4;1
194812;39.7;1
194901;89.5;1
194902;7.1;1
194903;42.5;1
194904;35.4;1
194905;32;1
194906;58.9;1
194907;3.4;1
194908;28.3;1
194909;98.6;1
194910;46.5;1
194911;124.7;1
194912;47.6;1
195001;9.1;1
195002;55.5;1
195003;19.3;1
195004;58.7;1
195005;43.1;1
195006;57.8;1
195007;28.3;1
195008;36.8;1
195009;44.2;1
195010;30.6;1
195011;150.7;1
195012;103.1;1
195101;45.3;1
195102;62.3;1
195103;86;1
195104;30.6;1
195105;108.8;1
195106;106.5;1
195107;24.9;1
195108;45.3;1
195109;23.8;1
195110;15.9;1
195111;41.9;1
195112;36.3;1
195201;57.8;1
195202;52.1;1
195203;45.3;1
195204;32.9;1
195205;56.7;1
195206;22.7;1
195207;8.8;1
195208;49.9;1
195209;124.2;1
195210;186.9;1
195211;139.4;1
195212;61.3;1
195301;16.4;1
195302;36.7;1
195303;5.7;1
195304;84.3;1
195305;25.8;1
195306;49.2;1
195307;110;1
195308;28.3;1
195309;56.3;1
195310;118.8;1
195311;19.3;1
195312;12.5;1
195401;28.3;1
195402;61.2;1
195403;102.3;1
195404;17;1
195405;45.3;1
195406;38.5;1
195407;23.4;1
195408;72.5;1
195409;43.2;1
195410;38.4;1
195411;54.4;1
195412;61.5;1
195501;125.2;1
195502;125.2;1
195503;35.8;1
195504;1.8;1
195505;37.9;1
195506;108.8;1
195507;52.3;1
195508;21.3;1
195509;30.9;1
195510;32.6;1
195511;24.2;1
195512;76;1
195601;84.2;1
195602;5.4;1
195603;23.3;1
195604;45.4;1
195605;30.6;1
195606;31.4;1
195607;46.4;1
195608;82.5;1
195609;24.2;1
195610;70.9;1
195611;25.5;1
195612;39.2;1
195701;32.1;1
195702;118.3;1
195703;36;1
195704;54.4;1
195705;35.7;1
195706;51.7;1
195707;68.5;1
195708;32.2;1
195709;69.2;1
195710;34.2;1
195711;23.4;1
195712;46;1
195801;82.9;1
195802;63.1;1
195803;84.9;1
195804;60.8;1
195805;119.7;1
195806;90.7;1
195807;86.3;1
195808;102.1;1
195809;80.2;1
195810;59.7;1
195811;56.3;1
195812;83.4;1
195901;84.1;1
195902;6.5;1
195903;43.1;1
195904;105.3;1
195905;116.2;1
195906;49.9;1
195907;1.6;1
195908;60.3;1
195909;51.2;1
195910;53.1;1
195911;63.3;1
195912;89;1
196001;74.9;1
196002;58.5;1
196003;62.9;1
196004;26.3;1
196005;73.2;1
196006;74.5;1
196007;60.5;1
196008;87.4;1
196009;76.8;1
196010;181.1;1
196011;79.8;1
196012;86.4;1
196101;88.7;1
196102;31.9;1
196103;5.9;1
196104;32.7;1
196105;58.5;1
196106;42.7;1
196107;74.3;1
196108;8.5;1
196109;52.1;1
196110;48.7;1
196111;106.1;1
196112;75.6;1
196201;87.4;1
196202;29;1
196203;100;1
196204;55.2;1
196205;92.3;1
196206;25;1
196207;71.3;1
196208;12.5;1
196209;41.5;1
196210;35.4;1
196211;141.2;1
196212;50.5;1
196301;35.1;1
196302;35.5;1
196303;95.2;1
196304;43.1;1
196305;56.8;1
196306;107.8;1
196307;34.6;1
196308;98.9;1
196309;39.5;1
196310;35.8;1
196311;84.8;1
196312;30.1;1
196401;19.2;1
196402;82.6;1
196403;60.9;1
196404;95.2;1
196405;63.8;1
196406;34;1
196407;14.8;1
196408;23.7;1
196409;52.5;1
196410;95.5;1
196411;45.6;1
196412;49.1;1
196501;92.7;1
196502;7.4;1
196503;59.8;1
196504;46.8;1
196505;59.9;1
196506;54.2;1
196507;128;1
196508;127.8;1
196509;182.7;1
196510;30.1;1
196511;116.1;1
196512;113.5;1
196601;63.8;1
196602;130.3;1
196603;28.3;1
196604;72.1;1
196605;34.1;1
196606;78.4;1
196607;55.3;1
196608;74.7;1
196609;18.7;1
196610;115.9;1
196611;75.2;1
196612;85.3;1
196701;40.7;1
196702;62.1;1
196703;54.7;1
196704;13.8;1
196705;103.1;1
196706;12.2;1
196707;12.1;1
196708;42.1;1
196709;82.8;1
196710;76.7;1
196711;64.9;1
196712;70;1
196801;69;1
196802;62.7;1
196803;43.9;1
196804;75;1
196805;54.6;1
196806;32.1;1
196807;52.5;1
196808;212.7;1
196809;88.3;1
196810;39.5;1
196811;48.8;1
196812;78.5;1
196901;42.3;1
196902;40.8;1
196903;68.9;1
196904;29.7;1
196905;88.6;1
196906;90.5;1
196907;15.8;1
196908;31.2;1
196909;46.3;1
196910;9.1;1
196911;143;1
196912;63.7;1
197001;85.9;1
197002;122.3;1
197003;56.1;1
197004;62.5;1
197005;16.7;1
197006;155.7;1
197007;43.2;1
197008;82.3;1
197009;45.8;1
197010;43.4;1
197011;74.1;1
197012;15.5;1
197101;54.7;1
197102;35.7;1
197103;36.6;1
197104;42.4;1
197105;149.5;1
197106;82.8;1
197107;46.1;1
197108;102.7;1
197109;51.2;1
197110;7.2;1
197111;57.9;1
197112;18;1
197201;55.9;1
197202;59.6;1
197203;36.2;1
197204;51.7;1
197205;49.7;1
197206;49.7;1
197207;46.4;1
197208;47.7;1
197209;24.3;1
197210;14.7;1
197211;89.9;1
197212;26.7;1
197301;38.9;1
197302;53.4;1
197303;13.5;1
197304;22.3;1
197305;79.2;1
197306;36;1
197307;82.4;1
197308;39.9;1
197309;37;1
197310;43;1
197311;41.1;1
197312;72.6;1
197401;52.1;1
197402;35.6;1
197403;90.5;1
197404;26.1;1
197405;55;1
197406;62.2;1
197407;20.1;1
197408;33.5;1
197409;93.1;1
197410;72.1;1
197411;68;1
197412;41.2;1
197501;55.6;1
197502;4.7;1
197503;96.5;1
197504;56.9;1
197505;109.1;1
197506;19.1;1
197507;64.1;1
197508;18.3;1
197509;194.9;1
197510;27.1;1
197511;105;1
197512;50.9;1
197601;22.2;1
197602;59.5;1
197603;29;1
197604;23.5;1
197605;23.9;1
197606;0.5;1
197607;70.1;1
197608;38.3;1
197609;85.9;1
197610;77.8;1
197611;86;1
197612;93.9;1
197701;81.6;1
197702;165.9;1
197703;61.8;1
197704;34.7;1
197705;156.3;1
197706;72.1;1
197707;77.1;1
197708;50.1;1
197709;5.3;1
197710;99.1;1
197711;54.2;1
197712;71.2;1
197801;86.3;1
197802;84.7;1
197803;132.8;1
197804;83.3;1
197805;36.4;1
197806;33.9;1
197807;60.3;1
197808;3.9;1
197809;37.6;1
197810;11.3;1
197811;17.4;1
197812;116.7;1
197901;58.6;1
197902;128.5;1
197903;131.4;1
197904;88.2;1
197905;98.9;1
197906;33.4;1
197907;32.7;1
197908;55.1;1
197909;23.6;1
197910;123.8;1
197911;52.8;1
197912;117.5;1
198001;83.9;1
198002;52.5;1
198003;117.4;1
198004;12.6;1
198005;47.6;1
198006;74.1;1
198007;92.6;1
198008;20.7;1
198009;17.7;1
198010;90.5;1
198011;48.1;1
198012;59.4;1
198101;93.3;1
198102;42.8;1
198103;72.4;1
198104;18;1
198105;175.5;1
198106;95.9;1
198107;38.3;1
198108;39;1
198109;47.8;1
198110;169.2;1
198111;20.8;1
198112;128.1;1
198201;91.1;1
198202;27.6;1
198203;93.9;1
198204;29.1;1
198205;28;1
198206;60.2;1
198207;41.1;1
198208;34.9;1
198209;44.8;1
198210;147.9;1
198211;63.9;1
198212;173.2;1
198301;28.7;1
198302;59.9;1
198303;55.5;1
198304;149.7;1
198305;87.3;1
198306;56.5;1
198307;86.8;1
198308;86.8;1
198309;52.9;1
198310;35.7;1
198311;39.6;1
198312;57.2;1
198401;111.8;1
198402;43.9;1
198403;39.9;1
198404;8.2;1
198405;114.8;1
198406;54.2;1
198407;22.5;1
198408;91.8;1
198409;136.3;1
198410;112.3;1
198411;170.4;1
198412;62.6;1
198501;51.6;1
198502;75.2;1
198503;46;1
198504;74.3;1
198505;136.2;1
198506;75.6;1
198507;32.6;1
198508;50.8;1
198509;6.2;1
198510;3.1;1
198511;69.2;1
198512;85.3;1
198601;100.1;1
198602;103.8;1
198603;57.9;1
198604;88.3;1
198605;75.8;1
198606;21.5;1
198607;14.9;1
198608;59.4;1
198609;76.6;1
198610;64.5;1
198611;50.5;1
198612;59.4;1
198701;43.1;1
198702;46.5;1
198703;35.2;1
198704;43;1
198705;40.2;1
198706;117.7;1
198707;83.4;1
198708;76.3;1
198709;60.7;1
198710;149.1;1
198711;92;1
198712;70.1;1
198801;164.8;1
198802;75.4;1
198803;89.2;1
198804;46.1;1
198805;117.2;1
198806;49.1;1
198807;57.4;1
198808;7.5;1
