# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36171001
# NOM_USUEL= REUILLY - BG
# LATITUDE (°) = 47.089
# LONGITUDE(°)= 2.036
# ALTITUDE (m) = 151
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR136171001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 194701 201912
# Date(s) de rupture(s) d'homogénéité : 196712
#     Periode homogénéisée  194701 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;42.9;1
194702;62.9;1
194703;67.6;1
194704;29.2;1
194705;94.1;1
194706;27.4;1
194707;9.5;1
194708;34.3;1
194709;26.1;1
194710;7.3;1
194711;62.5;1
194712;75.4;1
194801;72.2;1
194802;20.9;1
194803;22.2;1
194804;70.4;1
194805;73.7;1
194806;55;1
194807;41.1;1
194808;85.2;1
194809;32.4;1
194810;12.8;1
194811;43.3;1
194812;46.4;1
194901;18.6;1
194902;9.9;1
194903;51.5;1
194904;16.1;1
194905;50.1;1
194906;33.7;1
194907;19.9;1
194908;31.9;1
194909;137.3;1
194910;32.2;1
194911;96.5;1
194912;28.6;1
195001;10.8;1
195002;53.1;1
195003;16.8;1
195004;58.3;1
195005;72.3;1
195006;87.1;1
195007;24.2;1
195008;45.4;1
195009;41.5;1
195010;28.3;1
195011;121.4;1
195012;79.3;1
195101;33.1;1
195102;72.7;1
195103;57.6;1
195104;48.9;1
195105;74;1
195106;124.3;1
195107;29.6;1
195108;71;1
195109;54.5;1
195110;20.9;1
195111;92.1;1
195112;37.9;1
195201;76.9;1
195202;56;1
195203;86.1;1
195204;2.8;1
195205;110.3;1
195206;14.1;1
195207;12.8;1
195208;92.7;1
195209;75.5;1
195210;142.7;1
195211;102.8;1
195212;98.7;1
195301;18.5;1
195302;28;1
195303;5.8;1
195304;68.2;1
195305;44.1;1
195306;44.6;1
195307;40.6;1
195308;31.5;1
195309;51.9;1
195310;64;1
195311;22.5;1
195312;21.1;1
195401;28.7;1
195402;54.6;1
195403;70.1;1
195404;22.3;1
195405;36.2;1
195406;36.1;1
195407;24.2;1
195408;87;1
195409;53.2;1
195410;30.2;1
195411;38.1;1
195412;49;1
195501;111.6;1
195502;83.7;1
195503;38.3;1
195504;1.6;1
195505;30.7;1
195506;87.2;1
195507;10.9;1
195508;36.3;1
195509;18;1
195510;25.5;1
195511;36.7;1
195512;100.9;1
195601;61.5;1
195602;7.8;1
195603;35;1
195604;62.6;1
195605;64.4;1
195606;49.8;1
195607;40.8;1
195608;74.3;1
195609;87.8;1
195610;42.7;1
195611;36.1;1
195612;31.9;1
195701;29.5;1
195702;114.1;1
195703;29.8;1
195704;16;1
195705;31.4;1
195706;75.8;1
195707;43.7;1
195708;52.5;1
195709;56.5;1
195710;44.6;1
195711;30.4;1
195712;42.7;1
195801;63.8;1
195802;57.4;1
195803;75.4;1
195804;49.5;1
195805;104.3;1
195806;94.5;1
195807;111.1;1
195808;129.8;1
195809;74.3;1
195810;53.4;1
195811;73.6;1
195812;93.7;1
195901;72.4;1
195902;2.9;1
195903;51;1
195904;92.2;1
195905;43.5;1
195906;69.2;1
195907;9.3;1
195908;31.3;1
195909;19.5;1
195910;51.6;1
195911;61.5;1
195912;67.2;1
196001;63.6;1
196002;43.1;1
196003;66.1;1
196004;31.6;1
196005;76;1
196006;64.7;1
196007;45.5;1
196008;99;1
196009;70.6;1
196010;217.7;1
196011;40.5;1
196012;69.6;1
196101;86.8;1
196102;35.2;1
196103;4.3;1
196104;47;1
196105;29;1
196106;42;1
196107;66.7;1
196108;12.9;1
196109;28.1;1
196110;58.5;1
196111;74.6;1
196112;56.6;1
196201;75.2;1
196202;24.8;1
196203;98.2;1
196204;56.8;1
196205;93.2;1
196206;6.9;1
196207;52.6;1
196208;10.4;1
196209;32;1
196210;33.7;1
196211;110.8;1
196212;61.6;1
196301;32.9;1
196302;43;1
196303;96.1;1
196304;40.2;1
196305;62.9;1
196306;70.1;1
196307;26.9;1
196308;103.9;1
196309;21.2;1
196310;32.3;1
196311;60.3;1
196312;5.7;1
196401;17.5;1
196402;62.3;1
196403;88.2;1
196404;58.3;1
196405;33;1
196406;38.6;1
196407;12.7;1
196408;38.6;1
196409;84.1;1
196410;48.9;1
196411;25.5;1
196412;48;1
196501;84.7;1
196502;6.4;1
196503;57.4;1
196504;57.9;1
196505;63.3;1
196506;46.5;1
196507;53.3;1
196508;94.8;1
196509;148.3;1
196510;9.6;1
196511;102.4;1
196512;115.4;1
196601;48.4;1
196602;117.9;1
196603;19.3;1
196604;67.7;1
196605;33.7;1
196606;47.8;1
196607;32.1;1
196608;56.6;1
196609;21;1
196610;77.9;1
196611;78.5;1
196612;96;1
196701;47.9;1
196702;61.4;1
196703;53.5;1
196704;13.3;1
196705;99.3;1
196706;10.1;1
196707;7.8;1
196708;52.6;1
196709;93.1;1
196710;69;1
196711;60;1
196712;67.3;1
196801;87.9;1
196802;59.2;1
196803;20.7;1
196804;37.8;1
196805;71.9;1
196806;34.8;1
196807;53.1;1
196808;159.3;1
196809;87;1
196810;41.5;1
196811;45.1;1
196812;67;1
196901;29.5;1
196902;43.3;1
196903;94.5;1
196904;41.7;1
196905;82.9;1
196906;63.4;1
196907;20;1
196908;67.6;1
196909;66.5;1
196910;4.8;1
196911;97.6;1
196912;81;1
197001;78.6;1
197002;117.5;1
197003;65.2;1
197004;55;1
197005;28.5;1
197006;107.2;1
197007;29;1
197008;54.1;1
197009;42.7;1
197010;31.8;1
197011;56.6;1
197012;25.8;1
197101;61.6;1
197102;18;1
197103;35.1;1
197104;34.1;1
197105;185.8;1
197106;73.7;1
197107;101.8;1
197108;65;1
197109;29.8;1
197110;15.4;1
197111;55.7;1
197112;8.3;1
197201;61;1
197202;62.7;1
197203;40.4;1
197204;27.7;1
197205;68.1;1
197206;66.3;1
197207;45.1;1
197208;62.6;1
197209;49.5;1
197210;22.6;1
197211;75.1;1
197212;35.6;1
197301;42.3;1
197302;53.1;1
197303;15.9;1
197304;21.1;1
197305;113.6;1
197306;25.7;1
197307;53.2;1
197308;38;1
197309;40.2;1
197310;28.1;1
197311;29.5;1
197312;55.7;1
197401;51.1;1
197402;37;1
197403;80.1;1
197404;36.5;1
197405;47;1
197406;48.7;1
197407;15;1
197408;50.8;1
197409;82.1;1
197410;87.1;1
197411;51.5;1
197412;36.2;1
197501;51.2;1
197502;4.5;1
197503;79.2;1
197504;57.9;1
197505;90.3;1
197506;33.7;1
197507;48.9;1
197508;30.5;1
197509;151.8;1
197510;40.1;1
197511;80.4;1
197512;38.5;1
197601;25.6;1
197602;47.2;1
197603;17.5;1
197604;25.3;1
197605;31.7;1
197606;0;1
197607;67.6;1
197608;19.2;1
197609;95.7;1
197610;90.7;1
197611;66;1
197612;79;1
197701;63.9;1
197702;129.6;1
197703;49.3;1
197704;54.9;1
197705;135.9;1
197706;77.6;1
197707;64.4;1
197708;85.8;1
197709;10;1
197710;84.7;1
197711;53.4;1
197712;62;1
197801;85.5;1
197802;70.2;1
197803;107.7;1
197804;73.6;1
197805;48.4;1
197806;24.9;1
197807;82.5;1
197808;1.4;1
197809;14.8;1
197810;10.3;1
197811;19.7;1
197812;96.6;1
197901;60.4;1
197902;97.8;1
197903;122.9;1
197904;76.8;1
197905;76.4;1
197906;46.8;1
197907;33.7;1
197908;49.4;1
197909;24.1;1
197910;87.7;1
197911;42.5;1
197912;94.5;1
198001;50;1
198002;58.1;1
198003;71;1
198004;15.3;1
198005;76.2;1
198006;68;1
198007;62.8;1
198008;28.3;1
198009;46;1
198010;45.8;1
198011;51.1;1
198012;42.9;1
198101;90.7;1
198102;40.7;1
198103;79.2;1
198104;10.9;1
198105;123.1;1
198106;96.6;1
198107;36.1;1
198108;16.4;1
198109;104.6;1
198110;134.4;1
198111;33.4;1
198112;109.5;1
198201;73.7;1
198202;39;1
198203;68.7;1
198204;20.7;1
198205;36.7;1
198206;75;1
198207;24.7;1
198208;28.1;1
198209;72.3;1
198210;150.1;1
198211;40.2;1
198212;136.1;1
198301;30.7;1
198302;64.2;1
198303;53.1;1
198304;163.1;1
198305;93;1
198306;26;1
198307;31.1;1
198308;64.9;1
198309;43.8;1
198310;45.7;1
198311;29.8;1
198312;49.2;1
198401;106.5;1
198402;29.2;1
198403;32.2;1
198404;9.8;1
198405;126.7;1
198406;49.5;1
198407;40.3;1
198408;65.9;1
198409;107.3;1
198410;65.7;1
198411;107.6;1
198412;56.5;1
198501;41.3;1
198502;58.9;1
198503;40.9;1
198504;91.3;1
198505;140.4;1
198506;76.5;1
198507;20.7;1
198508;40;1
198509;7.5;1
198510;1.8;1
198511;48.2;1
198512;64.2;1
198601;63;1
198602;83.7;1
198603;60;1
198604;107.2;1
198605;107.9;1
198606;10.8;1
198607;10.8;1
198608;84.5;1
198609;88.1;1
198610;72.2;1
198611;43.5;1
198612;67.5;1
198701;36;1
198702;48.9;1
198703;38.2;1
198704;55.1;1
198705;62.1;1
198706;80.5;1
198707;64.1;1
198708;63.7;1
198709;48.9;1
198710;97;1
198711;75.3;1
198712;55;1
198801;133.4;1
198802;68.7;1
198803;83.3;1
198804;26.2;1
198805;75.3;1
198806;98;1
198807;57.3;1
198808;9.6;1
198809;22.7;1
198810;38.6;1
198811;28.1;1
198812;35.8;1
198901;20.2;1
198902;40.3;1
198903;28.2;1
198904;90;1
198905;15;1
198906;27;1
198907;80;1
198908;45;1
198909;15;1
198910;25;1
198911;25;1
198912;65;1
199001;37.6;1
199002;65.8;1
199003;4.2;1
199004;32.3;1
199005;71.9;1
199006;43;1
199007;58.4;1
199008;16.5;1
199009;25.9;1
199010;53.8;1
199011;56.2;1
199012;47.2;1
199101;45.7;1
199102;44.6;1
199103;36.2;1
199104;50.3;1
199105;26.7;1
199106;77.5;1
199107;85.6;1
199108;18.8;1
199109;88.7;1
199110;40.3;1
199111;80.9;1
199112;21;1
199201;7.6;1
199202;25.9;1
199203;52.4;1
199204;40.9;1
199205;60.6;1
199206;82.4;1
199207;129.5;1
199208;93.9;1
199209;44.8;1
199210;102.3;1
199211;106.4;1
199212;48.9;1
199301;19.7;1
199302;6.3;1
199303;29;1
199304;101.7;1
199305;106.3;1
199306;72.6;1
199307;20.6;1
199308;24.4;1
199309;187.7;1
199310;96;1
199311;17.5;1
199312;68.1;1
199401;69.9;1
199402;84.5;1
199403;25.6;1
199404;78.1;1
199405;121.5;1
199406;55.8;1
199407;75.2;1
199408;91.4;1
199409;137.8;1
199410;45;1
199411;77.2;1
199412;62.1;1
199501;91.2;1
199502;62.7;1
199503;92.2;1
199504;67.2;1
199505;74.8;1
199506;14.7;1
199507;41.1;1
199508;18.5;1
199509;68;1
199510;43.7;1
199511;34;1
199512;104;1
199601;89.4;1
199602;91.6;1
199603;16;1
199604;28.9;1
199605;79.7;1
199606;11.4;1
199607;29;1
199608;54.5;1
199609;90.1;1
199610;50.3;1
199611;144.6;1
199612;85.9;1
199701;24.9;1
199702;62.2;1
199703;7.5;1
199704;24;1
199705;88.7;1
199706;103.9;1
199707;59;1
199708;114.5;1
199709;36;1
199710;43.7;1
199711;104.6;1
199712;62.8;1
199801;87.8;1
199802;16;1
199803;37.7;1
199804;214.7;1
199805;28;1
199806;26.7;1
199807;38.1;1
199808;14.6;1
199809;74.1;1
199810;86.4;1
199811;52.6;1
199812;64.9;1
199901;58.9;1
199902;107;1
199903;72.8;1
199904;88.5;1
199905;75.1;1
199906;34.8;1
199907;39.6;1
199908;36;1
199909;155.4;1
199910;57;1
199911;60.7;1
199912;153.9;1
200001;16.4;1
200002;81.5;1
200003;53.1;1
200004;115.2;1
200005;50.2;1
200006;46.2;1
200007;134.8;1
200008;32.1;1
200009;43.6;1
200010;72.2;1
200011;114.3;1
200012;71.3;1
200101;73.2;1
200102;39.6;1
200103;144.3;1
200104;126.5;1
200105;89.4;1
200106;38.2;1
200107;119.5;1
200108;28.9;1
200109;28.7;1
200110;108.1;1
200111;34.5;1
200112;59.5;1
200201;25.9;1
200202;57.4;1
200203;22.6;1
200204;20.6;1
200205;78.2;1
200206;67.8;1
200207;49.1;1
200208;124.7;1
200209;32.5;1
200210;75.1;1
200211;121.1;1
200212;76.8;1
200301;76.9;1
200302;33.8;1
200303;28.2;1
200304;70.6;1
200305;70.9;1
200306;102.6;1
200307;42.1;1
200308;4;1
200309;41.6;1
200310;108.9;1
200311;70.6;1
200312;55.6;1
200401;119.7;1
200402;34.6;1
200403;39.5;1
200404;96.3;1
200405;67.9;1
200406;23.4;1
200407;71.6;1
200408;150.6;1
200409;26.8;1
200410;76.4;1
200411;28.1;1
200412;49.6;1
200501;53.9;1
200502;33.8;1
200503;48.1;1
200504;74.9;1
200505;45.6;1
200506;27.6;1
200507;95.4;1
200508;25.2;1
200509;75;1
200510;37.8;1
200511;46.5;1
200512;54.1;1
200601;56.3;1
200602;71.5;1
200603;121.9;1
200604;25.2;1
200605;84.5;1
200606;56;1
200607;36.1;1
200608;67;1
200609;114.3;1
200610;109.9;1
200611;64.8;1
200612;45.3;1
200701;48.7;1
200702;54.1;1
200703;91.3;1
200704;2.3;1
200705;94.1;1
200706;71.4;1
200707;64.1;1
200708;83.9;1
200709;24;1
200710;63.2;1
200711;53;1
200712;40.2;1
200801;73.6;1
200802;25.3;1
200803;97.5;1
200804;117.2;1
200805;157.3;1
200806;29.9;1
200807;40.5;1
200808;79.9;1
200809;20.2;1
200810;74.8;1
200811;67.1;1
200812;45.3;1
200901;63;1
200902;31.4;1
200903;25.3;1
200904;64.1;1
200905;62.5;1
200906;91.3;1
200907;76.9;1
200908;12.3;1
200909;50.1;1
200910;19.7;1
200911;80.8;1
200912;88.6;1
201001;44.6;1
201002;61.8;1
201003;60.3;1
201004;13.3;1
201005;59.4;1
201006;77;1
201007;78.2;1
201008;62.2;1
201009;63.2;1
201010;51.8;1
201011;66.7;1
201012;100.6;1
201101;28.3;1
201102;36.4;1
201103;17.9;1
201104;15.7;1
201105;22.9;1
201106;57.7;1
201107;126.7;1
201108;83.7;1
201109;17.6;1
201110;46.9;1
201111;34.7;1
201112;167.4;1
201201;34.9;1
201202;9.3;1
201203;19.6;1
201204;101.8;1
201205;54.8;1
201206;76.9;1
201207;54.4;1
201208;4.8;1
201209;67.2;1
201210;102.3;1
201211;58.3;1
201212;112.9;1
201301;67.8;1
201302;58.6;1
201303;58.8;1
201304;103.7;1
201305;109.4;1
201306;26;1
201307;32.9;1
201308;56.6;1
201309;69.4;1
201310;100;1
201311;101.3;1
201312;37.1;1
201401;65.2;1
201402;81.3;1
201403;19.9;1
201404;52.6;1
201405;85;1
201406;60.2;1
201407;154.9;1
201408;107.8;1
201409;23.7;1
201410;95.4;1
201411;82.3;1
201412;48.1;1
201501;79.4;1
201502;46.9;1
201503;32.6;1
201504;63.1;1
201505;47.9;1
201506;21.9;1
201507;12;1
201508;104.8;1
201509;48;1
201510;37.2;1
201511;44.4;1
201512;23.5;1
201601;121.2;1
201602;101;1
201603;77.3;1
201604;82.3;1
201605;196.1;1
201606;83.8;1
201607;4.7;1
201608;5.3;1
201609;27.6;1
201610;45.8;1
201611;82.3;1
201612;16.2;1
201701;36;1
201702;44.8;1
201703;78.6;1
201704;22.5;1
201705;81.3;1
201706;27.4;1
201707;44.3;1
201708;37.2;1
201709;57.1;1
201710;29.3;1
201711;46.4;1
201712;73.9;1
201801;160.4;1
201802;58.6;1
201803;99;1
201804;84.9;1
201805;48.5;1
201806;40.4;1
201807;73.7;1
201808;21.7;1
201809;5.5;1
201810;44.1;1
201811;45;1
201812;56.1;1
201901;52.4;1
201902;18.6;1
201903;38.4;1
201904;26.5;1
201905;80.4;1
201906;69.6;1
201907;15.2;1
201908;23.1;1
201909;31;1
201910;107.7;1
201911;114.9;1
201912;94.3;1
202001;48.5;0
202002;66.7;0
202003;42.7;0
202004;36.6;0
202005;60;0
202006;80;0
202007;8;0
202008;70;0
202009;50;0
202010;100;0
202011;15;0
202012;120;0
