# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36224001
# NOM_USUEL= TOURNON
# LATITUDE (°) = 46.723
# LONGITUDE(°)= 0.987
# ALTITUDE (m) = 99
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-04-01
# NUM_SERIE= MRR136224001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 194701 201812
# Date(s) de rupture(s) d'homogénéité : 197112
#     Periode homogénéisée  194701 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;35;1
194702;50.3;1
194703;65.9;1
194704;21.8;1
194705;52.4;1
194706;28.1;1
194707;24.2;1
194708;64.2;1
194709;33.1;1
194710;20.8;1
194711;41.1;1
194712;96.7;1
194801;91.4;1
194802;13.8;1
194803;15.3;1
194804;44.2;1
194805;56.2;1
194806;24.2;1
194807;60.9;1
194808;45.5;1
194809;46.7;1
194810;26.1;1
194811;43.7;1
194812;35.8;1
194901;28.8;1
194902;7.5;1
194903;30.4;1
194904;30.7;1
194905;23.4;1
194906;81.2;1
194907;5;1
194908;47.3;1
194909;78.5;1
194910;50.8;1
194911;59.6;1
194912;31.9;1
195001;13.8;1
195002;64.6;1
195003;20.6;1
195004;43.1;1
195005;79.9;1
195006;27.7;1
195007;15.7;1
195008;61.9;1
195009;51.1;1
195010;40.2;1
195011;118.9;1
195012;59.9;1
195101;26.5;1
195102;50.5;1
195103;79.4;1
195104;33.1;1
195105;103.7;1
195106;106.2;1
195107;41.7;1
195108;45.1;1
195109;43.4;1
195110;38.8;1
195111;55.7;1
195112;48.8;1
195201;69.5;1
195202;36.2;1
195203;71.5;1
195204;33.3;1
195205;27.6;1
195206;44;1
195207;8.3;1
195208;58.4;1
195209;98;1
195210;122.9;1
195211;115.6;1
195212;96.8;1
195301;13.5;1
195302;32.6;1
195303;1.8;1
195304;62.4;1
195305;28.5;1
195306;40;1
195307;67.5;1
195308;24.2;1
195309;52.4;1
195310;71;1
195311;59.3;1
195312;11.9;1
195401;27.1;1
195402;40.8;1
195403;94.2;1
195404;9.8;1
195405;36.2;1
195406;39.6;1
195407;19.1;1
195408;69.7;1
195409;27;1
195410;30.8;1
195411;43.3;1
195412;47.5;1
195501;118.7;1
195502;122.3;1
195503;46.8;1
195504;0.6;1
195505;34.6;1
195506;83;1
195507;59.1;1
195508;25.6;1
195509;23.4;1
195510;21.7;1
195511;33;1
195512;83.7;1
195601;75.6;1
195602;3.6;1
195603;10.1;1
195604;47.9;1
195605;47.6;1
195606;36;1
195607;45.8;1
195608;56.4;1
195609;30.6;1
195610;51.4;1
195611;13.6;1
195612;43.2;1
195701;30.7;1
195702;100.2;1
195703;25.6;1
195704;34.9;1
195705;21.3;1
195706;59.8;1
195707;49.2;1
195708;22.5;1
195709;49;1
195710;23;1
195711;28.4;1
195712;39.2;1
195801;79.6;1
195802;55.3;1
195803;62.4;1
195804;51;1
195805;117.4;1
195806;91;1
195807;80.2;1
195808;66.6;1
195809;112.3;1
195810;58.7;1
195811;48.9;1
195812;67;1
195901;68.2;1
195902;9.2;1
195903;35.9;1
195904;102;1
195905;90;1
