# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 37139001
# NOM_USUEL= LUYNES
# LATITUDE (°) = 47.393
# LONGITUDE(°)= 0.555
# ALTITUDE (m) = 85
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR137139001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 194801 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  194801 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194801;76.2;1
194802;15.7;1
194803;14.3;1
194804;77.1;1
194805;89.2;1
194806;38.2;1
194807;17.1;1
194808;65;1
194809;25.3;1
194810;24.5;1
194811;88.1;1
194812;60.2;1
194901;16.8;1
194902;7.6;1
194903;37.6;1
194904;32.4;1
194905;16.7;1
194906;38;1
194907;10.2;1
194908;46.9;1
194909;81.8;1
194910;70.3;1
194911;91.1;1
194912;51.2;1
195001;19.6;1
195002;98.6;1
195003;24.1;1
195004;61.2;1
195005;157.4;1
195006;42.5;1
195007;64.8;1
195008;60.6;1
195009;63.3;1
195010;43.4;1
195011;122.8;1
195012;81.3;1
195101;68.4;1
195102;79.7;1
195103;85.1;1
195104;64.3;1
195105;113.3;1
195106;89.6;1
195107;18.3;1
195108;94.2;1
195109;50.6;1
195110;31.2;1
195111;84.5;1
195112;60.2;1
195201;63.5;1
195202;42;1
195203;79.1;1
195204;16.1;1
195205;55.4;1
195206;5.6;1
195207;0;1
195208;65;1
195209;130.7;1
195210;121.3;1
195211;81.5;1
195212;114.4;1
195301;24.9;1
195302;33.4;1
195303;0.5;1
195304;80.5;1
195305;6.5;1
195306;37.4;1
195307;46.1;1
195308;14.6;1
195309;112;1
195310;89.7;1
195311;20.5;1
195312;9.4;1
195401;50.2;1
195402;48.4;1
195403;95.7;1
195404;4.7;1
195405;27.2;1
195406;76.6;1
195407;35.3;1
195408;64.2;1
195409;47;1
195410;36.3;1
195411;40.1;1
195412;68.1;1
195501;123;1
195502;78.9;1
195503;41.9;1
195504;1.2;1
195505;37;1
195506;72.5;1
195507;58.1;1
195508;23.6;1
195509;17.8;1
195510;38.7;1
195511;17.8;1
195512;94.9;1
195601;72.3;1
195602;2.8;1
195603;26.4;1
195604;48.3;1
195605;32.6;1
195606;25.6;1
195607;64.6;1
195608;98;1
195609;22;1
195610;15.7;1
195611;17.1;1
195612;37.9;1
195701;29.2;1
195702;160.8;1
195703;34.9;1
195704;58;1
195705;35.6;1
195706;100.4;1
195707;47.5;1
195708;32.1;1
195709;66.7;1
195710;18;1
195711;45.4;1
195712;36.1;1
195801;103.6;1
195802;75.2;1
195803;72.3;1
195804;42;1
195805;104;1
195806;71.1;1
195807;50.8;1
195808;54.4;1
195809;20.7;1
195810;39.8;1
195811;52.1;1
195812;99.1;1
195901;66.6;1
195902;0.6;1
195903;42.3;1
195904;96.4;1
195905;45.6;1
195906;34.7;1
195907;13.9;1
195908;39.9;1
195909;7;1
195910;64.4;1
195911;60.3;1
195912;89.1;1
196001;68;1
196002;45.6;1
196003;67.2;1
196004;21.3;1
196005;57.1;1
196006;49.5;1
196007;54.7;1
196008;75;1
196009;94;1
196010;104.4;1
196011;89.5;1
196012;100.7;1
196101;131.6;1
196102;20.2;1
196103;4.4;1
196104;47.6;1
196105;28.2;1
196106;40.9;1
196107;41.6;1
196108;0.8;1
196109;36.4;1
196110;84.9;1
196111;93.1;1
196112;86.2;1
196201;67.4;1
196202;32.1;1
196203;99.6;1
196204;59.5;1
196205;69.6;1
196206;20.6;1
196207;43.2;1
196208;7;1
196209;55.5;1
196210;47;1
196211;70.9;1
196212;40.7;1
196301;35.3;1
196302;35;1
196303;61.5;1
196304;86.7;1
196305;28.4;1
196306;119.8;1
196307;16.2;1
196308;166.8;1
