# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 38170001
# NOM_USUEL= FONTANIL
# LATITUDE (°) = 45.256
# LONGITUDE(°)= 5.662
# ALTITUDE (m) = 200
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR138170001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195301 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195301 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;29.8;1
195302;48.1;1
195303;2;1
195304;73.3;1
195305;76.8;1
195306;184.8;1
195307;21.4;1
195308;104.8;1
195309;221.4;1
195310;52.6;1
195311;53.4;1
195312;18.2;1
195401;69.7;1
195402;62.1;1
195403;68.3;1
195404;90.1;1
195405;109.6;1
195406;77.7;1
195407;135.5;1
195408;278.2;1
195409;136.5;1
195410;47.5;1
195411;74.4;1
195412;292.8;1
195501;126.5;1
195502;226.9;1
195503;40.5;1
195504;16.8;1
195505;117.9;1
195506;177.1;1
195507;34.4;1
195508;55.4;1
195509;59.7;1
195510;46.5;1
195511;65.5;1
195512;86.7;1
195601;112.7;1
195602;2.4;1
195603;60.3;1
195604;104.2;1
195605;129.4;1
195606;123.2;1
195607;132.6;1
195608;183.8;1
195609;171.3;1
195610;197.4;1
195611;46;1
195612;40.7;1
195701;45.5;1
195702;164.6;1
195703;11.8;1
195704;80.7;1
195705;55.5;1
195706;137;1
195707;94.9;1
195708;84.5;1
195709;55.7;1
195710;35;1
195711;68;1
195712;67.8;1
195801;66.3;1
195802;133.8;1
195803;78.1;1
195804;147.6;1
195805;105.5;1
195806;161;1
195807;112.7;1
195808;115.3;1
195809;152.5;1
195810;140.7;1
195811;143.9;1
195812;119.1;1
195901;116.5;1
195902;2.1;1
195903;122.6;1
195904;179.9;1
195905;55.3;1
195906;101.7;1
195907;85.9;1
195908;41;1
195909;52.5;1
195910;161.8;1
195911;60;1
195912;156.8;1
196001;95.8;1
196002;118.1;1
196003;187.5;1
196004;35.9;1
196005;42.6;1
196006;107;1
196007;129.4;1
196008;181.4;1
196009;226.7;1
196010;211.8;1
196011;201.6;1
196012;70.2;1
196101;112.8;1
196102;90.1;1
196103;21.3;1
196104;128.1;1
196105;58.2;1
196106;94.2;1
196107;106.1;1
196108;48.5;1
196109;14.2;1
196110;182.5;1
196111;71.9;1
196112;154.5;1
196201;107.5;1
196202;101.6;1
196203;85.5;1
196204;83.6;1
196205;120.2;1
196206;24.2;1
196207;13.1;1
196208;17;1
196209;70.8;1
196210;101.3;1
196211;31.4;1
196212;277.6;1
196301;24.5;1
196302;90.5;1
196303;181.2;1
196304;124;1
196305;98.7;1
196306;100.8;1
196307;65.8;1
196308;195.5;1
196309;112.8;1
196310;37.8;1
196311;116.4;1
196312;28;1
196401;7.5;1
196402;74.8;1
196403;261.7;1
196404;66.7;1
196405;69.9;1
196406;80.4;1
196407;26.3;1
196408;117.6;1
196409;42.1;1
196410;86.7;1
196411;23.8;1
196412;71.3;1
196501;146.4;1
196502;29.5;1
196503;119.4;1
196504;179.8;1
196505;162.8;1
196506;51.2;1
196507;76.6;1
196508;86.2;1
196509;147.6;1
196510;19.9;1
196511;138.3;1
196512;239;1
196601;95.1;1
196602;133.7;1
196603;87.5;1
196604;158.9;1
196605;125.8;1
196606;85.2;1
196607;127.6;1
196608;55.5;1
196609;19.4;1
196610;164.9;1
196611;159.2;1
196612;163.5;1
196701;68.3;1
196702;80.7;1
196703;74.3;1
196704;27.5;1
196705;205.5;1
196706;105.2;1
196707;55.8;1
196708;43.3;1
196709;103.5;1
196710;59.4;1
196711;129.6;1
196712;71.2;1
196801;169.2;1
196802;75.1;1
196803;32.9;1
196804;67.5;1
196805;128.4;1
196806;114.8;1
196807;135.6;1
196808;163.5;1
196809;179.7;1
196810;36.4;1
196811;104.9;1
196812;208.2;1
196901;78.7;1
196902;93.2;1
196903;85.1;1
196904;99;1
196905;90.4;1
196906;212.5;1
196907;107.4;1
196908;92.3;1
196909;76.2;1
196910;3;1
196911;144.1;1
196912;118.3;1
197001;79.5;1
197002;201.7;1
197003;155.1;1
197004;196.8;1
197005;112.3;1
197006;129.8;1
197007;73;1
197008;68.3;1
197009;59.3;1
197010;95.3;1
197011;124;1
197012;73.3;1
197101;72.8;1
197102;59.5;1
197103;155.2;1
197104;180.1;1
197105;77.2;1
197106;150.6;1
197107;38.2;1
197108;103.7;1
197109;54.7;1
197110;29.6;1
197111;159.9;1
197112;7.7;1
197201;101.3;1
197202;169.4;1
197203;57.2;1
197204;75.8;1
197205;70.6;1
197206;109.5;1
197207;48;1
197208;88.7;1
197209;67.6;1
197210;64.5;1
197211;93.4;1
197212;55.4;1
197301;85.7;1
197302;100.8;1
197303;33.1;1
197304;119;1
197305;66.3;1
197306;174.3;1
197307;225.7;1
197308;76.2;1
197309;100.7;1
197310;44.7;1
197311;73.2;1
197312;53.8;1
197401;59.5;1
197402;133.7;1
197403;73.7;1
197404;56.1;1
197405;90.4;1
197406;98;1
197407;66.6;1
197408;102.4;1
197409;181;1
197410;170.5;1
197411;188.7;1
