# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 40001001
# NOM_USUEL= AIRE MESTADE
# LATITUDE (°) = 43.7
# LONGITUDE(°)= -0.256
# ALTITUDE (m) = 79
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2017-12-31
# NUM_SERIE= MRR140001001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 196812
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;145.4;1
195502;76.8;1
195503;41.1;1
195504;3.9;1
195505;47.9;1
195506;82.1;1
195507;58.3;1
195508;10;1
195509;111.1;1
195510;83.7;1
195511;51.2;1
195512;136.3;1
195601;110;1
195602;7.2;1
195603;17.9;1
195604;52.8;1
195605;110.1;1
195606;45.1;1
195607;12.5;1
195608;71;1
195609;8.2;1
195610;12.7;1
195611;64;1
195612;85.3;1
195701;35.8;1
195702;145.1;1
195703;64.3;1
195704;94;1
195705;98;1
195706;105;1
195707;19.1;1
195708;27.6;1
195709;49.4;1
195710;9.8;1
195711;33.8;1
195712;73.8;1
195801;77.5;1
195802;23.7;1
195803;187.2;1
195804;55.1;1
195805;97.7;1
195806;76.8;1
195807;72.2;1
195808;30.7;1
195809;78.4;1
195810;27;1
195811;31.3;1
195812;111.2;1
195901;89.7;1
195902;0.4;1
195903;76.4;1
195904;118.2;1
195905;50.4;1
195906;39.2;1
195907;69.1;1
195908;112.6;1
195909;190;1
195910;73.9;1
195911;87.6;1
195912;185.2;1
196001;59.6;1
196002;31.7;1
196003;90.3;1
196004;10.7;1
196005;37.5;1
196006;30.4;1
196007;87.6;1
196008;166.2;1
196009;114.7;1
196010;254.2;1
196011;170.9;1
196012;218.6;1
196101;158;1
196102;49.4;1
196103;0;1
196104;90.6;1
196105;30.1;1
196106;28.8;1
196107;27.8;1
196108;52.4;1
196109;39.6;1
196110;105.1;1
196111;135.6;1
196112;71.2;1
196201;156.1;1
196202;80.2;1
196203;132.7;1
196204;70.5;1
196205;55.5;1
196206;24.9;1
196207;11.9;1
196208;24.2;1
196209;34.6;1
196210;56.3;1
196211;118.3;1
196212;122.7;1
196301;48.9;1
196302;146.1;1
196303;168.6;1
196304;42.3;1
196305;37.5;1
196306;62.4;1
196307;24.9;1
196308;127.4;1
196309;67.1;1
196310;53.7;1
196311;99.9;1
196312;42;1
196401;10.2;1
196402;109.1;1
196403;116;1
196404;85;1
196405;71.7;1
196406;18.2;1
196407;7.7;1
196408;11.1;1
196409;28.1;1
196410;183.5;1
196411;75.6;1
196412;72.9;1
196501;95.9;1
196502;15.5;1
196503;108.3;1
196504;58.1;1
196505;61.8;1
196506;48.6;1
196507;28.4;1
196508;46.1;1
196509;133.8;1
196510;22.1;1
