# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 41075002
# NOM_USUEL= DROUE
# LATITUDE (°) = 48.042
# LONGITUDE(°)= 1.081
# ALTITUDE (m) = 161
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR141075002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195801 201712
# Date(s) de rupture(s) d'homogénéité : 196612
#     Periode homogénéisée  195801 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;85;1
195802;118.4;1
195803;52;1
195804;62.6;1
195805;102.7;1
195806;80.9;1
195807;62;1
195808;54;1
195809;35.7;1
195810;55;1
195811;66.7;1
195812;88.4;1
195901;89.4;1
195902;0;1
195903;43.7;1
195904;74.8;1
195905;34.7;1
195906;31.7;1
195907;15;1
195908;55.1;1
195909;8.6;1
195910;57.9;1
195911;59;1
195912;98.5;1
196001;41;1
196002;54.6;1
196003;63;1
196004;22.7;1
196005;57.1;1
196006;62;1
196007;46.3;1
196008;69.5;1
196009;80.5;1
196010;123.8;1
196011;124.3;1
196012;96.2;1
196101;134.1;1
196102;43.6;1
196103;0.5;1
196104;25.8;1
196105;33.7;1
196106;31.5;1
196107;42.4;1
196108;0.9;1
196109;48.1;1
196110;107;1
196111;80.4;1
196112;73.6;1
196201;71.6;1
196202;20.9;1
196203;83.9;1
196204;40.5;1
196205;46.8;1
196206;5.8;1
196207;46.2;1
196208;11.4;1
196209;45.2;1
196210;56.7;1
196211;126.2;1
196212;41.2;1
196301;26.1;1
196302;32;1
196303;82.8;1
196304;62.8;1
196305;38.3;1
196306;72.1;1
196307;28.9;1
196308;107.5;1
196309;60.9;1
196310;31.8;1
196311;99.8;1
196312;0.9;1
196401;18.5;1
196402;81.1;1
196403;56.8;1
196404;46.6;1
196405;22.2;1
196406;31;1
196407;10.4;1
196408;29.2;1
196409;43.9;1
196410;64;1
196411;22.7;1
196412;29;1
196501;105.8;1
196502;2.1;1
196503;57.4;1
196504;42.9;1
196505;74.5;1
196506;62.8;1
196507;23.4;1
196508;117.1;1
196509;133.3;1
196510;21.7;1
196511;111.1;1
196512;121.3;1
196601;96.6;1
196602;83.5;1
196603;16.2;1
196604;96.9;1
196605;34.7;1
196606;61.6;1
196607;57.4;1
196608;44.4;1
196609;24.4;1
196610;135.3;1
196611;103;1
196612;96;1
196701;20.2;1
196702;58.1;1
196703;58.2;1
196704;32.1;1
196705;84.2;1
196706;23.9;1
196707;11.6;1
196708;48.6;1
196709;98.2;1
196710;81.7;1
196711;71.9;1
196712;37.6;1
196801;82.7;1
196802;68.8;1
196803;50.2;1
196804;50.3;1
196805;40.9;1
196806;63.3;1
196807;43.1;1
196808;45.1;1
196809;103.4;1
196810;49.1;1
196811;40.2;1
196812;46.8;1
196901;44.5;1
196902;21.3;1
196903;62.6;1
196904;42.7;1
196905;68.2;1
196906;33.1;1
196907;47.2;1
196908;27.3;1
196909;28.2;1
196910;6.2;1
196911;159.8;1
196912;62.8;1
197001;67.5;1
197002;100.2;1
197003;61.2;1
197004;33.1;1
197005;60.8;1
197006;72;1
197007;34;1
197008;82.7;1
197009;21.5;1
197010;25.5;1
197011;79.7;1
197012;22.3;1
197101;75.5;1
197102;35.5;1
197103;34.2;1
197104;45.1;1
197105;127.7;1
197106;63.9;1
197107;23.8;1
197108;80.1;1
197109;19.8;1
