# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 43040001
# NOM_USUEL= BRIOUDE
# LATITUDE (°) = 45.306
# LONGITUDE(°)= 3.376
# ALTITUDE (m) = 434
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR143040001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;7.6;1
195102;50.4;1
195103;33.8;1
195104;17;1
195105;137.5;1
195106;169.5;1
195107;50.8;1
195108;92.7;1
195109;37.2;1
195110;28;1
195111;76.7;1
195112;14.3;1
195201;29.9;1
195202;19;1
195203;30.5;1
195204;42.7;1
195205;32.7;1
195206;48.9;1
195207;8.1;1
195208;76.8;1
195209;42.9;1
195210;46.3;1
195211;56;1
195212;28.3;1
195301;11.1;1
195302;9.1;1
195303;3.3;1
195304;39.1;1
195305;47.7;1
195306;102.2;1
195307;30.8;1
195308;27;1
195309;80.5;1
195310;70.3;1
195311;7;1
195312;45.3;1
195401;44.8;1
195402;42.7;1
195403;26.8;1
195404;38.5;1
195405;75.7;1
195406;81;1
195407;39.1;1
195408;147.2;1
195409;88.5;1
195410;21.9;1
195411;39.3;1
195412;18.8;1
195501;77.2;1
195502;51.3;1
195503;14.6;1
195504;5.6;1
195505;48.9;1
195506;79.5;1
195507;33.7;1
195508;50.1;1
195509;33.3;1
195510;34.1;1
195511;17;1
195512;40.7;1
195601;35.4;1
195602;16.5;1
195603;16;1
195604;46.3;1
195605;114.6;1
195606;36;1
195607;82.1;1
195608;79.5;1
195609;100.2;1
195610;78.4;1
195611;19;1
195612;37.5;1
195701;15.5;1
195702;33;1
195703;10.5;1
195704;48.1;1
195705;48.4;1
195706;152.6;1
195707;6.7;1
195708;23.2;1
195709;24.3;1
195710;12.9;1
195711;34.7;1
195712;116.1;1
195801;34.9;1
195802;24.1;1
195803;56.4;1
195804;41.5;1
195805;48.5;1
195806;47.1;1
195807;47.6;1
195808;50.3;1
195809;88.3;1
195810;46.8;1
195811;70;1
195812;62.3;1
195901;26.2;1
195902;7.1;1
195903;74.9;1
195904;52.3;1
195905;86.2;1
195906;123.3;1
195907;27.3;1
195908;79.5;1
195909;75;1
195910;82.9;1
195911;29.9;1
195912;32.3;1
196001;47.7;1
196002;50.4;1
196003;69.8;1
196004;17.6;1
196005;36.6;1
196006;61;1
196007;89.4;1
196008;109.4;1
196009;58.7;1
196010;67.9;1
196011;46.8;1
196012;38.2;1
196101;32.1;1
196102;7.8;1
196103;2.7;1
196104;33.6;1
196105;64.4;1
196106;39.5;1
196107;12.8;1
196108;104.8;1
196109;33.8;1
196110;74.3;1
196111;30;1
196112;26.7;1
196201;34.8;1
