# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 43135001
# NOM_USUEL= MONASTIER(LE)
# LATITUDE (°) = 44.943
# LONGITUDE(°)= 3.978
# ALTITUDE (m) = 940
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2019-12-31
# NUM_SERIE= MRR143135001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;46.2;1
195102;112.3;1
195103;60.9;1
195104;22.9;1
195105;253.1;1
195106;86.1;1
195107;23.6;1
195108;108.8;1
195109;56.7;1
195110;89.9;1
195111;174.4;1
195112;13.9;1
195201;55.2;1
195202;39.9;1
195203;53.6;1
195204;67.8;1
195205;65.8;1
195206;46.9;1
195207;18.5;1
195208;97.3;1
195209;18.8;1
195210;71.5;1
195211;71.2;1
195212;42.5;1
195301;14;1
195302;19.4;1
195303;5;1
195304;38.4;1
195305;35.1;1
195306;140.2;1
195307;42.5;1
195308;32.9;1
195309;121.1;1
195310;92.4;1
195311;10.9;1
195312;48.5;1
195401;59.6;1
195402;86.7;1
195403;53.3;1
195404;82.9;1
195405;72.6;1
195406;40.6;1
195407;46;1
195408;148.6;1
195409;98.5;1
195410;33;1
195411;30.5;1
195412;32.1;1
195501;80.6;1
195502;69.9;1
195503;42.4;1
195504;3.2;1
195505;54.2;1
195506;123.2;1
195507;96.3;1
195508;89;1
195509;51.4;1
195510;59.2;1
195511;41.5;1
195512;54.6;1
195601;64.4;1
195602;42.2;1
195603;136.4;1
195604;49;1
195605;90.1;1
195606;31.6;1
195607;149.2;1
195608;79.2;1
195609;105;1
195610;61.7;1
195611;29.4;1
195612;34.3;1
195701;39.4;1
195702;75.8;1
195703;47.1;1
195704;130.4;1
195705;41.1;1
195706;147.3;1
195707;36.4;1
195708;29;1
195709;39.9;1
195710;9.6;1
195711;86.6;1
195712;240.8;1
195801;36.9;1
195802;35.5;1
195803;61.1;1
195804;60.7;1
195805;63.1;1
195806;79.5;1
195807;61.8;1
195808;77.1;1
195809;134.1;1
195810;60.8;1
195811;82.9;1
195812;120.4;1
195901;42.2;1
195902;39.3;1
195903;109.5;1
195904;83.8;1
195905;179.7;1
195906;99.8;1
195907;56.4;1
195908;66.2;1
195909;68.8;1
195910;60.9;1
195911;82.8;1
195912;163.7;1
196001;71.2;1
196002;46.2;1
196003;136.2;1
196004;37.4;1
196005;48.7;1
196006;85.2;1
196007;104.2;1
196008;82.5;1
196009;74.1;1
196010;191.6;1
196011;86.4;1
196012;64.2;1
196101;48.9;1
196102;15.7;1
196103;3.6;1
196104;76.5;1
196105;114.6;1
196106;49.4;1
196107;26.2;1
196108;31.2;1
196109;41.9;1
196110;90.3;1
196111;81.6;1
196112;38.2;1
196201;27.2;1
196202;52.8;1
196203;12.2;1
196204;64.4;1
196205;82.3;1
196206;30.3;1
196207;32.2;1
196208;19.7;1
196209;63.4;1
196210;24.4;1
196211;107;1
196212;69.1;1
196301;47.9;1
196302;43.5;1
196303;82.7;1
196304;90.1;1
196305;80.5;1
196306;150.5;1
196307;110.4;1
196308;108.9;1
196309;89.5;1
196310;59.8;1
196311;104.9;1
196312;60.5;1
196401;13.2;1
196402;41.4;1
196403;127.1;1
196404;121.5;1
196405;72.8;1
196406;33.1;1
196407;7.7;1
196408;124.3;1
196409;70.9;1
196410;66.2;1
196411;36.8;1
196412;21.4;1
196501;50;1
196502;14;1
196503;53.6;1
196504;66.1;1
196505;87.5;1
196506;59.1;1
196507;155.7;1
196508;20.2;1
196509;149.7;1
196510;60;1
196511;69.4;1
196512;53.6;1
196601;39.9;1
196602;61.3;1
196603;28;1
196604;66.6;1
196605;60.3;1
196606;52.1;1
196607;117.4;1
196608;22.9;1
196609;16.7;1
196610;163.1;1
196611;103.9;1
196612;39.8;1
196701;20.2;1
196702;51.7;1
196703;40.9;1
196704;37.2;1
196705;73.2;1
196706;68.9;1
196707;89.5;1
196708;38.5;1
196709;51.5;1
196710;8.8;1
196711;103.6;1
196712;33.8;1
196801;59.3;1
196802;66.8;1
196803;15.5;1
196804;40.7;1
196805;170.9;1
196806;39.1;1
196807;59.7;1
196808;74.2;1
196809;93.3;1
196810;65.3;1
196811;119.7;1
