# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 43268002
# NOM_USUEL= YSSINGEAUX-VERS
# LATITUDE (°) = 45.161
# LONGITUDE(°)= 4.188
# ALTITUDE (m) = 730
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR143268002
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;36.6;1
195102;101.3;1
195103;58.2;1
195104;33;1
195105;219.1;1
195106;108.1;1
195107;48.3;1
195108;77.8;1
195109;72.7;1
195110;80.5;1
195111;196.7;1
195112;18.1;1
195201;47.6;1
195202;26.3;1
195203;42;1
195204;54.1;1
195205;52.7;1
195206;52.5;1
195207;8.9;1
195208;116;1
195209;33;1
195210;75.5;1
195211;82.1;1
195212;49.5;1
195301;16.9;1
195302;15.5;1
195303;2.4;1
195304;38.9;1
195305;28.2;1
195306;163.4;1
195307;47.8;1
195308;52.8;1
195309;133.5;1
195310;92;1
195311;7.9;1
195312;44.3;1
195401;44.4;1
195402;76;1
195403;46.3;1
195404;73.3;1
195405;91.1;1
195406;60.7;1
195407;53.2;1
195408;134.7;1
195409;123.4;1
195410;47.4;1
195411;23.9;1
195412;34.1;1
195501;69.4;1
195502;69.1;1
195503;33.4;1
195504;8.7;1
195505;55.9;1
195506;145.5;1
195507;53.1;1
195508;59.8;1
195509;29.1;1
195510;53.8;1
195511;34.7;1
195512;33.1;1
195601;65.5;1
195602;51.8;1
195603;103.8;1
195604;50.2;1
195605;96.4;1
195606;40.4;1
195607;107.9;1
195608;97;1
195609;147.5;1
195610;94.8;1
195611;37;1
195612;39.4;1
195701;34.2;1
195702;78.8;1
195703;30.8;1
195704;82.2;1
195705;58.8;1
195706;194;1
195707;63.8;1
195708;59.7;1
195709;42.6;1
195710;12.8;1
195711;75;1
195712;190.2;1
195801;40.8;1
195802;30;1
195803;36.2;1
195804;77.7;1
195805;64.9;1
195806;112.5;1
195807;74.7;1
195808;102.7;1
195809;174.1;1
195810;87.6;1
195811;69.4;1
195812;100.6;1
195901;40.2;1
195902;24.4;1
195903;114.6;1
195904;85.6;1
195905;119.7;1
195906;87;1
195907;50.3;1
195908;63.1;1
195909;58.7;1
195910;74.9;1
195911;70.1;1
195912;72.3;1
196001;57.1;1
196002;56.9;1
196003;95.4;1
196004;35.7;1
196005;59.9;1
196006;111.9;1
196007;110.1;1
196008;75.1;1
196009;88.5;1
196010;172.8;1
196011;97.3;1
196012;51.6;1
196101;62.1;1
196102;24;1
196103;6.3;1
196104;117.2;1
196105;84.7;1
196106;60.8;1
196107;33.3;1
196108;77.9;1
196109;29;1
196110;113.2;1
196111;70.5;1
196112;36.3;1
196201;38;1
196202;48.7;1
196203;12.7;1
196204;62.9;1
196205;73.5;1
196206;38.8;1
196207;38.6;1
196208;15.5;1
196209;113.9;1
196210;33.1;1
196211;80.3;1
196212;61.8;1
196301;30.7;1
196302;52.2;1
196303;53.1;1
196304;81.1;1
196305;102.4;1
196306;158.9;1
196307;120.5;1
196308;124.8;1
196309;50;1
196310;36.6;1
196311;112.8;1
196312;50.3;1
196401;11;1
196402;44.2;1
196403;103.6;1
196404;104.7;1
196405;51.7;1
196406;42.2;1
196407;57.9;1
196408;63.7;1
196409;68.8;1
196410;84;1
196411;31.4;1
196412;37.4;1
196501;51.2;1
196502;18.5;1
196503;40;1
196504;73;1
196505;84.7;1
196506;55.1;1
196507;91.1;1
196508;37.6;1
196509;158.7;1
196510;50.8;1
196511;82.2;1
196512;64.7;1
196601;45.3;1
196602;67;1
196603;41.3;1
196604;68;1
196605;72.6;1
196606;46;1
196607;103.7;1
196608;23.9;1
196609;15.8;1
196610;164.8;1
196611;81.2;1
196612;57.9;1
196701;22.7;1
196702;30;1
196703;42;1
196704;26.4;1
196705;95.3;1
196706;69.4;1
196707;73.3;1
196708;68.6;1
196709;60.1;1
196710;14.4;1
196711;99;1
196712;35.4;1
196801;45.1;1
196802;70.3;1
196803;17.3;1
196804;46.1;1
196805;182.3;1
196806;32.1;1
196807;51.5;1
196808;90.5;1
196809;104.4;1
196810;42.3;1
196811;123.8;1
196812;77.8;1
196901;56;1
196902;49.4;1
196903;36;1
196904;86.6;1
196905;94;1
196906;155;1
196907;42.4;1
196908;131.5;1
196909;112.1;1
196910;26.4;1
196911;63.6;1
196912;40.7;1
197001;32.8;1
197002;36;1
197003;66.2;1
197004;71.7;1
197005;67.7;1
197006;98.7;1
197007;26.6;1
197008;78.7;1
197009;17.6;1
197010;105.4;1
197011;64.6;1
197012;75.1;1
197101;111.4;1
197102;20.1;1
197103;111.7;1
197104;121.8;1
197105;71;1
197106;98.7;1
197107;53;1
197108;80.4;1
197109;10.6;1
197110;19.6;1
197111;82.3;1
197112;36.4;1
197201;74.5;1
197202;88.3;1
197203;50;1
197204;72.7;1
197205;70.8;1
197206;90.1;1
197207;78.8;1
197208;58.6;1
197209;29.6;1
197210;93.6;1
197211;42.2;1
197212;65.8;1
197301;61.6;1
197302;29.9;1
197303;24.6;1
197304;44.1;1
197305;80.6;1
197306;59.8;1
197307;86.3;1
197308;39;1
197309;94.4;1
197310;102.9;1
197311;30.6;1
197312;158.9;1
197401;38.4;1
197402;100.7;1
197403;79.5;1
197404;75.1;1
197405;75.6;1
197406;53.5;1
197407;60.5;1
197408;41.1;1
197409;104.6;1
197410;74.2;1
197411;93.6;1
197412;16.8;1
197501;75.2;1
197502;60.9;1
197503;76.9;1
197504;20.6;1
197505;177.4;1
197506;67;1
