# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 44070001
# NOM_USUEL= HAIE-FOUASSIERE
# LATITUDE (°) = 47.162
# LONGITUDE(°)= -1.385
# ALTITUDE (m) = 20
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR144070001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201912
# Date(s) de rupture(s) d'homogénéité : 197312
#     Periode homogénéisée  195101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;73.5;1
195102;102.2;1
195103;112.4;1
195104;70.9;1
195105;100.2;1
195106;59.8;1
195107;11.3;1
195108;96.8;1
195109;83.6;1
195110;41.8;1
195111;125.4;1
195112;94.1;1
195201;83.6;1
195202;31.4;1
195203;125.4;1
195204;41.8;1
195205;31.4;1
195206;10.5;1
195207;47;1
195208;78.4;1
195209;198.6;1
195210;125.4;1
195211;125.4;1
195212;146.3;1
195301;13.4;1
195302;32.1;1
195303;4.2;1
195304;95.6;1
195305;23.6;1
195306;32.9;1
195307;76.4;1
195308;21.6;1
195309;79;1
195310;60.2;1
195311;17.8;1
195312;23.1;1
195401;32.8;1
195402;57;1
195403;86;1
195404;32.2;1
195405;12.1;1
195406;39.7;1
195407;46.6;1
195408;60.4;1
195409;63.4;1
195410;53.2;1
195411;110;1
195412;82.4;1
195501;131.4;1
195502;119.7;1
195503;17.1;1
195504;0;1
195505;42.1;1
195506;171.5;1
195507;11.6;1
195508;0;1
195509;10.7;1
195510;35;1
195511;14.2;1
195512;102.6;1
195601;98.5;1
195602;5.9;1
195603;19.2;1
195604;65.9;1
195605;24.9;1
195606;19.2;1
195607;109;1
195608;135.3;1
195609;118.6;1
195610;42;1
195611;17;1
195612;100.3;1
195701;41.7;1
195702;190.9;1
195703;25.3;1
195704;27.6;1
195705;28.6;1
195706;72.1;1
195707;56.3;1
195708;75.8;1
195709;97.8;1
195710;32.3;1
195711;73.6;1
195712;72.8;1
195801;137.9;1
195802;111.3;1
195803;87.5;1
195804;44.4;1
195805;58.4;1
195806;123.4;1
195807;64.2;1
195808;100.4;1
195809;63.8;1
195810;21.3;1
195811;30.6;1
195812;118.8;1
195901;81.9;1
195902;2.7;1
195903;45.8;1
195904;90.2;1
195905;49.6;1
195906;20.4;1
195907;28.4;1
195908;35;1
195909;20.8;1
195910;102.2;1
195911;90.6;1
195912;174.8;1
196001;69.4;1
196002;74.6;1
196003;63;1
196004;20.6;1
196005;48.1;1
196006;20.4;1
196007;66.1;1
196008;48.6;1
196009;131.3;1
196010;178.1;1
196011;187.4;1
196012;133.5;1
196101;155.7;1
196102;54.1;1
196103;0.5;1
196104;62.9;1
196105;25.7;1
196106;32.8;1
196107;56.3;1
196108;5.6;1
196109;57.6;1
