# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 44077001
# NOM_USUEL= JOUE-SUR-ERDRE
# LATITUDE (°) = 47.518
# LONGITUDE(°)= -1.428
# ALTITUDE (m) = 42
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR144077001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 194501 201912
# Date(s) de rupture(s) d'homogénéité : 195811 197112 198802
#     Periode homogénéisée  194501 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194501;64.8;1
194502;47.2;1
194503;28.2;1
194504;17;1
194505;50;1
194506;17.2;1
194507;52.8;1
194508;34.5;1
194509;63.5;1
194510;46.7;1
194511;19.5;1
194512;130;1
194601;39.1;1
194602;41.4;1
194603;43.5;1
194604;28.6;1
194605;113.8;1
194606;41.5;1
194607;23.3;1
194608;97.1;1
194609;55.3;1
194610;82.1;1
194611;92.9;1
194612;99.7;1
194701;54.3;1
194702;56.5;1
194703;126.7;1
194704;26.7;1
194705;23.9;1
194706;49.2;1
194707;18.7;1
194708;22.1;1
194709;37.3;1
194710;14.5;1
194711;38.2;1
194712;84.9;1
194801;114.9;1
194802;28.4;1
194803;36.6;1
194804;67;1
194805;58.9;1
194806;40.9;1
194807;21.8;1
194808;74.5;1
194809;24.3;1
194810;35.7;1
194811;48.1;1
194812;102.6;1
194901;24.5;1
194902;13;1
194903;47.6;1
194904;23.7;1
194905;50.3;1
194906;17.6;1
194907;11.9;1
194908;24.6;1
194909;61;1
194910;96.5;1
194911;140.9;1
194912;49.4;1
195001;14.4;1
195002;125.7;1
195003;39.5;1
195004;40.2;1
195005;155.1;1
195006;28.4;1
195007;100.5;1
195008;75.1;1
195009;37.8;1
195010;35.2;1
195011;126.6;1
195012;110.5;1
195101;73.6;1
195102;83.9;1
195103;83.6;1
195104;61.1;1
195105;129.7;1
195106;137.2;1
195107;37.6;1
195108;152;1
195109;70.6;1
195110;72.8;1
195111;122.9;1
195112;87.7;1
195201;68.4;1
195202;25.6;1
195203;110.4;1
195204;20.3;1
195205;30.9;1
195206;16.8;1
195207;51.4;1
195208;112.9;1
195209;153.7;1
195210;85.3;1
195211;109.4;1
195212;129.5;1
195301;17.7;1
195302;38;1
195303;2.8;1
195304;99.9;1
195305;22.7;1
195306;26.8;1
195307;90.9;1
195308;11.6;1
195309;90.2;1
195310;69.7;1
195311;24;1
195312;25.8;1
195401;30.8;1
195402;61.2;1
195403;107;1
195404;14.7;1
195405;38.9;1
195406;37.5;1
195407;38.5;1
195408;78.9;1
195409;62;1
195410;58.3;1
195411;108.6;1
195412;69;1
195501;102;1
195502;124.4;1
195503;40.8;1
195504;0;1
195505;51.2;1
195506;91.6;1
195507;36.4;1
195508;3.9;1
195509;18.5;1
195510;38.5;1
195511;30.1;1
195512;98.4;1
195601;110.3;1
195602;1.6;1
195603;24.5;1
195604;56.5;1
195605;26.2;1
195606;35.3;1
195607;84.6;1
195608;122.7;1
195609;112.8;1
195610;40.1;1
195611;15.1;1
195612;105.1;1
195701;36.3;1
195702;177.8;1
195703;17.7;1
195704;58.4;1
195705;28.4;1
195706;33.4;1
195707;56.8;1
195708;52.5;1
195709;70.1;1
195710;18.8;1
195711;86.4;1
195712;53.6;1
195801;129.2;1
195802;107.2;1
195803;85.4;1
195804;52.4;1
195805;58.7;1
195806;100.4;1
195807;51.2;1
195808;52.4;1
195809;49.8;1
195810;37.8;1
195811;44;1
195812;93.6;1
195901;73.1;1
195902;3.1;1
195903;59.1;1
195904;86.8;1
195905;71.4;1
195906;29;1
195907;4.5;1
195908;44;1
195909;18.3;1
195910;109;1
195911;47.5;1
195912;154.5;1
196001;71.9;1
196002;62;1
196003;73.8;1
196004;11.1;1
196005;59.7;1
196006;19.3;1
196007;43.3;1
196008;86.8;1
196009;114.8;1
196010;184.8;1
196011;193.8;1
196012;116.1;1
196101;109.1;1
196102;46.9;1
196103;7.4;1
196104;72.3;1
196105;29.5;1
196106;44.9;1
196107;61.3;1
196108;7.1;1
196109;48.4;1
196110;117.7;1
196111;72.6;1
196112;115.2;1
196201;89.6;1
196202;22.8;1
196203;82.6;1
196204;35.6;1
196205;44.3;1
196206;0;1
196207;45.4;1
196208;22.6;1
196209;65.5;1
196210;35.7;1
196211;93.4;1
196212;49.8;1
196301;61.2;1
196302;56.8;1
196303;106.4;1
196304;73;1
196305;42.6;1
196306;58.9;1
196307;19.4;1
196308;140.4;1
196309;78.2;1
196310;60.7;1
196311;151.9;1
196312;15.6;1
196401;13.6;1
196402;76.8;1
196403;82.5;1
196404;53.2;1
196405;89.9;1
196406;59.5;1
196407;21.1;1
