# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 49021001
# NOM_USUEL= BEAUFORT-EN-VA
# LATITUDE (°) = 47.442
# LONGITUDE(°)= -0.241
# ALTITUDE (m) = 28
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR149021001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 197512 200711
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;49;1
195102;59.7;1
195103;86.8;1
195104;64.3;1
195105;76.8;1
195106;73.9;1
195107;15.8;1
195108;121.5;1
195109;27.2;1
195110;22.3;1
195111;66.6;1
195112;55.5;1
195201;55.8;1
195202;32.6;1
195203;117.2;1
195204;15.4;1
195205;41.2;1
195206;10.9;1
195207;9;1
195208;99.8;1
195209;124.4;1
195210;103.7;1
195211;92.2;1
195212;102.7;1
195301;21.6;1
195302;5.8;1
195303;3.4;1
195304;46.7;1
195305;20.5;1
195306;56.6;1
195307;34.9;1
195308;22.2;1
195309;77.6;1
195310;68.8;1
195311;26.7;1
195312;9.6;1
195401;25.3;1
195402;47.4;1
195403;87.3;1
195404;7.3;1
195405;20.4;1
195406;69.9;1
195407;24.7;1
195408;66.4;1
195409;60.8;1
195410;58.6;1
195411;33.5;1
195412;52.5;1
195501;105.8;1
195502;82.3;1
195503;26.2;1
195504;0;1
195505;28.5;1
195506;129.8;1
195507;4.8;1
195508;2.9;1
195509;9;1
195510;37.9;1
195511;16.6;1
195512;71.8;1
195601;93.3;1
195602;0;1
195603;12.6;1
195604;58;1
195605;28.3;1
195606;20.7;1
195607;106.1;1
195608;81.1;1
195609;33.5;1
195610;40.8;1
195611;11.2;1
195612;44;1
195701;25.7;1
195702;110.3;1
195703;13.8;1
195704;43;1
195705;22;1
195706;129.6;1
195707;41.9;1
195708;41.2;1
195709;59.2;1
195710;15.6;1
195711;61.5;1
