# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 49149001
# NOM_USUEL= GENNES
# LATITUDE (°) = 47.336
# LONGITUDE(°)= -0.231
# ALTITUDE (m) = 48
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR149149001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 196804 197909
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;46.9;1
195102;59.2;1
195103;73.3;1
195104;40.5;1
195105;105;1
195106;94.8;1
195107;19.5;1
195108;135;1
195109;34.3;1
195110;20.2;1
195111;55.6;1
195112;65.4;1
195201;51.9;1
195202;24.9;1
195203;74.6;1
195204;10.2;1
195205;34.6;1
195206;4.5;1
195207;8.4;1
195208;78.5;1
195209;121.8;1
195210;87.7;1
195211;102.9;1
195212;102.7;1
195301;15.4;1
195302;36.5;1
195303;3.3;1
195304;33.8;1
195305;17.6;1
195306;50.2;1
195307;67.4;1
195308;20.5;1
195309;76.4;1
195310;57.7;1
195311;29.4;1
195312;14;1
195401;22.2;1
195402;41.6;1
195403;83.8;1
195404;7.6;1
195405;26.3;1
195406;71.7;1
195407;37.1;1
195408;53.4;1
195409;76.9;1
195410;35;1
195411;38.2;1
195412;59.7;1
195501;106.8;1
195502;89.4;1
195503;44.8;1
195504;0.1;1
195505;34;1
195506;73.5;1
195507;8.4;1
195508;12.1;1
195509;21.8;1
195510;33.3;1
195511;8.8;1
195512;83.3;1
195601;92.8;1
195602;5;1
195603;13.4;1
195604;65.1;1
195605;59.8;1
195606;25.1;1
195607;85.4;1
195608;98.2;1
195609;27.7;1
195610;31.4;1
195611;17.3;1
195612;36.6;1
195701;29;1
195702;132;1
195703;21.7;1
195704;29.2;1
195705;29.6;1
195706;60.2;1
195707;34.9;1
195708;35.6;1
195709;54.2;1
195710;9.8;1
195711;71.6;1
195712;30.8;1
195801;132.7;1
195802;87.8;1
195803;68.2;1
195804;42.2;1
195805;67.5;1
195806;89.3;1
195807;52.1;1
195808;40.3;1
195809;25.8;1
195810;41.2;1
195811;39.5;1
195812;73.6;1
195901;68.1;1
195902;4.9;1
195903;36.3;1
195904;92.6;1
195905;28.9;1
195906;17.1;1
195907;12;1
195908;20.7;1
195909;40.1;1
195910;69.4;1
195911;30.5;1
195912;97.8;1
196001;56.7;1
196002;42.6;1
196003;54.2;1
196004;12.2;1
196005;48.5;1
196006;33.3;1
196007;61.5;1
196008;42.6;1
196009;103.8;1
196010;115;1
196011;136.3;1
196012;103.4;1
196101;113;1
196102;23.8;1
196103;3.6;1
196104;58.7;1
196105;18.4;1
196106;24.2;1
196107;75.6;1
196108;1;1
196109;46.5;1
196110;68.2;1
196111;103.9;1
196112;89.7;1
196201;52.3;1
196202;28.8;1
196203;87.9;1
196204;42.6;1
196205;53.4;1
196206;34.2;1
196207;15.9;1
196208;13.1;1
196209;44.2;1
196210;34.3;1
196211;132.5;1
196212;40.7;1
196301;48.2;1
196302;35.9;1
196303;66.8;1
196304;79;1
196305;29;1
196306;75.7;1
196307;14.6;1
196308;88;1
196309;34.8;1
196310;47.1;1
196311;94.3;1
196312;9.1;1
196401;18.3;1
196402;91.9;1
196403;59.5;1
196404;58.1;1
196405;90.4;1
196406;34.4;1
196407;8.2;1
196408;22.8;1
196409;34;1
196410;62.6;1
196411;47.4;1
196412;69.4;1
196501;107.7;1
196502;5.3;1
196503;60.6;1
196504;34.8;1
196505;27.8;1
196506;20.3;1
196507;32.8;1
196508;181.7;1
196509;107.5;1
196510;25.9;1
196511;80;1
196512;93.1;1
196601;62.7;1
196602;83.4;1
196603;9.9;1
196604;80.4;1
196605;32.3;1
196606;28.4;1
196607;53.5;1
196608;48.3;1
196609;48.2;1
196610;187.2;1
196611;101.6;1
196612;79.3;1
196701;37.1;1
196702;44.1;1
196703;69.8;1
196704;25.9;1
196705;105.7;1
196706;46.6;1
196707;3.2;1
196708;35.6;1
196709;49.1;1
196710;55.2;1
196711;57.4;1
196712;38.7;1
196801;39.8;1
196802;73.7;1
196803;44.8;1
196804;21.9;1
196805;40.3;1
196806;102.5;1
196807;68.5;1
196808;30;1
196809;101.4;1
196810;35.2;1
196811;12.4;1
196812;55.8;1
196901;53;1
196902;30.7;1
196903;82.4;1
196904;47.6;1
196905;66.6;1
196906;34.4;1
196907;28.8;1
196908;24.3;1
196909;63.4;1
196910;7.9;1
196911;100.9;1
196912;67.7;1
197001;65.7;1
197002;72.5;1
197003;46.5;1
197004;37.1;1
197005;8.4;1
197006;46.7;1
197007;13.9;1
197008;50.3;1
197009;30.5;1
197010;27.3;1
197011;79.1;1
197012;28.3;1
197101;72.9;1
197102;23.8;1
197103;22.7;1
197104;31.6;1
197105;68.8;1
197106;66.5;1
197107;11.3;1
197108;68;1
197109;17.4;1
197110;8;1
197111;48.1;1
197112;24.7;1
197201;96.4;1
197202;93.6;1
197203;27.7;1
197204;29.6;1
197205;20.5;1
197206;28.8;1
197207;13.9;1
197208;72;1
197209;26;1
197210;18.9;1
197211;84.9;1
197212;18.4;1
197301;29.3;1
197302;48.7;1
197303;2.1;1
197304;33.9;1
197305;69.8;1
197306;12.9;1
197307;129.7;1
197308;52.2;1
197309;52.2;1
197310;38.8;1
197311;26.3;1
197312;43.8;1
197401;51.6;1
197402;47.9;1
197403;45.1;1
197404;26.4;1
197405;35.9;1
197406;32.4;1
197407;1.4;1
197408;36.5;1
197409;69.8;1
197410;40.2;1
