# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 49206001
# NOM_USUEL= MONTFAUCON
# LATITUDE (°) = 47.1
# LONGITUDE(°)= -1.124
# ALTITUDE (m) = 57
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2016-01-31
# NUM_SERIE= MRR149206001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 199212
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;62.3;1
195102;83.6;1
195103;73.8;1
195104;63.6;1
195105;91.4;1
195106;59;1
195107;25.9;1
195108;107.1;1
195109;74.7;1
195110;38.6;1
195111;133.8;1
195112;82.6;1
195201;80.7;1
195202;31.4;1
195203;108.1;1
195204;25.5;1
195205;20.1;1
195206;3.5;1
195207;28.6;1
195208;73.1;1
195209;183.5;1
195210;121.6;1
195211;141.5;1
195212;123.3;1
195301;18.7;1
195302;39.7;1
195303;6;1
195304;85.2;1
195305;9.9;1
195306;28;1
195307;60.4;1
195308;24;1
195309;71.7;1
195310;87.3;1
195311;18.3;1
195312;21.2;1
195401;15.7;1
195402;58.2;1
195403;89.3;1
195404;12;1
195405;16.5;1
195406;43.5;1
195407;47.1;1
195408;46.8;1
195409;75.4;1
195410;42.4;1
195411;89.3;1
195412;67.1;1
195501;139.1;1
195502;116.6;1
195503;22.1;1
195504;0;1
195505;33.4;1
195506;161.6;1
195507;5.3;1
195508;4.2;1
195509;6.1;1
195510;29.9;1
195511;10.3;1
195512;74.8;1
195601;96.5;1
195602;2.8;1
195603;7.9;1
195604;61.4;1
195605;20.2;1
195606;21.4;1
195607;98.2;1
195608;91.2;1
195609;92;1
195610;30.1;1
195611;5.7;1
195612;74.4;1
195701;41;1
195702;178.6;1
195703;26.8;1
195704;26;1
195705;25.6;1
195706;49;1
195707;51.1;1
195708;64.5;1
195709;65.5;1
195710;13.2;1
195711;115;1
195712;83.9;1
195801;139.4;1
195802;107.5;1
195803;80.7;1
195804;38.6;1
195805;56.2;1
195806;100.6;1
195807;67.4;1
195808;64.8;1
195809;76.5;1
195810;44.2;1
195811;33.1;1
195812;123.3;1
195901;85.6;1
195902;0;1
195903;52.6;1
195904;79.2;1
195905;39.7;1
195906;24.2;1
195907;18.2;1
195908;32.7;1
195909;16.5;1
195910;98;1
195911;52.6;1
195912;128.7;1
196001;59.3;1
196002;59.8;1
196003;77.2;1
196004;19.7;1
196005;48.2;1
196006;40.7;1
196007;90.9;1
196008;30;1
196009;111.8;1
196010;150.2;1
196011;161.7;1
196012;108.3;1
196101;134;1
196102;41.1;1
196103;5;1
196104;55.8;1
196105;24.1;1
196106;31.4;1
196107;67.7;1
196108;1.9;1
196109;38.3;1
196110;136.8;1
196111;122.9;1
196112;120.5;1
196201;93.5;1
196202;26.5;1
196203;107.9;1
196204;27.7;1
196205;66.9;1
196206;0.8;1
196207;23.4;1
196208;14.3;1
196209;59;1
196210;36.6;1
196211;92.2;1
196212;51.2;1
196301;50.9;1
196302;48.3;1
196303;76.5;1
196304;55.7;1
196305;43.2;1
196306;145.1;1
196307;4.7;1
196308;117.2;1
196309;91.4;1
196310;54.9;1
196311;151.3;1
196312;9.4;1
196401;14.9;1
196402;62.8;1
196403;84;1
196404;56.3;1
196405;65.5;1
196406;42.1;1
196407;13.6;1
196408;18.4;1
196409;32.5;1
196410;77.4;1
196411;50.7;1
196412;70.1;1
196501;105.3;1
196502;2.8;1
196503;98.5;1
196504;36.4;1
196505;56.4;1
196506;38.6;1
196507;46.9;1
196508;150;1
196509;105.3;1
196510;30.4;1
196511;148.2;1
196512;125.2;1
196601;82.5;1
196602;105;1
196603;21.7;1
196604;79.9;1
196605;70.4;1
196606;94.7;1
196607;28.4;1
196608;50.8;1
196609;17.8;1
196610;164.8;1
196611;109.4;1
196612;101.5;1
196701;51.1;1
196702;68.3;1
196703;64.4;1
196704;19.3;1
196705;93.9;1
196706;14.1;1
196707;0.9;1
196708;55.6;1
196709;60.7;1
196710;87.1;1
196711;88.7;1
196712;67.8;1
196801;55.8;1
196802;72;1
196803;30.8;1
196804;40.6;1
196805;69.5;1
196806;72.7;1
196807;72.8;1
196808;89.5;1
196809;113.2;1
196810;51.5;1
196811;16.2;1
196812;71.2;1
196901;71.3;1
196902;28.9;1
196903;76.5;1
196904;39.4;1
196905;75.6;1
196906;13.6;1
196907;15;1
196908;11.2;1
196909;48.2;1
196910;0.9;1
196911;147.6;1
196912;98.7;1
197001;77.6;1
197002;116.3;1
197003;50.9;1
197004;56.5;1
197005;22.6;1
197006;34.7;1
197007;32;1
197008;95.7;1
197009;40.9;1
197010;21.6;1
197011;140.9;1
197012;28.9;1
197101;103.6;1
197102;38.5;1
197103;32.5;1
197104;33.8;1
197105;134.1;1
197106;61.4;1
197107;18.6;1
197108;53.9;1
197109;51.7;1
197110;9.9;1
197111;69.4;1
197112;19.3;1
197201;93.2;1
197202;97.2;1
197203;72.4;1
197204;71.3;1
197205;30.3;1
197206;18.6;1
197207;29.1;1
197208;46.8;1
197209;20.6;1
197210;32;1
197211;114;1
197212;25.4;1
197301;20.3;1
197302;57;1
197303;6.4;1
197304;40.6;1
197305;89.8;1
197306;7.5;1
197307;65.7;1
197308;53.5;1
197309;66.7;1
197310;38.5;1
197311;44.7;1
197312;46.5;1
197401;100.9;1
197402;109.1;1
197403;59;1
197404;20.7;1
197405;33.9;1
197406;45.8;1
197407;7.4;1
197408;34.4;1
197409;124.3;1
197410;57.1;1
197411;114.2;1
197412;32.8;1
197501;114;1
197502;10.3;1
197503;96.4;1
197504;52.6;1
197505;71;1
197506;6.4;1
197507;36.2;1
197508;31.5;1
197509;109.6;1
197510;28.3;1
197511;101;1
197512;28.7;1
197601;20.4;1
197602;54.8;1
197603;39.6;1
197604;9.4;1
197605;6.4;1
197606;0;1
197607;68.1;1
197608;23.3;1
197609;90.9;1
197610;103.1;1
197611;119.9;1
197612;57.8;1
197701;103.7;1
197702;188.9;1
197703;57.7;1
197704;26.9;1
197705;31.9;1
197706;80.7;1
197707;85.7;1
197708;104.6;1
197709;8.5;1
197710;57.3;1
197711;44.6;1
197712;65.1;1
197801;131.8;1
197802;89;1
197803;96.7;1
197804;44.8;1
197805;44.2;1
197806;47;1
197807;20.3;1
197808;32.6;1
197809;40.4;1
197810;1.9;1
197811;10.9;1
197812;173.9;1
197901;70.5;1
197902;125.3;1
197903;118.2;1
197904;53.6;1
197905;82.7;1
197906;42.5;1
197907;34.5;1
197908;28.1;1
197909;28.3;1
197910;94.6;1
197911;48;1
197912;151.6;1
198001;88.2;1
198002;50.1;1
198003;117.6;1
198004;5.6;1
198005;24.8;1
198006;64.1;1
198007;78.1;1
198008;11;1
198009;51.4;1
198010;75.6;1
198011;70.9;1
198012;70.4;1
198101;51.6;1
198102;38.8;1
198103;110.9;1
198104;14.3;1
198105;165.2;1
198106;30.5;1
198107;33.9;1
198108;18.1;1
198109;77.3;1
198110;139.4;1
198111;14.1;1
198112;138.5;1
198201;84.2;1
198202;39.1;1
198203;58.2;1
198204;9.6;1
198205;27.8;1
198206;66.3;1
198207;87.6;1
198208;50.9;1
198209;89.7;1
198210;145.6;1
198211;78.9;1
198212;156.9;1
198301;54.5;1
198302;62.3;1
198303;37.6;1
198304;157;1
198305;91.4;1
198306;81.8;1
198307;60.5;1
198308;49.2;1
198309;75.2;1
198310;39.5;1
198311;55.8;1
198312;41.9;1
198401;152.4;1
198402;45.2;1
198403;73.6;1
198404;0.6;1
198405;167.2;1
198406;26.1;1
198407;44.8;1
198408;36.6;1
198409;104;1
198410;85.8;1
198411;162.2;1
198412;90.9;1
198501;57.7;1
198502;68.9;1
198503;76.4;1
198504;67.3;1
198505;87.1;1
198506;69.1;1
198507;33.9;1
198508;40.6;1
198509;16.5;1
198510;5.9;1
198511;90.5;1
198512;51.7;1
198601;116.4;1
198602;80.4;1
198603;66.8;1
198604;69.1;1
198605;54.5;1
198606;57;1
198607;21.7;1
198608;67;1
198609;49.3;1
198610;67.8;1
198611;70.4;1
198612;85.4;1
198701;28.4;1
198702;24.7;1
198703;51;1
198704;25.2;1
198705;37.3;1
198706;69.6;1
198707;56.6;1
198708;27.4;1
198709;34;1
198710;149.5;1
198711;57.3;1
198712;51.7;1
198801;198;1
198802;86.7;1
198803;78.5;1
198804;74.8;1
198805;70.6;1
198806;19.1;1
198807;62.5;1
198808;3.5;1
198809;42.2;1
198810;35.7;1
198811;77;1
198812;36;1
198901;23.1;1
198902;62.7;1
198903;70.3;1
198904;84.7;1
198905;36.4;1
198906;25.9;1
198907;55;1
198908;18.7;1
198909;10.8;1
198910;47.3;1
198911;53.4;1
198912;145.4;1
199001;84.3;1
199002;114.9;1
199003;1.9;1
199004;40;1
199005;30.3;1
199006;39;1
199007;25.1;1
199008;14;1
199009;17.7;1
199010;97.3;1
199011;65.8;1
199012;54;1
199101;125.8;1
199102;33;1
199103;59.2;1
199104;55.5;1
199105;16.9;1
199106;59.2;1
199107;11.2;1
199108;21.7;1
199109;68.1;1
199110;54.7;1
199111;90.1;1
199112;10.3;1
199201;11;1
199202;58;1
199203;64;1
199204;42.8;1
199205;24.9;1
199206;58.6;1
199207;70.4;1
199208;110.7;1
199209;55.4;1
199210;68.2;1
199211;112.7;1
199212;82;1
199301;71.9;1
199302;2.3;1
199303;9.9;1
199304;115;1
199305;37.2;1
199306;83.5;1
199307;25.1;1
199308;9.4;1
199309;109.2;1
199310;139.9;1
199311;20.1;1
199312;122.9;1
199401;117;1
199402;127.3;1
199403;31.8;1
199404;73.5;1
199405;48.5;1
199406;37.4;1
199407;14.7;1
199408;32.9;1
199409;165.9;1
199410;87.8;1
199411;96.5;1
199412;135.8;1
199501;166.3;1
199502;126.1;1
199503;85.7;1
199504;21.2;1
199505;51;1
199506;7.6;1
199507;43.9;1
199508;43.5;1
199509;60.6;1
199510;33.2;1
199511;71.8;1
199512;67;1
199601;56.1;1
199602;64.2;1
199603;26.4;1
199604;24.1;1
199605;52.8;1
199606;2.5;1
199607;31.8;1
199608;16.4;1
199609;39.3;1
199610;32.4;1
199611;164.3;1
199612;46.7;1
199701;33.4;1
199702;100.1;1
199703;3;1
199704;12.9;1
199705;70.9;1
199706;74.5;1
199707;9.5;1
199708;76.4;1
199709;0;1
199710;62.8;1
199711;125.4;1
199712;120;1
199801;99.6;1
199802;7;1
199803;22.9;1
199804;155;1
199805;8.7;1
199806;27.1;1
199807;35.5;1
199808;8.6;1
199809;113.9;1
199810;71;1
199811;28.3;1
199812;132.5;1
199901;64.4;1
199902;47.1;1
199903;37.5;1
199904;94.9;1
199905;44;1
199906;26.1;1
199907;49;1
199908;85.5;1
199909;207.9;1
199910;95.4;1
199911;56.4;1
199912;160.4;1
200001;20.9;1
200002;86.5;1
200003;28.2;1
