# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 50462001
# NOM_USUEL= ST-CYR-DU-BAILLEUL
# LATITUDE (°) = 48.566
# LONGITUDE(°)= -0.801
# ALTITUDE (m) = 157
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR150462001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 198708
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;51.4;1
195102;100.8;1
195103;109;1
195104;59.8;1
195105;103.7;1
195106;116.3;1
195107;24.9;1
195108;98;1
195109;83;1
195110;76.8;1
195111;167.2;1
195112;109.4;1
195201;123.2;1
195202;47.4;1
195203;94.8;1
195204;28.4;1
195205;52.1;1
195206;17;1
195207;60.8;1
195208;67.1;1
195209;144.3;1
195210;181.5;1
195211;94.3;1
195212;170.2;1
195301;26.3;1
195302;45.3;1
195303;2.7;1
195304;122.9;1
195305;33.6;1
195306;51.7;1
195307;144.6;1
195308;26.3;1
195309;58.4;1
195310;66.5;1
195311;33.7;1
195312;34.9;1
195401;63.8;1
195402;79.4;1
195403;80.4;1
195404;13.6;1
195405;55;1
195406;40.2;1
195407;84.3;1
195408;85.7;1
195409;114.9;1
195410;48;1
195411;98.8;1
195412;107.8;1
195501;159.1;1
195502;97.7;1
195503;44.3;1
195504;13.4;1
195505;57.3;1
195506;93.5;1
195507;25.7;1
195508;20.6;1
195509;55.2;1
195510;60.9;1
195511;19;1
195512;131.3;1
195601;109.8;1
195602;5.3;1
195603;29.1;1
195604;44.5;1
195605;45.9;1
195606;44.7;1
195607;100.4;1
195608;102.9;1
195609;68;1
195610;75.6;1
195611;52.4;1
195612;138.9;1
195701;45.5;1
195702;169.9;1
195703;43.3;1
195704;26;1
195705;49.1;1
195706;91.7;1
195707;100.1;1
195708;66.1;1
195709;107.8;1
195710;29.1;1
195711;51.1;1
195712;54.9;1
195801;159.5;1
195802;141.9;1
195803;67.8;1
195804;39.5;1
195805;55.5;1
195806;122.4;1
195807;38.9;1
195808;105.1;1
195809;47.3;1
195810;71.3;1
195811;85.3;1
195812;100.2;1
195901;168.7;1
195902;4.8;1
195903;54;1
195904;89.5;1
195905;30.3;1
195906;17.7;1
195907;13.6;1
195908;41.5;1
195909;16.3;1
195910;128.7;1
195911;69.6;1
195912;158.6;1
196001;67.2;1
196002;64.2;1
196003;94.3;1
196004;40.8;1
196005;53.2;1
196006;56.6;1
196007;82;1
196008;75;1
196009;112.7;1
196010;203.4;1
196011;108.1;1
196012;113.9;1
196101;122.1;1
196102;79.5;1
196103;8;1
196104;70.5;1
196105;27.5;1
196106;25.4;1
196107;99;1
196108;16.3;1
196109;42.4;1
196110;108.2;1
196111;90.9;1
196112;108.8;1
196201;118.6;1
196202;46.6;1
196203;94.4;1
196204;83.1;1
196205;76.9;1
196206;3;1
196207;44.1;1
196208;66.2;1
196209;65.6;1
196210;61;1
196211;134.2;1
196212;75.8;1
196301;38.2;1
196302;50.7;1
196303;74.4;1
196304;60.8;1
196305;53.6;1
196306;88.5;1
196307;62.6;1
196308;136.3;1
196309;120.8;1
196310;43.6;1
196311;137.5;1
196312;12.8;1
196401;28.8;1
196402;67.3;1
196403;93.7;1
196404;58.8;1
196405;69.1;1
196406;113.2;1
196407;15.4;1
196408;31;1
196409;23.8;1
196410;154;1
196411;54.4;1
196412;102.5;1
196501;131.5;1
196502;3;1
196503;113.1;1
196504;56;1
196505;62.4;1
196506;60;1
196507;64.9;1
196508;77;1
196509;146.2;1
196510;19.1;1
196511;202.4;1
196512;190.6;1
196601;113.6;1
196602;56.2;1
196603;37.9;1
196604;86;1
196605;66.6;1
196606;70.1;1
196607;46.3;1
196608;55.6;1
196609;50.7;1
196610;215.6;1
196611;99.9;1
196612;175.9;1
196701;63.6;1
196702;81.2;1
196703;57.1;1
196704;47.2;1
196705;109.7;1
196706;38.2;1
196707;30.9;1
196708;60.2;1
196709;141.2;1
196710;145.3;1
196711;118.4;1
196712;103.9;1
196801;126.3;1
196802;89.7;1
196803;32.7;1
196804;76.7;1
196805;43;1
196806;64.7;1
196807;65.3;1
196808;69.3;1
196809;93.9;1
196810;73.7;1
196811;25.4;1
196812;66.2;1
196901;61;1
196902;62.7;1
196903;82.7;1
196904;55.6;1
196905;137;1
196906;30;1
196907;40.1;1
196908;32.4;1
196909;20.1;1
196910;3.9;1
196911;115.1;1
196912;127.1;1
197001;113.7;1
197002;177.1;1
197003;60.9;1
197004;60.4;1
197005;29.7;1
197006;35.6;1
197007;46.2;1
197008;87.6;1
197009;39.2;1
197010;37.2;1
197011;100.9;1
197012;47.2;1
197101;121.1;1
197102;37.1;1
197103;44.4;1
197104;46.5;1
197105;78.2;1
197106;84.3;1
197107;13.5;1
197108;103.8;1
197109;16.4;1
197110;22.1;1
197111;115.7;1
197112;19.8;1
197201;83.6;1
197202;104.8;1
197203;50.1;1
197204;100.4;1
197205;85.5;1
197206;58.2;1
197207;45.9;1
197208;57.4;1
197209;61.5;1
197210;32.9;1
197211;133.4;1
197212;38.2;1
197301;45;1
197302;62;1
197303;13.7;1
197304;70.4;1
197305;117.4;1
197306;40.6;1
197307;65.4;1
197308;47.9;1
197309;98.1;1
197310;50.8;1
197311;59.3;1
197312;65;1
197401;86.1;1
197402;107.6;1
197403;85.3;1
197404;33.6;1
197405;45.7;1
197406;73.6;1
197407;15.7;1
197408;76.4;1
197409;201.6;1
197410;141.9;1
197411;191.5;1
197412;60.4;1
197501;98;1
197502;24.2;1
197503;84.1;1
197504;70.7;1
197505;69.5;1
197506;25.7;1
197507;46;1
197508;40.9;1
197509;75.9;1
197510;16.9;1
197511;108.8;1
197512;29.7;1
