# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 53018002
# NOM_USUEL= BALLOTS
# LATITUDE (°) = 47.899
# LONGITUDE(°)= -1.035
# ALTITUDE (m) = 60
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR153018002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195401 202012
# Date(s) de rupture(s) d'homogénéité : 197512
#     Periode homogénéisée  195401 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;23.5;1
195402;53.4;1
195403;90.8;1
195404;10.7;1
195405;62;1
195406;42.7;1
195407;34.2;1
195408;53.4;1
195409;31.1;1
195410;35.1;1
195411;99;1
195412;72;1
195501;118.3;1
195502;81.3;1
195503;31.1;1
195504;1.8;1
195505;39.5;1
195506;69.1;1
195507;90.8;1
195508;3.6;1
195509;31.6;1
195510;46;1
195511;38.5;1
195512;113;1
195601;121.7;1
195602;7.4;1
195603;39.1;1
195604;69.4;1
195605;37.4;1
195606;24.5;1
195607;87.6;1
195608;94.6;1
195609;48.8;1
195610;33.7;1
195611;31.5;1
195612;124.6;1
195701;34.2;1
195702;180.8;1
195703;27.5;1
195704;69.4;1
195705;23.4;1
195706;93.2;1
195707;64.2;1
195708;51.5;1
195709;80.4;1
195710;16.9;1
195711;82.3;1
195712;57.7;1
195801;153.3;1
195802;107.6;1
195803;75.3;1
195804;41.9;1
195805;84.3;1
195806;124.6;1
195807;50.4;1
195808;73.9;1
195809;48.6;1
195810;54.4;1
195811;62.9;1
195812;104.1;1
195901;108.9;1
195902;8.8;1
195903;60;1
195904;87.7;1
195905;28.1;1
195906;28;1
195907;11.1;1
195908;27.7;1
195909;13.3;1
195910;123.8;1
195911;52;1
195912;153.5;1
196001;60.6;1
196002;78.3;1
196003;84.9;1
196004;15.7;1
196005;46.1;1
196006;31.5;1
196007;59.7;1
196008;94.8;1
196009;104.2;1
196010;162.2;1
196011;175.4;1
196012;141.6;1
196101;103.3;1
196102;45.6;1
