# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 57171001
# NOM_USUEL= DELME
# LATITUDE (°) = 48.891
# LONGITUDE(°)= 6.385
# ALTITUDE (m) = 238
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-08-01
# NUM_SERIE= MRR157171001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : 196612 197811
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;31.5;1
195002;75.1;1
195003;8.7;1
195004;86.4;1
195005;71;1
195006;99.3;1
195007;62.7;1
195008;98.9;1
195009;82.4;1
195010;13.7;1
195011;74.4;1
195012;86.4;1
195101;39.6;1
195102;55.4;1
195103;65.8;1
195104;57.8;1
195105;63.1;1
195106;159.5;1
195107;51.6;1
195108;64.2;1
195109;53.7;1
195110;19.8;1
195111;91.5;1
195112;39.8;1
195201;58.7;1
195202;25.7;1
195203;116.3;1
195204;25;1
195205;67.4;1
195206;34.5;1
195207;6.3;1
195208;76;1
195209;80.8;1
195210;111;1
195211;144.9;1
195212;73.3;1
195301;8.6;1
195302;33.4;1
195303;8;1
195304;31.4;1
195305;31.5;1
195306;147.3;1
195307;60.9;1
195308;18.5;1
195309;36.4;1
195310;33.2;1
195311;19.6;1
195312;21.6;1
195401;41.2;1
195402;31.4;1
195403;18;1
195404;25.1;1
195405;39.3;1
195406;26.8;1
195407;43.9;1
195408;90.6;1
195409;82.4;1
195410;49.5;1
195411;41;1
195412;65.3;1
195501;104.8;1
195502;56.9;1
195503;26.7;1
195504;12.4;1
195505;45.9;1
195506;56;1
195507;68.3;1
195508;56.2;1
195509;51.2;1
195510;36.5;1
195511;27.1;1
195512;76.3;1
195601;66.3;1
195602;12.2;1
195603;18.7;1
195604;95.8;1
195605;56.4;1
195606;56.3;1
195607;91.4;1
195608;95.4;1
195609;68.9;1
195610;72.9;1
195611;38.2;1
195612;32.8;1
195701;40.2;1
195702;80.8;1
195703;37.3;1
195704;15.5;1
195705;30.2;1
195706;83.9;1
195707;46.9;1
195708;51.1;1
195709;63.5;1
195710;39.2;1
195711;25.8;1
195712;45.6;1
195801;77.6;1
195802;110.5;1
195803;30.4;1
195804;27;1
195805;171.2;1
195806;63.5;1
195807;67.9;1
195808;93.6;1
195809;20.4;1
195810;61.6;1
195811;50.4;1
195812;87.2;1
195901;83.1;1
195902;0;1
195903;58.4;1
195904;77.5;1
195905;38.2;1
195906;59.3;1
195907;25.6;1
195908;36;1
195909;0;1
195910;24.5;1
195911;35.3;1
195912;75;1
196001;40.2;1
196002;62.5;1
196003;35.8;1
196004;19.8;1
196005;49.1;1
196006;79.8;1
196007;103.7;1
196008;143;1
196009;52.2;1
196010;76.9;1
196011;69.6;1
196012;48.7;1
196101;61.7;1
196102;49.5;1
196103;8.3;1
196104;71.6;1
196105;68.6;1
196106;50.5;1
196107;95.1;1
196108;38.7;1
196109;22.3;1
196110;110;1
196111;78.9;1
196112;85.8;1
196201;75.8;1
196202;39.2;1
196203;52.9;1
196204;55;1
196205;102.2;1
196206;6.4;1
196207;47.2;1
196208;51.2;1
196209;66.3;1
196210;23;1
196211;26;1
196212;47;1
196301;28.4;1
196302;18.1;1
196303;52.6;1
196304;28.2;1
196305;38.4;1
196306;117.2;1
196307;33;1
196308;151.8;1
196309;16.7;1
196310;40.4;1
196311;121.8;1
196312;3.1;1
196401;31.1;1
196402;28.5;1
196403;64.2;1
196404;28.8;1
196405;29.9;1
196406;34.8;1
196407;30.7;1
196408;61.9;1
196409;63.7;1
196410;60.8;1
196411;51.4;1
196412;23.4;1
196501;111.9;1
196502;11;1
196503;56.8;1
196504;82.2;1
196505;58.1;1
196506;70.7;1
196507;55.6;1
196508;34.4;1
196509;111.9;1
196510;5.9;1
196511;117.7;1
196512;139.1;1
196601;67.1;1
196602;64.9;1
196603;44.4;1
196604;71;1
196605;43.5;1
196606;45.4;1
196607;45;1
196608;65.2;1
196609;35.2;1
196610;56.2;1
196611;47.6;1
196612;129.2;1
196701;29.3;1
196702;53.8;1
196703;43.4;1
196704;36.6;1
196705;77.9;1
196706;43.4;1
196707;46.6;1
196708;93.8;1
196709;118.8;1
196710;76.4;1
196711;50.1;1
196712;62.2;1
196801;74.1;1
196802;69.6;1
196803;37.3;1
196804;61.9;1
196805;53.9;1
196806;38.3;1
196807;107.8;1
196808;116.3;1
196809;113.2;1
196810;43.1;1
196811;25.9;1
196812;42.9;1
196901;37.7;1
196902;51.3;1
196903;70.4;1
196904;73.9;1
196905;61.4;1
196906;101.2;1
196907;23.2;1
196908;67.9;1
196909;11.3;1
196910;4.6;1
196911;88;1
196912;44;1
197001;61.5;1
197002;120.7;1
197003;64.5;1
197004;74.7;1
197005;108.9;1
197006;98.2;1
197007;81.9;1
197008;46.7;1
197009;55;1
197010;68.2;1
197011;28.4;1
197012;30.3;1
197101;31.5;1
197102;10.8;1
197103;23.6;1
197104;22.3;1
197105;63.7;1
197106;78.5;1
197107;26.6;1
197108;71.1;1
197109;32.2;1
197110;28.4;1
197111;62.9;1
197112;11.4;1
197201;33;1
197202;25.9;1
197203;24.6;1
197204;53.8;1
197205;61.7;1
197206;38;1
197207;60.8;1
197208;121.2;1
197209;37.5;1
197210;18.6;1
197211;109.6;1
197212;25.3;1
197301;31.9;1
197302;51.6;1
197303;7.9;1
197304;39.8;1
197305;74.1;1
197306;55.7;1
197307;112.1;1
197308;35.9;1
197309;51.8;1
197310;54.3;1
197311;44.9;1
197312;59.7;1
197401;34;1
197402;47.2;1
197403;62.4;1
197404;15.2;1
197405;39.8;1
197406;48.3;1
197407;67.3;1
197408;57;1
197409;90;1
197410;122.5;1
197411;74.2;1
197412;82.5;1
197501;47.9;1
197502;23.3;1
197503;49.6;1
197504;55.3;1
197505;40.2;1
197506;95.7;1
197507;33.1;1
197508;46.1;1
197509;57.1;1
197510;25.1;1
197511;76.7;1
197512;26.8;1
197601;47.1;1
197602;32;1
197603;24.1;1
197604;33;1
197605;66.5;1
197606;10.6;1
197607;68.6;1
197608;8;1
197609;70.9;1
197610;45.9;1
197611;52.8;1
197612;53.7;1
197701;60.2;1
197702;111;1
197703;34.6;1
197704;51.5;1
197705;36.6;1
197706;94.1;1
197707;94.8;1
197708;70.5;1
197709;18.3;1
197710;34.3;1
197711;89.3;1
197712;68.3;1
