# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 57177001
# NOM_USUEL= DIEUZE
# LATITUDE (°) = 48.811
# LONGITUDE(°)= 6.725
# ALTITUDE (m) = 216
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR157177001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 196502
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;30.6;1
195002;89.9;1
195003;17.6;1
195004;109.4;1
195005;63.8;1
195006;60.4;1
195007;56.8;1
195008;68.2;1
195009;105.3;1
195010;18.4;1
195011;91.7;1
195012;70;1
195101;60.6;1
195102;76.7;1
195103;89.5;1
195104;46.7;1
195105;37.1;1
195106;91.5;1
195107;40.9;1
195108;65.9;1
195109;46.3;1
195110;23.7;1
195111;68.9;1
195112;37.1;1
195201;58.5;1
195202;37.1;1
195203;90.3;1
195204;13.9;1
195205;24.1;1
195206;93.7;1
195207;7;1
195208;63.4;1
195209;149.1;1
195210;132.1;1
195211;169.6;1
195212;90.2;1
195301;18.5;1
195302;37.1;1
195303;4.6;1
195304;32.4;1
195305;32.4;1
195306;139;1
195307;92.7;1
195308;18.5;1
195309;41.7;1
195310;18.7;1
195311;13.9;1
195312;23.2;1
195401;64.9;1
195402;26.4;1
195403;15;1
195404;18.7;1
195405;46.3;1
195406;33.9;1
195407;46.3;1
195408;139;1
195409;92.7;1
195410;70.9;1
195411;65.5;1
195412;106.4;1
195501;102;1
195502;62.1;1
195503;15.2;1
195504;11.4;1
195505;57.5;1
195506;76;1
195507;49.1;1
195508;65.3;1
195509;39.5;1
195510;36.2;1
195511;23.2;1
195512;88.1;1
195601;105.9;1
195602;16.7;1
195603;38.9;1
195604;62.1;1
195605;35.7;1
195606;74.2;1
195607;106.2;1
195608;102;1
195609;60.2;1
195610;67.7;1
195611;41.7;1
195612;26.9;1
195701;33.4;1
195702;99.2;1
195703;59.3;1
195704;13;1
195705;23.5;1
195706;93.8;1
195707;77;1
195708;67.7;1
195709;67.7;1
195710;41.3;1
195711;27.9;1
195712;58.4;1
195801;94.2;1
195802;150.4;1
195803;47.5;1
195804;36.8;1
195805;110.3;1
195806;74.2;1
195807;63.6;1
195808;90.3;1
195809;29.7;1
195810;39.1;1
195811;56.3;1
195812;85.6;1
195901;93.2;1
195902;3.2;1
195903;46.7;1
195904;79.5;1
195905;33.6;1
195906;49.5;1
195907;34.1;1
195908;60.4;1
195909;3.2;1
195910;21.9;1
195911;40.9;1
195912;70.5;1
196001;60.1;1
196002;88.3;1
196003;55.9;1
196004;22.1;1
196005;50.4;1
196006;67.6;1
196007;93.3;1
196008;96.1;1
196009;41.9;1
196010;82.9;1
196011;86.9;1
196012;57.1;1
196101;66.1;1
196102;63.7;1
196103;9.7;1
196104;72.8;1
196105;74.7;1
196106;56.7;1
196107;75.1;1
196108;42.3;1
196109;43.8;1
196110;80;1
196111;68.7;1
196112;74.3;1
196201;71;1
196202;45.5;1
196203;59.4;1
196204;56;1
196205;94;1
196206;0;1
196207;55.4;1
196208;35.9;1
196209;55.5;1
196210;17.6;1
196211;21.3;1
196212;64.4;1
196301;23.2;1
196302;24.1;1
196303;68.2;1
196304;58;1
196305;37.6;1
196306;107.7;1
196307;30.2;1
196308;103.1;1
196309;15.8;1
196310;51.9;1
196311;136.3;1
196312;1.9;1
196401;34.9;1
196402;27.4;1
196403;76.6;1
196404;26.4;1
196405;12.7;1
196406;72;1
196407;15.6;1
196408;53.1;1
196409;103.3;1
196410;57.5;1
196411;71.3;1
