# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 63192001
# NOM_USUEL= LA-TOUR-D AUVER
# LATITUDE (°) = 45.535
# LONGITUDE(°)= 2.692
# ALTITUDE (m) = 975
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR163192001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195201 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;176.2;1
195202;104.9;1
195203;144.9;1
195204;50;1
195205;70;1
195206;63;1
195207;14;1
195208;144.3;1
195209;167.2;1
195210;263.5;1
195211;156.7;1
195212;189.5;1
195301;26.6;1
195302;66.3;1
195303;2.3;1
195304;134.3;1
195305;120.5;1
195306;134.5;1
195307;60.6;1
195308;50;1
195309;106;1
195310;81.5;1
195311;40.5;1
195312;29;1
195401;72.3;1
195402;165.3;1
195403;142.8;1
195404;65.5;1
195405;115.3;1
195406;98.7;1
195407;113.6;1
195408;282.3;1
195409;146.8;1
195410;112.6;1
195411;129.4;1
195412;144.5;1
195501;313.2;1
195502;186.7;1
195503;45.4;1
195504;3.5;1
195505;70.6;1
195506;200;1
195507;125.3;1
195508;44.6;1
195509;22;1
195510;118;1
195511;46.8;1
195512;158.5;1
195601;120.9;1
195602;18.2;1
195603;48.6;1
195604;95.5;1
195605;156.3;1
195606;107.7;1
195607;189;1
195608;188.4;1
195609;136.2;1
195610;103;1
195611;97.2;1
195612;57.5;1
195701;106.4;1
195702;293.8;1
195703;58.1;1
195704;35.6;1
195705;66.8;1
195706;158.1;1
195707;99.5;1
195708;46;1
195709;105;1
195710;37.7;1
195711;52.2;1
195712;101.8;1
195801;183.1;1
195802;121.3;1
195803;138.1;1
195804;122.3;1
195805;199.4;1
195806;160.4;1
195807;133.7;1
195808;166.9;1
195809;97.5;1
195810;100.8;1
195811;120;1
195812;216.1;1
195901;136.2;1
195902;10.2;1
195903;125.3;1
195904;182.1;1
195905;122.7;1
195906;143.4;1
195907;115.2;1
195908;123.9;1
195909;114.4;1
195910;145.6;1
195911;113.3;1
195912;282;1
196001;140.4;1
196002;142.1;1
196003;156.3;1
196004;44.3;1
196005;47.8;1
196006;97.9;1
196007;146.1;1
196008;281.9;1
196009;170.1;1
196010;257.1;1
196011;150.4;1
