# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 63236002
# NOM_USUEL= LE MONT-DORE BG
# LATITUDE (°) = 45.575
# LONGITUDE(°)= 2.807
# ALTITUDE (m) = 1050
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-07-31
# NUM_SERIE= MRR163236002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195201 201612
# Date(s) de rupture(s) d'homogénéité : 195312 196811
#     Periode homogénéisée  195201 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;252.2;1
195202;111.7;1
195203;180.4;1
195204;33.9;1
195205;118.5;1
195206;70.5;1
195207;13.1;1
195208;168.4;1
195209;203.5;1
195210;268.2;1
195211;280.2;1
195212;317.2;1
195301;35.7;1
195302;109.1;1
195303;9.8;1
195304;136.8;1
195305;124.1;1
195306;174;1
195307;75.8;1
195308;81.5;1
195309;128.6;1
195310;91.7;1
195311;53.7;1
195312;67;1
195401;124.4;1
195402;175.7;1
195403;210.5;1
195404;64.2;1
195405;170.9;1
195406;95;1
195407;94.8;1
195408;325.4;1
195409;175.6;1
195410;118.9;1
195411;175.2;1
195412;206.3;1
195501;385.8;1
195502;226.3;1
195503;67.7;1
195504;7.8;1
195505;97.2;1
195506;188.2;1
195507;174.1;1
195508;81;1
195509;35.9;1
195510;119.1;1
195511;84.9;1
195512;284.1;1
195601;179;1
195602;36.5;1
195603;48.2;1
195604;125.8;1
195605;220.5;1
195606;120.1;1
195607;206.4;1
195608;233.3;1
195609;170.4;1
195610;132.4;1
195611;108.6;1
195612;54.3;1
195701;110.1;1
195702;396.4;1
195703;54.3;1
195704;68.9;1
195705;63;1
195706;173;1
195707;114.6;1
195708;51.6;1
195709;130;1
195710;52.3;1
195711;100.1;1
195712;130;1
195801;230.7;1
195802;184.4;1
195803;196.9;1
195804;172.2;1
195805;224;1
195806;192.4;1
195807;159.2;1
195808;217.5;1
195809;111.4;1
195810;127.3;1
195811;158.8;1
195812;323.2;1
195901;208.5;1
195902;24.5;1
195903;174.7;1
195904;250;1
195905;121.6;1
195906;139;1
195907;113.1;1
195908;151.3;1
195909;119;1
195910;185.4;1
195911;128.5;1
195912;430.3;1
196001;157.8;1
196002;197.8;1
196003;194.9;1
196004;59.3;1
196005;42.6;1
196006;111.7;1
196007;157;1
196008;276.1;1
196009;159.3;1
196010;328.3;1
196011;190.6;1
196012;220.9;1
196101;226.1;1
196102;90.6;1
196103;16;1
196104;161.6;1
196105;139.2;1
196106;105.8;1
196107;168;1
196108;54.5;1
196109;77.8;1
196110;207.2;1
196111;154.4;1
196112;194.5;1
196201;288.1;1
196202;96.3;1
196203;240.6;1
196204;173.6;1
196205;226.4;1
196206;109.8;1
196207;99;1
196208;41.1;1
196209;82.2;1
196210;78.1;1
196211;196.2;1
196212;244.9;1
196301;84.6;1
196302;137.3;1
196303;264.6;1
196304;132.2;1
196305;120.1;1
196306;141.6;1
196307;70.4;1
196308;220;1
196309;129;1
196310;105.7;1
