# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 63470001
# NOM_USUEL= VOLVIC
# LATITUDE (°) = 45.877
# LONGITUDE(°)= 3.051
# ALTITUDE (m) = 472
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR163470001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;23.8;1
195102;78.5;1
195103;35;1
195104;31;1
195105;109.5;1
195106;81.5;1
195107;45;1
195108;86;1
195109;33.2;1
195110;22.3;1
195111;83.7;1
195112;36.7;1
195201;68;1
195202;40;1
195203;55;1
195204;18.4;1
195205;55.7;1
195206;22;1
195207;10;1
195208;52;1
195209;68.3;1
195210;126.2;1
195211;126;1
195212;87.2;1
195301;8.6;1
195302;41.9;1
195303;2;1
195304;57;1
195305;26.4;1
195306;64.3;1
195307;49.8;1
195308;35.7;1
195309;50;1
195310;59.3;1
195311;20.5;1
195312;33;1
195401;46;1
195402;78.6;1
195403;66.3;1
195404;34.2;1
195405;110.1;1
195406;86;1
195407;26.3;1
195408;113.9;1
195409;56.9;1
195410;52.7;1
195411;23.2;1
195412;41.8;1
195501;111.2;1
195502;97.2;1
195503;12.8;1
195504;0;1
195505;25;1
195506;76.1;1
195507;170;1
195508;42.5;1
195509;13.8;1
195510;16.3;1
195511;28;1
195512;81.1;1
195601;60.2;1
195602;9;1
195603;14.9;1
195604;36.9;1
195605;122.3;1
195606;57.5;1
195607;73.3;1
195608;99.5;1
195609;103.7;1
195610;75;1
195611;14.2;1
195612;18;1
195701;33.5;1
195702;117.7;1
195703;9.2;1
195704;45;1
195705;15.5;1
195706;114.5;1
195707;79;1
195708;44.5;1
195709;35.2;1
195710;22;1
195711;40.5;1
195712;55.2;1
195801;91.5;1
195802;79.5;1
195803;84;1
195804;56.5;1
195805;135;1
195806;66.3;1
195807;55.5;1
195808;66.5;1
195809;114;1
195810;50;1
195811;83.5;1
195812;99.7;1
195901;77.9;1
195902;7.2;1
195903;99.3;1
195904;63.2;1
195905;39.5;1
195906;105.5;1
195907;21.5;1
195908;54.3;1
195909;42.2;1
195910;84.8;1
195911;33.1;1
195912;84.5;1
196001;33.6;1
196002;58.4;1
196003;63.3;1
196004;23.2;1
196005;41.1;1
196006;80.2;1
196007;40;1
196008;108;1
196009;60.1;1
196010;124.2;1
196011;32;1
196012;62.1;1
196101;72;1
196102;21.6;1
196103;3.8;1
196104;41.3;1
196105;76.4;1
196106;25.6;1
196107;22.8;1
196108;44.6;1
196109;19.5;1
196110;69.2;1
196111;27.6;1
196112;42.6;1
196201;88.8;1
196202;24.2;1
196203;48.2;1
196204;62.1;1
196205;79.8;1
196206;88.5;1
196207;41.4;1
196208;6;1
196209;41.4;1
196210;25.7;1
196211;84.4;1
196212;56.4;1
196301;11.8;1
196302;24.3;1
196303;56.1;1
196304;41.6;1
196305;60.7;1
196306;83.6;1
196307;28.9;1
196308;115;1
196309;25.7;1
196310;25.6;1
196311;63.6;1
196312;12.6;1
196401;5;1
196402;24.9;1
196403;38.4;1
196404;61.3;1
196405;203.7;1
196406;40.3;1
196407;28.5;1
196408;73.9;1
196409;40.7;1
196410;60;1
196411;36;1
196412;14.2;1
196501;38.1;1
196502;7.4;1
196503;33.8;1
196504;35.3;1
196505;140.8;1
196506;28.4;1
196507;79.6;1
196508;53.4;1
196509;157.6;1
196510;42;1
196511;64.1;1
196512;62.1;1
196601;55;1
196602;54.4;1
196603;32.6;1
196604;118.4;1
196605;51.1;1
196606;43.5;1
196607;60.3;1
196608;64.9;1
196609;12.2;1
196610;89.4;1
196611;46.6;1
196612;74.3;1
196701;36.5;1
196702;57.7;1
196703;61.6;1
196704;16.1;1
196705;56;1
196706;53;1
196707;63.5;1
196708;93;1
196709;73.3;1
196710;47.5;1
196711;97.3;1
196712;53.2;1
196801;79.7;1
196802;32.8;1
196803;7.6;1
196804;70.6;1
196805;168.5;1
196806;55.3;1
196807;102.1;1
196808;93.9;1
196809;108.2;1
196810;28.5;1
196811;30.8;1
196812;75.3;1
196901;36.2;1
196902;16.3;1
196903;34.6;1
196904;75.2;1
196905;110.1;1
196906;95.6;1
196907;89.1;1
196908;123.4;1
196909;112.8;1
196910;4.8;1
196911;61;1
196912;29;1
197001;31.7;1
197002;86.4;1
197003;23.6;1
197004;60.3;1
197005;37.1;1
197006;80.3;1
197007;46.2;1
197008;29.8;1
197009;23.3;1
197010;83.3;1
197011;23;1
197012;35.6;1
197101;80.7;1
197102;7;1
197103;36;1
197104;51.3;1
197105;77.7;1
197106;53.5;1
197107;85.5;1
197108;137.8;1
197109;44.6;1
197110;11.7;1
197111;73.6;1
197112;6.6;1
197201;56.7;1
197202;79.8;1
197203;17.5;1
197204;55.1;1
197205;61.3;1
197206;49;1
197207;199.4;1
197208;99.6;1
197209;47.7;1
197210;67.4;1
197211;49.5;1
197212;34.7;1
197301;60.7;1
197302;47.5;1
197303;7.5;1
197304;19.1;1
197305;119;1
197306;84.1;1
197307;108.9;1
197308;52.3;1
197309;40.2;1
197310;87;1
197311;26;1
197312;57;1
197401;19;1
197402;53;1
197403;37;1
197404;83;1
197405;84;1
197406;104.1;1
197407;18.7;1
197408;89.8;1
197409;93.8;1
197410;122.7;1
197411;71;1
197412;21.4;1
197501;45.2;1
197502;20;1
197503;39.9;1
197504;30;1
197505;113.9;1
197506;60.5;1
197507;35.1;1
197508;104.5;1
197509;118.5;1
197510;19.1;1
197511;74;1
197512;14.6;1
197601;39.5;1
197602;29.2;1
197603;9.4;1
197604;30.1;1
197605;82.3;1
197606;18.6;1
197607;49.3;1
197608;85.3;1
197609;146.4;1
197610;154.1;1
197611;99.3;1
197612;115.8;1
197701;52.8;1
197702;62.6;1
197703;73.3;1
197704;51;1
197705;141.9;1
197706;110;1
197707;119.6;1
197708;76.5;1
197709;3.5;1
197710;70.6;1
197711;29.8;1
197712;44.2;1
197801;73.1;1
197802;58.6;1
197803;81.6;1
197804;70.1;1
197805;78.2;1
197806;47.9;1
197807;55.9;1
197808;63.4;1
197809;28.7;1
197810;16.2;1
197811;13;1
197812;79.6;1
197901;53.5;1
197902;52.6;1
197903;47.8;1
197904;60.6;1
197905;90;1
197906;69.5;1
197907;12.2;1
197908;106.8;1
197909;41.1;1
197910;179.1;1
197911;22.1;1
197912;107.8;1
198001;58.3;1
198002;60.8;1
198003;75.7;1
198004;49.4;1
198005;66.6;1
198006;28.4;1
198007;55.9;1
198008;68.6;1
198009;85.2;1
198010;78.3;1
198011;101.3;1
198012;67.9;1
198101;104;1
198102;38.4;1
198103;95.6;1
198104;11.1;1
198105;147.5;1
198106;113;1
198107;46.2;1
198108;46.6;1
198109;101.8;1
198110;50.7;1
198111;36.8;1
198112;136;1
198201;111.9;1
198202;13.2;1
198203;79;1
198204;3.8;1
198205;47.5;1
198206;75.9;1
198207;36.2;1
198208;40.6;1
198209;51.1;1
198210;63.8;1
198211;50.7;1
198212;73.6;1
198301;26.1;1
198302;72.8;1
198303;26;1
198304;113;1
198305;146.9;1
198306;85.1;1
198307;20.7;1
198308;135;1
198309;41.4;1
198310;54.5;1
198311;20.1;1
198312;31.9;1
198401;63.8;1
198402;41.6;1
198403;46;1
198404;10.5;1
198405;97.5;1
198406;46.3;1
198407;30.3;1
198408;70.9;1
198409;94.6;1
198410;47.6;1
198411;57;1
198412;65;1
198501;21.7;1
198502;64.1;1
198503;27.9;1
198504;56;1
198505;153.9;1
198506;75;1
198507;16.9;1
198508;24.2;1
198509;3.4;1
198510;28.9;1
