# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 70310001
# NOM_USUEL= LURE
# LATITUDE (°) = 47.688
# LONGITUDE(°)= 6.484
# ALTITUDE (m) = 310
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR170310001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195701 201712
# Date(s) de rupture(s) d'homogénéité : 195912
#     Periode homogénéisée  195701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;68.5;1
195702;145.6;1
195703;49.4;1
195704;21.5;1
195705;47.2;1
195706;134.1;1
195707;151.3;1
195708;68.4;1
195709;124.6;1
195710;25.8;1
195711;33.9;1
195712;57.9;1
195801;119.1;1
195802;168.2;1
195803;64.8;1
195804;41;1
195805;92;1
195806;148.1;1
195807;98.3;1
195808;175.2;1
195809;59.7;1
195810;84.2;1
195811;49.9;1
195812;95.7;1
195901;122;1
195902;10.1;1
195903;100.1;1
195904;120.3;1
195905;25.1;1
195906;86.5;1
195907;55.3;1
195908;43.5;1
195909;8.4;1
195910;62.6;1
195911;54.1;1
195912;104.4;1
196001;92.4;1
196002;98.3;1
196003;47.8;1
196004;52.3;1
196005;48.3;1
196006;114.7;1
196007;113;1
196008;139.7;1
196009;145;1
196010;110;1
196011;120;1
196012;70;1
196101;131.9;1
196102;115.9;1
196103;35.4;1
196104;108;1
196105;91.5;1
196106;72.6;1
196107;112.3;1
196108;83.5;1
196109;37.8;1
196110;84.4;1
196111;77.8;1
196112;152.1;1
196201;138.9;1
196202;72;1
196203;115.1;1
196204;50.5;1
196205;96;1
196206;0;1
196207;26.3;1
196208;52;1
196209;102.1;1
196210;18.3;1
196211;62.5;1
196212;110.3;1
196301;33.9;1
196302;59.4;1
196303;68.4;1
196304;57.5;1
196305;61.4;1
196306;178.4;1
196307;67.3;1
196308;242.5;1
196309;77.8;1
196310;30;1
196311;175.2;1
196312;21.8;1
196401;57.8;1
196402;32.5;1
196403;104.1;1
196404;45.1;1
196405;100.6;1
196406;42.3;1
196407;27.6;1
196408;92.9;1
196409;74;1
196410;72.7;1
196411;105.6;1
196412;46.5;1
196501;120.1;1
196502;22.2;1
196503;135.4;1
196504;109.6;1
196505;130.8;1
196506;65.5;1
196507;104.7;1
196508;58.1;1
196509;176;1
196510;8.7;1
196511;148.9;1
196512;191.5;1
196601;91.3;1
196602;84.2;1
196603;80.5;1
196604;79.6;1
196605;83.6;1
196606;59.7;1
196607;77.8;1
196608;179.7;1
196609;60.9;1
196610;99.2;1
196611;94.2;1
196612;182.1;1
196701;78.1;1
196702;70.3;1
196703;71.5;1
196704;35.9;1
196705;153;1
196706;40.9;1
196707;70.6;1
196708;90.3;1
196709;165.6;1
196710;78.5;1
196711;135.8;1
196712;129.4;1
196801;164;1
196802;105.4;1
196803;41.3;1
196804;83.6;1
196805;75.2;1
196806;51.7;1
196807;67.9;1
