# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 71047001
# NOM_USUEL= BOURBON LANCY
# LATITUDE (°) = 46.644
# LONGITUDE(°)= 3.781
# ALTITUDE (m) = 260
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-05-31
# NUM_SERIE= MRR171047001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 195512 196108
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;47.6;1
195102;65.5;1
195103;53.5;1
195104;46.7;1
195105;130.9;1
195106;122.8;1
195107;45.5;1
195108;92.5;1
195109;60.9;1
195110;34.8;1
195111;116.3;1
195112;48.6;1
195201;96.1;1
195202;74.9;1
195203;94.2;1
195204;31.4;1
195205;54.4;1
195206;69.6;1
195207;12.1;1
195208;91.9;1
195209;116.2;1
195210;168.3;1
195211;101.9;1
195212;112.2;1
195301;9.1;1
195302;24.9;1
195303;3.4;1
195304;65.6;1
195305;34.7;1
195306;106;1
195307;111.2;1
195308;21.2;1
195309;91;1
195310;70.8;1
195311;21.7;1
195312;38.5;1
195401;46.4;1
195402;49.8;1
195403;61.2;1
195404;51.9;1
195405;66.8;1
195406;59;1
195407;39.9;1
195408;164;1
195409;65.2;1
195410;53.9;1
195411;59.6;1
195412;66.4;1
195501;113.9;1
195502;93.8;1
195503;67.9;1
195504;0;1
195505;63.9;1
195506;92.8;1
195507;107.1;1
195508;25.9;1
195509;53.9;1
195510;11.2;1
195511;36.4;1
195512;105.4;1
195601;59.5;1
195602;13.5;1
195603;17.9;1
195604;35.6;1
195605;56.6;1
195606;51.7;1
195607;106.5;1
195608;97.5;1
195609;152.7;1
195610;65.9;1
195611;27.4;1
195612;39;1
195701;32.7;1
195702;73.9;1
195703;38.8;1
195704;27.2;1
195705;45.8;1
195706;98.9;1
195707;85.5;1
195708;61.9;1
195709;42.7;1
195710;44.7;1
195711;31.5;1
195712;104.7;1
195801;88.1;1
195802;68.7;1
195803;77.2;1
195804;46.9;1
195805;126.6;1
195806;109.7;1
195807;55.7;1
195808;101.6;1
195809;113.1;1
195810;78.1;1
195811;72.8;1
195812;105.2;1
195901;84;1
195902;0;1
195903;66.1;1
195904;110.5;1
195905;14.3;1
195906;88.2;1
195907;16.2;1
195908;18.5;1
195909;17.5;1
195910;82.6;1
195911;67.3;1
195912;85.6;1
196001;77.3;1
196002;54.3;1
196003;82.5;1
196004;19.8;1
196005;58;1
196006;70.2;1
196007;105.5;1
196008;144.9;1
196009;83;1
196010;137.1;1
196011;61.3;1
196012;74.1;1
196101;75.6;1
196102;64.2;1
196103;14.3;1
196104;51.8;1
196105;81.2;1
196106;32.8;1
196107;107.1;1
196108;65.9;1
196109;55.9;1
196110;115.9;1
196111;74;1
196112;96.5;1
196201;100.4;1
196202;60.1;1
196203;112.7;1
196204;81;1
196205;93;1
196206;8.2;1
196207;61.3;1
196208;9.1;1
196209;71.1;1
196210;39.4;1
196211;79.5;1
196212;79;1
196301;59.8;1
196302;39.8;1
196303;95.4;1
196304;41.4;1
196305;74.4;1
196306;50.9;1
196307;23.2;1
196308;208.3;1
196309;27.8;1
196310;32.7;1
196311;100.2;1
196312;6.7;1
196401;28.7;1
196402;24.8;1
196403;65.8;1
