# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 71076001
# NOM_USUEL= CHALON-VNF
# LATITUDE (°) = 46.786
# LONGITUDE(°)= 4.868
# ALTITUDE (m) = 178
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR171076001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;39.4;1
195102;56.8;1
195103;48.4;1
195104;40;1
195105;132.3;1
195106;131.9;1
195107;38.2;1
195108;118.9;1
195109;60.9;1
195110;49;1
195111;175.6;1
195112;29.8;1
195201;69.9;1
195202;50.1;1
195203;77.8;1
195204;69.8;1
195205;46.3;1
195206;79.8;1
195207;5.1;1
195208;100.1;1
195209;88.7;1
195210;113.4;1
195211;103.8;1
195212;93.5;1
195301;10.1;1
195302;21.2;1
195303;3.7;1
195304;67.8;1
195305;20;1
195306;183.5;1
195307;123.1;1
195308;24.1;1
195309;74.8;1
195310;55.4;1
195311;21.3;1
195312;26.9;1
195401;36.3;1
195402;40.5;1
195403;44;1
195404;32.4;1
195405;58.4;1
195406;53.2;1
195407;23.2;1
195408;179;1
195409;96.4;1
195410;52.9;1
195411;62.2;1
195412;56.7;1
195501;136.7;1
195502;85.6;1
195503;35.5;1
195504;1.2;1
195505;77.1;1
195506;96.1;1
195507;101.9;1
195508;74.3;1
195509;58.2;1
195510;17;1
195511;32.8;1
195512;81.5;1
195601;75.9;1
195602;9.2;1
195603;48;1
195604;59.4;1
195605;52.2;1
195606;78.6;1
195607;130.3;1
195608;99.3;1
195609;187;1
195610;59.6;1
195611;19.6;1
195612;42.2;1
195701;16.4;1
195702;119.1;1
195703;13.3;1
195704;11.4;1
195705;53.8;1
195706;108.2;1
195707;47.7;1
195708;31.1;1
195709;37.4;1
195710;26.3;1
195711;28.5;1
195712;46.2;1
195801;80.3;1
195802;41.6;1
195803;67.2;1
195804;28.2;1
195805;62.7;1
195806;65.4;1
195807;38.2;1
195808;108.3;1
195809;113.5;1
195810;65.8;1
195811;31.7;1
195812;79.5;1
195901;55.1;1
