# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 75119001
# NOM_USUEL= BUTTES CHAUMONT
# LATITUDE (°) = 48.877
# LONGITUDE(°)= 2.381
# ALTITUDE (m) = 97
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2023-01-31
# NUM_SERIE= MRR175119001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 194701 201612
# Date(s) de rupture(s) d'homogénéité : 197412 198512
#     Periode homogénéisée  194701 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;30.8;1
194702;28.7;1
194703;73.1;1
194704;28.7;1
194705;39.9;1
194706;42.8;1
194707;22.6;1
194708;48.4;1
194709;2.1;1
194710;23.7;1
194711;56.5;1
194712;75.2;1
194801;72.1;1
194802;43.1;1
194803;18.8;1
194804;73;1
194805;54.5;1
194806;71.4;1
194807;54.7;1
194808;91.1;1
194809;47.9;1
194810;14.1;1
194811;47;1
194812;45.8;1
194901;27.3;1
194902;13.8;1
194903;15.6;1
194904;22.9;1
194905;33.8;1
194906;22.2;1
194907;2.6;1
194908;39;1
194909;85.6;1
194910;60.7;1
194911;46;1
194912;26.8;1
195001;23.4;1
195002;65.2;1
195003;15.9;1
195004;59.9;1
195005;64.3;1
195006;18.8;1
195007;88.8;1
195008;47;1
195009;88.7;1
195010;9.1;1
195011;58.9;1
195012;86.5;1
195101;39.4;1
195102;66.7;1
195103;55.4;1
195104;42.4;1
195105;116.7;1
195106;96.8;1
195107;26.2;1
195108;125.6;1
195109;41.2;1
195110;23.3;1
195111;60;1
195112;40.5;1
195201;58.1;1
195202;46;1
195203;82.1;1
195204;8.3;1
195205;68.3;1
195206;40.4;1
195207;19.2;1
195208;74.6;1
195209;98.7;1
195210;63.8;1
195211;89;1
195212;87.6;1
195301;18.9;1
195302;28.6;1
195303;0;1
195304;51.7;1
195305;25.6;1
195306;60.7;1
195307;44.4;1
195308;57.6;1
195309;28.9;1
195310;20.6;1
195311;16.7;1
195312;9.8;1
195401;24.2;1
195402;38.2;1
195403;24.8;1
195404;1.5;1
195405;26.4;1
195406;48.6;1
195407;34.4;1
195408;59.2;1
195409;75.3;1
195410;32.1;1
195411;28.5;1
195412;40.6;1
195501;77.2;1
195502;66.4;1
195503;19.7;1
195504;9;1
