# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 79031001
# NOM_USUEL= BEAUVOIR-SUR-NI
# LATITUDE (°) = 46.175
# LONGITUDE(°)= -0.458
# ALTITUDE (m) = 88
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2016-12-31
# NUM_SERIE= MRR179031001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;13;1
195002;123.9;1
195003;50.2;1
195004;55.4;1
195005;73.9;1
195006;64.2;1
195007;52.5;1
195008;75.3;1
195009;116.1;1
195010;49.2;1
195011;200.7;1
195012;101.2;1
195101;69.3;1
195102;110.3;1
195103;110.5;1
195104;54.2;1
195105;95.7;1
195106;91.5;1
195107;51.6;1
195108;76.3;1
195109;74.2;1
195110;62.7;1
195111;95;1
195112;99.5;1
195201;98.1;1
195202;48.5;1
195203;106.5;1
195204;37.8;1
195205;67.5;1
195206;18.2;1
195207;16.9;1
195208;89.3;1
195209;134.1;1
195210;159.2;1
195211;146.4;1
195212;131.2;1
195301;14.6;1
195302;43.1;1
195303;0;1
195304;51.7;1
195305;10.5;1
195306;57.8;1
195307;91.1;1
195308;23.4;1
195309;84.9;1
195310;91.6;1
195311;28.8;1
195312;4.3;1
195401;60.3;1
195402;68.6;1
195403;117.6;1
195404;14;1
195405;38.4;1
195406;79;1
195407;53.8;1
195408;94.8;1
195409;47.7;1
195410;55.2;1
195411;87;1
195412;81.1;1
195501;197.2;1
195502;154.1;1
195503;41.1;1
195504;1.4;1
195505;51.1;1
195506;101;1
195507;81;1
195508;2;1
195509;13.6;1
195510;44.8;1
195511;27.6;1
195512;141.6;1
195601;102.2;1
195602;4.7;1
195603;23.1;1
195604;47.8;1
195605;46.7;1
195606;41.8;1
195607;50.8;1
195608;108.1;1
195609;77.1;1
195610;51.3;1
195611;26.7;1
195612;44;1
195701;38.5;1
195702;183.7;1
195703;42;1
195704;40.8;1
195705;41.5;1
195706;30.1;1
195707;71.5;1
195708;31.7;1
195709;60.3;1
195710;29.1;1
195711;67.1;1
195712;68.2;1
195801;183;1
195802;53.5;1
195803;86.1;1
195804;63.5;1
195805;121;1
195806;146.4;1
195807;111.6;1
195808;91.6;1
195809;67.7;1
195810;57.7;1
195811;40.3;1
195812;169.8;1
195901;96.6;1
195902;5.3;1
195903;46;1
195904;131.9;1
195905;63.6;1
195906;44.8;1
195907;13.1;1
195908;24.3;1
195909;22.3;1
195910;126.5;1
195911;88.5;1
195912;176.3;1
196001;78.8;1
196002;75.5;1
196003;66.2;1
196004;22.3;1
196005;66.6;1
196006;31;1
196007;68.8;1
196008;80.2;1
196009;102.6;1
196010;170;1
196011;159;1
196012;148.2;1
196101;165;1
196102;43.2;1
196103;2;1
196104;75.4;1
196105;90.5;1
196106;44;1
196107;79;1
196108;10;1
196109;29;1
196110;115;1
196111;141;1
196112;119;1
196201;118;1
196202;27;1
196203;117;1
196204;50;1
196205;57;1
196206;33.2;1
196207;48.7;1
196208;18.1;1
196209;67.3;1
196210;48.9;1
196211;68.6;1
196212;68.2;1
196301;45.9;1
196302;76.1;1
196303;120.9;1
196304;99.2;1
196305;38.7;1
196306;131.5;1
196307;28.7;1
196308;178.1;1
196309;50.6;1
196310;54.6;1
196311;144.3;1
196312;23.9;1
196401;16.9;1
196402;70;1
196403;65.3;1
196404;70.6;1
196405;110;1
196406;36.5;1
196407;14.7;1
196408;14.8;1
196409;70.5;1
196410;103.1;1
196411;38.4;1
196412;45.9;1
196501;129.1;1
196502;21.2;1
196503;102.5;1
196504;42.9;1
196505;30.3;1
196506;36.6;1
