# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 80746001
# NOM_USUEL= TALMAS
# LATITUDE (°) = 50.028
# LONGITUDE(°)= 2.322
# ALTITUDE (m) = 130
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR180746001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 201412
# Date(s) de rupture(s) d'homogénéité : 196510 197301
#     Periode homogénéisée  195501 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;65.1;1
195502;68.4;1
195503;6.9;1
195504;19.8;1
195505;91.5;1
195506;67.2;1
195507;55.6;1
195508;65.2;1
195509;61.3;1
195510;45.9;1
195511;8.9;1
195512;118.6;1
195601;73.2;1
195602;17.1;1
195603;39.6;1
195604;37.7;1
195605;13;1
195606;87.1;1
195607;45.2;1
195608;158.3;1
195609;44.2;1
195610;93.1;1
195611;58.6;1
195612;33.1;1
195701;35.7;1
195702;167;1
195703;45.9;1
195704;17;1
195705;30.8;1
195706;63.3;1
195707;89.3;1
195708;81.4;1
195709;142;1
195710;35.5;1
195711;32.1;1
195712;63.7;1
195801;83;1
195802;126.7;1
195803;41.9;1
195804;51.9;1
195805;78.6;1
195806;141.4;1
195807;68.6;1
195808;84.3;1
195809;105.6;1
195810;80.3;1
195811;60.3;1
195812;108.9;1
195901;115.2;1
195902;2.9;1
195903;60.4;1
195904;77.9;1
195905;26.4;1
195906;14.4;1
195907;23.4;1
195908;39.3;1
195909;5.7;1
195910;71.9;1
195911;58;1
195912;122;1
196001;48.7;1
196002;52.9;1
196003;98.3;1
196004;18.8;1
196005;61.9;1
196006;48.7;1
196007;78.5;1
196008;153.9;1
196009;48.3;1
196010;120.3;1
196011;131.1;1
196012;81.4;1
196101;103;1
196102;84.5;1
196103;15.4;1
196104;72.3;1
196105;38.8;1
196106;32.7;1
196107;101.5;1
196108;28.4;1
196109;74.9;1
196110;95;1
196111;78.6;1
196112;86.2;1
196201;94.3;1
196202;35.1;1
196203;61.3;1
196204;35.8;1
196205;56.9;1
196206;10.4;1
196207;113.8;1
196208;72.9;1
196209;82;1
196210;64.1;1
196211;105.1;1
196212;61.7;1
196301;16.2;1
196302;6.6;1
196303;20.4;1
196304;57.2;1
196305;88.3;1
196306;108.9;1
196307;34.9;1
196308;148;1
196309;55.5;1
196310;76.8;1
196311;156.5;1
196312;14.4;1
196401;38.2;1
196402;45.2;1
196403;86.7;1
196404;52.8;1
196405;22.5;1
196406;94.2;1
196407;48.5;1
196408;34.1;1
196409;67;1
196410;110.8;1
196411;87.6;1
196412;91.3;1
196501;103.1;1
196502;10.4;1
196503;81.4;1
196504;70.3;1
196505;83.3;1
196506;113.9;1
196507;93.1;1
196508;60.9;1
196509;99.7;1
196510;31.3;1
196511;83.2;1
196512;175.3;1
196601;40.9;1
196602;77.3;1
196603;31.2;1
196604;69.3;1
196605;57.1;1
196606;66.9;1
196607;100.8;1
196608;97.8;1
196609;29.4;1
196610;113.4;1
196611;135.7;1
196612;194.9;1
196701;50.5;1
196702;59.7;1
196703;53.2;1
196704;17.8;1
196705;118;1
196706;47.4;1
196707;27.9;1
196708;64.3;1
196709;81.4;1
196710;105;1
196711;94.3;1
196712;126.9;1
196801;96.1;1
196802;69.4;1
196803;55.3;1
196804;32.9;1
196805;38;1
196806;80.3;1
196807;113.6;1
196808;60.4;1
196809;103.1;1
196810;50.3;1
196811;44.6;1
196812;55.9;1
196901;33.3;1
196902;63.2;1
196903;72.5;1
196904;51.9;1
196905;88.1;1
196906;109.4;1
196907;112;1
196908;66.6;1
196909;11;1
196910;7.9;1
196911;89;1
196912;65.7;1
197001;69.8;1
197002;147.8;1
197003;75.2;1
197004;101;1
