# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 86167001
# NOM_USUEL= MONTS-SUR-GUESN
# LATITUDE (°) = 46.916
# LONGITUDE(°)= 0.206
# ALTITUDE (m) = 124
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR186167001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : 195207 197108
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;16.9;1
195002;69.4;1
195003;23.3;1
195004;53.1;1
195005;98;1
195006;47.3;1
195007;51;1
195008;59.4;1
195009;61.2;1
195010;33.5;1
195011;122.4;1
195012;85.6;1
195101;41.9;1
195102;45.6;1
195103;76.1;1
195104;47;1
195105;108.6;1
195106;83.2;1
195107;35;1
195108;55.4;1
195109;30.1;1
195110;35.9;1
195111;51.6;1
195112;52.2;1
195201;53.4;1
195202;34;1
195203;87.4;1
195204;34;1
195205;36.9;1
195206;11.7;1
195207;8.7;1
195208;75.1;1
195209;109.7;1
195210;114.7;1
195211;111.2;1
195212;93.3;1
195301;15.2;1
195302;28.4;1
195303;5.8;1
195304;60.3;1
195305;12.3;1
195306;39.3;1
195307;36.4;1
195308;15.6;1
195309;73;1
195310;73.3;1
195311;32.8;1
195312;11.1;1
195401;41.6;1
195402;51.5;1
195403;83.1;1
195404;23.4;1
195405;27.1;1
195406;42.5;1
195407;21.1;1
195408;59;1
195409;39.8;1
195410;41.8;1
195411;35.4;1
195412;54.8;1
195501;105.4;1
195502;93.7;1
195503;25.5;1
195504;0;1
195505;28.9;1
195506;76.5;1
195507;25.5;1
195508;6.2;1
195509;21.4;1
195510;51.8;1
195511;20;1
195512;94.1;1
195601;92.6;1
195602;7;1
195603;10.4;1
195604;70.4;1
195605;8.8;1
195606;5.8;1
195607;72.4;1
195608;74.3;1
195609;30.1;1
195610;31.8;1
195611;22;1
195612;30.8;1
195701;17.9;1
195702;88.2;1
195703;22.8;1
195704;50.6;1
195705;51.2;1
195706;57.7;1
195707;76.2;1
195708;28.4;1
195709;44.6;1
195710;21.7;1
195711;60.6;1
195712;32.3;1
195801;108.5;1
195802;59.2;1
195803;57.8;1
195804;44.6;1
195805;112.1;1
195806;111.2;1
195807;92.5;1
195808;63.9;1
195809;38.6;1
195810;44.7;1
195811;38.9;1
195812;98.3;1
195901;52.5;1
195902;2.2;1
195903;29.7;1
195904;92.8;1
195905;43.1;1
195906;54;1
195907;1.6;1
195908;29.1;1
195909;9.1;1
195910;72.8;1
195911;48.2;1
195912;71.1;1
196001;43.9;1
196002;46.8;1
196003;31.4;1
196004;11.6;1
196005;55.7;1
196006;45.6;1
196007;55;1
196008;62.3;1
196009;69.3;1
196010;136.1;1
196011;76.5;1
196012;107.7;1
196101;96.7;1
196102;22.4;1
196103;5.9;1
196104;40.2;1
196105;49;1
196106;47.1;1
196107;60;1
196108;0;1
196109;33.7;1
196110;85.1;1
196111;100.9;1
196112;75.4;1
196201;74.3;1
196202;35.8;1
196203;99.9;1
196204;44.4;1
196205;57.1;1
196206;21.1;1
196207;28.1;1
196208;16.6;1
196209;61.4;1
196210;35;1
196211;74.9;1
196212;35.3;1
196301;36.3;1
196302;44.6;1
196303;63.6;1
196304;69.2;1
196305;28.8;1
196306;102.2;1
196307;23.8;1
196308;178.8;1
196309;51.6;1
196310;35.9;1
196311;87.2;1
196312;15.4;1
196401;17.1;1
196402;57.7;1
196403;64.1;1
196404;66;1
196405;80;1
196406;36.6;1
196407;6.8;1
196408;6.8;1
196409;27.8;1
196410;49;1
196411;47.9;1
196412;40.4;1
196501;93.6;1
196502;4.5;1
196503;53.4;1
196504;47.8;1
196505;50.2;1
196506;32.9;1
196507;70.1;1
196508;146.6;1
196509;126.3;1
196510;27.7;1
196511;99.8;1
196512;90.5;1
196601;62;1
196602;99.3;1
196603;21.4;1
196604;78.9;1
196605;41.6;1
196606;74.8;1
196607;64.8;1
196608;85.4;1
196609;27.8;1
196610;125.7;1
196611;107.9;1
196612;59;1
196701;30.6;1
196702;29.8;1
196703;74.9;1
196704;27.1;1
196705;66.1;1
196706;14.3;1
196707;34.8;1
196708;39.4;1
196709;73.3;1
196710;71.4;1
196711;59.3;1
196712;57;1
196801;53.6;1
196802;41.5;1
196803;45.7;1
196804;87.2;1
196805;39.2;1
196806;73.1;1
196807;67.4;1
196808;158.1;1
196809;89.8;1
196810;59.6;1
196811;18.9;1
196812;56.2;1
196901;55.3;1
196902;30.9;1
196903;57.1;1
196904;41.7;1
196905;65.6;1
196906;35.2;1
196907;38.3;1
196908;44.8;1
196909;93.2;1
196910;11.4;1
196911;125.4;1
196912;54.8;1
197001;63.1;1
197002;97.5;1
197003;55.8;1
197004;44;1
197005;35.6;1
197006;89.2;1
197007;19.5;1
197008;52.9;1
197009;24.6;1
197010;57;1
197011;79;1
197012;9.4;1
197101;35.7;1
197102;47.7;1
197103;28.7;1
197104;50.2;1
197105;212.8;1
197106;59.8;1
197107;52.8;1
197108;96.4;1
197109;70.3;1
197110;6.9;1
197111;57.1;1
197112;15.8;1
197201;78.4;1
197202;73.2;1
197203;32.6;1
197204;19.2;1
197205;37.1;1
197206;33;1
197207;7.4;1
197208;39.4;1
197209;15.7;1
197210;20.3;1
