# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 87041001
# NOM_USUEL= CHATEAUPONSAC
# LATITUDE (°) = 46.138
# LONGITUDE(°)= 1.265
# ALTITUDE (m) = 282
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MRR187041001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 196101 202112
# Date(s) de rupture(s) d'homogénéité : 196901 199711 200812
#     Periode homogénéisée  196101 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;117;1
196102;53.5;1
196103;9;1
196104;65;1
196105;117.9;1
196106;55.2;1
196107;97;1
196108;34.5;1
196109;90.1;1
196110;79.6;1
196111;103.3;1
196112;127.6;1
196201;137.9;1
196202;60.6;1
196203;145.3;1
196204;75.8;1
196205;126.3;1
196206;16.8;1
196207;44.3;1
196208;17.7;1
196209;35.7;1
196210;50;1
196211;194.5;1
196212;102.1;1
196301;42.7;1
196302;102.4;1
196303;137.9;1
196304;89.4;1
196305;83.1;1
196306;140.4;1
196307;35.9;1
196308;189.7;1
196309;40.6;1
196310;42.3;1
196311;102.6;1
196312;44.9;1
196401;30.1;1
196402;91.9;1
196403;93.3;1
196404;129.2;1
196405;83.3;1
196406;51.1;1
196407;19;1
196408;64.2;1
196409;88.9;1
196410;100.7;1
196411;69.6;1
196412;55.3;1
196501;117.2;1
196502;10.6;1
196503;83.6;1
196504;83;1
196505;91.1;1
196506;39.8;1
196507;84.8;1
196508;111.5;1
196509;264.4;1
196510;11.5;1
196511;126.6;1
196512;187.7;1
196601;100;1
196602;142.3;1
196603;55.5;1
196604;82.3;1
196605;66.9;1
196606;75.4;1
196607;61.7;1
196608;57.2;1
196609;11.6;1
196610;154.7;1
196611;89.8;1
196612;134.9;1
196701;41.4;1
196702;84.2;1
196703;59.4;1
196704;10.8;1
196705;139.1;1
196706;37.9;1
196707;4.2;1
196708;30.7;1
196709;67.2;1
196710;99.1;1
196711;70.6;1
196712;93.1;1
196801;105.5;1
196802;100;1
196803;50.5;1
196804;106.1;1
196805;85.8;1
196806;75.7;1
196807;81;1
196808;126.6;1
196809;110.4;1
196810;42.5;1
196811;39.3;1
196812;140.4;1
196901;48.2;1
196902;57.1;1
196903;68.5;1
196904;80.6;1
196905;122;1
196906;129.1;1
196907;23.4;1
196908;75.4;1
196909;122.1;1
196910;4.3;1
196911;193.4;1
196912;122.1;1
197001;102.3;1
197002;158.1;1
197003;82.4;1
197004;88.6;1
197005;20.3;1
197006;120.9;1
197007;26.5;1
197008;77.6;1
197009;31.6;1
197010;40;1
197011;119.7;1
197012;22.8;1
197101;120.2;1
197102;65.3;1
197103;58.9;1
197104;50.3;1
197105;171.6;1
197106;71.3;1
197107;41.3;1
197108;132.9;1
197109;50.2;1
197110;23.6;1
197111;71.6;1
197112;9;1
197201;67.1;1
197202;88.9;1
197203;60.8;1
197204;55;1
197205;39.8;1
197206;44.6;1
197207;33.9;1
197208;113.3;1
197209;18.7;1
197210;37.3;1
197211;135.2;1
197212;34.9;1
197301;85.6;1
197302;75.6;1
197303;15.6;1
197304;33.5;1
197305;93.6;1
197306;64.3;1
197307;107.5;1
197308;56.5;1
197309;58.1;1
197310;88.6;1
197311;87;1
197312;108;1
197401;68.3;1
197402;76.3;1
197403;125.2;1
197404;53;1
197405;44;1
197406;89.6;1
197407;36.4;1
197408;87.1;1
197409;137;1
197410;152.7;1
197411;150.8;1
197412;46.6;1
197501;109.2;1
197502;12.6;1
197503;85.7;1
197504;92.2;1
197505;91.7;1
197506;55.9;1
197507;36.7;1
197508;65.5;1
197509;191.2;1
197510;17.3;1
197511;143.6;1
197512;49.8;1
197601;27;1
197602;65.5;1
197603;40;1
197604;54.1;1
197605;64.2;1
197606;0;1
197607;86;1
197608;40.6;1
197609;118.7;1
197610;120.3;1
197611;153.8;1
197612;115.6;1
197701;88.5;1
197702;192.8;1
197703;93.1;1
197704;74.8;1
197705;144;1
197706;122.6;1
197707;118.3;1
197708;59;1
197709;8.6;1
197710;91.5;1
197711;77.2;1
197712;91.3;1
197801;136.3;1
197802;95.2;1
197803;179.3;1
197804;110.7;1
197805;108.2;1
197806;47.2;1
197807;84.6;1
197808;8;1
197809;63.8;1
197810;14.3;1
197811;16.9;1
197812;143.4;1
197901;90.9;1
197902;111.5;1
197903;212.9;1
197904;124.2;1
197905;96.5;1
197906;73.5;1
197907;68.9;1
197908;43.9;1
197909;19.8;1
197910;84.9;1
197911;70.3;1
197912;185;1
198001;110.2;1
198002;78.1;1
198003;103.6;1
198004;12.6;1
198005;79.7;1
198006;60.3;1
198007;71.3;1
198008;39.4;1
198009;56.8;1
198010;116.3;1
198011;41.9;1
198012;80.4;1
198101;132.9;1
198102;44.1;1
198103;124.6;1
198104;17.7;1
198105;191.8;1
198106;105.5;1
198107;58.4;1
198108;40.3;1
198109;96.5;1
198110;144.8;1
198111;29.8;1
198112;201.1;1
198201;116.8;1
198202;38.2;1
198203;87.7;1
198204;15.3;1
198205;37.2;1
198206;57.7;1
198207;103.8;1
198208;45.3;1
198209;65.3;1
198210;142.6;1
198211;79.4;1
198212;210;1
198301;45.8;1
198302;87.6;1
198303;64.8;1
198304;155.8;1
198305;124.4;1
198306;37.7;1
198307;36;1
198308;98.9;1
198309;84.5;1
198310;56;1
198311;64.8;1
198312;91.3;1
198401;167.7;1
198402;71.9;1
198403;63.1;1
198404;11;1
198405;117.6;1
198406;74.1;1
198407;34.5;1
198408;182.9;1
198409;125.4;1
198410;98.9;1
198411;177.7;1
198412;63;1
198501;71.2;1
198502;70;1
198503;73.6;1
198504;82.7;1
198505;190;1
198506;132.1;1
198507;29.5;1
198508;46.8;1
198509;7.2;1
198510;6.7;1
198511;64.1;1
198512;70.2;1
198601;154.3;1
198602;72.5;1
198603;82.8;1
198604;174.2;1
198605;93.7;1
198606;29.4;1
198607;31.2;1
198608;48.9;1
198609;115;1
198610;70.1;1
198611;81.3;1
198612;104.6;1
198701;44;1
198702;54.4;1
198703;62.8;1
198704;32.5;1
198705;85.9;1
198706;130;1
198707;109;1
198708;37.5;1
198709;77.5;1
198710;171.8;1
198711;114;1
198712;39.8;1
198801;181;1
198802;123.3;1
198803;133.7;1
198804;59;1
198805;108.6;1
198806;215.2;1
198807;47.7;1
198808;13.5;1
198809;46;1
198810;64.8;1
198811;29.2;1
198812;43.8;1
198901;23.1;1
198902;110.1;1
198903;67;1
198904;126.7;1
198905;67.9;1
198906;32.6;1
198907;94.1;1
198908;20.3;1
198909;20.4;1
198910;22.7;1
198911;50.4;1
198912;52.2;1
199001;51.6;1
199002;174.1;1
199003;12.8;1
199004;84;1
199005;119.7;1
199006;63.5;1
199007;25.9;1
199008;43;1
199009;41;1
199010;125.3;1
199011;103.5;1
199012;73.2;1
199101;78.1;1
199102;67;1
199103;55.3;1
199104;50.4;1
199105;42.1;1
199106;62;1
199107;108.4;1
199108;22.7;1
199109;53.8;1
199110;87.5;1
199111;112.9;1
199112;30.9;1
199201;27.5;1
199202;34.2;1
199203;61.2;1
