# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 88304005
# NOM_USUEL= MIRECOURT
# LATITUDE (°) = 48.312
# LONGITUDE(°)= 6.135
# ALTITUDE (m) = 265
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2017-09-30
# NUM_SERIE= MRR188304005
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : 195901
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;36.2;1
195002;105.4;1
195003;10.3;1
195004;115.3;1
195005;50.8;1
195006;91.8;1
195007;85.6;1
195008;78.5;1
195009;62.7;1
195010;16.6;1
195011;116.5;1
195012;75.2;1
195101;54.4;1
195102;73.9;1
195103;76.3;1
195104;57.3;1
195105;96.6;1
195106;114.9;1
195107;26.6;1
195108;53;1
195109;37.1;1
195110;22.6;1
195111;120.2;1
195112;43.8;1
195201;100.1;1
195202;42.8;1
195203;110.8;1
195204;32.8;1
195205;41.9;1
195206;54.6;1
195207;20.7;1
195208;101.1;1
195209;110.9;1
195210;110.5;1
195211;147.4;1
195212;102.2;1
195301;13.3;1
195302;53.1;1
195303;5.1;1
195304;41.8;1
195305;34.9;1
195306;189.6;1
195307;152.5;1
195308;14.1;1
195309;58.5;1
195310;24.6;1
195311;12.6;1
195312;17.7;1
195401;48.1;1
195402;41;1
195403;27.5;1
195404;39.5;1
195405;47.4;1
195406;30.3;1
195407;41.4;1
195408;136.9;1
195409;101.1;1
195410;60.7;1
195411;52.1;1
195412;98.6;1
195501;156.6;1
195502;98.1;1
195503;37.8;1
195504;8.5;1
195505;72.3;1
195506;89.2;1
195507;112.1;1
195508;40.6;1
195509;48.8;1
195510;44.8;1
195511;12.5;1
195512;98.2;1
195601;80.3;1
195602;13.6;1
195603;34.6;1
195604;61.2;1
195605;29.4;1
195606;77.2;1
195607;100.6;1
195608;118.8;1
195609;64.2;1
195610;68.4;1
195611;46.7;1
195612;26.8;1
195701;36.1;1
195702;108.7;1
195703;49.6;1
195704;18.6;1
195705;17.3;1
195706;151.6;1
195707;72.2;1
195708;51.6;1
195709;67.7;1
195710;36.1;1
195711;35.7;1
195712;45.8;1
195801;105;1
195802;156.9;1
195803;21.1;1
195804;39.9;1
195805;122.6;1
195806;84.2;1
195807;34;1
195808;86.8;1
195809;68;1
195810;56;1
195811;66.9;1
195812;121.3;1
195901;137.7;1
195902;3.7;1
195903;66;1
195904;88.9;1
195905;47.1;1
195906;106.4;1
195907;23.7;1
195908;50;1
195909;19.8;1
195910;44.7;1
195911;54.7;1
195912;101.6;1
196001;63.8;1
196002;105.9;1
196003;34.6;1
196004;24.1;1
196005;49.5;1
196006;99.5;1
196007;91.5;1
196008;159.3;1
196009;64.7;1
196010;92.8;1
196011;76.7;1
196012;66.3;1
196101;94;1
196102;63.4;1
196103;12.3;1
196104;93.7;1
196105;62;1
196106;57.1;1
196107;75.4;1
196108;50.1;1
196109;23.3;1
196110;99.2;1
196111;71.7;1
196112;100.2;1
196201;96.5;1
196202;74.5;1
196203;122.8;1
196204;76.1;1
196205;100.9;1
196206;2.1;1
196207;27.1;1
196208;35.4;1
196209;66.1;1
196210;23.5;1
196211;27.2;1
196212;70.4;1
196301;33.8;1
196302;26.5;1
196303;48.7;1
196304;47.6;1
