# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 89120001
# NOM_USUEL= COULOURS
# LATITUDE (°) = 48.162
# LONGITUDE(°)= 3.611
# ALTITUDE (m) = 228
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-06-01
# NUM_SERIE= MRR189120001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;58.5;1
195102;70.5;1
195103;83.3;1
195104;52.2;1
195105;119.2;1
195106;218.6;1
195107;58.8;1
195108;73.3;1
195109;74.9;1
195110;28.1;1
195111;97.5;1
195112;51.8;1
195201;105;1
195202;67.7;1
195203;99.2;1
195204;10.9;1
195205;109.8;1
195206;48.9;1
195207;18.9;1
195208;68;1
195209;109.3;1
195210;106.8;1
195211;131.4;1
195212;121.7;1
195301;18;1
195302;60.4;1
195303;2.2;1
195304;63.6;1
195305;58.5;1
195306;106.6;1
195307;88.3;1
195308;30.7;1
195309;32.8;1
195310;36.4;1
195311;26.5;1
195312;16.8;1
195401;48.6;1
195402;55.5;1
195403;59.9;1
195404;11.2;1
195405;43.3;1
195406;48.4;1
195407;44;1
195408;151;1
195409;66.4;1
195410;40;1
195411;56.1;1
195412;89.8;1
195501;162.2;1
195502;107;1
195503;33.6;1
195504;8.1;1
195505;61.7;1
195506;113.6;1
195507;39.1;1
195508;9.5;1
195509;49.5;1
195510;51.9;1
195511;37.6;1
195512;102.5;1
195601;83.7;1
195602;22.1;1
195603;19.9;1
195604;85.6;1
195605;57.9;1
195606;69.1;1
195607;46.2;1
195608;62.3;1
195609;65.5;1
195610;64.5;1
195611;76;1
195612;36.8;1
195701;30.2;1
195702;117.7;1
195703;25.6;1
195704;17.2;1
195705;31.2;1
195706;105.8;1
195707;92.1;1
195708;63.9;1
195709;83.4;1
195710;45.3;1
195711;36.5;1
195712;42.6;1
195801;110.1;1
195802;142.7;1
195803;51.5;1
195804;41.9;1
195805;191.8;1
195806;106;1
195807;133.5;1
195808;93;1
195809;76.3;1
195810;73;1
195811;55.3;1
195812;127.4;1
195901;114.1;1
195902;1.2;1
195903;68.4;1
195904;70.6;1
195905;15.1;1
195906;37.3;1
195907;9.6;1
195908;24.5;1
195909;19;1
195910;76.7;1
195911;59.3;1
195912;74.8;1
196001;47.7;1
196002;57.8;1
196003;48.9;1
196004;17.9;1
196005;33.5;1
196006;66.1;1
196007;129.6;1
196008;87.4;1
196009;62.8;1
196010;170.7;1
196011;77.7;1
196012;63.4;1
196101;121.5;1
196102;59.8;1
196103;7.9;1
196104;73.2;1
196105;44.2;1
196106;71.8;1
196107;57.2;1
196108;7.1;1
196109;30.5;1
196110;78.1;1
196111;67.3;1
196112;91.7;1
196201;96.5;1
196202;52.4;1
196203;72.1;1
196204;63.3;1
196205;96.3;1
196206;5.8;1
196207;27.1;1
196208;29.6;1
196209;40;1
196210;26;1
196211;61.6;1
196212;80.3;1
196301;22.5;1
196302;25.4;1
196303;86.9;1
196304;19.9;1
196305;102.3;1
196306;99.6;1
196307;16.2;1
196308;134.7;1
196309;24.7;1
196310;18.8;1
196311;92.1;1
196312;3.3;1
196401;26.9;1
196402;34.3;1
196403;76.9;1
196404;42.9;1
196405;47.7;1
196406;34.9;1
196407;29.2;1
196408;17.7;1
196409;62.3;1
196410;56.5;1
196411;35.5;1
196412;50.2;1
196501;106;1
196502;6.2;1
196503;103.5;1
196504;85.7;1
196505;74;1
196506;59;1
196507;57.2;1
196508;55.3;1
196509;130.9;1
196510;26.9;1
196511;122.9;1
196512;125.5;1
196601;81.5;1
196602;94.9;1
196603;35.7;1
196604;54.6;1
196605;48;1
196606;48.9;1
196607;77;1
196608;58.4;1
196609;25.9;1
196610;61.2;1
196611;62.4;1
196612;111.8;1
196701;18.3;1
196702;44.2;1
196703;33.7;1
196704;23.6;1
196705;57.6;1
196706;46.1;1
196707;14;1
196708;90.5;1
196709;129.4;1
196710;105.5;1
196711;68.7;1
196712;87.7;1
196801;88.4;1
196802;45.4;1
196803;35.4;1
196804;33.8;1
196805;113;1
196806;56.2;1
196807;107.4;1
196808;64.7;1
196809;57.7;1
196810;48.3;1
196811;42.7;1
196812;67.6;1
196901;42.6;1
196902;38.6;1
196903;54;1
196904;48.6;1
196905;111.8;1
196906;70.7;1
196907;32.4;1
196908;54.9;1
196909;27.5;1
196910;1.4;1
196911;115.9;1
196912;62.9;1
197001;66.1;1
197002;162.7;1
197003;82.6;1
197004;73.6;1
197005;14.9;1
197006;88.8;1
197007;77.3;1
197008;59.4;1
197009;34.1;1
197010;32.4;1
197011;75.7;1
197012;53.4;1
197101;67.5;1
197102;27;1
197103;37;1
197104;24.2;1
197105;84.7;1
197106;126.5;1
197107;55.9;1
197108;160.6;1
197109;18.5;1
197110;20.6;1
197111;93.4;1
197112;8;1
197201;60;1
197202;43.4;1
197203;43.8;1
197204;49.3;1
197205;58.8;1
197206;61.7;1
197207;102;1
197208;76.5;1
197209;24.6;1
197210;44.8;1
197211;97;1
197212;27.7;1
197301;43.2;1
197302;57.5;1
197303;12;1
197304;38.9;1
197305;101.8;1
197306;30.1;1
197307;48;1
197308;32.4;1
197309;56.9;1
197310;39.6;1
197311;63.1;1
197312;82.2;1
197401;45.8;1
197402;41.6;1
197403;74.2;1
197404;29.1;1
197405;28.8;1
197406;53.5;1
197407;31.1;1
197408;67.7;1
197409;100.9;1
197410;138.5;1
197411;65.1;1
197412;67.9;1
197501;67.7;1
197502;13.8;1
197503;72;1
197504;63.3;1
197505;42.5;1
197506;34.4;1
197507;44.9;1
197508;71.7;1
197509;72.6;1
197510;35.5;1
197511;86.8;1
197512;38.4;1
197601;29.9;1
197602;45.4;1
197603;27.8;1
197604;30.9;1
197605;15.3;1
197606;1.7;1
197607;41.5;1
197608;6.7;1
197609;97.6;1
197610;77.3;1
197611;72.2;1
197612;63.6;1
197701;68.5;1
197702;119.1;1
197703;52.2;1
197704;33.7;1
197705;88.1;1
197706;70;1
197707;86.1;1
197708;129.9;1
197709;18.3;1
197710;45.4;1
197711;83.3;1
197712;62.8;1
197801;92.1;1
197802;91;1
197803;152.9;1
197804;39.8;1
197805;52;1
197806;64.2;1
197807;61.4;1
197808;15.6;1
197809;28.1;1
197810;19.5;1
197811;15;1
197812;104.9;1
197901;45.1;1
197902;93.6;1
197903;131.7;1
197904;67.6;1
197905;69.6;1
197906;29.7;1
197907;12.1;1
197908;79.9;1
197909;41.3;1
197910;111.3;1
197911;68.1;1
197912;91.6;1
198001;67.3;1
198002;84.1;1
198003;78.5;1
198004;15.9;1
198005;85.3;1
198006;71.3;1
198007;79;1
198008;47;1
198009;14.4;1
198010;72.7;1
198011;51.8;1
198012;86.5;1
198101;95.2;1
198102;37.9;1
198103;84.9;1
198104;20;1
198105;97.9;1
198106;152.8;1
198107;94.2;1
198108;42.2;1
198109;65.8;1
198110;159.1;1
198111;37.1;1
198112;130;1
198201;106;1
198202;24.8;1
198203;79.9;1
198204;9.3;1
198205;43.9;1
198206;51;1
198207;30.8;1
198208;25.2;1
198209;60.3;1
198210;123.2;1
198211;67.1;1
198212;146.4;1
198301;69.1;1
198302;54.9;1
198303;53.8;1
198304;123.6;1
198305;120.6;1
198306;38.1;1
198307;39.4;1
198308;27.8;1
198309;70.4;1
198310;32.4;1
198311;34.5;1
198312;39.5;1
198401;136.4;1
198402;57.4;1
198403;35;1
198404;22.6;1
198405;97.5;1
198406;79.1;1
198407;38.4;1
198408;32;1
198409;175.9;1
198410;95.1;1
198411;85.7;1
198412;46.9;1
198501;35.6;1
198502;12.2;1
198503;52;1
198504;65;1
198505;105.5;1
198506;55;1
198507;31.5;1
198508;35.3;1
198509;16.7;1
198510;6.1;1
198511;55.8;1
198512;48.8;1
198601;73.9;1
198602;38.8;1
198603;79;1
198604;99.6;1
198605;66.7;1
198606;36.5;1
198607;34.2;1
198608;72.6;1
198609;66;1
198610;77.3;1
198611;40;1
198612;87;1
198701;30.2;1
198702;60.9;1
198703;52.9;1
198704;25.5;1
198705;70;1
198706;153.3;1
198707;103.8;1
198708;64.9;1
198709;31.3;1
198710;125.6;1
198711;85;1
198712;45.7;1
198801;129.1;1
198802;88.3;1
198803;87.8;1
198804;22.5;1
198805;175.2;1
198806;56;1
198807;67.6;1
198808;27.9;1
198809;54.7;1
198810;82.6;1
198811;42.3;1
198812;73.8;1
198901;31.8;1
198902;57.4;1
198903;52.8;1
198904;104.5;1
198905;25.3;1
198906;55.7;1
198907;46.1;1
198908;54.2;1
198909;37.9;1
198910;51.2;1
198911;26.6;1
198912;83.6;1
199001;43.9;1
199002;72.6;1
199003;11.8;1
199004;46;1
199005;17.7;1
199006;76.6;1
199007;29.2;1
199008;58.8;1
199009;41.7;1
199010;97.6;1
199011;75.5;1
199012;82.3;1
199101;56.4;1
199102;22.3;1
199103;51.8;1
199104;44.3;1
199105;19.3;1
199106;77.4;1
199107;39.6;1
199108;32;1
199109;50.9;1
199110;49.2;1
199111;90.8;1
199112;31.2;1
199201;6.6;1
199202;37;1
199203;61.2;1
199204;29.4;1
199205;37.2;1
199206;85.8;1
199207;72.4;1
199208;88.6;1
199209;46.4;1
199210;81.6;1
199211;107.6;1
199212;47.4;1
199301;65.6;1
199302;14.2;1
199303;12.6;1
199304;90.2;1
199305;47.4;1
199306;54;1
199307;48.8;1
199308;31.2;1
199309;150.8;1
199310;89.4;1
199311;19.4;1
199312;102.8;1
199401;95;1
199402;77.6;1
199403;65.6;1
199404;90.6;1
199405;84;1
199406;58.8;1
199407;84.8;1
199408;42.4;1
199409;90.2;1
199410;79.8;1
199411;60.4;1
199412;83;1
199501;135.4;1
199502;86;1
199503;117.8;1
199504;85.6;1
199505;88.2;1
199506;37.4;1
199507;39.8;1
199508;29.4;1
199509;89.4;1
199510;73.8;1
199511;34.8;1
199512;46.4;1
199601;57.8;1
199602;65.2;1
199603;10.8;1
199604;9.6;1
199605;63.4;1
199606;19;1
199607;41.2;1
199608;118.2;1
199609;33.2;1
199610;80.2;1
199611;171.2;1
199612;53;1
199701;11.4;1
199702;115.8;1
199703;12.8;1
199704;22.8;1
199705;70.2;1
199706;99.8;1
199707;24.8;1
199708;103.4;1
199709;36.8;1
199710;57.6;1
199711;79;1
199712;75.2;1
199801;69.6;1
199802;16.2;1
199803;32.8;1
199804;143.8;1
199805;23.8;1
199806;79;1
199807;25.4;1
199808;27.6;1
199809;108;1
199810;179;1
199811;35.6;1
199812;59;1
199901;63.2;1
199902;83.6;1
199903;69;1
199904;86;1
199905;91.4;1
199906;61;1
199907;92.8;1
199908;60.8;1
199909;150.6;1
199910;40.2;1
199911;52.8;1
199912;173.2;1
200001;35.4;1
200002;100;1
200003;52.8;1
200004;110.6;1
200005;69;1
200006;54.8;1
200007;134.5;1
200008;39.2;1
200009;50.6;1
200010;119.4;1
200011;119.6;1
200012;70.8;1
200101;71.6;1
200102;51;1
200103;122.6;1
200104;123;1
200105;63.6;1
200106;45.6;1
200107;189.2;1
200108;61.2;1
200109;105.8;1
200110;80.6;1
200111;82;1
200112;60.2;1
200201;29.2;1
200202;97;1
200203;49.8;1
200204;12.4;1
