# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 92025001
# NOM_USUEL= COLOMBES
# LATITUDE (°) = 48.925
# LONGITUDE(°)= 2.255
# ALTITUDE (m) = 29
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR192025001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201612
# Date(s) de rupture(s) d'homogénéité : 195412 196012 199312
#     Periode homogénéisée  194701 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;37.3;1
194702;42.3;1
194703;62.6;1
194704;26.5;1
194705;51.6;1
194706;54.3;1
194707;42.1;1
194708;40.1;1
194709;11.2;1
194710;28.7;1
194711;46;1
194712;59.9;1
194801;58.9;1
194802;35.3;1
194803;23.3;1
194804;89.3;1
194805;41.4;1
194806;92.1;1
194807;50;1
194808;95.3;1
194809;42;1
194810;13.6;1
194811;48.7;1
194812;48.6;1
194901;20.4;1
194902;14.1;1
194903;15.1;1
194904;19.6;1
194905;33.3;1
194906;20.8;1
194907;11.1;1
194908;25.9;1
194909;45.6;1
194910;53.1;1
194911;48.5;1
194912;26.6;1
195001;24.5;1
195002;66.5;1
195003;19.9;1
195004;77.9;1
195005;61.4;1
195006;46.3;1
195007;67;1
195008;56.9;1
195009;94.3;1
195010;13.2;1
195011;67.4;1
195012;67.4;1
195101;42.1;1
195102;59.2;1
195103;53.2;1
195104;23;1
195105;108.2;1
195106;87.3;1
195107;43.1;1
195108;96.2;1
195109;34.7;1
195110;19.5;1
195111;79.4;1
195112;47.7;1
195201;54.2;1
195202;36.2;1
195203;64.9;1
195204;2.8;1
195205;36.8;1
195206;43.1;1
195207;20.2;1
195208;70.6;1
195209;85.8;1
195210;62.7;1
195211;82.4;1
195212;71.4;1
195301;13;1
195302;18.9;1
195303;0.1;1
195304;43.2;1
195305;37.6;1
195306;43.7;1
195307;50.2;1
195308;33.4;1
195309;50.1;1
195310;21.9;1
195311;20.6;1
195312;9.1;1
195401;18.7;1
195402;39.3;1
195403;54.1;1
195404;1;1
195405;28;1
195406;61.6;1
195407;29.4;1
195408;60.7;1
195409;82.5;1
195410;26.5;1
195411;29.8;1
195412;33.5;1
195501;71.4;1
195502;61.6;1
195503;23.6;1
195504;6;1
195505;55.1;1
195506;37.6;1
195507;133.9;1
195508;15.4;1
195509;33.2;1
195510;49;1
195511;25.6;1
195512;63.4;1
195601;53.9;1
195602;8.1;1
195603;7.8;1
195604;46.5;1
195605;23.5;1
195606;21.8;1
195607;39.1;1
195608;105.7;1
195609;33.3;1
195610;38.2;1
195611;45.7;1
195612;30.2;1
195701;20.6;1
195702;64.5;1
195703;16.9;1
195704;11.4;1
195705;25.6;1
195706;99.9;1
195707;84.9;1
195708;38.4;1
195709;87.2;1
195710;21.6;1
195711;27.8;1
195712;31.4;1
195801;62.8;1
195802;66.5;1
195803;21.6;1
195804;47.2;1
195805;87.1;1
195806;78.5;1
195807;51.8;1
195808;86.5;1
195809;57.7;1
195810;78.6;1
195811;45;1
195812;45.5;1
195901;70.9;1
195902;0;1
195903;43;1
195904;57;1
195905;23.5;1
195906;24.1;1
195907;13;1
195908;15.4;1
195909;0.9;1
195910;46.5;1
195911;39.9;1
195912;49.7;1
196001;51.8;1
196002;31.4;1
196003;37.2;1
196004;13.4;1
196005;34.5;1
196006;58.4;1
196007;63.1;1
196008;71.4;1
196009;45.9;1
196010;130;1
196011;87.2;1
196012;66.1;1
196101;76.8;1
196102;46.9;1
196103;3.7;1
196104;50.6;1
196105;35.1;1
196106;55.6;1
196107;42.1;1
196108;25.2;1
196109;76.6;1
196110;45.5;1
196111;48.8;1
196112;49.1;1
196201;55.6;1
196202;25.1;1
196203;51.5;1
196204;40.9;1
196205;35.5;1
196206;11.1;1
196207;59.1;1
196208;42.5;1
196209;34.3;1
196210;32.8;1
196211;76.4;1
196212;43.5;1
196301;13.8;1
196302;12.4;1
196303;52.8;1
196304;51.1;1
196305;53.3;1
196306;93.9;1
196307;25.7;1
196308;153.2;1
196309;33.2;1
196310;20.4;1
196311;75.3;1
196312;5.4;1
196401;13.8;1
196402;38.8;1
196403;42.7;1
196404;58.5;1
196405;75.1;1
196406;56.9;1
196407;19.8;1
196408;24;1
196409;40.2;1
196410;46.4;1
196411;58.7;1
196412;41.4;1
196501;87.7;1
196502;6.7;1
196503;56.4;1
196504;46.2;1
196505;59.9;1
196506;38;1
196507;62;1
196508;79.9;1
196509;127;1
196510;17.4;1
196511;94;1
196512;81.7;1
196601;63.2;1
196602;44.2;1
196603;18.9;1
196604;104.2;1
196605;47.3;1
196606;39;1
196607;80.5;1
196608;49.8;1
196609;30.6;1
196610;108.3;1
196611;59.8;1
196612;79.9;1
196701;40.6;1
196702;31.2;1
196703;29.5;1
196704;27.9;1
196705;75.5;1
196706;15.8;1
196707;18.5;1
196708;53.3;1
196709;76.9;1
196710;133.2;1
196711;51.2;1
196712;64.9;1
196801;78.3;1
196802;67;1
196803;43.7;1
196804;41.7;1
196805;34;1
196806;53.4;1
196807;48.8;1
196808;121.4;1
196809;85.9;1
196810;39.3;1
196811;24.7;1
196812;55.2;1
196901;21.9;1
196902;28;1
196903;42.4;1
196904;38.1;1
196905;58.8;1
196906;45.9;1
196907;34.8;1
196908;111.8;1
196909;40.8;1
196910;7.3;1
196911;64.2;1
196912;70.9;1
197001;54.3;1
197002;105.8;1
197003;60.7;1
197004;64.3;1
197005;51;1
197006;74.7;1
197007;60.3;1
197008;59.5;1
197009;13.8;1
197010;15.7;1
197011;42.8;1
197012;23.5;1
197101;53.6;1
197102;40.5;1
197103;15.7;1
197104;31.5;1
197105;82.2;1
197106;66.3;1
197107;36.2;1
197108;97.1;1
197109;6.5;1
197110;13.9;1
197111;63.3;1
197112;4;1
197201;93.8;1
197202;73.6;1
197203;29.7;1
197204;46;1
197205;53.8;1
197206;40.4;1
197207;179;1
197208;66.9;1
197209;41.4;1
197210;16.7;1
197211;81.8;1
197212;19.6;1
197301;17.8;1
197302;43.5;1
197303;3.4;1
197304;45.8;1
197305;77.8;1
197306;56.4;1
197307;37.7;1
197308;33.9;1
197309;85.6;1
197310;42.2;1
197311;57.2;1
197312;37.3;1
197401;60.2;1
197402;36.8;1
197403;46.2;1
197404;40.2;1
197405;54.7;1
197406;94.1;1
197407;17.9;1
197408;33.7;1
197409;106.8;1
197410;102;1
197411;72.6;1
197412;33.2;1
197501;63.2;1
197502;20.5;1
197503;47.9;1
197504;38.2;1
197505;71.2;1
197506;20.1;1
197507;85.6;1
197508;36.8;1
197509;120.9;1
197510;16.4;1
197511;69;1
197512;7.3;1
197601;15.7;1
197602;28.3;1
197603;27.5;1
197604;16.3;1
197605;17.5;1
197606;0.5;1
197607;57.9;1
197608;7.5;1
197609;52.1;1
197610;42.5;1
197611;37.9;1
197612;67.2;1
197701;61.1;1
197702;77.6;1
197703;40.6;1
197704;52.5;1
197705;102.4;1
197706;56.2;1
197707;51.1;1
197708;46.6;1
197709;18.1;1
197710;57.3;1
197711;93.6;1
197712;43.6;1
197801;77.2;1
197802;77.3;1
197803;99.3;1
197804;63.7;1
197805;58.1;1
197806;74.1;1
197807;68.8;1
197808;39.9;1
197809;54.7;1
197810;6.1;1
197811;5.5;1
197812;95.7;1
197901;30.9;1
197902;57.2;1
197903;102.9;1
197904;57;1
197905;46.8;1
197906;34.6;1
197907;10.7;1
197908;58.8;1
197909;28.9;1
197910;94.8;1
197911;57.8;1
197912;98.7;1
198001;28.6;1
198002;46.7;1
198003;74.8;1
198004;6.9;1
198005;44.9;1
198006;65.3;1
198007;102;1
198008;33.8;1
198009;23.5;1
198010;50.1;1
198011;48.7;1
198012;79;1
198101;60.2;1
198102;36.2;1
198103;52.4;1
198104;22;1
198105;104.8;1
198106;70.1;1
198107;74.3;1
198108;18.8;1
198109;47.5;1
198110;175.6;1
198111;29.4;1
198112;90.8;1
198201;58;1
198202;21.8;1
198203;43.8;1
198204;9.5;1
198205;104.5;1
198206;89.1;1
198207;46.1;1
198208;27.3;1
198209;54.9;1
198210;89.2;1
198211;57.8;1
198212;85.7;1
198301;49.9;1
198302;70.3;1
198303;35.5;1
198304;86.7;1
198305;67.1;1
198306;70;1
198307;62.8;1
198308;45.1;1
198309;46.9;1
198310;13.9;1
198311;26.4;1
198312;29.1;1
198401;99;1
198402;28.3;1
198403;31.1;1
198404;17.3;1
198405;163.2;1
198406;29.1;1
198407;37.9;1
198408;47.5;1
198409;115.2;1
198410;82.8;1
198411;59.1;1
198412;32.1;1
198501;27.8;1
198502;15.5;1
198503;55.6;1
198504;60.6;1
198505;60.1;1
198506;50.1;1
198507;55.8;1
198508;28.1;1
198509;29.2;1
198510;10.1;1
198511;45;1
198512;23.8;1
198601;73.4;1
198602;17.2;1
198603;73.2;1
198604;95.2;1
198605;24.3;1
198606;26;1
198607;12.8;1
198608;48.2;1
198609;62.6;1
198610;51.4;1
198611;37.8;1
198612;74.8;1
198701;30.6;1
198702;32.1;1
198703;49.3;1
198704;28.2;1
198705;64.6;1
198706;88.7;1
198707;91.4;1
198708;117.4;1
198709;40.8;1
198710;88.8;1
198711;46.7;1
198712;30.8;1
198801;105.8;1
198802;55.6;1
198803;101.6;1
198804;31.3;1
198805;100.6;1
198806;20.6;1
198807;87.6;1
198808;24;1
198809;41.9;1
198810;63;1
198811;40;1
198812;51.3;1
198901;24.1;1
198902;43.7;1
198903;77.7;1
198904;65.1;1
198905;13.4;1
198906;67;1
198907;26;1
198908;36.8;1
198909;51.1;1
198910;31.5;1
198911;34.4;1
198912;64.5;1
199001;36.4;1
199002;86.7;1
199003;8.4;1
199004;56.5;1
199005;6.7;1
199006;53.7;1
199007;26.1;1
199008;9.9;1
199009;34.6;1
199010;72.9;1
199011;31.5;1
199012;35.7;1
199101;66.1;1
199102;13.2;1
199103;57.1;1
199104;33;1
199105;22.6;1
199106;44.3;1
199107;48.7;1
199108;7.2;1
199109;63.5;1
199110;27.5;1
199111;56.8;1
199112;35.4;1
199201;9.4;1
199202;24.4;1
199203;49.4;1
199204;26.3;1
199205;113.5;1
199206;89.5;1
199207;30;1
199208;40.5;1
199209;37.8;1
199210;58;1
199211;67.2;1
199212;54.1;1
199301;54.6;1
199302;11.8;1
199303;9.1;1
199304;95.2;1
199305;54.4;1
199306;44.3;1
199307;49.2;1
199308;3.8;1
199309;82.6;1
199310;90.4;1
199311;30.2;1
199312;92.3;1
199401;68.4;1
199402;55.2;1
199403;39.2;1
199404;51.5;1
199405;51.7;1
199406;43;1
199407;74.2;1
199408;101;1
199409;62.3;1
199410;39.2;1
199411;48.1;1
199412;53;1
199501;107;1
199502;71;1
199503;66.1;1
199504;68.6;1
199505;82.6;1
199506;24.2;1
199507;74.5;1
199508;34.2;1
199509;80.7;1
199510;8.1;1
199511;16;1
199512;40.9;1
199601;46.3;1
199602;48.6;1
199603;26.2;1
199604;6.6;1
199605;38.6;1
199606;14.3;1
199607;25.6;1
199608;67.9;1
199609;42.4;1
199610;25.3;1
199611;86.3;1
199612;35.4;1
199701;4;1
199702;70.3;1
199703;8.8;1
199704;14.1;1
199705;76.1;1
199706;115;1
199707;23.6;1
199708;102.5;1
199709;2.5;1
199710;41.6;1
199711;70.6;1
199712;94.8;1
199801;66;1
199802;8.7;1
199803;24.2;1
199804;133.5;1
199805;20;1
199806;50.5;1
199807;47.1;1
199808;30.5;1
199809;89;1
199810;122.1;1
199811;27.9;1
199812;54.7;1
199901;47.5;1
199902;43.8;1
199903;34.2;1
199904;65.5;1
199905;103.3;1
199906;45.9;1
199907;33.1;1
199908;53.6;1
199909;116.4;1
199910;49.4;1
199911;37.7;1
199912;157;1
200001;18.1;1
200002;63.5;1
200003;39.1;1
200004;84.5;1
200005;103.2;1
200006;29.8;1
200007;160;1
200008;53.8;1
200009;37.6;1
200010;136;1
200011;86.4;1
200012;84.5;1
200101;65.7;1
200102;42;1
200103;135;1
200104;65.5;1
200105;40.4;1
200106;39.6;1
200107;166.8;1
200108;61.7;1
200109;78.5;1
200110;66.8;1
200111;45.2;1
200112;47.8;1
200201;25.2;1
200202;75.8;1
200203;71.8;1
200204;9;1
200205;60.9;1
200206;59.9;1
200207;50.8;1
200208;54;1
200209;19.3;1
200210;76.2;1
200211;120.2;1
200212;72.6;1
200301;47.3;1
200302;30.5;1
200303;13.4;1
200304;30.8;1
200305;64.9;1
200306;105;1
200307;72.3;1
200308;59.9;1
200309;12;1
200310;50.9;1
200311;54;1
200312;48.1;1
200401;83.8;1
200402;3.5;1
200403;30.8;1
200404;66.3;1
200405;42.2;1
200406;19;1
200407;50.2;1
200408;93.5;1
200409;25.6;1
200410;95.7;1
200411;27.4;1
200412;39.4;1
200501;47.4;1
200502;23.2;1
200503;42.2;1
200504;60.9;1
200505;45.8;1
200506;66.4;1
200507;67.9;1
200508;31.1;1
200509;27.8;1
200510;24.7;1
200511;35.2;1
200512;28.3;1
200601;30.1;1
200602;62.6;1
200603;72.8;1
200604;33.9;1
200605;64.8;1
200606;33.7;1
200607;50.6;1
200608;79.3;1
200609;42.3;1
200610;32.8;1
200611;49.2;1
200612;63.6;1
200701;23.8;1
200702;80.4;1
200703;38.7;1
200704;11.2;1
200705;81.4;1
200706;44;1
200707;81.6;1
200708;109.8;1
200709;17.3;1
200710;82.9;1
200711;38.1;1
200712;62.8;1
200801;52.5;1
200802;24.6;1
200803;86.9;1
200804;54.8;1
200805;84.4;1
200806;16.1;1
200807;39.8;1
200808;65;1
200809;22.9;1
200810;71.2;1
200811;45.9;1
200812;29.5;1
200901;52.9;1
200902;48;1
200903;28.7;1
200904;37.4;1
200905;54.4;1
200906;61.5;1
200907;37.1;1
200908;7.8;1
200909;22.7;1
200910;60.2;1
200911;51.6;1
200912;70.3;1
201001;35.4;1
201002;52.2;1
201003;31.2;1
201004;13.1;1
201005;36.1;1
201006;52.6;1
201007;73.3;1
201008;66.5;1
201009;60.7;1
201010;38.9;1
201011;64.9;1
201012;72.3;1
201101;66;1
201102;32.5;1
201103;17;1
201104;7.9;1
201105;1.5;1
201106;84.2;1
201107;62.7;1
201108;66;1
201109;39;1
201110;24.3;1
201111;44.9;1
201112;95.9;1
201201;42.7;1
201202;9;1
201203;15.2;1
201204;61.4;1
201205;67.6;1
201206;108.4;1
201207;81.6;1
201208;13.1;1
201209;52.7;1
201210;89.6;1
201211;52.4;1
201212;117.4;1
201301;52.3;1
201302;39.1;1
201303;38.8;1
201304;30.2;1
201305;85.7;1
201306;54.7;1
201307;49.8;1
201308;76.2;1
201309;55.1;1
201310;47.5;1
201311;94.8;1
201312;44.6;1
201401;54.5;1
201402;48.9;1
201403;13.4;1
201404;33.1;1
201405;84.5;1
201406;79.8;1
201407;88.6;1
201408;69.8;1
201409;47.6;1
201410;42.7;1
201411;48.2;1
201412;67.4;1
201501;38.7;1
201502;45;1
201503;30.7;1
201504;42.8;1
201505;38.6;1
201506;7;1
201507;28.3;1
201508;60.3;1
201509;67.6;1
201510;52.2;1
201511;51.4;1
201512;23.7;1
201601;62;1
201602;42.7;1
201603;84.4;1
201604;35.8;1
201605;187;1
201606;60.8;1
201607;16.8;1
201608;18.3;1
201609;30.1;1
201610;26.1;1
201611;67.1;1
201612;30.2;1
201701;25.1;0
201702;35.6;0
201703;75.4;0
201704;16.5;0
201705;64.2;0
201706;63.1;0
201707;43.5;0
201708;30.3;0
201709;75.6;0
201710;33;0
201711;63.8;0
201712;87.8;0
201801;124.3;0
201802;57.1;0
201803;92.5;0
201804;52.9;0
201805;119.4;0
201806;75.8;0
201807;4.4;0
201808;30.8;0
201809;13.2;0
201810;22.6;0
201811;65.5;0
201812;75;0
