# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 94041001
# NOM_USUEL= IVRY-SUR-SEINE
# LATITUDE (°) = 48.807
# LONGITUDE(°)= 2.397
# ALTITUDE (m) = 40
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-01-01
# NUM_SERIE= MRR194041001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 194701 201612
# Date(s) de rupture(s) d'homogénéité : 195212 197309
#     Periode homogénéisée  194701 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;48.9;1
194702;34;1
194703;83.1;1
194704;32.6;1
194705;54.2;1
194706;65;1
194707;24.1;1
194708;63.5;1
194709;9.1;1
194710;20.1;1
194711;47.9;1
194712;78;1
194801;68.3;1
194802;40;1
194803;19;1
194804;64.3;1
194805;34.3;1
194806;79.1;1
194807;30.1;1
194808;114.2;1
194809;54.8;1
194810;21.3;1
194811;49.7;1
194812;40.8;1
194901;26.6;1
194902;20.9;1
194903;16.5;1
194904;25.1;1
194905;35.9;1
194906;31.8;1
194907;11.2;1
194908;32.8;1
194909;76;1
194910;55.1;1
194911;50.4;1
194912;24.1;1
195001;23.8;1
195002;69.3;1
195003;23.8;1
195004;69.2;1
195005;74.4;1
195006;35.5;1
195007;94.4;1
195008;62.8;1
195009;92.3;1
195010;11.5;1
195011;61.2;1
195012;77.9;1
195101;38.9;1
195102;65.1;1
195103;46.6;1
195104;45.2;1
195105;119.6;1
195106;114.7;1
195107;22.4;1
195108;118.4;1
195109;47.7;1
195110;26.9;1
195111;68.4;1
195112;37.3;1
195201;65.1;1
195202;45.1;1
195203;89.2;1
195204;7.3;1
195205;52;1
195206;27.6;1
195207;4.1;1
195208;77;1
195209;99.1;1
195210;66.3;1
195211;85.7;1
195212;70.4;1
195301;17.4;1
195302;30.2;1
195303;0;1
195304;46.5;1
195305;24.9;1
195306;48.1;1
195307;47.5;1
195308;47.4;1
195309;36.6;1
195310;21.1;1
195311;18.1;1
195312;10;1
195401;19.3;1
195402;48;1
195403;36.4;1
195404;2.3;1
195405;27.9;1
195406;38.4;1
195407;26.9;1
195408;49.5;1
195409;88.8;1
195410;32.6;1
195411;27.3;1
195412;36.1;1
195501;81.6;1
195502;51.8;1
195503;23.2;1
195504;7.7;1
195505;50.5;1
195506;56.1;1
195507;184.1;1
195508;34.6;1
195509;48;1
195510;48.3;1
195511;20.1;1
195512;53.6;1
195601;65.1;1
195602;16.1;1
195603;4.9;1
195604;62.1;1
195605;32.4;1
195606;52.6;1
195607;21.6;1
195608;82.8;1
195609;43.2;1
195610;52.2;1
195611;29.3;1
195612;32.8;1
195701;19.1;1
195702;76.6;1
195703;17.7;1
195704;23.2;1
195705;19.3;1
195706;61.8;1
195707;72.1;1
195708;60.1;1
195709;73.3;1
195710;24.5;1
195711;20.5;1
195712;31.4;1
195801;72;1
195802;87.6;1
195803;17.6;1
195804;57;1
195805;64;1
195806;123.8;1
195807;54.9;1
195808;71.6;1
195809;31.9;1
195810;53.9;1
195811;44.6;1
195812;61.9;1
195901;89.8;1
195902;0.4;1
195903;41.8;1
195904;85.2;1
195905;23.6;1
195906;29.7;1
195907;40.5;1
195908;39.9;1
195909;6.6;1
195910;50.6;1
195911;45.1;1
195912;76.6;1
196001;40.8;1
196002;35.8;1
196003;38;1
196004;13.7;1
196005;28.8;1
196006;114.1;1
196007;76;1
196008;102.2;1
196009;48.7;1
196010;134.5;1
196011;71.7;1
196012;55.7;1
196101;57.3;1
196102;36;1
196103;2.3;1
196104;36.3;1
196105;49.9;1
196106;29.3;1
196107;51.4;1
196108;6.3;1
196109;65.4;1
196110;74.5;1
196111;70.9;1
196112;45.1;1
196201;61.2;1
196202;23.4;1
196203;57.2;1
196204;30.1;1
196205;50;1
196206;16.6;1
196207;46;1
196208;25.7;1
196209;34.7;1
196210;35.6;1
196211;77.3;1
196212;39.5;1
196301;12.5;1
196302;13.3;1
196303;55.3;1
196304;45.2;1
196305;51.8;1
196306;85.7;1
196307;31.4;1
196308;121;1
196309;24.4;1
196310;18.3;1
196311;94.1;1
196312;3.7;1
196401;17;1
196402;37;1
196403;49.5;1
196404;43.5;1
196405;60.4;1
196406;37.3;1
196407;25.1;1
196408;32.4;1
196409;106.2;1
196410;46.4;1
196411;35.1;1
196412;33;1
196501;87.8;1
196502;5.9;1
196503;69.8;1
196504;50.9;1
196505;62.3;1
196506;35.3;1
196507;68.9;1
196508;109;1
196509;109.8;1
196510;14.1;1
196511;104.2;1
196512;84.9;1
196601;65.5;1
196602;50.6;1
196603;17.6;1
196604;84.3;1
196605;25.1;1
196606;37.5;1
196607;91.8;1
196608;62.8;1
196609;30.1;1
196610;129.1;1
196611;68;1
196612;94.1;1
196701;18.9;1
196702;37.7;1
196703;23;1
196704;24.8;1
196705;75.4;1
196706;12.1;1
196707;20.5;1
196708;50.9;1
196709;78.9;1
196710;109;1
196711;63.8;1
196712;60.8;1
196801;85.3;1
196802;60.2;1
196803;39.2;1
196804;40.2;1
196805;42.3;1
196806;55.6;1
196807;32.8;1
196808;74;1
196809;73.9;1
196810;40.8;1
196811;24.5;1
196812;47.2;1
196901;33.5;1
196902;29;1
196903;47.5;1
196904;46.4;1
196905;80;1
196906;86.5;1
196907;41.7;1
196908;74.3;1
196909;36.2;1
196910;5.1;1
196911;78.9;1
196912;67.2;1
197001;60.1;1
197002;111.9;1
197003;58;1
197004;70.8;1
197005;37.7;1
197006;112.5;1
197007;34.3;1
197008;35.8;1
197009;22.2;1
197010;18.1;1
197011;59.9;1
197012;24.8;1
197101;60.5;1
197102;34.2;1
197103;27.4;1
197104;42.5;1
197105;55.5;1
197106;76.1;1
197107;43.2;1
197108;39.8;1
197109;8.7;1
197110;10.1;1
197111;59.1;1
197112;5.6;1
197201;93.3;1
197202;56.8;1
197203;25.3;1
197204;48.4;1
197205;50.5;1
197206;52;1
197207;150.8;1
197208;69.9;1
197209;45.2;1
197210;21.8;1
197211;91.3;1
197212;20.9;1
197301;24.6;1
197302;39.5;1
197303;3.6;1
197304;34.3;1
197305;101.6;1
197306;56.1;1
197307;49;1
197308;33;1
197309;93.1;1
197310;59.9;1
197311;50.5;1
197312;48.5;1
197401;60.1;1
197402;32.2;1
197403;55.6;1
197404;22.4;1
197405;51.9;1
197406;54.6;1
197407;26.6;1
197408;50.7;1
197409;115;1
197410;104.8;1
197411;61;1
197412;36.8;1
197501;70.2;1
197502;22.3;1
197503;72.9;1
197504;35.2;1
197505;95.3;1
197506;30.1;1
197507;49.9;1
197508;49.4;1
197509;124.9;1
197510;31.3;1
197511;79.2;1
197512;12.7;1
197601;13.5;1
197602;26.7;1
197603;30.5;1
197604;24.9;1
197605;13.2;1
197606;1.5;1
197607;55.5;1
197608;11.8;1
197609;57.5;1
197610;45.4;1
197611;45.2;1
197612;64;1
197701;60.2;1
197702;98.4;1
197703;37.9;1
197704;51.4;1
197705;68.7;1
197706;51.1;1
197707;40.3;1
197708;33.5;1
197709;7.3;1
197710;50.5;1
197711;71.5;1
197712;45.2;1
197801;87.7;1
197802;78.2;1
197803;108.8;1
197804;61.4;1
197805;60.3;1
197806;64.3;1
197807;47.7;1
197808;21.4;1
197809;42;1
197810;8.5;1
197811;10.5;1
197812;122.1;1
197901;34.4;1
197902;67.1;1
197903;106.7;1
197904;57.8;1
197905;48.8;1
197906;44.6;1
197907;15.1;1
197908;58.2;1
197909;19.3;1
197910;87.1;1
197911;47.4;1
197912;101.4;1
198001;37.8;1
198002;47.7;1
198003;99.5;1
198004;9.9;1
198005;50;1
198006;89.8;1
198007;107.7;1
198008;30.2;1
198009;47.1;1
198010;69.6;1
198011;43.8;1
198012;87.5;1
198101;61.2;1
198102;43;1
198103;57;1
198104;31.9;1
198105;113.2;1
198106;61.3;1
198107;36.4;1
198108;19.6;1
198109;35.1;1
198110;140.6;1
198111;34;1
198112;89.8;1
198201;60.2;1
198202;23.3;1
198203;45;1
198204;10.5;1
198205;100.9;1
198206;114.2;1
198207;55.5;1
198208;39.3;1
198209;45.6;1
198210;90.3;1
198211;62.9;1
198212;85.5;1
198301;51.2;1
198302;53.4;1
198303;35.1;1
198304;99.7;1
198305;74.3;1
198306;50.8;1
198307;85.2;1
198308;85.9;1
198309;59.7;1
198310;17.4;1
198311;28.7;1
198312;36.6;1
198401;103.7;1
198402;33;1
198403;41.1;1
198404;21.9;1
198405;92;1
198406;29.3;1
198407;48.7;1
198408;42.2;1
198409;123.1;1
198410;66.7;1
198411;67.5;1
198412;36.9;1
198501;35.8;1
198502;11.6;1
198503;66.7;1
198504;59.5;1
198505;63.2;1
198506;57.2;1
198507;60;1
198508;40.4;1
198509;38.4;1
198510;11.9;1
198511;48.4;1
198512;21.9;1
198601;79.4;1
198602;16.1;1
198603;73.2;1
198604;79.9;1
198605;28.9;1
198606;48.5;1
198607;15.6;1
198608;42.3;1
198609;41.8;1
198610;61.4;1
198611;48.5;1
198612;75;1
198701;27.7;1
198702;40.1;1
198703;49.9;1
198704;25;1
198705;53;1
198706;100.7;1
198707;65.9;1
198708;112.7;1
198709;23.5;1
198710;116.5;1
198711;68.3;1
198712;43;1
198801;115.4;1
198802;67.3;1
198803;79.5;1
198804;32.9;1
198805;89.4;1
198806;27.9;1
198807;112;1
198808;21.4;1
198809;51.4;1
198810;77.6;1
198811;45.6;1
198812;69.5;1
198901;26.5;1
