# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 13099001
# NOM_USUEL= CADARACHE-LA VERRERIE-CEA
# LATITUDE (°) = 43.708
# LONGITUDE(°)= 5.765
# ALTITUDE (m) = 296
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MRR213099001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 196001 202112
# Date(s) de rupture(s) d'homogénéité : 197712
#     Periode homogénéisée  196001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;27.5;1
196002;49.4;1
196003;92.6;1
196004;31.6;1
196005;15.7;1
196006;102.2;1
196007;20.2;1
196008;70.4;1
196009;111.1;1
196010;212.7;1
196011;119.4;1
196012;146;1
196101;21.4;1
196102;5.5;1
196103;0;1
196104;127.6;1
196105;99.1;1
196106;61.2;1
196107;2.3;1
196108;8.5;1
196109;69.4;1
196110;143.9;1
196111;114.2;1
196112;30.9;1
196201;22.3;1
196202;74;1
196203;32.7;1
196204;29;1
196205;33.4;1
196206;43;1
196207;0;1
196208;2.8;1
196209;66.3;1
196210;52.5;1
196211;126.8;1
196212;84.1;1
196301;52.8;1
196302;98.1;1
196303;32.9;1
196304;96.7;1
196305;18.6;1
196306;122.2;1
196307;76.2;1
196308;65.5;1
196309;176.6;1
196310;52.2;1
196311;106.6;1
196312;47.4;1
196401;34.1;1
196402;67.5;1
196403;99.3;1
196404;32.7;1
196405;21.5;1
196406;23.8;1
196407;2.4;1
196408;32.9;1
196409;43.4;1
196410;68.3;1
196411;25.5;1
196412;45.5;1
196501;39;1
196502;4.2;1
196503;67.5;1
196504;5.5;1
196505;15.6;1
196506;30.9;1
196507;98.7;1
196508;79.1;1
196509;105.1;1
196510;34.3;1
196511;51.8;1
196512;57;1
196601;44.2;1
196602;106.6;1
196603;7.2;1
196604;82.9;1
196605;82.6;1
196606;51.2;1
196607;24.3;1
196608;19;1
196609;28.8;1
196610;63.3;1
196611;101.5;1
196612;21.8;1
196701;8.7;1
196702;26.4;1
196703;8.4;1
196704;35.7;1
196705;18.6;1
196706;44.4;1
196707;2.3;1
196708;13.2;1
196709;37;1
196710;16.5;1
196711;84.6;1
196712;4.6;1
196801;4.3;1
196802;85.8;1
196803;26.9;1
196804;43.9;1
196805;108.8;1
196806;37.9;1
196807;7.2;1
196808;40.1;1
196809;68.9;1
196810;38;1
196811;117.1;1
196812;53.2;1
196901;65.2;1
196902;54.2;1
196903;86.7;1
196904;17.2;1
196905;59.8;1
196906;62.9;1
196907;55.3;1
196908;58.2;1
196909;204.9;1
196910;4;1
196911;52.8;1
196912;25.4;1
197001;60.7;1
197002;40.2;1
197003;58.5;1
197004;25.1;1
197005;33.7;1
197006;84.2;1
197007;7.6;1
197008;13.8;1
197009;4;1
197010;95.2;1
197011;80.4;1
197012;70.7;1
197101;78.3;1
197102;13.1;1
197103;74;1
197104;93.5;1
197105;76.9;1
197106;41.3;1
197107;36.8;1
197108;47.7;1
197109;23.7;1
197110;7.1;1
197111;149.1;1
197112;20.8;1
197201;61;1
197202;193.3;1
197203;57.8;1
197204;58.3;1
197205;26.6;1
197206;89.7;1
197207;72;1
197208;47.8;1
197209;62;1
197210;150.5;1
197211;34;1
197212;132.5;1
197301;58.3;1
197302;26.8;1
197303;32.2;1
197304;53.3;1
197305;18;1
197306;39;1
197307;22.4;1
197308;41.1;1
197309;30.3;1
197310;125.6;1
197311;38.7;1
197312;116.5;1
197401;64.8;1
197402;107.6;1
197403;54.6;1
197404;151.6;1
197405;64.2;1
197406;23.2;1
197407;16.4;1
197408;27.3;1
197409;182.4;1
197410;14.2;1
197411;37.7;1
197412;24.4;1
197501;33.5;1
197502;74.7;1
197503;102.2;1
197504;40.8;1
197505;55;1
197506;77.2;1
197507;3.3;1
197508;44.2;1
197509;68.5;1
197510;13.2;1
197511;75.9;1
197512;62;1
197601;29;1
197602;55.8;1
197603;73.7;1
197604;99.1;1
197605;43.9;1
197606;44.5;1
197607;58.3;1
197608;73.1;1
197609;73.7;1
197610;208;1
197611;69.6;1
197612;62;1
