# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 28196001
# NOM_USUEL= ILLIERS-COMBRAY
# LATITUDE (°) = 48.302
# LONGITUDE(°)= 1.249
# ALTITUDE (m) = 170
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR228196001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201712
# Date(s) de rupture(s) d'homogénéité : 195512
#     Periode homogénéisée  194701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;20.5;1
194702;36.7;1
194703;76.9;1
194704;25.4;1
194705;74.4;1
194706;31;1
194707;11.2;1
194708;32;1
194709;21.2;1
194710;3.8;1
194711;64.7;1
194712;62.1;1
194801;81.9;1
194802;27.9;1
194803;16;1
194804;84.4;1
194805;49.4;1
194806;37.1;1
194807;24.2;1
194808;61.2;1
194809;24;1
194810;30;1
194811;37.1;1
194812;48.1;1
194901;14.3;1
194902;12.4;1
194903;27.1;1
194904;27.8;1
194905;21.6;1
194906;12.4;1
194907;7.8;1
194908;60.4;1
194909;37.7;1
194910;61.2;1
194911;69.6;1
194912;34.1;1
195001;17.5;1
195002;72.8;1
195003;35.3;1
195004;61.8;1
195005;79.1;1
195006;67.1;1
195007;58.2;1
195008;58.6;1
195009;44.4;1
195010;30;1
195011;65.1;1
195012;64.2;1
195101;41.4;1
195102;53.8;1
195103;68.5;1
195104;52.9;1
195105;117.8;1
195106;71.6;1
195107;52.2;1
195108;100.6;1
195109;23.7;1
195110;31.1;1
195111;62.6;1
195112;51.1;1
195201;62.3;1
195202;34.5;1
195203;81.4;1
195204;8.1;1
195205;53.5;1
195206;16.9;1
195207;12.4;1
195208;55.1;1
195209;144.7;1
195210;72.5;1
195211;84;1
195212;77;1
195301;17;1
195302;12.8;1
195303;0.4;1
195304;47.9;1
195305;16.3;1
195306;58.9;1
195307;79.6;1
195308;11.7;1
195309;51.9;1
195310;49.5;1
195311;14.8;1
195312;10.2;1
195401;27.7;1
195402;44;1
195403;59.1;1
195404;1.5;1
195405;30.1;1
195406;50.8;1
195407;24;1
195408;50.5;1
195409;62.5;1
195410;29.8;1
195411;44.1;1
195412;53.9;1
195501;110.4;1
195502;62.9;1
195503;18.8;1
195504;5.3;1
195505;47.7;1
195506;40.6;1
195507;87;1
195508;21.4;1
195509;46.4;1
195510;56.6;1
195511;25.7;1
195512;71.7;1
195601;64.1;1
195602;6.4;1
195603;19;1
195604;37.1;1
195605;79.2;1
195606;51.6;1
195607;59.7;1
195608;61.8;1
195609;22.3;1
195610;43.7;1
195611;25.5;1
195612;32.8;1
195701;20.1;1
195702;89.9;1
195703;20.3;1
195704;44.1;1
195705;18;1
195706;108.4;1
195707;83.6;1
195708;30.1;1
195709;71.4;1
195710;17.3;1
195711;26;1
195712;30.4;1
195801;83.8;1
195802;108.8;1
195803;46.4;1
195804;41.8;1
195805;61.9;1
195806;79.4;1
195807;39.5;1
195808;119;1
195809;40.4;1
195810;44.7;1
195811;38.7;1
195812;62;1
195901;86.8;1
195902;0.8;1
195903;45.1;1
195904;54.8;1
195905;43.9;1
195906;30.8;1
195907;22.5;1
195908;40.2;1
195909;10.6;1
195910;56.5;1
195911;50.6;1
195912;82.3;1
196001;41.4;1
196002;49.6;1
196003;70.3;1
196004;26;1
196005;108.7;1
196006;40.5;1
196007;68.8;1
196008;72.5;1
196009;71.7;1
196010;146.7;1
196011;115.4;1
196012;105.7;1
196101;89.7;1
196102;43.7;1
196103;0.6;1
196104;26.4;1
196105;34.7;1
196106;29.4;1
196107;39.5;1
196108;10.3;1
196109;68.7;1
196110;60.8;1
196111;75.4;1
196112;60.5;1
196201;61;1
196202;30.4;1
196203;74.8;1
196204;37;1
196205;43.1;1
196206;18;1
196207;37.8;1
196208;25.5;1
196209;37.7;1
196210;57.3;1
196211;135.9;1
196212;41.8;1
196301;23.3;1
196302;21.6;1
196303;82.6;1
196304;48.5;1
196305;37.9;1
196306;68.2;1
196307;13.7;1
196308;113.6;1
196309;49.2;1
196310;26.6;1
196311;104.9;1
196312;5.1;1
196401;22.2;1
196402;64.2;1
196403;45.8;1
196404;57.1;1
196405;43.6;1
196406;38.4;1
196407;9.8;1
196408;23.5;1
196409;41.5;1
196410;58.8;1
196411;21.7;1
196412;57;1
196501;89.6;1
196502;3.8;1
196503;50.7;1
196504;29.7;1
196505;47;1
196506;40.7;1
196507;42.1;1
196508;103.1;1
196509;131.2;1
196510;19.9;1
196511;103.5;1
196512;114.7;1
196601;93.4;1
196602;56.2;1
196603;19.9;1
196604;92;1
196605;47.2;1
196606;37.4;1
196607;90.4;1
196608;52.2;1
196609;18.6;1
196610;146.6;1
196611;100.8;1
196612;89.8;1
196701;24.5;1
196702;55.5;1
196703;38.5;1
196704;31.5;1
196705;56.9;1
196706;13.8;1
196707;2.8;1
196708;63.7;1
196709;67.8;1
196710;70.4;1
196711;52.3;1
196712;68;1
196801;77.1;1
196802;64.6;1
196803;30;1
196804;43.5;1
196805;49.6;1
196806;40.7;1
196807;36;1
196808;59.5;1
196809;56.1;1
196810;47.7;1
196811;35.2;1
196812;57.5;1
196901;35.5;1
196902;23.7;1
196903;54;1
196904;26.3;1
196905;56.8;1
196906;22.5;1
196907;58;1
196908;22.7;1
196909;28.4;1
196910;2.3;1
196911;120.4;1
196912;71.4;1
197001;66.7;1
197002;75.7;1
197003;45.5;1
197004;27.6;1
197005;26.8;1
197006;49.4;1
197007;22.5;1
197008;53.1;1
197009;21.6;1
197010;27.9;1
197011;69.5;1
197012;21.7;1
197101;74.8;1
197102;27.9;1
197103;25.7;1
197104;45;1
197105;56;1
197106;65.7;1
197107;44.4;1
197108;70.1;1
197109;4;1
197110;10.9;1
197111;42.7;1
197112;4.7;1
197201;87.4;1
197202;81.6;1
197203;27.8;1
197204;25.6;1
197205;23.6;1
197206;39.4;1
197207;100.7;1
197208;70.8;1
197209;44.7;1
197210;13.4;1
197211;101.2;1
197212;25.8;1
197301;22;1
197302;45.8;1
197303;2.3;1
197304;32.8;1
197305;77.7;1
197306;39.9;1
197307;65.4;1
197308;33;1
197309;77.5;1
197310;31;1
197311;46.4;1
197312;47;1
197401;68.1;1
197402;39.7;1
197403;48.3;1
197404;44;1
197405;50.1;1
197406;59.8;1
197407;13.6;1
197408;50.3;1
197409;96.6;1
197410;84.3;1
197411;88.7;1
197412;38.7;1
197501;84.2;1
197502;12.9;1
197503;63.5;1
197504;58.7;1
197505;92;1
197506;37;1
197507;72.5;1
197508;22;1
197509;103.6;1
197510;33.7;1
197511;69.2;1
197512;22.5;1
197601;13.2;1
197602;46.8;1
197603;27.3;1
197604;17.7;1
197605;13.9;1
197606;1;1
197607;71.7;1
197608;9;1
197609;59.9;1
197610;59.4;1
197611;73.9;1
197612;71.4;1
197701;49.8;1
197702;101.9;1
197703;46.8;1
197704;40.3;1
197705;108.4;1
197706;63.9;1
197707;41.3;1
197708;44.8;1
197709;6.7;1
197710;67.6;1
197711;61.1;1
197712;69.1;1
197801;81.1;1
197802;98.7;1
197803;111.2;1
197804;54.6;1
197805;50.2;1
197806;68.4;1
197807;52.5;1
197808;41;1
197809;24.1;1
197810;8.8;1
197811;9.1;1
197812;144.2;1
197901;38.9;1
197902;120.1;1
197903;99.8;1
197904;60.2;1
197905;46.1;1
197906;33.1;1
197907;22.1;1
197908;54.5;1
197909;19.6;1
197910;81.8;1
197911;30.9;1
197912;125.4;1
198001;66.8;1
198002;61.4;1
198003;98.9;1
198004;1.6;1
198005;65.9;1
198006;104.2;1
198007;86;1
198008;18.8;1
198009;23.6;1
198010;66.4;1
198011;52.8;1
198012;70.1;1
198101;58.2;1
198102;54.4;1
198103;74.7;1
198104;32.3;1
198105;106.7;1
198106;33.8;1
198107;31;1
198108;6.2;1
198109;36.4;1
198110;178.7;1
198111;34.6;1
198112;119.5;1
198201;65.7;1
198202;20.2;1
198203;56.9;1
198204;9.5;1
198205;72.6;1
198206;66.4;1
198207;42.8;1
198208;15;1
198209;47.4;1
198210;105;1
198211;71.5;1
198212;88.2;1
198301;46.4;1
198302;63.5;1
198303;37.6;1
198304;123.6;1
198305;64.4;1
198306;62.9;1
198307;107.5;1
198308;36.3;1
198309;61.7;1
198310;23.7;1
198311;27.2;1
198312;34.7;1
198401;123.3;1
