# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 35105001
# NOM_USUEL= ERBREE
# LATITUDE (°) = 48.099
# LONGITUDE(°)= -1.125
# ALTITUDE (m) = 120
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR235105001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 200309
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;66.2;1
195102;108.8;1
195103;100.1;1
195104;56.4;1
195105;95.3;1
195106;149.2;1
195107;44.1;1
195108;112;1
195109;82;1
195110;53.1;1
195111;155.8;1
195112;96.8;1
195201;112.5;1
195202;47.6;1
195203;110.6;1
195204;34.6;1
195205;48.6;1
195206;11.5;1
195207;30.8;1
195208;94.1;1
195209;177.2;1
195210;142.6;1
195211;102.6;1
195212;177;1
195301;20.8;1
195302;51.4;1
195303;3.7;1
195304;144.1;1
195305;27.9;1
195306;80.1;1
195307;110.2;1
195308;12.7;1
195309;61.7;1
195310;70.8;1
195311;31.5;1
195312;27;1
195401;39.3;1
195402;74.9;1
195403;104.8;1
195404;9.5;1
195405;42.2;1
195406;53.1;1
195407;41.1;1
195408;79.2;1
195409;55.1;1
195410;65.3;1
195411;116.6;1
195412;88;1
195501;116.1;1
195502;85.9;1
195503;19.6;1
195504;10.7;1
195505;48.3;1
195506;77;1
195507;65.2;1
195508;11.8;1
195509;56.4;1
195510;67.1;1
195511;17;1
195512;122.8;1
195601;113.6;1
195602;9.4;1
195603;31.1;1
195604;58.1;1
195605;43.8;1
195606;41.4;1
195607;74.7;1
195608;91.8;1
195609;69.5;1
195610;53.1;1
195611;35.6;1
195612;167.4;1
195701;39.5;1
195702;193.3;1
195703;24.9;1
195704;53.3;1
195705;36.8;1
195706;45.2;1
195707;103.6;1
195708;75.5;1
195709;95.4;1
195710;29.2;1
195711;64.2;1
195712;69.3;1
195801;159.7;1
195802;107.1;1
195803;94.6;1
195804;36.7;1
195805;57.2;1
195806;133.2;1
195807;47.6;1
195808;89.9;1
195809;73;1
195810;80.2;1
195811;83.3;1
195812;118;1
195901;141.7;1
195902;7.4;1
195903;61.9;1
195904;91.9;1
195905;34.2;1
195906;20.1;1
195907;10.2;1
195908;47.9;1
195909;18.7;1
195910;146.7;1
195911;54.4;1
195912;188.9;1
196001;71.3;1
196002;69.7;1
196003;91.7;1
196004;17.8;1
196005;52.4;1
196006;50.6;1
196007;102.6;1
196008;126.4;1
196009;109.2;1
196010;176.3;1
196011;169.9;1
196012;141.9;1
196101;98.2;1
196102;59.8;1
196103;11.4;1
196104;96.7;1
196105;51.9;1
196106;32;1
196107;103.8;1
196108;10.6;1
196109;57;1
196110;122;1
196111;103.2;1
196112;91.8;1
196201;119.8;1
196202;34.5;1
196203;104.6;1
196204;55.5;1
196205;37.1;1
196206;0.6;1
196207;35.1;1
196208;46.5;1
196209;56.7;1
196210;56;1
196211;143.7;1
196212;62.5;1
196301;57.4;1
196302;65.3;1
196303;116.3;1
196304;108.1;1
196305;57.8;1
196306;157.7;1
196307;32.9;1
196308;137;1
196309;81.5;1
196310;60;1
196311;161.4;1
196312;18.5;1
196401;22.4;1
196402;82.1;1
196403;102.5;1
196404;81.1;1
196405;104.5;1
196406;83.4;1
196407;10.1;1
196408;23.6;1
196409;36.5;1
196410;100.4;1
196411;32.7;1
196412;130.7;1
196501;121.9;1
196502;1.7;1
196503;96;1
196504;57.8;1
196505;48.3;1
196506;77.6;1
196507;33.5;1
196508;95.3;1
196509;132.7;1
196510;34.2;1
196511;180.8;1
196512;127.3;1
196601;86.1;1
196602;96.6;1
196603;38.6;1
196604;104.9;1
196605;68;1
196606;94.6;1
196607;47.7;1
196608;70.4;1
196609;84.6;1
196610;264.9;1
196611;106.4;1
196612;140.7;1
196701;47.8;1
196702;78;1
196703;52.7;1
196704;32.6;1
196705;122.8;1
196706;49.8;1
196707;42.1;1
196708;72.7;1
196709;107;1
196710;100.7;1
196711;92.4;1
196712;91.1;1
196801;104.2;1
196802;75.2;1
196803;42.6;1
196804;73.7;1
196805;67.8;1
196806;53.8;1
196807;30.7;1
196808;82.6;1
196809;111.9;1
196810;61;1
196811;27.3;1
196812;83.5;1
196901;62.1;1
196902;61.6;1
196903;99.3;1
196904;34.7;1
196905;114.9;1
196906;37;1
196907;27.8;1
196908;29.2;1
196909;28.5;1
196910;4.7;1
196911;164.1;1
196912;102.5;1
197001;126.4;1
197002;137.3;1
197003;53.6;1
197004;46.7;1
197005;37.2;1
197006;53.7;1
197007;33.6;1
197008;115;1
197009;48.6;1
197010;39;1
197011;121.6;1
197012;34.5;1
197101;118.9;1
197102;55.1;1
197103;49.6;1
197104;51.8;1
197105;135.9;1
197106;36.6;1
197107;43.7;1
