# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 35260001
# NOM_USUEL= ST-CHRISTOPHE
# LATITUDE (°) = 48.227
# LONGITUDE(°)= -1.247
# ALTITUDE (m) = 125
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR235260001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 197612 198712
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;53.9;1
195102;102.8;1
195103;93.7;1
195104;39.3;1
195105;94;1
195106;153.3;1
195107;19.7;1
195108;138.8;1
195109;92.3;1
195110;58;1
195111;155.5;1
195112;87.2;1
195201;127;1
195202;44.2;1
195203;99.6;1
195204;21.9;1
195205;40.3;1
195206;23.6;1
195207;20.8;1
195208;81.7;1
195209;174.6;1
195210;148.9;1
195211;90.6;1
195212;148.6;1
195301;24.9;1
195302;40.4;1
195303;4.2;1
195304;131.1;1
195305;35.7;1
195306;62.6;1
195307;133.1;1
195308;16.7;1
195309;65;1
195310;56.8;1
195311;43;1
195312;24.3;1
195401;41;1
195402;73.7;1
195403;83.8;1
195404;9.7;1
195405;53.2;1
195406;50.6;1
195407;42.5;1
195408;114.4;1
195409;67.1;1
195410;42;1
195411;90.5;1
195412;74.1;1
195501;115.9;1
195502;80.7;1
195503;16.8;1
195504;19.3;1
195505;48.1;1
195506;88.7;1
195507;62.4;1
195508;17.3;1
195509;82;1
195510;78.4;1
195511;26.1;1
195512;103;1
195601;96.6;1
195602;5.1;1
195603;15.7;1
195604;42.4;1
195605;34.9;1
195606;51.3;1
195607;89.5;1
195608;121.4;1
195609;63.1;1
195610;65;1
195611;46.2;1
195612;140.8;1
195701;32.5;1
195702;154.8;1
195703;31.7;1
195704;36.1;1
195705;31.4;1
195706;70.8;1
195707;147.5;1
195708;67.5;1
195709;87;1
195710;22;1
195711;49.7;1
195712;78;1
195801;156.9;1
195802;90.7;1
195803;84.9;1
195804;34.2;1
195805;64;1
195806;147.2;1
195807;57.8;1
195808;114.8;1
195809;66.9;1
195810;75.5;1
195811;80.9;1
195812;103;1
195901;150.9;1
195902;6.4;1
195903;67.7;1
195904;101.8;1
195905;33.7;1
195906;29.1;1
195907;12.3;1
195908;37.6;1
195909;15.2;1
195910;138.8;1
195911;49.7;1
195912;159.1;1
196001;89.9;1
196002;65.1;1
196003;91;1
196004;21.4;1
196005;80.5;1
196006;80.7;1
196007;101.1;1
196008;131.6;1
196009;125.6;1
196010;216;1
196011;167.6;1
196012;126.4;1
196101;100.7;1
196102;52;1
196103;11.7;1
196104;102.1;1
196105;59.2;1
196106;31.5;1
