# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 64216001
# NOM_USUEL= ESPOEY
# LATITUDE (°) = 43.248
# LONGITUDE(°)= -0.155
# ALTITUDE (m) = 312
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR264216001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195301 202012
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195301 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;71.8;1
195302;74.5;1
195303;6.7;1
195304;141.5;1
195305;57.7;1
195306;177.3;1
195307;36.9;1
195308;61.4;1
195309;78.5;1
195310;95.1;1
195311;48.7;1
195312;22.7;1
195401;105.5;1
195402;162.8;1
195403;147.6;1
195404;73.9;1
195405;194.7;1
195406;88.1;1
195407;37.3;1
195408;113.5;1
195409;86;1
195410;84.7;1
195411;82.3;1
195412;185;1
195501;176.9;1
195502;85.4;1
195503;20.5;1
195504;11.5;1
195505;82.8;1
195506;127;1
195507;90.1;1
195508;30.6;1
195509;136;1
195510;100;1
195511;48.9;1
195512;142.9;1
195601;175.3;1
195602;37.8;1
195603;51.8;1
195604;166;1
195605;113.9;1
195606;89.9;1
195607;60.4;1
195608;98.9;1
195609;62.4;1
195610;74.7;1
195611;106.5;1
195612;49.6;1
195701;52.9;1
195702;84.1;1
195703;53.1;1
195704;203.9;1
195705;167.3;1
195706;219.8;1
195707;52.7;1
195708;71.6;1
195709;89.4;1
195710;32.1;1
195711;126.4;1
195712;64.1;1
195801;128.8;1
195802;29.9;1
195803;206.8;1
195804;97.2;1
195805;137.2;1
195806;102.3;1
195807;80.2;1
195808;40.4;1
195809;53.1;1
195810;91.5;1
195811;65.5;1
195812;126.5;1
195901;88.2;1
195902;6;1
195903;112.4;1
195904;173.3;1
195905;116.9;1
195906;132.9;1
195907;64.5;1
195908;124.4;1
195909;197.6;1
195910;148.9;1
195911;90;1
195912;203.1;1
196001;69.6;1
196002;52.1;1
196003;166.8;1
196004;54;1
196005;86.5;1
196006;134.6;1
196007;106;1
196008;82.4;1
196009;91.7;1
196010;197.1;1
196011;137.9;1
196012;227;1
196101;202.1;1
196102;86.5;1
196103;0.7;1
196104;178.1;1
196105;110;1
196106;92.3;1
196107;100.1;1
196108;45;1
196109;85.8;1
196110;84.1;1
196111;150.9;1
196112;48.9;1
196201;124.2;1
196202;112.2;1
196203;111.9;1
196204;121.9;1
196205;137.4;1
196206;30.6;1
196207;46.9;1
196208;41.2;1
196209;57.5;1
196210;61.1;1
196211;128.8;1
196212;181;1
196301;79.8;1
196302;123.2;1
196303;141.8;1
196304;75.8;1
196305;61.2;1
196306;159.8;1
196307;65.8;1
196308;180.9;1
196309;107.9;1
196310;55.5;1
196311;89.8;1
196312;65.3;1
196401;21.4;1
196402;91.4;1
196403;124.8;1
196404;76.4;1
196405;67.5;1
196406;23.3;1
196407;23.7;1
196408;74.8;1
196409;79;1
196410;152.8;1
196411;79.7;1
196412;100.4;1
196501;148.1;1
196502;34;1
196503;116.4;1
196504;124.9;1
196505;122.7;1
196506;61.3;1
196507;60.7;1
196508;83.1;1
196509;161.6;1
196510;51;1
196511;161.4;1
196512;324.4;1
196601;115;1
196602;190.1;1
196603;54;1
196604;171.4;1
196605;175.2;1
196606;130.2;1
196607;73.5;1
196608;30.6;1
196609;77.7;1
196610;134.3;1
196611;135.2;1
196612;278.9;1
196701;88.8;1
196702;17.4;1
196703;86.7;1
196704;36.3;1
196705;60.1;1
196706;81.4;1
196707;75.4;1
196708;57.4;1
196709;81.1;1
196710;78.7;1
196711;159.9;1
196712;133.2;1
196801;184;1
196802;68.6;1
196803;57.5;1
196804;109.6;1
196805;227.6;1
196806;94.1;1
196807;91.1;1
196808;126.7;1
196809;115.2;1
196810;47.1;1
196811;88.3;1
196812;204.5;1
196901;69.8;1
196902;71.4;1
196903;140.5;1
196904;159.2;1
196905;81.1;1
196906;77.1;1
196907;75.5;1
196908;44.8;1
196909;119.8;1
196910;19.8;1
196911;51.2;1
196912;282.9;1
197001;117.2;1
197002;132.7;1
197003;124;1
197004;95.3;1
197005;108.8;1
197006;183.5;1
197007;20.1;1
197008;44.2;1
197009;19.7;1
197010;69.6;1
197011;80.6;1
197012;33.8;1
197101;161.8;1
197102;222.7;1
197103;156.1;1
197104;160.6;1
197105;202.1;1
197106;139.9;1
197107;49.4;1
197108;91.5;1
197109;77.9;1
197110;29.9;1
197111;197;1
197112;49.4;1
197201;213;1
197202;149.4;1
197203;68.9;1
197204;155.3;1
197205;134.4;1
197206;103.9;1
197207;48.2;1
197208;117.4;1
197209;36.1;1
197210;49.1;1
197211;69.1;1
197212;110.8;1
197301;124.9;1
197302;169.6;1
197303;68.1;1
197304;48.8;1
197305;68.1;1
197306;131.3;1
197307;122.7;1
197308;64.4;1
197309;62.5;1
197310;47;1
197311;86.2;1
197312;102.9;1
197401;61.3;1
197402;139.8;1
197403;177;1
197404;123.2;1
197405;109;1
197406;90.6;1
197407;85.2;1
197408;62.3;1
