# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 75116002
# NOM_USUEL= BAGATELLE
# LATITUDE (°) = 48.869
# LONGITUDE(°)= 2.245
# ALTITUDE (m) = 36
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-04-30
# NUM_SERIE= MRR275116002
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 194701 201612
# Date(s) de rupture(s) d'homogénéité : 197212
#     Periode homogénéisée  194701 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;35.2;1
194702;44.5;1
194703;52.2;1
194704;27.6;1
194705;55.1;1
194706;46.4;1
194707;71.5;1
194708;48.6;1
194709;10.9;1
194710;14.8;1
194711;51.1;1
194712;66.8;1
194801;62.2;1
194802;31.1;1
194803;18.1;1
194804;82.7;1
194805;40.7;1
194806;86.6;1
194807;15.3;1
194808;91.8;1
194809;31.5;1
194810;20.1;1
194811;49.8;1
194812;40.9;1
194901;17.2;1
194902;14.6;1
194903;15.5;1
194904;22.4;1
194905;35.7;1
194906;18.3;1
194907;4.7;1
194908;33.8;1
194909;64;1
194910;47.6;1
194911;54.2;1
194912;23.2;1
195001;23.3;1
195002;59.4;1
195003;26.1;1
195004;65.7;1
195005;43.6;1
195006;26.9;1
195007;64.9;1
195008;53.6;1
195009;86.9;1
195010;10.4;1
195011;60.1;1
195012;75.8;1
195101;36.1;1
195102;50.1;1
195103;50.7;1
195104;39.9;1
195105;96.7;1
195106;99;1
195107;48.5;1
195108;109.6;1
195109;38;1
195110;21.5;1
195111;53.6;1
195112;37.2;1
195201;54.5;1
195202;42.5;1
195203;72.8;1
195204;5.9;1
195205;26.3;1
195206;34.4;1
195207;5.7;1
195208;70.5;1
195209;103.9;1
195210;61.3;1
195211;80.4;1
195212;69.8;1
195301;12.9;1
195302;23.5;1
195303;0;1
195304;41.9;1
195305;39.4;1
195306;93.2;1
195307;47.1;1
195308;38;1
195309;42.3;1
195310;16.3;1
195311;16.7;1
195312;10.5;1
195401;25.9;1
195402;43.8;1
195403;45.2;1
195404;0.5;1
195405;34.7;1
195406;51.7;1
195407;36.1;1
195408;42.1;1
195409;80.5;1
195410;37.8;1
195411;27.8;1
195412;36.6;1
195501;78.7;1
195502;66.9;1
195503;24.1;1
195504;6;1
195505;51.6;1
195506;56.3;1
195507;132.8;1
195508;15.2;1
195509;35.4;1
195510;45.6;1
195511;20;1
195512;57.2;1
195601;54.2;1
195602;8.2;1
195603;7;1
195604;63.5;1
195605;24.6;1
195606;47;1
195607;52.7;1
195608;75;1
195609;34.1;1
195610;45.2;1
195611;37;1
195612;28.6;1
