# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 42094003
# NOM_USUEL= FEURS
# LATITUDE (°) = 45.739
# LONGITUDE(°)= 4.234
# ALTITUDE (m) = 347
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN042094003
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195401 202212
# Date(s) de rupture(s) d'homogénéité : 196212 199212
#     Periode homogénéisée  195401 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;-1.9;1
195402;-2.7;1
195403;2.3;1
195404;3.2;1
195405;6.5;1
195406;10.8;1
195407;11.2;1
195408;11.8;1
195409;10.3;1
195410;5.7;1
195411;3.7;1
195412;1.9;1
195501;2;1
195502;0.2;1
195503;-0.8;1
195504;2;1
195505;6.7;1
195506;11.2;1
195507;13.4;1
195508;11.9;1
195509;9.5;1
195510;3.4;1
195511;0.7;1
195512;1.5;1
195601;0.6;1
195602;-12;1
195603;1.3;1
195604;2.7;1
195605;7.8;1
195606;9.9;1
195607;12.3;1
195608;11.5;1
195609;11.4;1
195610;4.9;1
195611;0.3;1
195612;1.3;1
195701;-4.3;1
195702;3.2;1
195703;3.2;1
195704;3.9;1
195705;5.7;1
195706;12.1;1
195707;13.3;1
195708;11.6;1
195709;9;1
195710;3.6;1
195711;2.6;1
195712;-1.5;1
195801;-0.1;1
195802;1.9;1
195803;1.1;1
195804;3.3;1
195805;9.4;1
195806;11;1
195807;13.2;1
195808;13.8;1
195809;11.9;1
195810;5.6;1
195811;2.9;1
195812;0.3;1
195901;-0.9;1
195902;-2.9;1
195903;3.8;1
195904;5.5;1
195905;7.4;1
195906;11.2;1
195907;14;1
195908;12.7;1
195909;11.8;1
195910;5.2;1
195911;2.4;1
195912;2.5;1
196001;-1.5;1
196002;0;1
196003;4.3;1
196004;4;1
196005;8.4;1
196006;11.8;1
196007;11.5;1
196008;12.3;1
196009;9.4;1
196010;7.5;1
196011;4;1
196012;-0.5;1
196101;0;1
196102;1.9;1
196103;-0.2;1
196104;7.3;1
196105;7.1;1
196106;11.9;1
196107;11.9;1
196108;11.2;1
196109;12.2;1
196110;7.6;1
196111;3.3;1
196112;-0.1;1
196201;1.5;1
196202;-1.8;1
196203;-0.7;1
196204;4;1
196205;7;1
196206;8.9;1
196207;11.6;1
196208;11.9;1
196209;9;1
196210;5.2;1
196211;1.2;1
196212;-3.9;1
196301;-7.1;1
196302;-4.9;1
196303;2.5;1
196304;5.3;1
196305;6.3;1
196306;11.7;1
196307;13.4;1
196308;12.1;1
196309;10.3;1
196310;5.1;1
196311;4.9;1
196312;-5.6;1
196401;-3;1
196402;1.5;1
196403;2.4;1
196404;4.6;1
196405;8.6;1
196406;12;1
196407;12.4;1
196408;11.8;1
196409;10.5;1
196410;5;1
196411;3.4;1
196412;-2.3;1
196501;0.1;1
196502;-3.7;1
196503;1.1;1
196504;4;1
196505;7.7;1
196506;12.1;1
196507;12.3;1
196508;11.9;1
196509;9.1;1
196510;7.1;1
196511;3.9;1
196512;1.8;1
196601;-1.9;1
196602;3.6;1
196603;-0.7;1
196604;6.2;1
196605;8.2;1
196606;11.6;1
196607;11.6;1
196608;11.5;1
196609;9.9;1
196610;9.4;1
196611;1;1
196612;1.1;1
196701;-1.7;1
196702;0.3;1
196703;3.2;1
196704;2.6;1
196705;7.5;1
196706;9.4;1
196707;13.4;1
196708;12.7;1
196709;9.6;1
196710;8.9;1
196711;2.8;1
196712;-2.2;1
196801;-2.3;1
196802;0.9;1
196803;1.2;1
196804;4.8;1
196805;7.6;1
196806;10.5;1
196807;12.6;1
196808;11.5;1
196809;9.5;1
196810;8.4;1
196811;2.9;1
196812;-0.7;1
196901;-0.3;1
196902;-2.4;1
196903;2.9;1
196904;4.6;1
196905;8.6;1
196906;10;1
196907;13.5;1
196908;12.3;1
196909;10.9;1
196910;6.3;1
196911;1.8;1
196912;-3.7;1
197001;0.1;1
197002;1.4;1
197003;0.4;1
197004;3;1
197005;7.2;1
197006;12.8;1
197007;13.1;1
197008;13.2;1
197009;9.6;1
197010;6.3;1
197011;3.2;1
197012;-1.9;1
197101;-3.7;1
197102;-1.1;1
197103;-2.3;1
197104;5.3;1
197105;9;1
197106;11.2;1
197107;13;1
197108;14;1
197109;8.4;1
197110;4.5;1
197111;0.8;1
197112;-1.3;1
197201;0.3;1
197202;2.4;1
197203;1.5;1
197204;3.7;1
197205;7.3;1
197206;9.3;1
197207;12.4;1
197208;12.2;1
197209;6;1
197210;4.4;1
197211;2.7;1
197212;-1.3;1
197301;-0.9;1
197302;-0.9;1
197303;-1.1;1
197304;1.8;1
197305;9.2;1
197306;11.8;1
197307;13;1
197308;14.4;1
197309;10;1
197310;4.4;1
197311;1.1;1
197312;-0.6;1
197401;2;1
197402;1.7;1
197403;4.1;1
197404;3.7;1
197405;7.6;1
197406;10.1;1
197407;11.7;1
197408;12.6;1
197409;10.2;1
