# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 42253001
# NOM_USUEL= ROANNE-RIORGES_AERO
# LATITUDE (°) = 46.055
# LONGITUDE(°)= 4.005
# ALTITUDE (m) = 337
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN042253001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 197512 198512 199412
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;-0.1;1
195102;0.5;1
195103;1.1;1
195104;3.9;1
195105;6.9;1
195106;11.3;1
195107;12;1
195108;12.5;1
195109;10.8;1
195110;6;1
195111;4.9;1
195112;-1.1;1
195201;-2.4;1
195202;-3;1
195203;3.9;1
195204;5.9;1
195205;7.4;1
195206;12;1
195207;13.8;1
195208;12.8;1
195209;8.6;1
195210;6.8;1
195211;2.1;1
195212;-0.3;1
195301;-4.3;1
195302;-2.9;1
195303;-0.8;1
195304;4.5;1
195305;8;1
195306;11.1;1
195307;13.3;1
195308;13.5;1
195309;10.7;1
195310;6.6;1
195311;-0.1;1
195312;3.6;1
195401;-2;1
195402;-3.1;1
195403;2.7;1
195404;3.5;1
195405;4.8;1
195406;9;1
195407;10;1
195408;12;1
195409;10.2;1
195410;6.3;1
195411;3.6;1
195412;2.1;1
195501;1.7;1
195502;0.3;1
195503;0.3;1
195504;4.1;1
195505;8.2;1
195506;10.6;1
195507;13.3;1
195508;11.3;1
195509;9.1;1
195510;3.5;1
195511;1;1
195512;1.8;1
195601;0.3;1
195602;-11.8;1
195603;1;1
195604;2.7;1
195605;7.5;1
195606;9.6;1
195607;11.9;1
195608;10.6;1
195609;10.7;1
195610;5.3;1
195611;0.1;1
195612;1.8;1
195701;-3.8;1
