# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 44110002
# NOM_USUEL= NORT-SUR-ERDRE
# LATITUDE (°) = 47.425
# LONGITUDE(°)= -1.514
# ALTITUDE (m) = 13
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN144110002
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195601 202212
# Date(s) de rupture(s) d'homogénéité : 196312 197004 198911 199512 200404
#     Periode homogénéisée  195601 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;2.7;1
195602;-5.7;1
195603;3.4;1
195604;3.1;1
195605;8.3;1
195606;9.8;1
195607;12.9;1
195608;10.3;1
195609;12.9;1
195610;7.7;1
195611;2.9;1
195612;5;1
195701;1.2;1
195702;4.8;1
195703;6.5;1
195704;5.5;1
195705;7;1
195706;11.9;1
195707;14;1
195708;12.6;1
195709;11;1
195710;8.4;1
195711;4.3;1
195712;1.9;1
195801;3.1;1
195802;4.8;1
195803;2.9;1
195804;4.3;1
195805;8.9;1
195806;10.5;1
195807;12.8;1
195808;12.6;1
195809;12.5;1
195810;9.2;1
195811;4.3;1
195812;3.3;1
195901;1.3;1
195902;1.1;1
195903;4.8;1
195904;6.2;1
195905;8.7;1
195906;10.6;1
195907;12.8;1
195908;12.8;1
195909;11.4;1
195910;8.3;1
195911;5.6;1
195912;5;1
196001;1.7;1
196002;1.9;1
196003;6;1
196004;5.6;1
196005;8.4;1
196006;11.5;1
196007;11.8;1
196008;12;1
196009;9.8;1
196010;7.6;1
196011;5.9;1
196012;2.8;1
196101;2.2;1
196102;5.7;1
196103;3.8;1
196104;7.1;1
196105;7.2;1
196106;10;1
196107;12.5;1
196108;10.9;1
196109;13.6;1
196110;9.2;1
196111;5.2;1
196112;3.2;1
196201;3.6;1
196202;2.1;1
196203;1.6;1
196204;5.2;1
196205;6.8;1
196206;9.2;1
196207;12;1
196208;12.1;1
196209;10.3;1
196210;7.8;1
196211;4.5;1
196212;-0.1;1
196301;-3.5;1
196302;-2.4;1
196303;4.5;1
196304;5.1;1
196305;6.8;1
196306;10.4;1
196307;12.4;1
196308;11.4;1
196309;10.6;1
196310;7.8;1
196311;7.1;1
196312;-0.6;1
196401;-0.8;1
196402;2.9;1
196403;3.4;1
196404;5;1
196405;8.7;1
196406;10.6;1
196407;11.8;1
196408;11.9;1
196409;11.3;1
196410;7.1;1
196411;4.3;1
196412;1.7;1
196501;2.2;1
196502;-0.4;1
196503;4;1
196504;4.7;1
196505;8.1;1
196506;10.1;1
196507;10.9;1
196508;11.9;1
196509;9.2;1
196510;8.5;1
196511;4.7;1
196512;4.9;1
196601;1.8;1
196602;6.7;1
196603;2.3;1
196604;7.5;1
196605;7.6;1
196606;11.8;1
196607;11.7;1
196608;11.7;1
196609;12.1;1
196610;9.6;1
196611;2.9;1
196612;5.2;1
196701;3.3;1
196702;3.9;1
196703;3.7;1
196704;5;1
196705;7.1;1
196706;10.3;1
196707;12.9;1
196708;12.1;1
196709;10.6;1
196710;9.5;1
196711;4;1
196712;1.8;1
196801;2.6;1
196802;1.5;1
196803;2.7;1
196804;4.4;1
196805;6.3;1
196806;10.8;1
196807;12.4;1
196808;13;1
196809;10.1;1
196810;9.6;1
196811;4.7;1
196812;2.5;1
196901;3.4;1
196902;0.6;1
196903;4;1
196904;5.7;1
196905;8.2;1
196906;10.1;1
196907;13;1
196908;12.2;1
196909;11.8;1
196910;7.8;1
196911;5.1;1
196912;1.5;1
197001;2.4;1
197002;4;1
197003;2.5;1
197004;4.1;1
197005;6.9;1
197006;12.6;1
197007;11.9;1
197008;13;1
197009;11;1
197010;7.1;1
197011;6.6;1
197012;0.1;1
197101;2.4;1
197102;1.6;1
197103;0.8;1
197104;5.8;1
197105;8.9;1
197106;10.3;1
197107;13.7;1
197108;12.8;1
197109;10.6;1
197110;6.7;1
197111;2.3;1
197112;3.2;1
197201;2.2;1
197202;4.4;1
197203;4.1;1
197204;5.6;1
197205;6.7;1
197206;8.4;1
197207;12;1
197208;10.7;1
197209;8;1
197210;7.1;1
197211;4.5;1
197212;4.1;1
197301;1.9;1
197302;1.6;1
197303;1.1;1
197304;3;1
197305;8.5;1
197306;10.4;1
197307;13;1
197308;14.6;1
197309;11.9;1
197310;7.1;1
197311;3;1
197312;2.3;1
197401;5;1
197402;3.7;1
197403;3.6;1
197404;4.8;1
197405;7;1
197406;10.4;1
197407;11.5;1
197408;12.2;1
197409;10.3;1
197410;4.9;1
197411;6.2;1
197412;5.9;1
197501;4.7;1
197502;2.7;1
197503;2.8;1
197504;4.7;1
197505;7.3;1
197506;10.6;1
197507;13.1;1
197508;14.3;1
197509;11.3;1
197510;6.4;1
197511;4.2;1
197512;0.3;1
197601;3;1
197602;2.8;1
197603;2;1
197604;3.9;1
197605;8;1
197606;12.4;1
197607;13.8;1
197608;13.1;1
197609;10;1
197610;8.7;1
197611;4.3;1
197612;1.9;1
197701;1.8;1
197702;5.8;1
197703;5;1
197704;3.6;1
197705;8.1;1
197706;10;1
197707;12.6;1
197708;11.1;1
197709;8.9;1
197710;9;1
197711;5;1
197712;4;1
197801;2.5;1
197802;3.8;1
197803;5.3;1
197804;4.6;1
197805;9.1;1
197806;10.3;1
197807;11.7;1
197808;10.9;1
197809;9.4;1
197810;7.9;1
197811;3.1;1
197812;4.4;1
197901;-1;1
197902;3.3;1
197903;3.9;1
197904;4.8;1
197905;6.8;1
197906;11.2;1
197907;12;1
197908;12;1
197909;10;1
197910;9.2;1
197911;4.3;1
197912;4.2;1
198001;0.9;1
198002;4.3;1
198003;3.6;1
198004;4.6;1
198005;6.5;1
198006;10.3;1
198007;11.7;1
198008;13;1
198009;11.1;1
198010;6.9;1
198011;3.4;1
198012;1.9;1
198101;2.5;1
198102;0.6;1
198103;7;1
198104;6;1
198105;9;1
198106;10.1;1
198107;12.2;1
198108;13.1;1
198109;11.2;1
198110;8.4;1
198111;5.5;1
198112;3.4;1
198201;4.4;1
198202;3.2;1
198203;2.7;1
198204;4.1;1
198205;7.7;1
198206;12.9;1
198207;14.2;1
198208;11.9;1
198209;11.7;1
198210;8.4;1
198211;5.9;1
198212;4;1
198301;4.1;1
198302;1.5;1
198303;4.2;1
198304;4.7;1
198305;7.2;1
198306;11.8;1
198307;16.4;1
198308;14.6;1
198309;11.4;1
198310;7.4;1
198311;5.3;1
198312;2.2;1
198401;3.1;1
198402;1.9;1
198403;2;1
198404;4.6;1
198405;6.8;1
198406;11;1
198407;12.6;1
198408;12.8;1
198409;10.1;1
198410;8.7;1
198411;6.9;1
198412;3.2;1
198501;-1.9;1
198502;2;1
198503;2;1
198504;5.9;1
198505;8.4;1
198506;10.5;1
198507;13.4;1
198508;11.1;1
198509;11.1;1
198510;7.5;1
198511;2.3;1
198512;3.6;1
198601;2.6;1
198602;-4.1;1
198603;2.9;1
198604;3.2;1
198605;7.8;1
198606;11.6;1
198607;12.3;1
198608;10.6;1
198609;8.9;1
198610;9.9;1
198611;5.8;1
198612;3.4;1
198701;-2.5;1
198702;2.3;1
198703;2.3;1
198704;6.6;1
198705;6.3;1
198706;11.2;1
198707;13.8;1
198708;12.7;1
198709;13;1
198710;8.4;1
198711;4.5;1
198712;3.9;1
198801;5.8;1
198802;3;1
198803;4.9;1
198804;6.8;1
198805;9.3;1
198806;11.8;1
198807;11.5;1
198808;11.6;1
198809;11.3;1
198810;9.5;1
198811;2.7;1
198812;4.8;1
198901;1.6;1
198902;3.3;1
198903;5.2;1
198904;4.1;1
198905;10.3;1
198906;10.9;1
198907;14.1;1
198908;12.2;1
198909;10.5;1
198910;9;1
198911;4.8;1
198912;4.4;1
199001;4.6;1
199002;7.5;1
199003;3.3;1
199004;5.1;1
199005;9.9;1
199006;10.4;1
199007;14;1
199008;13.2;1
199009;10;1
199010;9.2;1
199011;4.9;1
199012;1.7;1
199101;2.6;1
199102;-1.2;1
199103;6.3;1
199104;4.4;1
199105;8.4;1
199106;10.2;1
199107;13.3;1
199108;14.6;1
199109;12.7;1
199110;7.5;1
199111;4.6;1
199112;1.7;1
199201;1.3;1
199202;1.3;1
199203;4.3;1
199204;5.2;1
199205;9.3;1
199206;11.2;1
199207;12.9;1
199208;14.3;1
199209;10.2;1
199210;7;1
199211;8.2;1
199212;3.8;1
199301;6;1
199302;1.7;1
199303;2.9;1
199304;6.1;1
199305;9.1;1
199306;12;1
199307;11.8;1
199308;11.1;1
199309;10.1;1
199310;7.9;1
199311;1.5;1
199312;4.9;1
199401;4.1;1
199402;3.8;1
199403;5.8;1
199404;4.9;1
199405;8.7;1
199406;10.8;1
199407;14;1
199408;14.3;1
199409;11.2;1
199410;8.6;1
199411;8.3;1
199412;6.1;1
199501;2.7;1
199502;6.7;1
199503;3.3;1
199504;6.1;1
199505;8.1;1
199506;10.7;1
199507;15.2;1
199508;14.5;1
199509;10.1;1
199510;10.3;1
199511;4.2;1
199512;3.3;1
199601;4.4;1
199602;1.1;1
199603;2.8;1
199604;5;1
199605;7.8;1
199606;11;1
199607;12;1
199608;12.2;1
199609;9;1
199610;8.3;1
199611;5.2;1
199612;1.5;1
199701;0.2;1
199702;4.3;1
199703;5.4;1
199704;3.7;1
199705;9.6;1
199706;11.5;1
199707;12.6;1
199708;16.4;1
199709;9.8;1
199710;8.6;1
199711;6.6;1
199712;4.1;1
199801;3.5;1
199802;1.9;1
199803;4.6;1
199804;5.6;1
199805;10.2;1
199806;10.5;1
199807;12.5;1
199808;11.9;1
199809;13.1;1
199810;9.7;1
199811;2.5;1
199812;3.9;1
199901;4.7;1
199902;3.7;1
199903;5.2;1
199904;7.1;1
199905;10.2;1
199906;11.6;1
199907;14.3;1
199908;13.7;1
199909;13;1
199910;9.4;1
199911;4.2;1
199912;3.8;1
200001;2.2;1
200002;4.9;1
200003;3.4;1
200004;5.2;1
200005;10.9;1
200006;12.6;1
200007;12.4;1
200008;13.1;1
200009;11.3;1
200010;8.5;1
200011;5.6;1
200012;6;1
200101;3.6;1
200102;3.2;1
200103;7.2;1
200104;5.7;1
200105;9;1
200106;10.1;1
200107;13.2;1
200108;14.2;1
200109;8.9;1
200110;11.6;1
200111;3.6;1
