# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 53147001
# NOM_USUEL= MAYENNE
# LATITUDE (°) = 48.311
# LONGITUDE(°)= -0.64
# ALTITUDE (m) = 138
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN153147001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195801 202212
# Date(s) de rupture(s) d'homogénéité : 197912 199112 201908
#     Periode homogénéisée  195801 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;2.4;1
195802;4;1
195803;2.1;1
195804;4.1;1
195805;9.2;1
195806;10.7;1
195807;12.5;1
195808;13.3;1
195809;12.3;1
195810;8.6;1
195811;4;1
195812;3.2;1
195901;0.8;1
195902;0.6;1
195903;4.7;1
195904;5.9;1
195905;9.1;1
195906;10.4;1
195907;13.3;1
195908;13.3;1
195909;11.4;1
195910;8;1
195911;4.9;1
195912;4.2;1
196001;1;1
196002;1.6;1
196003;5;1
196004;5.3;1
196005;9.4;1
196006;12.1;1
196007;12.4;1
196008;11.9;1
196009;10;1
196010;8.3;1
196011;6;1
196012;1.5;1
196101;1.5;1
196102;4.6;1
196103;3.3;1
196104;7.8;1
196105;7.6;1
196106;10.4;1
196107;12.4;1
196108;11.9;1
196109;13.4;1
196110;8.1;1
196111;4.3;1
196112;2.7;1
196201;2.6;1
196202;0.8;1
196203;0.7;1
196204;5.8;1
196205;7.4;1
196206;9.5;1
196207;12.4;1
196208;12.7;1
196209;10.9;1
196210;7.6;1
196211;4.4;1
196212;-0.4;1
196301;-4.5;1
196302;-4.2;1
196303;4.1;1
196304;5.7;1
196305;8.2;1
196306;11.9;1
196307;12.4;1
196308;12;1
196309;11.1;1
196310;8.3;1
196311;6.5;1
196312;-0.4;1
196401;-0.9;1
196402;2.8;1
196403;3.6;1
196404;6;1
196405;9.7;1
196406;10.7;1
196407;13;1
196408;12.8;1
196409;12.4;1
196410;6.5;1
196411;4.7;1
196412;0.5;1
196501;1.6;1
196502;-0.9;1
196503;4;1
196504;5.3;1
196505;9.3;1
196506;11;1
196507;11.4;1
196508;11.8;1
196509;9.4;1
196510;7;1
196511;3.4;1
196512;3.7;1
196601;0.7;1
196602;5.8;1
196603;2.6;1
196604;7.3;1
196605;8.2;1
196606;12;1
196607;12;1
196608;11.5;1
196609;11.5;1
196610;8.5;1
196611;2.3;1
196612;4;1
196701;2.4;1
196702;3;1
196703;3.4;1
196704;4.3;1
196705;7.9;1
196706;10.3;1
196707;13.2;1
196708;12.5;1
196709;10.8;1
196710;9.6;1
196711;3.8;1
196712;1.2;1
196801;2;1
196802;0.8;1
196803;3.2;1
196804;4.5;1
196805;6.8;1
196806;11.5;1
196807;12.4;1
196808;13.3;1
196809;10.7;1
196810;9.9;1
196811;3.5;1
196812;0.7;1
196901;2.6;1
196902;-1.7;1
196903;3.8;1
196904;4.3;1
196905;8.2;1
196906;10.5;1
196907;13.5;1
196908;13.3;1
196909;12.4;1
196910;8;1
196911;4.9;1
196912;0.8;1
197001;2;1
197002;2;1
197003;1.6;1
197004;4.1;1
197005;8.5;1
197006;13.2;1
197007;12.1;1
197008;13.3;1
197009;11.4;1
197010;7.8;1
197011;5.7;1
197012;0.1;1
197101;1.5;1
197102;1.3;1
197103;1.1;1
197104;6.3;1
197105;9.9;1
197106;10.7;1
197107;14.4;1
197108;12.5;1
197109;10.6;1
197110;6.6;1
197111;2.2;1
197112;2.6;1
197201;1.8;1
197202;3.4;1
197203;4.3;1
