# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 86177001
# NOM_USUEL= NEUVILLE DE POI
# LATITUDE (°) = 46.695
# LONGITUDE(°)= 0.247
# ALTITUDE (m) = 110
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MTN186177001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195101 202112
# Date(s) de rupture(s) d'homogénéité : 195803 196112 197312 198612 200412
#     Periode homogénéisée  195101 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;2.1;1
195102;-0.5;1
195103;0.4;1
195104;2.6;1
195105;5.2;1
195106;12;1
195107;12.6;1
195108;11.6;1
195109;11.4;1
195110;6.2;1
195111;5.4;1
195112;0.8;1
195201;-0.1;1
195202;-0.7;1
195203;5.4;1
195204;6.3;1
195205;8.6;1
195206;11.2;1
195207;13.5;1
195208;13.6;1
195209;8.4;1
195210;7.6;1
195211;2.5;1
195212;2;1
195301;-2.6;1
195302;-1.1;1
195303;1;1
195304;4.6;1
195305;8.8;1
195306;10.1;1
195307;12.8;1
195308;12.4;1
195309;9.7;1
195310;7.6;1
195311;2.3;1
195312;5.3;1
195401;0.1;1
195402;-0.1;1
195403;3.7;1
195404;3.4;1
195405;7.3;1
195406;10.4;1
195407;10.7;1
195408;11.1;1
195409;11.3;1
195410;8;1
195411;4.5;1
195412;4.6;1
195501;2;1
195502;1.3;1
195503;-0.4;1
195504;4.1;1
195505;6.4;1
195506;11.6;1
195507;14.3;1
195508;13.1;1
195509;10.2;1
195510;6.1;1
195511;1.4;1
195512;5.3;1
195601;1.3;1
195602;-8.6;1
195603;2.5;1
195604;2.6;1
195605;8.2;1
195606;9.2;1
195607;12.6;1
195608;11.1;1
195609;11.6;1
195610;6.4;1
195611;1;1
195612;3.8;1
195701;-1;1
195702;4.5;1
195703;5.2;1
195704;4.4;1
195705;5.9;1
195706;11.5;1
195707;13;1
195708;11.3;1
195709;8.9;1
195710;6.5;1
195711;3.1;1
195712;0.1;1
195801;1.4;1
195802;4.1;1
195803;2;1
195804;4.2;1
195805;8;1
195806;10.6;1
195807;12.8;1
195808;13.3;1
195809;12.4;1
195810;7.3;1
195811;4.2;1
195812;2.2;1
195901;0.5;1
195902;0.4;1
195903;4.4;1
195904;5.5;1
195905;9.2;1
195906;11.2;1
195907;13.1;1
195908;12.9;1
195909;11.2;1
