# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 7064001
# NOM_USUEL= CHEYLARD SA
# LATITUDE (°) = 44.915
# LONGITUDE(°)= 4.438
# ALTITUDE (m) = 418
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN207064001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195901 202312
# Date(s) de rupture(s) d'homogénéité : 196710 197812 199401 201811
#     Periode homogénéisée  195901 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-2.2;1
195902;-1.1;1
195903;4.7;1
195904;4.6;1
195905;7.8;1
195906;11.2;1
195907;13.9;1
195908;12.6;1
195909;10.9;1
195910;5.6;1
195911;1.9;1
195912;1.3;1
196001;-1.3;1
196002;-0.9;1
196003;3.6;1
196004;4.8;1
196005;9.2;1
196006;11.9;1
196007;11.7;1
196008;11.5;1
196009;8.4;1
196010;5.8;1
196011;2.4;1
196012;-2;1
196101;-1.7;1
196102;1.4;1
196103;1;1
196104;6.1;1
196105;7.8;1
196106;11.6;1
196107;11.6;1
196108;11.2;1
196109;11.3;1
196110;6.3;1
196111;1.4;1
196112;-0.9;1
196201;1.1;1
196202;-1.3;1
196203;-0.4;1
196204;4.6;1
196205;6.2;1
196206;9.6;1
196207;11.8;1
196208;12.2;1
196209;9;1
196210;5.6;1
196211;0.7;1
196212;-4;1
196301;-4.3;1
196302;-4.6;1
196303;0.9;1
196304;4.7;1
196305;7.5;1
196306;10.3;1
196307;13;1
196308;10.8;1
196309;9.7;1
196310;4.9;1
196311;4.4;1
196312;-2.3;1
196401;-2.8;1
196402;1.6;1
196403;2.1;1
196404;5.4;1
196405;8.8;1
196406;12.3;1
196407;13;1
196408;11.9;1
196409;10;1
196410;4.5;1
196411;2.1;1
196412;-1.3;1
196501;-0.1;1
196502;-2.5;1
196503;1.7;1
196504;4.8;1
196505;8;1
196506;10.7;1
196507;10.8;1
196508;12;1
196509;7.9;1
196510;6.7;1
196511;2;1
196512;0.7;1
196601;-2.2;1
196602;2.8;1
196603;1.3;1
196604;4.9;1
196605;7.9;1
196606;10.5;1
196607;10.7;1
196608;10.5;1
196609;9.4;1
196610;8.2;1
196611;0.9;1
196612;1.3;1
196701;-1.3;1
196702;0.5;1
196703;3.8;1
196704;3.7;1
196705;7.1;1
196706;9.9;1
196707;12.8;1
196708;12.1;1
196709;9.2;1
196710;7.3;1
196711;2.2;1
196712;-2.7;1
196801;-1.6;1
196802;0.1;1
196803;1.5;1
196804;4.6;1
196805;7.1;1
196806;10.1;1
196807;11.7;1
196808;10.7;1
196809;8.1;1
196810;6.5;1
196811;3.3;1
196812;-0.8;1
196901;-0.4;1
196902;-3;1
196903;2.4;1
196904;4.7;1
196905;7.5;1
196906;9;1
196907;12.5;1
196908;12;1
196909;9.5;1
196910;6.2;1
196911;1.3;1
196912;-4.2;1
197001;0.2;1
197002;-0.4;1
197003;0;1
197004;2.9;1
197005;6.6;1
197006;12.6;1
197007;12.5;1
197008;11.9;1
197009;9.2;1
197010;5.2;1
197011;2.5;1
197012;-2.8;1
197101;-3;1
197102;-0.8;1
197103;-2.1;1
197104;5.4;1
197105;8.7;1
197106;9.8;1
197107;11.7;1
197108;12.3;1
197109;9;1
197110;4.8;1
197111;1.1;1
197112;-0.8;1
197201;0;1
197202;1.4;1
197203;1.5;1
197204;4.4;1
197205;6.2;1
197206;8.9;1
197207;12.4;1
197208;10.2;1
197209;6.5;1
197210;5.4;1
197211;2.1;1
197212;-0.1;1
197301;-1.8;1
197302;-0.9;1
197303;-0.7;1
197304;2.1;1
197305;8.9;1
197306;11.9;1
197307;12;1
197308;13.2;1
197309;9.5;1
197310;4.6;1
197311;1.3;1
197312;-0.7;1
197401;1.4;1
197402;1.5;1
197403;2.7;1
197404;4.4;1
197405;6.8;1
197406;9.5;1
197407;11.9;1
197408;12.1;1
197409;8;1
197410;3;1
197411;2.5;1
197412;2.1;1
197501;0.8;1
197502;-0.6;1
197503;1.4;1
197504;3.9;1
197505;7.3;1
197506;10;1
197507;12.2;1
197508;12.6;1
197509;10.4;1
197510;3.4;1
197511;2;1
197512;-1.2;1
197601;0.2;1
197602;1.1;1
197603;0.7;1
197604;3.6;1
197605;6.7;1
197606;11.4;1
197607;13.6;1
197608;11;1
197609;8.1;1
197610;6.6;1
197611;2.2;1
197612;-0.2;1
197701;-0.1;1
197702;1.1;1
197703;3.1;1
197704;4.1;1
197705;6.7;1
197706;9.7;1
197707;11.9;1
197708;11.4;1
197709;7.7;1
197710;7.2;1
197711;1.3;1
197712;-0.2;1
197801;-1.7;1
197802;-0.3;1
197803;2.7;1
197804;3.1;1
197805;6.9;1
197806;8.8;1
197807;11.6;1
197808;10;1
197809;8.6;1
197810;4.7;1
197811;-1;1
197812;0.6;1
197901;-2.6;1
197902;0.4;1
197903;3.3;1
197904;3.8;1
197905;6.7;1
197906;12.5;1
197907;13.1;1
197908;10.8;1
197909;9.2;1
197910;8.3;1
197911;1.7;1
197912;-0.2;1
198001;-2.5;1
198002;1.1;1
198003;1.8;1
198004;3.9;1
198005;7.2;1
198006;9.5;1
198007;10.4;1
198008;13.1;1
198009;10.2;1
198010;5.3;1
198011;0.3;1
198012;-2.7;1
198101;-1.5;1
198102;-2.5;1
198103;3.4;1
198104;4.9;1
198105;7.4;1
198106;10.4;1
198107;11.9;1
198108;12.5;1
198109;10.7;1
198110;5.7;1
198111;1.1;1
198112;0.7;1
198201;1.6;1
198202;0;1
198203;0.6;1
198204;4.5;1
198205;7;1
198206;12.1;1
198207;14.5;1
198208;12;1
198209;10.7;1
198210;6.3;1
198211;3.8;1
198212;0.2;1
198301;-1;1
198302;-3.3;1
198303;1.7;1
198304;5.3;1
198305;7.6;1
198306;12.1;1
198307;14.7;1
198308;13.4;1
198309;9.3;1
198310;4.8;1
198311;1.7;1
198312;-0.9;1
198401;-0.6;1
198402;-1.8;1
198403;0.1;1
198404;2.5;1
198405;5.4;1
198406;10.5;1
198407;12.7;1
198408;12.3;1
198409;8.5;1
198410;5.9;1
198411;4.2;1
198412;-0.2;1
198501;-5.2;1
198502;0.1;1
198503;0.8;1
198504;4.5;1
198505;6.8;1
198506;9.9;1
198507;13.5;1
198508;11.2;1
198509;10.5;1
198510;6;1
198511;-1.6;1
198512;0.3;1
198601;-0.9;1
198602;-2.9;1
198603;1.2;1
198604;3.6;1
198605;9;1
198606;11.4;1
198607;13.2;1
198608;11.9;1
198609;10.5;1
198610;8;1
198611;3;1
198612;0.7;1
198701;-4.6;1
198702;0.6;1
198703;0.5;1
198704;5.3;1
198705;6.3;1
198706;10.6;1
198707;13.4;1
