# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 7105001
# NOM_USUEL= ISSANLAS
# LATITUDE (°) = 44.773
# LONGITUDE(°)= 3.982
# ALTITUDE (m) = 1215
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN207105001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195501 202312
# Date(s) de rupture(s) d'homogénéité : 195908 196808 197612 200212 202012
#     Periode homogénéisée  195501 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;-1.1;1
195502;-4.9;1
195503;-4.8;1
195504;-0.3;1
195505;3.1;1
195506;7.1;1
195507;9.6;1
195508;8.8;1
195509;6.4;1
195510;1.6;1
195511;-1.5;1
195512;-0.6;1
195601;-2.9;1
195602;-14.7;1
195603;-2.3;1
195604;-1.1;1
195605;4.5;1
195606;5.5;1
195607;9.2;1
195608;7.6;1
195609;7.6;1
195610;1.5;1
195611;-3.3;1
195612;-2.5;1
195701;-5.5;1
195702;-0.8;1
195703;0.5;1
195704;0.9;1
195705;2.4;1
195706;7;1
195707;9.5;1
195708;8.6;1
195709;6.4;1
195710;2.7;1
195711;-1.7;1
195712;-4.5;1
195801;-3.9;1
195802;-1.7;1
195803;-3.2;1
195804;-1.5;1
195805;5.4;1
195806;6.5;1
195807;9.5;1
195808;10.1;1
195809;8.8;1
195810;2.9;1
195811;-0.8;1
195812;-3;1
195901;-4.6;1
195902;-2.5;1
195903;0.4;1
195904;0.7;1
195905;4.4;1
195906;7.8;1
195907;10.7;1
195908;8.8;1
195909;8;1
195910;3.4;1
195911;-0.6;1
195912;-1.9;1
196001;-4.8;1
196002;-2.5;1
196003;-0.4;1
196004;-0.1;1
196005;5.1;1
196006;8.3;1
196007;8.1;1
196008;8.4;1
196009;5.8;1
196010;3.1;1
196011;0.2;1
196012;-4.8;1
196101;-4;1
196102;0;1
196103;-1.2;1
196104;3.5;1
196105;3.3;1
196106;8.1;1
196107;8.5;1
196108;8.7;1
196109;10.6;1
196110;4;1
196111;-0.6;1
196112;-1.8;1
196201;-2;1
196202;-4.9;1
196203;-5;1
196204;0.3;1
196205;2.6;1
196206;5.8;1
196207;8.3;1
196208;9.4;1
196209;6.7;1
196210;4.1;1
196211;-2.5;1
196212;-6.3;1
196301;-7.4;1
196302;-8.7;1
196303;-2.1;1
196304;0.7;1
196305;2.7;1
196306;7.3;1
196307;10.1;1
196308;8;1
196309;6.9;1
196310;3.7;1
196311;1.9;1
196312;-4.7;1
196401;-5.5;1
196402;-2;1
196403;-2.2;1
196404;1;1
196405;5.4;1
196406;7.7;1
196407;9.9;1
196408;8.9;1
196409;8.3;1
196410;1.6;1
196411;0.3;1
196412;-4.4;1
196501;-4.2;1
196502;-8;1
196503;-2.5;1
196504;-0.1;1
196505;3.4;1
196506;7.7;1
196507;8.4;1
196508;8.1;1
196509;5.2;1
196510;5.3;1
196511;-0.4;1
196512;-2.2;1
196601;-4.7;1
196602;0.2;1
196603;-3.5;1
196604;1.6;1
196605;4;1
196606;7.3;1
196607;7.5;1
196608;8.1;1
196609;8.7;1
196610;5.1;1
196611;-3.7;1
196612;-2.9;1
196701;-4.6;1
196702;-3;1
196703;-1;1
196704;-1.2;1
196705;3.3;1
196706;5.5;1
196707;10.6;1
196708;9.3;1
196709;7;1
196710;5.3;1
196711;0.7;1
196712;-6.4;1
196801;-5.3;1
196802;-2.8;1
196803;-2.5;1
196804;1.2;1
196805;2.7;1
196806;6.3;1
196807;8.8;1
196808;8.4;1
196809;6.6;1
196810;5.6;1
196811;-0.6;1
196812;-4.1;1
196901;-2.8;1
196902;-7.1;1
196903;-1.2;1
196904;0.8;1
196905;4.4;1
196906;5.4;1
196907;9.7;1
196908;8.9;1
196909;7.1;1
196910;4.7;1
196911;-1.5;1
196912;-7.3;1
197001;-3.6;1
197002;-3.3;1
197003;-4.5;1
197004;-1.1;1
197005;3.2;1
197006;8.9;1
197007;8.6;1
197008;9.7;1
197009;7.4;1
197010;3;1
197011;1.1;1
197012;-5.3;1
197101;-4.3;1
197102;-5;1
197103;-7.5;1
197104;2.2;1
197105;5;1
197106;5.5;1
197107;10;1
197108;10.2;1
197109;6.3;1
197110;3.7;1
197111;-3.3;1
197112;-1.2;1
197201;-3.2;1
197202;-2.1;1
197203;-0.4;1
197204;-0.5;1
197205;2.6;1
197206;5.7;1
197207;8.6;1
197208;8.1;1
197209;3.7;1
197210;2.6;1
197211;0.2;1
197212;-2.1;1
197301;-4.5;1
197302;-4.7;1
197303;-4.3;1
197304;-2.3;1
197305;5;1
197306;7.9;1
197307;9;1
197308;11.3;1
197309;7.6;1
197310;1.7;1
197311;-0.8;1
197312;-4.7;1
197401;-1.4;1
197402;-2.8;1
197403;-0.1;1
197404;0.5;1
197405;3.4;1
197406;6.2;1
197407;8.6;1
197408;9.5;1
197409;5.9;1
197410;-1.2;1
197411;-0.9;1
197412;-1.2;1
197501;-1.4;1
197502;-2.6;1
197503;-2.9;1
197504;-0.2;1
197505;2.9;1
197506;6.6;1
197507;9.6;1
197508;10.5;1
197509;8;1
197510;1.8;1
197511;-1.4;1
197512;-4;1
197601;-4.1;1
197602;-1.5;1
197603;-2.6;1
197604;-0.6;1
197605;4.8;1
197606;8.6;1
197607;10.1;1
197608;8.7;1
197609;5.3;1
197610;3.7;1
197611;-1.9;1
197612;-3.2;1
197701;-3.9;1
197702;-1.8;1
197703;-1.1;1
197704;-1;1
197705;2.4;1
197706;5.9;1
197707;8.2;1
