# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 9023002
# NOM_USUEL= ASCOU LAVAIL
# LATITUDE (°) = 42.724
# LONGITUDE(°)= 1.895
# ALTITUDE (m) = 1100
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN209023002
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196510 198812 200604 201212
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-3.4;1
195902;-3.8;1
195903;1;1
195904;1.4;1
195905;3.6;1
195906;6;1
195907;9.2;1
195908;8.1;1
195909;7.5;1
195910;3.2;1
195911;-1.6;1
195912;-3.5;1
196001;-4;1
196002;-2.5;1
196003;0;1
196004;0.1;1
196005;4.4;1
196006;7.2;1
196007;8.1;1
196008;7.9;1
196009;5.6;1
196010;2.6;1
196011;-0.2;1
196012;-5.6;1
196101;-5.7;1
196102;-1.2;1
196103;-1;1
196104;2.1;1
196105;4.1;1
196106;6.8;1
196107;8.8;1
196108;7.8;1
196109;7.7;1
196110;3.1;1
196111;-0.9;1
196112;-2.6;1
196201;-2.7;1
196202;-5.4;1
196203;-2.5;1
196204;-0.4;1
196205;2.6;1
196206;4.5;1
196207;7.7;1
196208;8.3;1
196209;6.9;1
196210;2.6;1
196211;-2.4;1
196212;-5.3;1
196301;-6.5;1
196302;-8.4;1
196303;-2.7;1
196304;0.4;1
196305;2.7;1
196306;6.2;1
196307;8.8;1
196308;7.2;1
196309;5.9;1
196310;2.1;1
196311;1.6;1
196312;-5.9;1
196401;-5.3;1
196402;-3.8;1
196403;-2.4;1
196404;0.6;1
196405;5.1;1
196406;6.9;1
196407;8.6;1
196408;8.1;1
196409;8.1;1
196410;0.8;1
196411;-0.8;1
196412;-5.3;1
196501;-5.2;1
196502;-7.7;1
196503;-2.6;1
196504;0.2;1
196505;3.2;1
196506;6.6;1
196507;8.1;1
196508;7;1
196509;4.4;1
196510;3.4;1
196511;-0.9;1
196512;-2.3;1
196601;-2;1
196602;0.8;1
196603;-2.6;1
196604;1.7;1
196605;3.2;1
196606;6.9;1
196607;8;1
196608;8.3;1
196609;6.9;1
196610;3.7;1
196611;-2.9;1
196612;-2.5;1
196701;-4.8;1
196702;-2.7;1
196703;-0.2;1
196704;-0.2;1
196705;3;1
196706;5;1
196707;9.7;1
196708;8.5;1
196709;6.5;1
196710;4.1;1
196711;0.1;1
196712;-6;1
196801;-3.6;1
196802;-3.8;1
196803;-2.2;1
196804;2.1;1
196805;2.5;1
196806;5.9;1
196807;8.1;1
196808;7.4;1
196809;5.5;1
196810;3.8;1
196811;0.6;1
196812;-3.5;1
196901;-3.3;1
196902;-6.5;1
196903;-1.1;1
196904;1.3;1
196905;4.4;1
196906;5;1
196907;8.5;1
196908;8.3;1
196909;4.9;1
196910;3.1;1
196911;-2.5;1
196912;-6.8;1
197001;-2.4;1
197002;-3.5;1
197003;-4.2;1
197004;-0.7;1
197005;2.4;1
197006;6.7;1
197007;7.9;1
197008;8.9;1
197009;6.4;1
197010;1.4;1
197011;0.5;1
197012;-6.3;1
197101;-4.4;1
197102;-4.4;1
197103;-6.3;1
197104;0.9;1
197105;3.5;1
197106;5.6;1
197107;8.1;1
197108;10;1
197109;6.1;1
197110;4.3;1
197111;-4.1;1
197112;-2.9;1
197201;-4.8;1
197202;-2.7;1
197203;-1.9;1
197204;-0.4;1
197205;2.1;1
197206;5.5;1
197207;7.4;1
197208;6.8;1
197209;3.9;1
197210;2.5;1
197211;-0.4;1
197212;-3.2;1
197301;-3.9;1
197302;-5.9;1
197303;-4.9;1
197304;-1.4;1
197305;4.4;1
197306;6.4;1
197307;8.3;1
197308;9;1
197309;6.2;1
197310;0.9;1
197311;-2.2;1
197312;-4.3;1
197401;-3;1
197402;-3.2;1
197403;-1.7;1
197404;-0.1;1
197405;3.4;1
197406;5.5;1
197407;7.9;1
197408;8.3;1
197409;5.2;1
197410;-0.8;1
197411;-0.2;1
