# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 29075001
# NOM_USUEL= BREST-GUIPAVAS
# LATITUDE (°) = 48.454
# LONGITUDE(°)= -4.391
# ALTITUDE (m) = 92
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN229075001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 197610 199807 201611
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;4.1;1
195102;2.5;1
195103;3.6;1
195104;4.3;1
195105;6.6;1
195106;10.6;1
195107;11.1;1
195108;11.4;1
195109;11.6;1
195110;7.3;1
195111;6.7;1
195112;4.9;1
195201;2.3;1
195202;1.7;1
195203;6.2;1
195204;5.9;1
195205;9.2;1
195206;9.7;1
195207;12;1
195208;12.6;1
195209;8.4;1
195210;8.3;1
195211;4.7;1
195212;2.9;1
195301;1.5;1
195302;1.8;1
195303;2.2;1
195304;5.6;1
195305;9.2;1
195306;9.7;1
195307;12;1
195308;12.3;1
195309;9.8;1
195310;7.9;1
195311;6.6;1
195312;7;1
195401;3;1
195402;2.3;1
195403;4.6;1
195404;3.7;1
195405;7.2;1
195406;9.8;1
195407;10.1;1
195408;10.6;1
195409;10.3;1
195410;10.1;1
195411;5.6;1
195412;6.3;1
195501;3.3;1
195502;1.8;1
195503;1;1
195504;5.5;1
195505;6.8;1
195506;10.7;1
195507;11.8;1
195508;12.8;1
195509;10.4;1
195510;6.7;1
195511;4.9;1
195512;6.8;1
195601;3.8;1
195602;-2.9;1
195603;4.2;1
195604;3.2;1
195605;6.8;1
195606;8.6;1
195607;11.7;1
195608;9.9;1
195609;11.8;1
195610;7.7;1
195611;5.4;1
195612;5.1;1
195701;3.9;1
195702;5;1
195703;7.9;1
195704;6;1
195705;7.1;1
195706;9.9;1
195707;12.5;1
195708;11.8;1
195709;10.1;1
195710;8.6;1
195711;4.8;1
195712;3.2;1
195801;3.3;1
195802;5.1;1
195803;3.7;1
195804;4.4;1
195805;7.9;1
195806;9.9;1
195807;11.5;1
195808;12.5;1
195809;11.7;1
195810;8.4;1
195811;5.6;1
195812;3.5;1
195901;2.8;1
195902;2.4;1
195903;5.3;1
195904;6.4;1
195905;7.9;1
195906;9.8;1
195907;11.7;1
195908;12.2;1
195909;10.9;1
195910;9.6;1
195911;6;1
195912;5.1;1
196001;3.6;1
196002;2.8;1
196003;6.3;1
196004;5.4;1
196005;8.4;1
196006;11;1
196007;11.3;1
196008;11.7;1
196009;9.6;1
196010;8.4;1
196011;6.6;1
196012;3.1;1
196101;4;1
196102;6;1
196103;4.4;1
196104;7.8;1
196105;7.3;1
196106;9.6;1
196107;11.2;1
196108;11.5;1
196109;12;1
196110;8.6;1
196111;4.8;1
196112;3.1;1
196201;4.3;1
196202;2.7;1
196203;1.3;1
196204;4.9;1
196205;7;1
196206;8.3;1
196207;11.1;1
196208;11.7;1
196209;9.5;1
196210;8.3;1
196211;4.1;1
196212;2;1
196301;-2.5;1
196302;-0.9;1
196303;4.7;1
196304;5;1
196305;6.5;1
196306;10.4;1
196307;11.1;1
196308;11.3;1
196309;10.1;1
196310;8.6;1
196311;7.2;1
196312;1.4;1
196401;0.9;1
196402;3.5;1
196403;3.7;1
196404;5.2;1
196405;9.1;1
196406;10.2;1
196407;11.9;1
196408;11.2;1
196409;11.2;1
196410;7;1
196411;5.5;1
196412;3.8;1
196501;3.2;1
196502;0.5;1
196503;4.5;1
196504;5.1;1
196505;8.7;1
196506;9.8;1
196507;10.9;1
196508;11.8;1
196509;8.8;1
196510;8.9;1
196511;4.8;1
196512;5.7;1
196601;3.5;1
196602;6.5;1
196603;4;1
196604;7.2;1
196605;7.8;1
196606;11.2;1
196607;11.1;1
196608;11.6;1
196609;12;1
196610;8.6;1
196611;4.2;1
196612;6.1;1
196701;4.5;1
196702;3.3;1
196703;4.3;1
196704;5;1
196705;7.5;1
196706;9.7;1
196707;11.7;1
196708;11.9;1
196709;10.7;1
196710;9.1;1
196711;5.1;1
196712;4.3;1
196801;4.7;1
196802;2;1
196803;4.1;1
196804;4.4;1
196805;6;1
196806;10.1;1
196807;11.1;1
196808;12.3;1
196809;10.9;1
196810;10.9;1
196811;6.3;1
196812;3.9;1
196901;5.2;1
196902;0.8;1
196903;4;1
196904;5.1;1
196905;7.6;1
196906;9.4;1
196907;11.5;1
196908;11.8;1
196909;11.7;1
196910;9.6;1
196911;5;1
196912;3.4;1
197001;4.1;1
197002;3.3;1
197003;2.2;1
197004;4.7;1
197005;7.5;1
197006;11.2;1
197007;11.2;1
197008;11.6;1
197009;11.2;1
197010;7.9;1
197011;7.2;1
197012;2;1
197101;3.9;1
197102;2.6;1
197103;2.3;1
197104;4.8;1
197105;7.2;1
197106;9.2;1
197107;11.8;1
197108;12.2;1
197109;10.8;1
197110;8.8;1
197111;4.3;1
197112;4.2;1
197201;2.7;1
197202;3.5;1
197203;4.4;1
197204;5.7;1
197205;7;1
197206;8.2;1
197207;10.8;1
197208;10.6;1
197209;8.2;1
197210;7.9;1
197211;5.2;1
197212;4.5;1
197301;2.9;1
197302;3.2;1
197303;2.2;1
197304;4;1
197305;8.5;1
197306;9.9;1
197307;11.3;1
197308;12.4;1
197309;10.6;1
197310;7.4;1
197311;5.7;1
197312;4.1;1
197401;5;1
197402;3.6;1
197403;3.5;1
197404;4.8;1
197405;7.1;1
197406;9.7;1
197407;11.2;1
197408;11.2;1
197409;9.2;1
197410;5.8;1
197411;6.4;1
197412;6.7;1
197501;5.4;1
197502;4;1
197503;3.4;1
197504;4.7;1
197505;7;1
197506;9.4;1
197507;12.4;1
197508;13.2;1
197509;9.9;1
197510;7.3;1
197511;5.5;1
197512;3.5;1
197601;4.6;1
197602;3.4;1
197603;3.3;1
197604;3.7;1
197605;7.4;1
197606;11.5;1
197607;12.5;1
197608;12.1;1
197609;9.9;1
197610;8.4;1
197611;5.6;1
197612;2.3;1
197701;2.6;1
197702;4.6;1
197703;5.3;1
197704;4.5;1
197705;6.8;1
197706;8.7;1
197707;11.8;1
197708;11.2;1
197709;9;1
197710;9.8;1
197711;5.5;1
197712;5.2;1
197801;2.9;1
197802;3.7;1
197803;4.5;1
197804;3.9;1
197805;7.1;1
197806;8.8;1
197807;11;1
197808;10.1;1
197809;9.9;1
197810;9.2;1
197811;7.1;1
197812;4.8;1
197901;0.3;1
197902;2.8;1
197903;3.5;1
197904;5.2;1
197905;5.8;1
197906;9.7;1
197907;11.4;1
197908;11.4;1
197909;9.9;1
197910;9.2;1
197911;5.9;1
197912;5.6;1
198001;2.1;1
198002;5.3;1
198003;3.5;1
198004;5.4;1
198005;6.7;1
198006;10.2;1
198007;10.8;1
198008;12.5;1
198009;10.9;1
198010;7.5;1
198011;4.7;1
198012;4.5;1
198101;4.5;1
198102;1.6;1
198103;6.8;1
198104;5.6;1
198105;8.1;1
198106;9.8;1
198107;12.1;1
198108;11.8;1
198109;11.6;1
198110;7.8;1
198111;6.5;1
198112;3.7;1
198201;4.8;1
198202;4.3;1
198203;3.8;1
198204;4.5;1
198205;7.3;1
198206;10.7;1
198207;12;1
198208;12.1;1
198209;11.4;1
198210;8.3;1
198211;6.9;1
198212;4.2;1
198301;5.2;1
198302;1.5;1
198303;4.7;1
198304;4.1;1
198305;7.2;1
198306;10.7;1
198307;14.2;1
198308;12.8;1
198309;11.4;1
198310;7.8;1
198311;6.5;1
198312;4.6;1
198401;3.6;1
198402;2.8;1
198403;2.6;1
198404;4.4;1
198405;6.3;1
198406;9.3;1
