# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 30243001
# NOM_USUEL= ST CHRISTOL-LES-ALES
# LATITUDE (°) = 44.092
# LONGITUDE(°)= 4.08
# ALTITUDE (m) = 129
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN230243001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 196201 202312
# Date(s) de rupture(s) d'homogénéité : 199512 201512
#     Periode homogénéisée  196201 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;2.8;1
196202;0.1;1
196203;1.5;1
196204;6.4;1
196205;7.6;1
196206;11.6;1
196207;14.3;1
196208;13.9;1
196209;11.9;1
196210;9.6;1
196211;2.4;1
196212;-2;1
196301;-2.3;1
196302;-2.9;1
196303;3;1
196304;6.7;1
196305;8.9;1
196306;12.1;1
196307;15.3;1
196308;12.9;1
196309;12.1;1
196310;6.5;1
196311;6.1;1
196312;-0.6;1
196401;-0.8;1
196402;2.8;1
196403;2.9;1
196404;6.9;1
196405;10.4;1
196406;14.1;1
196407;15.3;1
196408;14.6;1
196409;13.2;1
196410;6.6;1
196411;2.7;1
196412;0.3;1
196501;-0.1;1
196502;-1.8;1
196503;3.1;1
196504;7.1;1
196505;8.7;1
196506;12.2;1
196507;13.8;1
196508;13.1;1
196509;10.7;1
196510;9.9;1
196511;4;1
196512;2.3;1
196601;0.2;1
196602;5.1;1
196603;2.8;1
196604;7.8;1
196605;10.4;1
196606;13;1
196607;13.7;1
196608;13.6;1
196609;12.9;1
196610;10.8;1
196611;1.8;1
196612;1.3;1
196701;-0.1;1
196702;1.3;1
196703;5.1;1
196704;5.5;1
196705;8.3;1
196706;11.6;1
196707;16.1;1
196708;15.3;1
196709;12.6;1
196710;9.9;1
196711;5.2;1
196712;-1.2;1
196801;-1;1
196802;2;1
196803;2.6;1
196804;6.6;1
196805;9.9;1
196806;12.3;1
196807;14.3;1
196808;13.2;1
196809;11.1;1
196810;9;1
196811;4;1
196812;0.6;1
196901;0.4;1
196902;-1.8;1
196903;4.7;1
196904;6.6;1
196905;9.4;1
196906;10.9;1
196907;13.9;1
196908;14.8;1
196909;11.5;1
196910;8.7;1
196911;2.9;1
196912;-2.4;1
197001;1.9;1
197002;1.7;1
197003;1.1;1
197004;4.9;1
197005;9;1
197006;14.2;1
197007;14.8;1
197008;14.1;1
197009;12;1
197010;7.4;1
197011;3.6;1
197012;-1;1
197101;-1.4;1
197102;0.8;1
197103;-0.3;1
197104;7.4;1
197105;9.8;1
197106;11.3;1
197107;14.5;1
197108;15.5;1
197109;12.1;1
197110;8.2;1
197111;1.5;1
197112;1.5;1
197201;1.9;1
197202;3.5;1
197203;4.2;1
197204;6.9;1
197205;8.3;1
197206;11.3;1
197207;14.4;1
197208;13.4;1
197209;9.4;1
197210;7.4;1
197211;4.5;1
197212;1.5;1
197301;-0.2;1
197302;0.6;1
197303;0.9;1
197304;4.3;1
197305;9.7;1
197306;13.7;1
197307;14.7;1
197308;15.1;1
197309;12.1;1
197310;6;1
197311;3.8;1
197312;1;1
197401;3.1;1
197402;3;1
197403;4.7;1
197404;5.5;1
197405;8.7;1
197406;12.2;1
197407;15.2;1
197408;14.8;1
197409;11.4;1
197410;4;1
197411;3.6;1
197412;3.5;1
197501;1.8;1
197502;2;1
197503;2.1;1
197504;4.7;1
197505;8.9;1
197506;12;1
197507;14.9;1
197508;15.9;1
197509;12.7;1
197510;6;1
197511;3.6;1
197512;0.6;1
197601;-0.4;1
197602;2.7;1
197603;2.3;1
197604;5.4;1
197605;9.6;1
197606;13.7;1
197607;16.7;1
197608;13.9;1
197609;11.1;1
197610;8.3;1
197611;3;1
197612;1.9;1
197701;1.4;1
197702;2.6;1
197703;4.1;1
197704;5.9;1
197705;8.7;1
197706;12;1
197707;14.3;1
197708;13.3;1
197709;10;1
197710;10;1
197711;4.1;1
197712;1.8;1
197801;0.1;1
197802;1.2;1
197803;3.9;1
197804;4.8;1
197805;8.6;1
197806;11.4;1
197807;14.1;1
197808;13.8;1
197809;11.6;1
197810;6.1;1
197811;1.6;1
197812;1.9;1
197901;-1.5;1
197902;2.2;1
197903;5.1;1
197904;5;1
197905;8.5;1
197906;13.8;1
197907;15.4;1
197908;14.1;1
197909;11.5;1
197910;10.8;1
197911;2.7;1
197912;0.9;1
198001;0.5;1
198002;3.4;1
198003;2.4;1
198004;5.7;1
198005;8;1
198006;11.3;1
198007;12.7;1
198008;15.1;1
198009;12;1
198010;6.7;1
198011;3.2;1
198012;-2.2;1
198101;-1;1
198102;-2.2;1
198103;5.2;1
198104;5.4;1
198105;8.1;1
198106;12.2;1
198107;14.1;1
198108;14.5;1
198109;13.2;1
198110;7.4;1
198111;2.1;1
198112;1.8;1
198201;3.3;1
198202;2.1;1
198203;1.9;1
198204;5.4;1
198205;8.5;1
198206;14.6;1
198207;17.5;1
198208;15.4;1
198209;14.1;1
198210;7.8;1
198211;5.3;1
198212;1.9;1
198301;0.6;1
198302;-1.5;1
198303;3.7;1
198304;6.5;1
198305;8.9;1
198306;13.2;1
198307;17.1;1
198308;16.4;1
198309;12.4;1
198310;8;1
198311;5.2;1
198312;1.3;1
198401;0.8;1
198402;-0.2;1
198403;1.8;1
198404;4;1
198405;7.4;1
198406;12.2;1
198407;14.5;1
198408;14;1
198409;10.8;1
198410;8.1;1
198411;6.2;1
198412;1.3;1
198501;-3.6;1
198502;2.4;1
198503;2.3;1
198504;6;1
198505;8.3;1
198506;11.7;1
198507;15.8;1
198508;13.7;1
198509;12;1
198510;8.7;1
198511;0.9;1
198512;1.6;1
198601;0.7;1
198602;-1.1;1
198603;3;1
198604;5.3;1
198605;11;1
198606;12.9;1
198607;16;1
198608;14.7;1
198609;13.5;1
198610;10.5;1
198611;4.9;1
198612;1.6;1
198701;-3.5;1
198702;1.6;1
198703;1.6;1
198704;6.6;1
198705;8.5;1
198706;12.3;1
198707;16;1
198708;15.7;1
198709;15.1;1
198710;11.6;1
198711;4.4;1
198712;2.6;1
198801;4.4;1
198802;2;1
198803;4;1
198804;7.9;1
198805;11;1
198806;13.1;1
198807;15.5;1
198808;15.5;1
198809;12.1;1
198810;10.5;1
198811;3.6;1
198812;2.1;1
198901;0.3;1
198902;0.6;1
198903;4.3;1
198904;6.6;1
198905;10.8;1
198906;12.4;1
198907;17.9;1
198908;16.6;1
198909;13;1
198910;7.9;1
198911;4.4;1
198912;3;1
199001;-1.2;1
199002;6.2;1
199003;4.4;1
199004;5.9;1
199005;11.6;1
199006;12.8;1
199007;16.2;1
199008;16.7;1
199009;12.5;1
199010;11.3;1
199011;3.9;1
199012;-0.9;1
199101;0.1;1
199102;-0.7;1
199103;6.7;1
199104;5.1;1
199105;9.3;1
199106;12.8;1
199107;16.3;1
199108;17.3;1
199109;14.5;1
199110;8.2;1
199111;4.2;1
199112;0.2;1
199201;-1.3;1
199202;1.4;1
199203;4.6;1
199204;6.6;1
199205;10.2;1
199206;12.6;1
199207;16.5;1
199208;16.3;1
199209;12.2;1
199210;8.3;1
199211;4.9;1
199212;4.1;1
199301;0.7;1
199302;0;1
199303;3;1
199304;7.4;1
199305;10.3;1
199306;13.9;1
199307;15;1
199308;16;1
199309;11.7;1
199310;9.5;1
199311;3;1
199312;2.3;1
199401;1.5;1
199402;2.3;1
199403;5.6;1
199404;6.2;1
199405;10.3;1
199406;13.7;1
199407;17.5;1
199408;16.9;1
199409;13.4;1
199410;8.7;1
199411;7.4;1
199412;2.2;1
199501;0.8;1
199502;3.3;1
199503;1.5;1
199504;7.1;1
199505;8.9;1
199506;12.7;1
199507;17.2;1
199508;17;1
199509;11.4;1
199510;11.8;1
199511;4.8;1
199512;2.2;1
199601;5.5;1
199602;0.8;1
199603;3.3;1
199604;6.7;1
199605;9.6;1
199606;14.3;1
199607;15.7;1
199608;14.5;1
199609;9.7;1
199610;9.1;1
199611;3.7;1
199612;3.8;1
199701;1.2;1
199702;1.8;1
199703;5;1
199704;6.4;1
199705;10.6;1
199706;13.8;1
199707;15.5;1
199708;17;1
199709;12.6;1
199710;10.3;1
199711;5.3;1
199712;2.4;1
199801;1.9;1
199802;0.9;1
199803;3.8;1
199804;5.5;1
199805;10.3;1
199806;13.2;1
199807;16.6;1
199808;15.7;1
199809;12.3;1
199810;8;1
199811;0.6;1
199812;0.1;1
199901;1.7;1
199902;1.6;1
