# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 49020001
# NOM_USUEL= BEAUCOUZE
# LATITUDE (°) = 47.479
# LONGITUDE(°)= -0.614
# ALTITUDE (m) = 50
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN249020001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195501 202212
# Date(s) de rupture(s) d'homogénéité : 195812 197712 198712 199812 200912
#     Periode homogénéisée  195501 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;3.2;1
195502;2.1;1
195503;1;1
195504;5.7;1
195505;7.3;1
195506;12.5;1
195507;15;1
195508;13.8;1
195509;10.5;1
195510;6.4;1
195511;3.6;1
195512;5.8;1
195601;2.8;1
195602;-5.5;1
195603;3.8;1
195604;3.9;1
195605;8.8;1
195606;10.1;1
195607;13.5;1
195608;11.4;1
195609;13;1
195610;7.9;1
195611;2.6;1
195612;5.2;1
195701;0.8;1
195702;5.4;1
195703;7.2;1
195704;5.8;1
195705;7.5;1
195706;12.5;1
195707;14.4;1
195708;12.9;1
195709;11.4;1
195710;8.6;1
195711;4.5;1
195712;2.2;1
195801;3;1
195802;5.1;1
195803;3;1
195804;4.9;1
195805;9.5;1
195806;11.3;1
195807;13.6;1
195808;14.1;1
195809;12.9;1
195810;9.1;1
195811;4.8;1
195812;3.7;1
195901;1.5;1
195902;1.5;1
195903;5.5;1
195904;6.8;1
195905;9.7;1
195906;11.1;1
195907;13.4;1
195908;13.5;1
195909;11.6;1
195910;8.2;1
195911;5.6;1
195912;5.1;1
196001;2;1
196002;2.4;1
196003;6.1;1
196004;5.7;1
196005;9.6;1
196006;12.3;1
196007;12.2;1
196008;12.5;1
196009;9.9;1
196010;8.9;1
196011;7;1
196012;2.3;1
196101;2.6;1
196102;5.6;1
196103;3.6;1
196104;8.2;1
196105;7.9;1
196106;10.9;1
196107;13.2;1
196108;12.1;1
196109;13.9;1
196110;9.7;1
196111;5.4;1
196112;3.2;1
196201;3.8;1
196202;1.9;1
196203;1.6;1
196204;6.3;1
196205;8.1;1
196206;10.3;1
196207;12.5;1
196208;13;1
196209;10.6;1
196210;8.3;1
196211;4.5;1
196212;-0.6;1
196301;-3.7;1
196302;-2.9;1
196303;5.1;1
196304;6.4;1
196305;8.2;1
196306;12.5;1
196307;12.8;1
196308;12.7;1
196309;11.7;1
196310;8.2;1
196311;7.5;1
196312;-0.2;1
196401;-1;1
196402;3.1;1
196403;3.9;1
196404;6.3;1
196405;10.2;1
196406;11.6;1
196407;13.2;1
196408;12.8;1
196409;12.4;1
196410;7;1
196411;4.8;1
196412;1.1;1
196501;2.4;1
196502;-0.5;1
196503;4.5;1
196504;5.4;1
196505;9.2;1
196506;11.6;1
196507;11.5;1
196508;11.9;1
196509;9.8;1
196510;8.3;1
196511;4.5;1
196512;4.5;1
196601;1.7;1
196602;7;1
196603;3;1
196604;8;1
196605;8.2;1
196606;12.5;1
196607;12;1
196608;12.5;1
196609;11.9;1
196610;10;1
196611;3.1;1
196612;5;1
196701;3.2;1
196702;3.7;1
196703;4.5;1
196704;5.1;1
196705;8.2;1
196706;10.8;1
196707;13.4;1
196708;12.7;1
196709;10.9;1
196710;9.6;1
196711;4.4;1
196712;1.6;1
196801;2.6;1
196802;1.8;1
196803;4;1
196804;5.3;1
196805;7.4;1
196806;11.9;1
196807;13;1
196808;13.8;1
196809;11.3;1
196810;10.6;1
196811;4.6;1
196812;2.1;1
196901;4.4;1
196902;0.7;1
196903;4.6;1
196904;6.2;1
196905;9.3;1
196906;11;1
196907;13.8;1
196908;13.7;1
196909;12.5;1
196910;8.7;1
196911;5.3;1
196912;1.3;1
197001;2.7;1
197002;3.2;1
197003;2.4;1
197004;4.7;1
197005;8.5;1
197006;13.6;1
197007;12.8;1
197008;14;1
197009;12;1
197010;8.2;1
197011;7.1;1
197012;0.5;1
197101;2.2;1
197102;1.5;1
197103;1.1;1
197104;6.4;1
197105;10.2;1
197106;11.2;1
197107;14.4;1
197108;13.6;1
197109;10.5;1
197110;6.9;1
197111;2.4;1
197112;3;1
197201;2.3;1
197202;4.2;1
197203;4.8;1
197204;6.5;1
197205;8;1
197206;9.5;1
197207;13.1;1
197208;12.5;1
197209;8.5;1
197210;6.4;1
197211;5;1
197212;3.5;1
