# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 52123003
# NOM_USUEL= CHEVILLON_SAPC
# LATITUDE (°) = 48.523
# LONGITUDE(°)= 5.114
# ALTITUDE (m) = 170
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN252123003
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196803 197405 198012 199212 200812 201712
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-0.7;1
195902;-3;1
195903;2.4;1
195904;4.2;1
195905;6.5;1
195906;10;1
195907;11.7;1
195908;10.6;1
195909;7.8;1
195910;3.8;1
195911;0.9;1
195912;2.2;1
196001;-1.7;1
196002;0.1;1
196003;3.2;1
196004;2.7;1
196005;6.2;1
196006;9.6;1
196007;10.1;1
196008;11.6;1
196009;7.9;1
196010;7.1;1
196011;4.4;1
196012;-0.4;1
196101;-0.6;1
196102;2.9;1
196103;0.7;1
196104;6.9;1
196105;6;1
196106;8.7;1
196107;9.5;1
196108;9.4;1
196109;11.8;1
196110;7.1;1
196111;1.6;1
196112;0;1
196201;1.1;1
196202;-1.3;1
196203;-2;1
196204;3.8;1
196205;5.4;1
196206;7.1;1
196207;10.2;1
196208;10.5;1
196209;6.8;1
196210;4.1;1
196211;0.3;1
196212;-4.4;1
196301;-6.9;1
196302;-7.4;1
196303;1.3;1
196304;4;1
196305;5.8;1
196306;10.2;1
196307;10.6;1
196308;11.1;1
196309;8.2;1
196310;4.9;1
196311;5.9;1
196312;-3.5;1
196401;-3.4;1
196402;0.9;1
196403;0.7;1
196404;4.2;1
196405;7;1
196406;9.2;1
196407;10.5;1
196408;10.6;1
196409;10.1;1
196410;4.4;1
196411;3.5;1
196412;-1.6;1
196501;0.5;1
196502;-3.4;1
196503;2.3;1
196504;3.9;1
196505;6.5;1
196506;9.4;1
196507;11;1
196508;9.8;1
196509;8.3;1
196510;4.1;1
196511;1.6;1
196512;2.4;1
196601;-3.7;1
196602;4.2;1
196603;0;1
196604;4.9;1
196605;6.8;1
196606;11;1
196607;9.8;1
196608;9.9;1
196609;8.5;1
196610;8.3;1
196611;-0.3;1
196612;1;1
196701;-1.5;1
196702;1;1
196703;2;1
196704;0.9;1
196705;6.2;1
196706;7.8;1
196707;11.2;1
196708;10.6;1
196709;8.9;1
196710;8.3;1
196711;1.9;1
196712;-1.7;1
196801;-1.6;1
196802;0.3;1
196803;0.9;1
196804;3;1
196805;6.1;1
196806;8.7;1
196807;10.1;1
196808;10.7;1
196809;9.2;1
196810;8.2;1
196811;1.9;1
196812;-1.6;1
196901;1.3;1
196902;-3.1;1
196903;1.5;1
196904;3.5;1
196905;7.8;1
196906;8.2;1
196907;12.2;1
196908;10.9;1
196909;8.9;1
196910;4.7;1
196911;2.5;1
196912;-4.1;1
197001;-0.4;1
197002;-0.6;1
197003;0.1;1
197004;2.8;1
197005;6.4;1
197006;11;1
197007;10;1
197008;10.4;1
197009;8.3;1
197010;5.7;1
197011;4.1;1
197012;-2.3;1
197101;-1.6;1
197102;-0.5;1
197103;-2.6;1
197104;3.4;1
197105;7.7;1
197106;8.1;1
197107;10.3;1
197108;11.4;1
197109;6.1;1
197110;3.5;1
197111;-0.1;1
197112;-0.3;1
197201;-1.6;1
197202;1.1;1
197203;1.5;1
197204;3.2;1
197205;6.2;1
197206;7.8;1
197207;11.3;1
197208;9.6;1
197209;4.7;1
197210;2.3;1
197211;1.5;1
197212;-1.1;1
197301;-2.7;1
197302;-1.9;1
197303;-2.2;1
197304;0.7;1
197305;6.8;1
197306;9.4;1
197307;11.8;1
197308;12.7;1
197309;9.8;1
197310;5.5;1
197311;1;1
197312;-1.1;1
197401;3.3;1
197402;1;1
197403;3.7;1
197404;2.2;1
197405;6.1;1
197406;8.2;1
197407;9.7;1
197408;11.9;1
197409;9.4;1
197410;4.1;1
197411;3.8;1
197412;3.5;1
197501;2.4;1
197502;-0.7;1
197503;0.9;1
197504;3.2;1
197505;5.9;1
197506;8.4;1
197507;11.3;1
197508;13.2;1
197509;9.6;1
197510;4.2;1
197511;1.6;1
197512;-1.3;1
197601;0.3;1
197602;0.1;1
197603;-0.9;1
197604;1.5;1
197605;6.5;1
197606;9.4;1
197607;13.2;1
197608;8.5;1
197609;8.2;1
197610;7.9;1
197611;2.4;1
197612;-1.3;1
197701;0.7;1
197702;3;1
197703;3.5;1
197704;2;1
197705;6.6;1
197706;9.7;1
197707;11.3;1
197708;10.1;1
197709;6.5;1
197710;8.3;1
197711;3.1;1
197712;1.4;1
197801;-0.5;1
197802;-0.7;1
197803;2.5;1
197804;2;1
197805;6.7;1
197806;8.9;1
197807;10.4;1
197808;9.6;1
197809;7.3;1
197810;4.6;1
197811;0.6;1
197812;1.5;1
197901;-4.9;1
197902;-0.3;1
197903;2.4;1
197904;2.9;1
197905;6;1
197906;10.7;1
197907;10;1
197908;10.2;1
197909;7.9;1
197910;7.7;1
197911;1.9;1
197912;2.6;1
198001;-2.3;1
198002;2.4;1
198003;1.7;1
198004;1.5;1
198005;5;1
198006;8.9;1
198007;10.2;1
198008;11.6;1
198009;9.6;1
198010;4.6;1
198011;0.2;1
198012;-1.5;1
198101;-1.4;1
198102;-2.6;1
198103;5.6;1
198104;3.9;1
198105;7.8;1
198106;9;1
198107;11.5;1
198108;10.2;1
198109;9.7;1
198110;6.2;1
198111;2.2;1
198112;-0.4;1
198201;0;1
198202;0.1;1
198203;0.9;1
198204;1.5;1
198205;6.7;1
198206;11.4;1
198207;12.1;1
198208;11.3;1
198209;10.5;1
198210;6.9;1
198211;4;1
198212;1.2;1
198301;1.9;1
198302;-2.4;1
198303;1.5;1
198304;4.2;1
198305;6.5;1
198306;10.2;1
198307;14.3;1
198308;11.8;1
198309;9.8;1
198310;5.7;1
198311;1;1
198312;-0.2;1
198401;0.6;1
198402;-1.3;1
198403;-1.3;1
198404;1.5;1
198405;4.9;1
198406;8;1
198407;10.1;1
198408;11.6;1
198409;9.7;1
198410;7;1
198411;5.7;1
