# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 52332001
# NOM_USUEL= VAL-DE-MEUSE
# LATITUDE (°) = 48.022
# LONGITUDE(°)= 5.587
# ALTITUDE (m) = 380
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN252332001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 197406 197812 198208 199212 201907
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-2.2;1
195902;-3.4;1
195903;2.4;1
195904;3.6;1
195905;6.2;1
195906;9.3;1
195907;11.7;1
195908;10.8;1
195909;7.2;1
195910;2.5;1
195911;1.6;1
195912;1;1
196001;-2.6;1
196002;-0.2;1
196003;2.6;1
196004;2;1
196005;6.4;1
196006;9.1;1
196007;9.4;1
196008;11.4;1
196009;7.6;1
196010;6.6;1
196011;4.2;1
196012;-1;1
196101;-1.1;1
196102;1.5;1
196103;0;1
196104;6.7;1
196105;5.3;1
196106;8.6;1
196107;8.8;1
196108;10.5;1
196109;11.8;1
196110;7.1;1
196111;0.6;1
196112;-1.2;1
196201;0.7;1
196202;-2.6;1
196203;-2.4;1
196204;3.8;1
196205;5.1;1
196206;6.4;1
196207;9.1;1
196208;9.7;1
196209;6.2;1
196210;4.1;1
196211;-0.5;1
196212;-6;1
196301;-8;1
196302;-8.8;1
196303;0.7;1
196304;4.2;1
196305;5.4;1
196306;10.1;1
196307;10.1;1
196308;10.9;1
196309;9.5;1
196310;4.5;1
196311;5.2;1
196312;-5.1;1
196401;-4.9;1
196402;0.1;1
196403;0.6;1
196404;2.8;1
196405;6.6;1
196406;8.1;1
196407;9.9;1
196408;9.8;1
196409;9.3;1
196410;4.4;1
196411;3.3;1
196412;-2.3;1
196501;-0.3;1
196502;-4.2;1
196503;1.1;1
196504;2.7;1
196505;6.5;1
196506;9.8;1
196507;10.7;1
196508;10.7;1
196509;8.1;1
196510;3.8;1
196511;1.2;1
196512;1;1
196601;-5.6;1
196602;3.6;1
196603;-0.5;1
196604;4.6;1
196605;7;1
196606;10.5;1
196607;10;1
196608;10;1
196609;8.4;1
196610;8.9;1
196611;-1.2;1
196612;0.4;1
196701;-2.4;1
196702;-0.4;1
196703;1.9;1
196704;0.9;1
196705;6;1
196706;8.1;1
196707;10.8;1
196708;10;1
196709;8.5;1
196710;8;1
196711;2;1
196712;-3.5;1
196801;-2.5;1
196802;-0.2;1
196803;0.7;1
196804;2.3;1
196805;6.1;1
196806;8.7;1
196807;10.3;1
196808;10.8;1
196809;9.3;1
196810;8.3;1
196811;1.8;1
196812;-2.3;1
196901;0.4;1
196902;-3.7;1
196903;0.7;1
196904;3;1
196905;6.8;1
196906;8.8;1
196907;12.3;1
196908;10.7;1
196909;9;1
196910;3.8;1
196911;1.8;1
196912;-5.5;1
197001;-1.2;1
197002;-1.5;1
197003;-1.6;1
197004;2.1;1
197005;6;1
197006;10.6;1
197007;10.1;1
197008;10.9;1
197009;7.7;1
197010;6;1
197011;3;1
197012;-1.6;1
197101;-4.6;1
197102;-1.5;1
197103;-2.8;1
197104;2.1;1
197105;7.2;1
197106;8.2;1
197107;10;1
197108;11.4;1
197109;5.1;1
197110;2.7;1
197111;-0.2;1
197112;-1;1
197201;-2;1
197202;0.3;1
197203;-0.2;1
197204;2.9;1
197205;5.8;1
197206;7.4;1
197207;11.2;1
197208;9.9;1
197209;5.3;1
197210;0.9;1
197211;1.7;1
197212;-2.3;1
197301;-3.4;1
197302;-1.8;1
197303;-2.1;1
197304;0.3;1
197305;6.9;1
197306;9.9;1
197307;11.7;1
197308;13.1;1
197309;8.4;1
197310;3.6;1
197311;0.2;1
197312;-1.8;1
197401;1.7;1
197402;0.4;1
197403;3.3;1
197404;1;1
197405;5.5;1
197406;7.8;1
197407;9;1
197408;11.1;1
197409;8.8;1
197410;4;1
197411;2.8;1
197412;3;1
197501;2;1
197502;-1;1
197503;0.9;1
197504;2.8;1
197505;5.7;1
197506;8.8;1
197507;11.4;1
197508;12.5;1
197509;10.4;1
197510;3.8;1
197511;1.3;1
197512;-2.2;1
197601;-1;1
197602;-1.5;1
197603;-2.3;1
197604;0.8;1
197605;5.4;1
197606;9;1
197607;12.3;1
197608;9.8;1
197609;9.2;1
197610;7.4;1
197611;2.6;1
197612;-2.3;1
197701;-0.1;1
197702;2.6;1
197703;2.2;1
197704;1.3;1
197705;6.1;1
197706;9.8;1
197707;11.3;1
197708;10.3;1
197709;6.5;1
197710;7.2;1
197711;2.9;1
197712;0.2;1
197801;-1.1;1
197802;-1.6;1
197803;2;1
197804;1.6;1
197805;6.8;1
197806;8.9;1
197807;10.3;1
197808;8.4;1
197809;6.5;1
197810;4.3;1
197811;-0.6;1
197812;0;1
197901;-6.3;1
197902;-0.7;1
197903;2.1;1
197904;1.9;1
197905;5.8;1
197906;11.1;1
197907;10.1;1
197908;9.9;1
197909;7.9;1
197910;7.2;1
197911;1.7;1
197912;1.2;1
198001;-3.2;1
198002;0.5;1
198003;1.3;1
198004;1.9;1
198005;4;1
198006;9.4;1
198007;10.5;1
198008;11.9;1
198009;9.2;1
198010;4.5;1
198011;-0.2;1
198012;-3;1
198101;-3.5;1
198102;-3.5;1
198103;4.7;1
198104;3.7;1
198105;7.6;1
198106;9.6;1
198107;11.4;1
198108;10.3;1
198109;9.3;1
198110;6;1
198111;1.6;1
198112;-1.6;1
198201;0.1;1
198202;-0.2;1
198203;0;1
198204;0.5;1
198205;5.2;1
198206;10.3;1
198207;12.2;1
198208;10.4;1
198209;9.4;1
198210;6.2;1
198211;2.7;1
198212;0.2;1
198301;0.6;1
198302;-3.8;1
198303;0.6;1
198304;3.8;1
198305;5.7;1
198306;10.1;1
198307;13.3;1
198308;11.3;1
198309;9;1
198310;4.9;1
198311;-0.5;1
198312;-1.6;1
198401;-0.4;1
198402;-2;1
198403;-2;1
198404;0.6;1
198405;4.7;1
198406;8;1
198407;9.6;1
198408;10.9;1
198409;9.3;1
198410;7;1
198411;4.4;1
198412;-0.5;1
198501;-8.5;1
198502;-3.5;1
198503;0.3;1
198504;3.6;1
198505;7.2;1
198506;8.3;1
198507;11.7;1
198508;10.2;1
198509;8.5;1
198510;3.7;1
198511;-1.4;1
198512;1.8;1
198601;-1.3;1
198602;-10.7;1
198603;-0.9;1
198604;2.3;1
198605;8.5;1
198606;9.6;1
198607;10.7;1
198608;10.5;1
198609;7.3;1
198610;5.9;1
198611;2.9;1
198612;-0.4;1
198701;-6.4;1
198702;-1.2;1
198703;-1.2;1
198704;3.2;1
198705;3.9;1
198706;9.8;1
198707;12.1;1
198708;11.2;1
198709;11.5;1
198710;7.5;1
198711;2.6;1
198712;-0.4;1
198801;2.3;1
198802;-0.3;1
198803;1.7;1
198804;3;1
198805;8.4;1
198806;9.2;1
198807;10.6;1
198808;11;1
198809;9.2;1
198810;7.4;1
198811;0.4;1
198812;1.7;1
198901;-0.3;1
198902;0.1;1
198903;3.6;1
198904;4.1;1
198905;7.2;1
198906;8.8;1
198907;12.2;1
198908;11.3;1
198909;8.4;1
198910;6.7;1
198911;-0.4;1
198912;-0.9;1
199001;-0.9;1
199002;3.1;1
199003;2;1
199004;2;1
199005;6.6;1
199006;10;1
199007;10.4;1
199008;11.4;1
199009;6.6;1
199010;7.1;1
199011;2.8;1
199012;-2.2;1
199101;-1.2;1
199102;-5.5;1
199103;3.5;1
199104;0.7;1
199105;2.8;1
199106;9.2;1
199107;12.5;1
199108;11.8;1
199109;10.1;1
199110;5.2;1
199111;2.7;1
199112;-2.5;1
199201;-2.8;1
199202;-1.1;1
199203;1.9;1
199204;3.3;1
199205;7.6;1
199206;10.4;1
199207;12.9;1
199208;13.9;1
199209;8.2;1
199210;4.5;1
199211;4.3;1
199212;0.4;1
199301;1.2;1
199302;-2.3;1
199303;-0.2;1
199304;5.3;1
199305;8.3;1
199306;11.2;1
199307;11.5;1
199308;9.6;1
199309;8.3;1
199310;5.5;1
199311;-1.6;1
199312;1.3;1
199401;0.6;1
199402;-0.1;1
199403;4.7;1
199404;2.7;1
199405;7.8;1
199406;10.6;1
199407;14.6;1
199408;12.8;1
199409;9.6;1
199410;5.4;1
199411;5.8;1
199412;2.5;1
199501;0;1
199502;3.8;1
199503;0.2;1
199504;4;1
199505;6.4;1
199506;8.9;1
199507;13.2;1
199508;12;1
199509;8.6;1
199510;9.4;1
199511;2.4;1
199512;-1.4;1
199601;-0.2;1
199602;-1.6;1
199603;-1.4;1
199604;2.4;1
199605;6.8;1
199606;9.5;1
199607;10;1
199608;11.1;1
199609;4.9;1
199610;5.9;1
199611;2.3;1
199612;-1.5;1
199701;-3.9;1
199702;1.1;1
199703;2.7;1
199704;0.9;1
199705;8.2;1
199706;10.9;1
199707;11.6;1
199708;13.7;1
199709;7.6;1
199710;3.8;1
199711;2.9;1
199712;1.2;1
