# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 88136001
# NOM_USUEL= EPINAL
# LATITUDE (°) = 48.211
# LONGITUDE(°)= 6.452
# ALTITUDE (m) = 317
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN288136001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 196001 202212
# Date(s) de rupture(s) d'homogénéité : 197412 197701 198212
#     Periode homogénéisée  196001 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;-2.1;1
196002;-0.3;1
196003;2;1
196004;2.6;1
196005;6.1;1
196006;9.5;1
196007;10.3;1
196008;11.9;1
196009;7.4;1
196010;5.9;1
196011;4.4;1
196012;-1.2;1
196101;-1.8;1
196102;1.2;1
196103;0.3;1
196104;6.9;1
196105;5.8;1
196106;9.5;1
196107;9.8;1
196108;10.7;1
196109;11.5;1
196110;6.9;1
196111;0.7;1
196112;-1;1
196201;1;1
196202;-2.4;1
196203;-2.5;1
196204;4;1
196205;5.1;1
196206;7;1
196207;9.8;1
196208;10.9;1
196209;7.7;1
196210;3.6;1
196211;-0.9;1
196212;-6.1;1
196301;-8.3;1
196302;-8.9;1
196303;0.2;1
196304;4.3;1
196305;6.4;1
196306;9.7;1
196307;10.9;1
196308;11.7;1
196309;9.5;1
196310;4.6;1
196311;4.9;1
196312;-6.1;1
196401;-5.1;1
196402;-0.3;1
196403;0.2;1
196404;4;1
196405;7.5;1
196406;9.3;1
196407;10.9;1
196408;11;1
196409;9.2;1
196410;4.2;1
196411;2.8;1
196412;-2;1
196501;0.1;1
196502;-5.1;1
196503;0.8;1
196504;2.8;1
196505;6.6;1
196506;10.2;1
196507;11.3;1
196508;10.9;1
196509;8.5;1
196510;3.4;1
196511;1.4;1
196512;1.4;1
196601;-5.2;1
196602;4.1;1
196603;-0.7;1
196604;5.5;1
196605;7.3;1
196606;11.5;1
196607;10.7;1
196608;10.9;1
196609;9;1
196610;9.3;1
196611;-0.3;1
196612;0.4;1
196701;-2;1
196702;-0.5;1
196703;2.2;1
196704;0.4;1
196705;6.2;1
196706;8.7;1
196707;11.8;1
196708;11;1
196709;9.6;1
196710;8.4;1
196711;1.2;1
196712;-3.2;1
196801;-2.9;1
196802;-0.5;1
196803;0.6;1
196804;3.2;1
196805;5.8;1
196806;9.5;1
196807;10.6;1
196808;11;1
196809;9.3;1
196810;7.7;1
196811;1.8;1
196812;-2.5;1
196901;-0.5;1
196902;-3.6;1
196903;0.4;1
196904;2.9;1
196905;7.2;1
196906;8.3;1
196907;12.6;1
196908;10.9;1
196909;9.4;1
196910;4.4;1
196911;2.4;1
196912;-5.5;1
197001;-2.1;1
197002;-1.4;1
197003;-1.2;1
197004;2.7;1
197005;6.1;1
197006;11.4;1
197007;10.9;1
197008;11.5;1
197009;8.5;1
197010;5.9;1
197011;3.8;1
197012;-2.4;1
197101;-4.2;1
197102;-1.7;1
197103;-3;1
197104;2.4;1
197105;7.9;1
197106;9.6;1
197107;10.9;1
197108;12.5;1
197109;6;1
197110;4.2;1
197111;0.6;1
197112;-1.2;1
197201;-2.3;1
197202;0.1;1
197203;0;1
197204;3.7;1
197205;6.4;1
197206;8.5;1
197207;11.5;1
197208;10.6;1
197209;5.2;1
197210;0.8;1
197211;1.3;1
197212;-2.6;1
197301;-4;1
197302;-2.4;1
197303;-1.4;1
197304;1.1;1
197305;7.6;1
197306;10.7;1
197307;12.1;1
197308;13.2;1
197309;9.4;1
197310;3.7;1
197311;0.9;1
197312;-2.3;1
197401;1.8;1
197402;0.8;1
197403;3.1;1
197404;1;1
197405;5.5;1
197406;8.1;1
197407;10.9;1
197408;11.9;1
197409;10.2;1
197410;3.7;1
197411;2.6;1
197412;2.6;1
197501;2.2;1
197502;-1.9;1
197503;0.9;1
197504;2.8;1
197505;6.5;1
197506;9.3;1
197507;11.9;1
197508;14;1
197509;11.6;1
197510;4.1;1
197511;1.6;1
197512;-2.7;1
197601;-1.1;1
197602;-1.7;1
197603;-2.5;1
197604;1.4;1
197605;6.2;1
197606;9.9;1
197607;13;1
197608;9;1
197609;7.1;1
197610;7.3;1
197611;2.8;1
197612;-3;1
197701;0.5;1
197702;1.6;1
197703;2.8;1
197704;1.5;1
197705;6.3;1
197706;10.1;1
197707;11.7;1
197708;10.8;1
197709;7;1
197710;6.3;1
197711;2.6;1
197712;-0.8;1
197801;-1.2;1
197802;-1.7;1
197803;1.5;1
197804;2;1
197805;6.6;1
197806;8.8;1
197807;10.9;1
197808;9.8;1
197809;7.8;1
197810;4.2;1
197811;0.1;1
197812;-0.1;1
197901;-5.8;1
197902;-0.7;1
197903;2.4;1
197904;2.3;1
197905;6;1
197906;11.3;1
197907;10.3;1
197908;10.5;1
197909;8.6;1
197910;6.7;1
197911;1.7;1
197912;1.9;1
198001;-3;1
198002;0.5;1
198003;1.5;1
198004;2;1
198005;4.8;1
198006;10.3;1
198007;10.8;1
198008;12.6;1
198009;9.8;1
198010;5;1
198011;0.3;1
198012;-2.7;1
198101;-3.3;1
198102;-3.6;1
198103;5.1;1
198104;4;1
198105;7.4;1
198106;10.2;1
198107;12.1;1
198108;11;1
198109;10.1;1
198110;6;1
198111;1.5;1
198112;-0.9;1
198201;-2.2;1
198202;-1.9;1
198203;-0.1;1
198204;0.7;1
198205;6.3;1
198206;12.1;1
198207;12.7;1
198208;12.1;1
198209;10.8;1
198210;6.6;1
198211;3.5;1
198212;0.4;1
198301;1.1;1
198302;-3.3;1
198303;1.5;1
198304;4.6;1
198305;6.9;1
198306;11.2;1
198307;14.2;1
198308;12.4;1
198309;9.7;1
198310;5.9;1
198311;-0.7;1
198312;-1.6;1
198401;-0.4;1
198402;-2.5;1
198403;-2.9;1
198404;0.8;1
198405;5.6;1
198406;8.7;1
198407;11.2;1
198408;11.6;1
198409;9.7;1
198410;6.5;1
198411;2.6;1
198412;-1;1
198501;-8.2;1
198502;-4.2;1
198503;0.1;1
198504;3.7;1
198505;7.7;1
198506;8.6;1
198507;12.1;1
198508;11.2;1
198509;8.9;1
198510;4.1;1
198511;-0.8;1
198512;2.1;1
198601;-1.2;1
198602;-10.2;1
198603;-0.3;1
198604;2.6;1
198605;9.2;1
198606;10.5;1
198607;11.2;1
198608;10.5;1
198609;7.4;1
198610;5.8;1
198611;3;1
198612;-0.5;1
198701;-7.3;1
198702;-1.6;1
198703;-1.4;1
198704;4;1
198705;4.9;1
198706;10.9;1
198707;13.2;1
198708;12.2;1
198709;12.4;1
198710;6.9;1
198711;2.5;1
198712;-0.8;1
198801;2.3;1
198802;-0.4;1
198803;1.9;1
198804;3;1
198805;8.9;1
198806;9.4;1
198807;11.8;1
198808;11.5;1
198809;9.5;1
198810;7.1;1
198811;-0.6;1
198812;1.8;1
198901;-1.2;1
198902;-0.3;1
198903;3.2;1
198904;3.8;1
198905;6.3;1
198906;9;1
198907;12.6;1
198908;11.7;1
198909;8.3;1
198910;6.5;1
198911;-1.3;1
198912;-1.2;1
199001;-1;1
199002;2.1;1
199003;2.2;1
199004;2.7;1
199005;6.9;1
199006;10.5;1
199007;10.7;1
199008;11.7;1
199009;7.6;1
199010;6.8;1
199011;2.6;1
199012;-1.6;1
199101;-0.8;1
199102;-6.2;1
199103;3.2;1
199104;1.1;1
199105;3.4;1
199106;9.9;1
199107;13.3;1
199108;11.9;1
199109;10.4;1
199110;5;1
199111;1.9;1
199112;-3.1;1
199201;-3.9;1
199202;-1.6;1
199203;1.9;1
199204;3.1;1
199205;7.9;1
199206;11;1
199207;13.5;1
199208;14.5;1
199209;9.1;1
199210;4.3;1
199211;4;1
199212;0.6;1
199301;1.3;1
199302;-2.7;1
199303;-0.9;1
199304;5.7;1
199305;8.8;1
199306;11.8;1
199307;12.6;1
199308;10.7;1
199309;9;1
199310;6;1
199311;-1.2;1
199312;2.3;1
199401;0.7;1
199402;0.2;1
199403;5.4;1
199404;3.2;1
199405;8.5;1
199406;11.6;1
199407;15.1;1
199408;13.4;1
199409;10.7;1
199410;5.1;1
199411;5.6;1
199412;2.7;1
199501;-1.1;1
199502;3.3;1
199503;-0.1;1
199504;4.2;1
199505;6.8;1
199506;9.7;1
199507;14;1
199508;12.6;1
199509;8.4;1
199510;9;1
199511;1.6;1
199512;-1.7;1
199601;-2.2;1
199602;-2.3;1
199603;-1.8;1
199604;2.7;1
199605;7.1;1
199606;10.2;1
199607;10.9;1
199608;12.1;1
199609;5.6;1
199610;6.3;1
199611;3.2;1
199612;-2.2;1
199701;-4.6;1
199702;1.2;1
199703;2.5;1
199704;0.9;1
199705;7.9;1
199706;11.6;1
199707;12.2;1
