# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 13047001
# NOM_USUEL= ISTRES
# LATITUDE (°) = 43.523
# LONGITUDE(°)= 4.928
# ALTITUDE (m) = 23
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN313047001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195601 202312
# Date(s) de rupture(s) d'homogénéité : 197010 199812 200711 202204
#     Periode homogénéisée  195601 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;4.2;1
195602;-4.5;1
195603;6.2;1
195604;7.4;1
195605;12.4;1
195606;14;1
195607;17.1;1
195608;17;1
195609;16;1
195610;9.3;1
195611;4.8;1
195612;3.9;1
195701;1.6;1
195702;5.6;1
195703;7.3;1
195704;8.3;1
195705;10.7;1
195706;15;1
195707;17.4;1
195708;16.7;1
195709;14.4;1
195710;10.6;1
195711;6.7;1
195712;3.9;1
195801;2.9;1
195802;4.2;1
195803;4.4;1
195804;7;1
195805;12.3;1
195806;14.8;1
195807;16.9;1
195808;18;1
195809;16.9;1
195810;11.3;1
195811;6.6;1
195812;4.8;1
195901;2.2;1
195902;4.1;1
195903;8.8;1
195904;8.6;1
195905;12.2;1
195906;15.6;1
195907;18.8;1
195908;17.6;1
195909;15.9;1
195910;11.6;1
195911;6.1;1
195912;4.9;1
196001;2.5;1
196002;4.5;1
196003;7.6;1
196004;8.4;1
196005;12.7;1
196006;17.1;1
196007;17.6;1
196008;16.5;1
196009;13.3;1
196010;11.4;1
196011;7.4;1
196012;2.4;1
196101;2.4;1
196102;5.4;1
196103;5.6;1
196104;10.8;1
196105;12.1;1
196106;16;1
196107;17.8;1
196108;16.8;1
196109;17.2;1
196110;12.1;1
196111;7.1;1
196112;4.3;1
196201;5.4;1
196202;3;1
196203;4.1;1
196204;8.4;1
196205;10.7;1
196206;15.1;1
196207;17.8;1
196208;18.3;1
196209;15.5;1
196210;11.9;1
196211;5.2;1
196212;0;1
196301;-0.3;1
196302;-0.1;1
196303;5.6;1
196304;8.8;1
196305;11.3;1
196306;15.7;1
196307;18.7;1
196308;16.5;1
196309;15.4;1
196310;10.6;1
196311;9.8;1
196312;2.5;1
196401;1.7;1
196402;5.6;1
196403;6.2;1
196404;9;1
196405;13.2;1
196406;16.9;1
196407;18.5;1
196408;17.4;1
196409;16.1;1
196410;9.2;1
196411;6.4;1
196412;3.4;1
196501;3.1;1
196502;0.2;1
196503;5.4;1
196504;8.1;1
196505;11.9;1
196506;15.1;1
196507;16.8;1
196508;16.5;1
196509;13.4;1
196510;13.1;1
196511;7;1
196512;4.3;1
196601;2.4;1
196602;6.5;1
196603;4.8;1
196604;9.5;1
196605;12.1;1
196606;16.2;1
196607;16.1;1
196608;16.2;1
196609;15.3;1
196610;13.9;1
196611;4.4;1
196612;3.8;1
196701;2.8;1
196702;4.5;1
196703;7.6;1
196704;7.9;1
196705;11.9;1
196706;14.7;1
196707;18.6;1
196708;18;1
196709;15;1
196710;13;1
196711;8.5;1
196712;1;1
196801;1.6;1
196802;5.4;1
196803;5.6;1
196804;8.7;1
196805;12;1
196806;14.6;1
196807;17.5;1
196808;16.4;1
196809;14.4;1
196810;12.7;1
196811;7.4;1
196812;3.7;1
196901;3.7;1
196902;1.2;1
196903;6.7;1
196904;8.4;1
196905;11.7;1
196906;13.7;1
196907;17.3;1
196908;17.4;1
196909;14.9;1
196910;11.9;1
196911;6.2;1
196912;-0.6;1
197001;4;1
197002;2.8;1
197003;3.7;1
197004;6.1;1
197005;11.2;1
197006;16.6;1
197007;17.3;1
197008;17.3;1
197009;15.6;1
197010;11;1
197011;7.6;1
197012;1.7;1
197101;1.9;1
197102;3.4;1
197103;2.6;1
197104;10;1
197105;12.7;1
197106;14.8;1
197107;17.9;1
197108;19.3;1
197109;15.3;1
197110;11.6;1
197111;4.8;1
197112;4.5;1
197201;4.5;1
197202;6.5;1
197203;6.7;1
197204;8.6;1
197205;10.8;1
197206;14.4;1
197207;17.7;1
197208;15.9;1
197209;13.1;1
197210;10.7;1
197211;7.8;1
197212;4.5;1
197301;2.7;1
197302;2.9;1
197303;3.9;1
197304;6.3;1
197305;12.3;1
197306;16.2;1
197307;18.2;1
197308;18.6;1
197309;15.6;1
197310;9.8;1
197311;7.2;1
197312;2.7;1
197401;5.5;1
197402;5.1;1
197403;7.1;1
197404;7.7;1
197405;11.6;1
197406;14.9;1
197407;17.7;1
197408;17.3;1
197409;14.1;1
197410;6.6;1
197411;6.8;1
197412;5;1
197501;4.2;1
197502;3.7;1
197503;4.6;1
197504;6.4;1
197505;11.1;1
197506;14.6;1
197507;17.4;1
197508;18.8;1
197509;15.6;1
197510;9.1;1
197511;7;1
197512;3.2;1
197601;3.2;1
197602;4.4;1
197603;4.6;1
197604;7.6;1
197605;11.5;1
197606;15.9;1
197607;18.7;1
197608;16.8;1
197609;13.8;1
197610;10.7;1
197611;5.4;1
197612;4.5;1
197701;4.1;1
197702;5;1
197703;6.8;1
197704;7.3;1
197705;11;1
197706;14.4;1
197707;17.1;1
197708;16.3;1
197709;12.9;1
197710;13;1
197711;6.2;1
197712;4.1;1
197801;2.4;1
197802;3.3;1
197803;6.5;1
197804;6.8;1
197805;10.5;1
197806;13.4;1
197807;16.4;1
197808;16.4;1
197809;14.5;1
197810;9.9;1
197811;5.2;1
197812;4.5;1
197901;2.2;1
197902;4.2;1
197903;6.7;1
197904;7.1;1
197905;11.4;1
197906;16.7;1
197907;18.7;1
197908;17.6;1
197909;14.6;1
197910;13.6;1
197911;5.7;1
197912;3.5;1
198001;3;1
198002;6;1
198003;5.6;1
198004;7.7;1
198005;10.9;1
198006;14.6;1
198007;15.9;1
198008;18.8;1
198009;16.1;1
198010;10.9;1
198011;5.9;1
198012;0.3;1
198101;1.5;1
198102;0.9;1
198103;7.3;1
198104;8.6;1
198105;11.1;1
198106;16;1
198107;17.2;1
198108;18.2;1
198109;16.6;1
198110;10.5;1
198111;6;1
198112;4.6;1
198201;5.6;1
198202;4.8;1
198203;4.4;1
198204;8.1;1
198205;11.3;1
198206;17.6;1
198207;20.2;1
198208;18.4;1
198209;17;1
198210;11.5;1
198211;9.4;1
198212;4.7;1
198301;3.7;1
198302;1.2;1
198303;6;1
198304;9;1
198305;11.6;1
198306;15.7;1
198307;20.3;1
198308;18.7;1
198309;15.8;1
198310;11.3;1
198311;8.3;1
198312;3.3;1
198401;2.7;1
198402;1.8;1
198403;4.8;1
198404;6.8;1
198405;10.1;1
198406;14.8;1
198407;18;1
198408;17.2;1
198409;14.1;1
198410;11.4;1
198411;9.6;1
198412;3.4;1
