# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 57039001
# NOM_USUEL= METZ-FRESCATY
# LATITUDE (°) = 49.07
# LONGITUDE(°)= 6.125
# ALTITUDE (m) = 192
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN357039001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 201012
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-1.2;1
195902;-3.1;1
195903;2.8;1
195904;4.8;1
195905;8.4;1
195906;11.3;1
195907;14.4;1
195908;12.8;1
195909;9.4;1
195910;3.5;1
195911;1.6;1
195912;1.5;1
196001;-1.4;1
196002;-0.2;1
196003;3.2;1
196004;3.7;1
196005;7.9;1
196006;11.5;1
196007;11.2;1
196008;12.2;1
196009;8.6;1
196010;6.7;1
196011;4.6;1
196012;-0.2;1
196101;-1.1;1
196102;2.4;1
196103;1.7;1
196104;7.7;1
196105;6.8;1
196106;11.1;1
196107;10.6;1
196108;12;1
196109;12.4;1
196110;7.2;1
196111;1.9;1
196112;-0.9;1
196201;1;1
196202;-1;1
196203;-1.5;1
196204;4.5;1
196205;5.9;1
196206;9.3;1
196207;11.6;1
196208;12.1;1
196209;8.5;1
196210;5.3;1
196211;0.5;1
196212;-4.3;1
196301;-6.9;1
196302;-7.1;1
196303;0.6;1
196304;5.1;1
196305;6.9;1
196306;11.4;1
196307;12.1;1
196308;12.1;1
196309;10.1;1
196310;5.1;1
196311;5.1;1
196312;-4.4;1
196401;-3.5;1
196402;1.2;1
196403;0.4;1
196404;5;1
196405;8.2;1
196406;10.5;1
196407;13;1
196408;12.2;1
196409;10.3;1
196410;4.4;1
196411;4.1;1
196412;-1;1
196501;0.8;1
196502;-2.8;1
196503;1.7;1
196504;4;1
196505;7.8;1
196506;11.3;1
196507;11.7;1
196508;11;1
196509;8.6;1
196510;4;1
196511;1.1;1
196512;2.1;1
196601;-4.3;1
196602;3.9;1
196603;0.9;1
196604;5.7;1
196605;8.7;1
196606;12.2;1
196607;11.1;1
196608;11.5;1
196609;10.1;1
196610;9.2;1
196611;0.2;1
196612;1;1
196701;-1.1;1
196702;0.6;1
196703;3.1;1
196704;2.7;1
196705;7.1;1
196706;10;1
196707;13.3;1
196708;12.1;1
196709;9.5;1
196710;8.2;1
196711;1.6;1
196712;-1.2;1
196801;-1.4;1
196802;-0.3;1
196803;1.3;1
196804;3.3;1
196805;6.5;1
196806;10;1
196807;11.6;1
196808;12;1
196809;9.9;1
196810;7.6;1
196811;2;1
196812;-2.1;1
196901;0.4;1
196902;-3.3;1
196903;1.2;1
196904;3.7;1
196905;7.5;1
196906;9.6;1
196907;13.5;1
196908;12.4;1
196909;9.7;1
196910;5.2;1
196911;2.7;1
196912;-3.7;1
197001;-1.4;1
197002;-0.9;1
197003;-0.2;1
197004;3.1;1
197005;7.7;1
197006;12.7;1
197007;11.5;1
197008;12.4;1
197009;9.2;1
197010;6.9;1
197011;3.8;1
197012;-1.3;1
197101;-4.4;1
197102;0.1;1
197103;-1.8;1
197104;4;1
197105;9;1
197106;9.9;1
197107;12.7;1
197108;12.4;1
197109;7.4;1
197110;4.3;1
197111;1.1;1
197112;0.9;1
197201;-1.9;1
197202;0.6;1
197203;1;1
197204;4.5;1
197205;7.1;1
197206;9.3;1
197207;13;1
197208;11.7;1
197209;6.7;1
197210;3.4;1
197211;1.8;1
197212;-1.6;1
197301;-2.1;1
197302;-0.7;1
197303;-0.3;1
197304;2.2;1
197305;8.2;1
197306;11.2;1
197307;13;1
197308;13.6;1
197309;10.1;1
197310;5;1
197311;1.4;1
197312;-0.9;1
197401;2.1;1
197402;1.5;1
197403;3.8;1
197404;4.1;1
197405;6.9;1
197406;9.8;1
197407;10.9;1
197408;12.8;1
197409;9.4;1
197410;4.1;1
197411;3.3;1
197412;4;1
197501;2.7;1
197502;-1;1
197503;1.1;1
197504;4;1
197505;7;1
197506;10.8;1
197507;13;1
197508;14.3;1
197509;11.4;1
197510;4.8;1
197511;2.3;1
197512;-1.2;1
197601;0.8;1
197602;-0.6;1
197603;-0.7;1
197604;2.9;1
197605;6.8;1
197606;12.2;1
197607;14.7;1
197608;11.8;1
197609;9.3;1
197610;7.6;1
197611;3.6;1
197612;-1.9;1
197701;0.5;1
197702;2.4;1
197703;3.8;1
197704;2.1;1
197705;8;1
197706;11.6;1
197707;13.1;1
197708;12.1;1
197709;8.6;1
197710;7.5;1
197711;3.8;1
197712;1.2;1
197801;0;1
197802;-1.9;1
197803;2.9;1
197804;2.9;1
197805;8;1
197806;10;1
197807;11.9;1
197808;10.8;1
197809;8.4;1
197810;5.9;1
197811;1;1
197812;0.1;1
197901;-5.6;1
197902;-0.9;1
197903;2.4;1
197904;3.4;1
197905;6.8;1
197906;12.5;1
197907;12.2;1
197908;11.2;1
197909;9.2;1
197910;6.8;1
197911;2.5;1
197912;2.8;1
198001;-2.2;1
198002;1.9;1
198003;2.4;1
198004;3.2;1
198005;7;1
198006;10.7;1
198007;11.8;1
198008;13.1;1
198009;10.5;1
198010;5.5;1
198011;1.2;1
198012;-1.1;1
198101;-1.5;1
198102;-2.3;1
198103;5.7;1
198104;5;1
198105;7.7;1
198106;11.2;1
198107;12.8;1
198108;12.8;1
198109;10.6;1
198110;6;1
198111;3.1;1
198112;-1.1;1
198201;-3;1
198202;-1.5;1
198203;1.3;1
198204;2.7;1
198205;7.2;1
198206;12.5;1
198207;14.8;1
198208;12.6;1
198209;11.5;1
198210;7.8;1
198211;4.4;1
198212;1.6;1
198301;2.2;1
198302;-2.2;1
198303;2.2;1
198304;4.7;1
198305;6.7;1
198306;12;1
198307;16.2;1
198308;14.4;1
198309;10.2;1
198310;6.5;1
198311;1.2;1
198312;-0.6;1
198401;0.4;1
198402;-0.9;1
198403;-0.9;1
198404;2.8;1
198405;6.2;1
198406;9.9;1
198407;11.7;1
198408;12.5;1
198409;10.5;1
198410;7.7;1
198411;4.3;1
198412;0.2;1
198501;-6.8;1
198502;-4;1
198503;0.4;1
198504;4.5;1
198505;9;1
198506;9.9;1
198507;13;1
198508;11.4;1
198509;9.7;1
198510;5;1
198511;-0.3;1
198512;1.9;1
198601;-0.2;1
198602;-6.9;1
198603;0.4;1
198604;3.1;1
198605;9.1;1
198606;12.3;1
198607;12.2;1
198608;11.6;1
198609;7.4;1
198610;6.5;1
198611;3.2;1
198612;0.7;1
198701;-5.4;1
198702;-1;1
198703;-1.1;1
198704;4.2;1
198705;5.6;1
198706;11;1
198707;13.6;1
198708;12.7;1
198709;12.5;1
198710;7.4;1
198711;4.1;1
198712;0.9;1
198801;2.7;1
198802;0.3;1
198803;2.6;1
198804;4.1;1
198805;10.1;1
198806;11.3;1
198807;12;1
198808;12.6;1
198809;10.9;1
198810;7.9;1
198811;0.2;1
198812;3.7;1
198901;0.5;1
198902;1.1;1
198903;3.9;1
198904;3.9;1
198905;8.9;1
198906;10.6;1
198907;13.8;1
198908;13;1
198909;10.5;1
198910;7.1;1
198911;0.1;1
198912;0.8;1
199001;0.9;1
199002;2.6;1
199003;3.6;1
199004;3.4;1
199005;8.3;1
199006;11;1
199007;12.4;1
199008;13.5;1
199009;8.3;1
199010;7.5;1
199011;3.3;1
199012;0.2;1
199101;0;1
199102;-4.6;1
199103;4.1;1
199104;2.4;1
199105;5.9;1
199106;10;1
199107;14.7;1
199108;13.7;1
199109;11.5;1
199110;6.2;1
199111;2.2;1
199112;-1.1;1
199201;-1.1;1
199202;0.1;1
199203;2.6;1
199204;4;1
199205;9;1
199206;12.6;1
199207;13.9;1
199208;14.5;1
199209;9.2;1
199210;4.6;1
199211;4.6;1
199212;0.9;1
199301;1.5;1
199302;-1.5;1
199303;0.2;1
199304;5.9;1
199305;9.5;1
199306;12.3;1
199307;12.5;1
199308;11.7;1
199309;10.1;1
199310;6.4;1
199311;-0.3;1
199312;2.8;1
199401;1.8;1
199402;-0.7;1
199403;4.8;1
199404;3.6;1
199405;8.6;1
199406;12;1
199407;16.3;1
199408;13.3;1
199409;10.6;1
199410;5;1
199411;7;1
199412;3.2;1
199501;0.1;1
199502;3.4;1
199503;0.9;1
199504;5.3;1
199505;7.8;1
199506;11.1;1
199507;15.6;1
199508;14.3;1
199509;9.3;1
199510;9.6;1
199511;2.8;1
199512;-0.8;1
199601;-1.7;1
199602;-1.7;1
199603;-0.7;1
199604;3.1;1
199605;7.3;1
199606;11;1
199607;11.8;1
199608;13.3;1
199609;8.1;1
199610;6.7;1
199611;3.5;1
199612;-2.1;1
199701;-4.9;1
199702;1.3;1
199703;3.8;1
199704;2.1;1
199705;8.5;1
199706;12.3;1
199707;13.1;1
199708;15.3;1
199709;9.3;1
199710;5.1;1
199711;2.9;1
199712;1.7;1
199801;0.4;1
199802;-1.6;1
199803;2.8;1
199804;5.2;1
199805;9.1;1
199806;11.8;1
199807;12.9;1
199808;11.9;1
199809;11;1
199810;7.3;1
199811;0;1
199812;0.7;1
199901;0.9;1
199902;-0.2;1
199903;3.2;1
199904;4.8;1
199905;9.9;1
199906;10.4;1
199907;14.6;1
199908;13.7;1
199909;12.6;1
199910;6.7;1
199911;1.6;1
199912;1.5;1
200001;0.4;1
200002;1.7;1
200003;2.8;1
200004;4.9;1
200005;10.1;1
200006;11.9;1
200007;12.5;1
200008;13.7;1
200009;11.5;1
200010;8.1;1
200011;4.9;1
200012;3.1;1
200101;0.5;1
200102;1.1;1
200103;4.4;1
200104;4;1
200105;10.1;1
200106;10;1
200107;14.4;1
200108;14.2;1
200109;9.5;1
200110;9.9;1
200111;2.1;1
200112;-1.1;1
200201;-1.1;1
200202;3.7;1
200203;1.7;1
200204;4.4;1
200205;8.7;1
200206;13.2;1
200207;13.4;1
200208;14.6;1
200209;9.6;1
200210;6.9;1
200211;5.5;1
200212;2.8;1
200301;-1.5;1
200302;-3.5;1
200303;2.3;1
200304;4;1
200305;9.5;1
200306;15.3;1
200307;14.7;1
200308;16.2;1
200309;8.9;1
200310;4.7;1
200311;4.6;1
200312;1.1;1
200401;-0.8;1
200402;0.6;1
200403;0.8;1
200404;5.3;1
200405;6.5;1
200406;11.3;1
200407;13.5;1
200408;14.9;1
200409;11.3;1
200410;8;1
200411;3.3;1
200412;-1.1;1
200501;0.6;1
200502;-1.9;1
200503;1.8;1
200504;5.3;1
200505;8.3;1
200506;12;1
200507;14.6;1
200508;11.5;1
200509;11.7;1
200510;8.5;1
200511;2.7;1
200512;-0.1;1
200601;-2.8;1
200602;-0.9;1
200603;1;1
200604;4.2;1
200605;9.2;1
200606;11.4;1
200607;17.2;1
200608;12.7;1
200609;13;1
200610;9.5;1
200611;4.5;1
200612;1.8;1
200701;3.6;1
200702;2.5;1
200703;2.1;1
200704;6.1;1
200705;10.3;1
200706;13.8;1
200707;12.6;1
200708;12.7;1
200709;8.9;1
200710;5.8;1
200711;2.2;1
200712;-0.5;1
200801;1.1;1
200802;0.1;1
200803;2.5;1
200804;4.4;1
200805;10.1;1
200806;12.3;1
200807;13.3;1
200808;13.2;1
200809;8.6;1
200810;6.2;1
200811;3.3;1
200812;-0.3;1
200901;-4.7;1
200902;-0.6;1
200903;1.3;1
200904;6.5;1
200905;9.8;1
200906;11.1;1
200907;14;1
200908;13.6;1
200909;11;1
200910;5.7;1
200911;5.9;1
200912;-0.5;1
201001;-2.9;1
201002;-0.3;1
201003;2;1
201004;3.7;1
201005;7.3;1
201006;12.1;1
201007;14.2;1
201008;13.1;1
201009;9.3;1
201010;5.4;1
201011;4.5;1
201012;-3.3;1
201101;0.8;1
201102;1;1
201103;2.5;1
201104;6.3;1
201105;8.2;1
201106;12.6;1
201107;12.2;1
201108;14.2;1
201109;11.5;1
201110;6.5;1
201111;4.2;1
201112;2.9;1
201201;1.6;1
201202;-4.1;1
201203;3.4;1
201204;4.5;1
201205;9.8;1
201206;12.3;1
201207;13.3;1
201208;14.1;1
201209;9.1;1
201210;6;1
201211;3.7;1
201212;1.8;1
201301;-0.2;1
201302;-1.9;1
201303;-0.9;1
201304;5.2;1
201305;8.1;1
201306;11.5;1
201307;15.8;1
201308;13;1
201309;10.7;1
201310;9.2;1
201311;3.5;1
201312;1.2;1
201401;1.9;1
201402;2;1
201403;1.9;1
201404;6.4;1
201405;8.6;1
201406;12.1;1
201407;14.9;1
201408;12.4;1
201409;11.7;1
201410;9.4;1
201411;5.1;1
201412;2.5;1
201501;0.7;1
201502;-0.9;1
201503;1.6;1
201504;3.9;1
201505;8.4;1
201506;12;1
201507;15.3;1
201508;15.1;1
201509;9.8;1
201510;6.7;1
201511;5.8;1
201512;3.7;1
201601;0.5;1
201602;2.4;1
201603;1.9;1
201604;3.9;1
201605;8.7;1
201606;13.3;1
201607;14.3;1
201608;13.7;1
201609;11.4;1
201610;6.6;1
201611;3.2;1
201612;-0.9;1
201701;-3.7;1
201702;1.9;1
201703;3.9;1
201704;3;1
201705;9.3;1
201706;13.5;1
201707;15.3;1
201708;14.4;1
201709;9.1;1
201710;7.8;1
201711;2.7;1
201712;2.2;1
201801;4.1;1
201802;-2.8;1
201803;0.8;1
201804;6.7;1
201805;10.4;1
201806;13.7;1
201807;15.9;1
201808;14.5;1
201809;9.6;1
201810;6.5;1
201811;3.7;1
201812;2.6;1
201901;-0.2;1
201902;-0.5;1
201903;3.6;1
201904;5;1
201905;7.1;1
201906;13.2;1
201907;14.4;1
201908;14.1;1
201909;10.3;1
201910;9.1;1
201911;2.9;1
201912;2.3;1
202001;1.4;1
202002;3.9;1
202003;2.8;1
202004;4.9;1
202005;7.8;1
202006;12;1
202007;13.4;1
202008;15.6;1
202009;10.9;1
202010;8.6;1
202011;3.7;1
202012;2.4;1
202101;0;1
202102;0.9;1
202103;1.1;1
202104;3.1;1
202105;6.9;1
202106;14.3;1
202107;14;1
202108;13.6;1
202109;11.1;1
202110;6;1
202111;2.6;1
202112;2.7;1
202201;0.6;1
202202;2.6;1
202203;1.5;1
202204;4.4;1
202205;9.6;1
202206;13.5;1
202207;14.2;1
202208;15.9;1
202209;10.5;1
202210;9.6;1
202211;6;1
202212;1.6;1
202301;3;0
202302;1.2;0
202303;3.6;0
202304;5;0
202305;10.1;0
202306;14.2;0
202307;14.2;0
202308;14.8;0
202309;12.6;0
202310;8.4;0
202311;5.2;0
202312;4;0
202401;0.1;0
202402;5.8;0
202403;4.8;0
202404;6.2;0
202405;10.5;0
202406;12.3;0
202407;14.5;0
202408;15;0
202409;12.4;0
202410;8.8;0
202411;4.5;0
202412;1.3;0
