# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 10238001
# NOM_USUEL= MESNIL-ST-PERE
# LATITUDE (°) = 48.245
# LONGITUDE(°)= 4.322
# ALTITUDE (m) = 142
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX010238001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 196301 202212
# Date(s) de rupture(s) d'homogénéité : 197112 197512 198012 199012 201706
#     Periode homogénéisée  196301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196301;0;1
196302;2.1;1
196303;10.6;1
196304;14.3;1
196305;16.5;1
196306;20.4;1
196307;23.3;1
196308;19.8;1
196309;19.3;1
196310;14.6;1
196311;13;1
196312;2.7;1
196401;2.6;1
196402;9;1
196403;8.6;1
196404;14.5;1
196405;20;1
196406;22.5;1
196407;26.2;1
196408;23.6;1
196409;21.8;1
196410;12.5;1
196411;9.1;1
196412;4.8;1
196501;5.7;1
196502;3;1
196503;10.6;1
196504;12.3;1
196505;17.1;1
196506;21;1
196507;19.9;1
196508;21.5;1
196509;17.5;1
196510;17.3;1
196511;8.3;1
196512;7.8;1
196601;3.6;1
196602;11.1;1
196603;9.2;1
196604;15.7;1
196605;17.7;1
196606;22.1;1
196607;20.6;1
196608;21.3;1
196609;20.3;1
196610;16.4;1
196611;7;1
196612;6.8;1
196701;4.7;1
196702;9.1;1
196703;11.5;1
196704;13.5;1
196705;18.1;1
196706;20.4;1
196707;26.2;1
196708;22.8;1
196709;19.6;1
196710;17;1
196711;8.5;1
196712;3.6;1
196801;5;1
196802;7;1
196803;10.7;1
196804;15.2;1
196805;15.5;1
196806;20;1
196807;22;1
196808;21.2;1
196809;18.8;1
196810;16.2;1
196811;8.7;1
196812;3.6;1
196901;6.8;1
196902;4;1
196903;9.7;1
196904;13;1
196905;18.4;1
196906;19.4;1
196907;24.2;1
196908;22.5;1
196909;20.8;1
196910;17.9;1
196911;10;1
196912;1.6;1
197001;5.5;1
197002;6.1;1
197003;6.5;1
197004;10.6;1
197005;17.5;1
197006;22.5;1
197007;22;1
197008;22.7;1
197009;20.7;1
197010;14.1;1
197011;11.7;1
197012;3.8;1
197101;5.6;1
197102;6.4;1
197103;6.7;1
197104;17.6;1
197105;20.1;1
197106;19;1
197107;25.7;1
197108;23.6;1
197109;20.2;1
197110;16.8;1
197111;7.3;1
197112;6.2;1
197201;4.9;1
197202;8.6;1
197203;13.2;1
197204;12.3;1
197205;15.4;1
197206;19.7;1
197207;22.3;1
197208;20.8;1
197209;17.2;1
197210;15.4;1
197211;9.2;1
197212;6.9;1
197301;3.5;1
197302;5.5;1
197303;10.7;1
197304;12;1
197305;18.3;1
197306;22;1
197307;22.5;1
197308;25.7;1
197309;22.2;1
197310;14.4;1
197311;9.6;1
197312;5.1;1
197401;9.5;1
197402;8.2;1
197403;10.6;1
197404;15.1;1
197405;17.6;1
197406;21.1;1
197407;22.4;1
197408;24.7;1
197409;18.5;1
197410;9.6;1
197411;9.9;1
197412;8.7;1
197501;9;1
197502;10.4;1
197503;8;1
197504;13.3;1
197505;16.1;1
197506;20.4;1
197507;24.6;1
197508;25.5;1
197509;20.1;1
197510;13.4;1
