# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 42253001
# NOM_USUEL= ROANNE-RIORGES_AERO
# LATITUDE (°) = 46.055
# LONGITUDE(°)= 4.005
# ALTITUDE (m) = 337
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX042253001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 196301 202212
# Date(s) de rupture(s) d'homogénéité : 200512
#     Periode homogénéisée  196301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196301;0.3;1
196302;2.5;1
196303;11.5;1
196304;14.5;1
196305;17.4;1
196306;21.3;1
196307;24.7;1
196308;21.5;1
196309;19.6;1
196310;16.3;1
196311;13.7;1
196312;3.9;1
196401;2.8;1
196402;8.7;1
196403;8.3;1
196404;14.6;1
196405;20.7;1
196406;23.5;1
196407;27.8;1
196408;24.6;1
196409;23.4;1
196410;12.5;1
196411;8.8;1
196412;5.3;1
196501;6.4;1
196502;3.2;1
196503;10.7;1
196504;12.6;1
196505;17.4;1
196506;22.4;1
196507;22.1;1
196508;22.2;1
196509;18.1;1
196510;19;1
196511;9.7;1
196512;9;1
196601;5.4;1
196602;12.2;1
196603;9.5;1
196604;16;1
196605;18.5;1
196606;22.8;1
196607;21.5;1
196608;22.4;1
196609;23;1
196610;17.4;1
196611;6.6;1
196612;7.4;1
196701;5.8;1
196702;9.4;1
196703;11.8;1
196704;13.9;1
196705;18.4;1
196706;21;1
196707;26.7;1
196708;23.3;1
196709;20.3;1
196710;19.4;1
196711;10.6;1
196712;3.1;1
196801;4.6;1
196802;8.1;1
196803;11.5;1
196804;15.6;1
196805;16.1;1
196806;21.6;1
196807;24.2;1
196808;21.3;1
196809;19.4;1
196810;18.5;1
196811;9.9;1
196812;5.4;1
196901;7.8;1
196902;5.1;1
196903;9.9;1
196904;13.7;1
196905;18.9;1
196906;19.2;1
196907;24.8;1
196908;22.3;1
196909;21;1
196910;18.4;1
196911;10.8;1
196912;1.9;1
197001;7.6;1
197002;7.3;1
197003;7.1;1
197004;11.6;1
197005;18.3;1
197006;23.5;1
197007;23.4;1
197008;23.7;1
197009;23;1
197010;15.3;1
197011;13.4;1
197012;3.5;1
197101;6.1;1
197102;6.3;1
197103;5.9;1
197104;17;1
197105;19.3;1
197106;20.1;1
197107;26;1
197108;24.7;1
197109;20.7;1
197110;18;1
197111;6.9;1
197112;6.9;1
197201;6.4;1
197202;9.7;1
197203;13.1;1
197204;12.2;1
197205;16.6;1
197206;20.2;1
197207;23.4;1
197208;22.5;1
197209;17.9;1
197210;15.8;1
197211;11.9;1
197212;7.3;1
197301;3.9;1
197302;4.8;1
197303;9.8;1
197304;11.4;1
197305;19.7;1
197306;22.4;1
197307;23.3;1
197308;26.3;1
197309;23.2;1
197310;14.3;1
