# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 51153001
# NOM_USUEL= CHOUILLY
# LATITUDE (°) = 49.018
# LONGITUDE(°)= 3.982
# ALTITUDE (m) = 172
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX051153001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196510 197612 199012 199403 200406
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;4.5;1
195902;7.7;1
195903;12.5;1
195904;14.9;1
195905;19.9;1
195906;23.4;1
195907;26.9;1
195908;24.5;1
195909;24.2;1
195910;17;1
195911;8.1;1
195912;7.4;1
196001;4.8;1
196002;7.1;1
196003;11.7;1
196004;14.9;1
196005;20.7;1
196006;22.5;1
196007;20.4;1
196008;21.2;1
196009;18.4;1
196010;14.1;1
196011;10.3;1
196012;4.2;1
196101;4.6;1
196102;11;1
196103;13.4;1
196104;16.7;1
196105;17.2;1
196106;21.6;1
196107;22.2;1
196108;23.4;1
196109;23.9;1
196110;15.8;1
196111;7.9;1
196112;6.1;1
196201;6.1;1
196202;6;1
196203;6.5;1
196204;13.6;1
196205;15.6;1
196206;21.3;1
196207;22.2;1
196208;23.4;1
196209;19.8;1
196210;16.2;1
196211;6.4;1
196212;3.1;1
196301;-0.9;1
196302;1.3;1
196303;9.8;1
196304;14.5;1
196305;16.7;1
196306;20.6;1
196307;23.8;1
196308;20.2;1
196309;19.6;1
196310;14;1
196311;12.2;1
196312;1;1
196401;1.8;1
196402;7.8;1
196403;7.7;1
196404;14.2;1
196405;20.7;1
196406;22.7;1
196407;25.8;1
196408;23.4;1
196409;21.7;1
196410;12.7;1
196411;8.8;1
196412;4.4;1
196501;5.2;1
196502;3.8;1
196503;10.5;1
196504;12.8;1
196505;17.5;1
196506;21.5;1
196507;20;1
196508;21.7;1
196509;17.6;1
196510;16.1;1
196511;7.5;1
196512;7.5;1
196601;2.7;1
196602;10.3;1
196603;9.5;1
196604;15.2;1
196605;18.7;1
196606;22.7;1
196607;21;1
196608;21.8;1
196609;21;1
196610;15.7;1
196611;7;1
196612;6.7;1
196701;5.5;1
196702;8.6;1
196703;11.1;1
196704;13.7;1
196705;18.3;1
196706;20.7;1
196707;26.3;1
196708;23.1;1
196709;19.6;1
196710;16.1;1
196711;8.2;1
196712;4.4;1
196801;4.6;1
196802;6.2;1
196803;10.8;1
196804;15.9;1
196805;15.7;1
196806;20.9;1
196807;22.4;1
196808;21.7;1
196809;18.9;1
196810;15.8;1
196811;7.6;1
196812;2.9;1
196901;6.3;1
196902;4.2;1
196903;9.8;1
196904;13.5;1
196905;18.9;1
196906;20.4;1
196907;24.6;1
196908;22.4;1
196909;20.7;1
196910;17;1
196911;9.2;1
196912;1.3;1
197001;4.8;1
197002;6.1;1
197003;6.8;1
197004;10.5;1
197005;18;1
197006;23.3;1
197007;21.9;1
197008;23.1;1
197009;20.7;1
197010;14.4;1
197011;10.7;1
197012;3.8;1
197101;4.3;1
197102;6;1
197103;6.9;1
197104;16.6;1
197105;20.3;1
197106;19.2;1
197107;25.7;1
197108;22.9;1
197109;20.2;1
