# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 53096004
# NOM_USUEL= ERNEE
# LATITUDE (°) = 48.296
# LONGITUDE(°)= -0.963
# ALTITUDE (m) = 168
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX053096004
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195801 202212
# Date(s) de rupture(s) d'homogénéité : 196512 197112 197912
#     Periode homogénéisée  195801 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;7.6;1
195802;9.9;1
195803;8.3;1
195804;12.1;1
195805;18;1
195806;18.2;1
195807;20.9;1
195808;21;1
195809;21.3;1
195810;14.5;1
195811;8.9;1
195812;7.7;1
195901;6.7;1
195902;10.1;1
195903;12.2;1
195904;13.5;1
195905;17.7;1
195906;20.7;1
195907;25.4;1
195908;23.1;1
195909;23.8;1
195910;16.5;1
195911;9.6;1
195912;8.4;1
196001;6.7;1
196002;8;1
196003;12.2;1
196004;15.1;1
196005;20.5;1
196006;22.9;1
196007;20.4;1
196008;21.3;1
196009;18.7;1
196010;14.6;1
196011;12.2;1
196012;6;1
196101;6.2;1
196102;10;1
196103;13;1
196104;14;1
196105;17.1;1
196106;21.1;1
196107;23;1
196108;22.6;1
196109;22.7;1
196110;15.6;1
196111;9.6;1
196112;7.2;1
196201;7.8;1
196202;7.2;1
196203;7.4;1
196204;12.8;1
196205;14.9;1
196206;21;1
196207;21.5;1
196208;20.9;1
196209;18.7;1
196210;15.4;1
196211;9.6;1
196212;5.5;1
196301;1.3;1
196302;3.6;1
196303;10;1
196304;13.8;1
196305;17.1;1
196306;19.5;1
196307;22;1
196308;18.3;1
196309;18.8;1
196310;14.7;1
196311;11.8;1
196312;4.9;1
196401;4.3;1
196402;7.6;1
196403;8.7;1
196404;12.3;1
196405;19.3;1
196406;20.4;1
196407;23.7;1
196408;23.3;1
196409;22;1
196410;13;1
196411;10;1
196412;6.9;1
