# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 53130008
# NOM_USUEL= LAVAL-ETRONNIER
# LATITUDE (°) = 48.031
# LONGITUDE(°)= -0.747
# ALTITUDE (m) = 100
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX053130008
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195501 202212
# Date(s) de rupture(s) d'homogénéité : 196212 197612 198412 199412 200712
#     Periode homogénéisée  195501 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;7.8;1
195502;7.5;1
195503;8.9;1
195504;16.2;1
195505;17.1;1
195506;21.3;1
195507;25.2;1
195508;26.2;1
195509;20.7;1
195510;14.6;1
195511;10.9;1
195512;9.8;1
195601;7.6;1
195602;1.7;1
195603;12.5;1
195604;13.2;1
195605;20.1;1
195606;17.8;1
195607;21.9;1
195608;19.7;1
195609;20.3;1
195610;14.6;1
195611;9.3;1
195612;8.8;1
195701;6.8;1
195702;11.1;1
195703;15.1;1
195704;15.1;1
195705;16.3;1
195706;23.3;1
195707;22.7;1
195708;21.8;1
195709;19.2;1
195710;16.5;1
195711;9.3;1
195712;7.1;1
195801;7.6;1
195802;10.3;1
195803;8.6;1
195804;12.6;1
195805;18;1
195806;19;1
195807;21.6;1
195808;21.3;1
195809;21.7;1
195810;15.2;1
195811;9.5;1
195812;8.8;1
195901;7.1;1
195902;10.2;1
195903;13.7;1
195904;15;1
195905;18.7;1
195906;22.2;1
195907;26.3;1
195908;24.2;1
195909;24.1;1
195910;17.7;1
195911;10.6;1
195912;9.3;1
196001;7.5;1
196002;8.3;1
196003;12.7;1
196004;15.2;1
196005;20.3;1
196006;23.2;1
196007;20.6;1
196008;21.6;1
196009;19;1
196010;15.1;1
196011;12;1
196012;6.5;1
196101;7.3;1
196102;11.8;1
196103;14.6;1
196104;16.3;1
196105;18.6;1
196106;21.8;1
196107;24.2;1
196108;23.5;1
196109;23.6;1
196110;16.1;1
196111;9.8;1
196112;7.9;1
196201;8.2;1
196202;8.1;1
196203;8.1;1
196204;13.7;1
196205;16.5;1
196206;22.2;1
196207;22.8;1
196208;23;1
196209;20.3;1
196210;16.4;1
196211;9.3;1
196212;5.3;1
196301;1.2;1
196302;3;1
196303;10.9;1
196304;13.5;1
196305;16.9;1
196306;19.9;1
196307;22.5;1
196308;19;1
196309;19.1;1
196310;15.4;1
196311;12;1
196312;4.6;1
196401;4.3;1
196402;8.1;1
196403;9.3;1
196404;13.3;1
196405;19.5;1
196406;20.7;1
196407;24.3;1
196408;23.7;1
196409;22.4;1
196410;13.5;1
196411;10;1
196412;6.8;1
196501;7.2;1
196502;5.7;1
196503;11.4;1
196504;13.4;1
196505;17.3;1
196506;20.8;1
196507;20.9;1
196508;20.9;1
196509;17.6;1
196510;16.5;1
196511;9.5;1
196512;9.7;1
196601;6.1;1
196602;11.1;1
196603;11.2;1
196604;14.9;1
196605;16.8;1
196606;21.8;1
196607;20.8;1
196608;21.5;1
196609;21.5;1
196610;15.2;1
196611;8.6;1
196612;9.3;1
196701;7.3;1
196702;9.2;1
196703;11.7;1
196704;13.6;1
196705;16.3;1
196706;20.6;1
196707;24.5;1
196708;22;1
196709;18.8;1
196710;16.4;1
196711;9.3;1
196712;7;1
196801;8.2;1
196802;7.1;1
196803;11.4;1
196804;14.5;1
196805;15.8;1
196806;20.2;1
196807;22.5;1
196808;21.2;1
196809;19.2;1
196810;17;1
196811;9.6;1
196812;5.8;1
196901;9;1
196902;6.6;1
196903;11;1
196904;14.3;1
196905;17.2;1
196906;20.1;1
196907;24.9;1
196908;23.4;1
196909;20.6;1
196910;19.6;1
196911;10.7;1
196912;5.6;1
197001;7.6;1
197002;8.3;1
197003;8.8;1
197004;11.8;1
197005;19.1;1
197006;22.6;1
197007;21.8;1
197008;22.7;1
197009;19.6;1
197010;15.5;1
197011;12.8;1
197012;5.4;1
197101;7.4;1
197102;8.4;1
197103;8.8;1
197104;15.9;1
197105;18.2;1
197106;19;1
197107;25.6;1
197108;21.9;1
197109;21.5;1
197110;17.3;1
197111;10.6;1
197112;7.1;1
197201;6.2;1
197202;8.6;1
197203;13.5;1
197204;12.5;1
197205;15.7;1
197206;17.8;1
197207;22.9;1
197208;21.6;1
197209;18.2;1
197210;15.8;1
197211;10.9;1
197212;8.5;1
197301;6.4;1
197302;7;1
197303;12.1;1
197304;12.8;1
197305;17.6;1
197306;22.1;1
197307;22.2;1
197308;25.4;1
197309;22;1
197310;14.7;1
197311;10.7;1
197312;7.3;1
197401;9.6;1
197402;10;1
197403;11.5;1
197404;15.1;1
197405;17;1
197406;21.1;1
197407;22.6;1
197408;23.9;1
197409;17.9;1
197410;11.7;1
197411;10.9;1
197412;10.4;1
197501;9.6;1
197502;10.9;1
197503;9.6;1
197504;13.4;1
197505;16;1
197506;21.7;1
197507;24.2;1
197508;26.2;1
197509;19.6;1
197510;14.6;1
197511;9.9;1
197512;5.8;1
197601;7.7;1
197602;8.5;1
197603;11.3;1
197604;15.3;1
197605;19.9;1
197606;27.9;1
197607;26.5;1
197608;27;1
197609;19.6;1
197610;15.6;1
197611;9.6;1
197612;5.7;1
197701;7;1
197702;10.4;1
197703;12.9;1
197704;13.3;1
197705;16.6;1
197706;18.6;1
197707;21.9;1
197708;21.5;1
197709;19.9;1
197710;17.2;1
197711;10.6;1
197712;8.8;1
197801;6.6;1
197802;7.5;1
197803;11.4;1
197804;11.3;1
197805;17.4;1
197806;19.2;1
197807;21;1
197808;21.2;1
197809;20.7;1
197810;17;1
197811;11.1;1
197812;8.2;1
197901;3.3;1
197902;7.3;1
197903;9.6;1
197904;12.3;1
197905;16.6;1
197906;20.3;1
197907;23.2;1
197908;21;1
197909;20.9;1
197910;15.8;1
197911;10.2;1
197912;9.1;1
198001;4.9;1
198002;9.5;1
198003;9.4;1
198004;13.8;1
198005;17.2;1
198006;19.5;1
198007;20.4;1
198008;22.9;1
198009;20.9;1
198010;14.9;1
198011;8.6;1
198012;7.3;1
198101;7.9;1
198102;6.7;1
198103;12.9;1
198104;14;1
198105;15.8;1
198106;19.6;1
198107;21.1;1
198108;24.3;1
198109;20.8;1
198110;14.6;1
