# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 71240001
# NOM_USUEL= JALOGNY_SAPC
# LATITUDE (°) = 46.402
# LONGITUDE(°)= 4.651
# ALTITUDE (m) = 246
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX071240001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 195912 197412 199112 201312
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;7.6;1
195102;8;1
195103;9.8;1
195104;15.2;1
195105;17.2;1
195106;21.4;1
195107;24.1;1
195108;22.7;1
195109;21.6;1
195110;14;1
195111;12.5;1
195112;6;1
195201;4;1
195202;4.9;1
195203;12.8;1
195204;17;1
195205;20.3;1
195206;24.5;1
195207;28.4;1
195208;25.6;1
195209;17.9;1
195210;14.7;1
195211;9.2;1
195212;5.8;1
195301;1.7;1
195302;5.1;1
195303;14.6;1
195304;16.6;1
195305;21.7;1
195306;20.7;1
195307;23.7;1
195308;25.4;1
195309;22.2;1
195310;16.4;1
195311;7.7;1
195312;9.1;1
195401;3.1;1
195402;4.5;1
195403;12.1;1
195404;13;1
195405;17.9;1
195406;23;1
195407;22.1;1
195408;22.3;1
195409;20.6;1
195410;16.7;1
195411;11.7;1
195412;8.2;1
195501;7.6;1
195502;7.4;1
195503;9.2;1
195504;17;1
195505;19;1
195506;21.9;1
195507;24.4;1
195508;24.7;1
195509;21.7;1
195510;14.9;1
195511;9.7;1
195512;9.5;1
195601;6.9;1
195602;-2.9;1
195603;11.1;1
195604;13;1
195605;20.1;1
195606;19.5;1
195607;23.7;1
195608;20.8;1
195609;22.6;1
195610;14.3;1
195611;7;1
195612;7.8;1
195701;4.8;1
195702;10.9;1
195703;15.4;1
195704;15.5;1
195705;16.9;1
195706;22.6;1
195707;25.4;1
195708;23.6;1
195709;21.7;1
195710;17.5;1
195711;9.3;1
195712;6.5;1
195801;5.9;1
195802;9.4;1
195803;8.7;1
195804;11.6;1
195805;21.3;1
195806;20.4;1
195807;24;1
195808;23.4;1
195809;22.1;1
195810;14.1;1
195811;6.6;1
195812;6.5;1
195901;5.9;1
195902;7.9;1
195903;14.4;1
195904;15.9;1
195905;20;1
195906;23.2;1
195907;28.3;1
195908;25;1
195909;23.9;1
195910;17.5;1
195911;9.9;1
195912;8.9;1
196001;5.5;1
196002;9.4;1
196003;12.7;1
196004;14.4;1
196005;21.3;1
196006;23.8;1
196007;22;1
196008;22.9;1
196009;17.8;1
196010;15.2;1
196011;11.5;1
196012;4.6;1
196101;5.9;1
196102;11.7;1
196103;14.2;1
196104;17.9;1
196105;17.7;1
196106;22.7;1
196107;24;1
196108;23.6;1
196109;25.8;1
196110;16.9;1
196111;8.5;1
196112;7.1;1
196201;7.1;1
196202;5.8;1
196203;7.8;1
196204;14.3;1
196205;17.4;1
196206;21.8;1
196207;24.4;1
196208;26.7;1
196209;21.2;1
196210;16.1;1
196211;8.2;1
196212;2.3;1
196301;0.1;1
196302;2.5;1
196303;11.3;1
196304;15;1
196305;18.7;1
196306;21.6;1
196307;24.9;1
196308;22.1;1
196309;20.9;1
196310;16.6;1
196311;12.6;1
196312;1.8;1
196401;1.4;1
196402;9;1
196403;8.5;1
196404;15.5;1
196405;20.8;1
196406;23.9;1
196407;28.5;1
196408;24.8;1
196409;22.9;1
196410;13;1
196411;8.8;1
196412;4.8;1
196501;6.2;1
196502;3.9;1
196503;10.9;1
196504;13.8;1
196505;17.7;1
196506;23.2;1
196507;22.2;1
196508;23.6;1
196509;19.2;1
196510;16.9;1
196511;9.2;1
196512;8.8;1
196601;5.4;1
196602;11.3;1
196603;10.1;1
196604;17;1
196605;19.5;1
196606;23.4;1
196607;23;1
196608;23.1;1
196609;23;1
196610;17.7;1
196611;7.2;1
196612;6.8;1
196701;5.9;1
196702;8.8;1
196703;11.8;1
196704;15.1;1
196705;17.8;1
196706;21.7;1
196707;27.9;1
196708;24.5;1
196709;20.7;1
