# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 80606002
# NOM_USUEL= OISEMONT_SAPC
# LATITUDE (°) = 49.957
# LONGITUDE(°)= 1.77
# ALTITUDE (m) = 121
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX080606002
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 196201 202212
# Date(s) de rupture(s) d'homogénéité : 196312 198008 198712 199512
#     Periode homogénéisée  196201 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;7;1
196202;5.9;1
196203;6.8;1
196204;12.4;1
196205;16;1
196206;20;1
196207;20.8;1
196208;21;1
196209;18.3;1
196210;14.8;1
196211;7.1;1
196212;3.8;1
196301;-0.9;1
196302;1.2;1
196303;10.1;1
196304;12.2;1
196305;14.3;1
196306;18.4;1
196307;20.6;1
196308;19.2;1
196309;17.8;1
196310;14.4;1
196311;12.2;1
196312;2.3;1
196401;3.9;1
196402;7;1
196403;7;1
196404;12.8;1
196405;19.4;1
196406;20;1
196407;22.3;1
196408;22;1
196409;20.6;1
196410;12.8;1
196411;9.5;1
196412;5.6;1
196501;5.4;1
196502;3.7;1
196503;9.8;1
196504;12.1;1
196505;16.6;1
196506;19.9;1
196507;18.9;1
196508;20.5;1
196509;17.4;1
196510;15.5;1
196511;7.6;1
196512;8.1;1
196601;3.7;1
196602;9.8;1
196603;9.5;1
196604;13.2;1
196605;16.2;1
196606;20.8;1
196607;18.9;1
196608;20.9;1
196609;19.6;1
196610;14.6;1
196611;7.7;1
196612;8.2;1
196701;6.3;1
196702;8.2;1
196703;10.6;1
196704;12.1;1
196705;16.3;1
196706;19.2;1
196707;22.7;1
196708;21.3;1
196709;18.4;1
196710;15.5;1
196711;8.2;1
196712;6.1;1
196801;6.1;1
196802;4.5;1
196803;10;1
196804;14.5;1
196805;14.6;1
196806;19.4;1
196807;20.3;1
196808;20;1
196809;18.7;1
196810;15.9;1
196811;7.8;1
196812;2.8;1
196901;7.5;1
196902;4.2;1
196903;8.9;1
196904;12.8;1
196905;17.6;1
196906;19.4;1
196907;23.1;1
196908;21.4;1
196909;19.8;1
196910;17.8;1
196911;9.7;1
196912;2.8;1
197001;6.2;1
197002;6.7;1
197003;6.8;1
197004;10.2;1
197005;17.2;1
197006;22.1;1
197007;19.9;1
197008;21.7;1
197009;20.5;1
197010;14.8;1
197011;11.2;1
197012;4.9;1
197101;6.5;1
197102;7.1;1
197103;7.5;1
197104;14.1;1
197105;19;1
197106;17.7;1
197107;24.1;1
197108;21.5;1
197109;20.5;1
197110;16.9;1
197111;9.3;1
197112;7.1;1
197201;5;1
197202;7.3;1
197203;12.5;1
197204;11.8;1
197205;15.6;1
197206;17.1;1
197207;21.7;1
197208;20.6;1
197209;17.5;1
197210;14.9;1
197211;9.3;1
197212;6.7;1
197301;5.6;1
197302;6;1
197303;10.8;1
197304;11.4;1
197305;16.7;1
197306;21.6;1
197307;20.9;1
197308;24.8;1
197309;20.8;1
197310;13.7;1
197311;9.7;1
197312;6.7;1
197401;9;1
197402;7.9;1
197403;9.7;1
197404;14.5;1
197405;16;1
197406;19.8;1
197407;20;1
197408;21.7;1
197409;16.9;1
197410;10;1
197411;10.3;1
197412;10.2;1
197501;9.6;1
197502;8.1;1
197503;7.4;1
197504;12.6;1
197505;15.3;1
197506;20.1;1
197507;22.4;1
197508;24.4;1
197509;19.2;1
197510;12.7;1
197511;9.2;1
197512;5.4;1
197601;7.1;1
197602;6.5;1
197603;8.8;1
197604;13.5;1
197605;19;1
197606;24.8;1
197607;26.2;1
197608;25.2;1
197609;18.8;1
197610;15.9;1
197611;8.7;1
197612;4.8;1
197701;5.5;1
197702;9.1;1
197703;11.7;1
197704;11.6;1
197705;15.9;1
197706;17.6;1
197707;21.3;1
197708;21.2;1
197709;18.7;1
197710;16.5;1
197711;9.5;1
197712;8.4;1
197801;5.6;1
197802;5.1;1
197803;10.5;1
197804;10.8;1
197805;16.1;1
197806;18.8;1
197807;20.2;1
197808;20.6;1
197809;18.5;1
197810;15.8;1
197811;9.6;1
197812;5.9;1
197901;1.5;1
197902;4;1
197903;8.8;1
197904;12.2;1
197905;16.7;1
197906;19;1
197907;21.8;1
197908;20.1;1
197909;19.2;1
197910;15.4;1
197911;10.4;1
197912;8.5;1
198001;3.8;1
198002;9;1
198003;8.8;1
198004;12.3;1
198005;16.3;1
198006;18.2;1
198007;19.4;1
198008;21.5;1
198009;20.5;1
198010;13.2;1
198011;7.9;1
198012;6.7;1
198101;7.1;1
198102;5.7;1
198103;12.3;1
198104;12.5;1
198105;16.1;1
198106;17.7;1
198107;20.2;1
198108;22.9;1
198109;20;1
198110;12.7;1
198111;10.8;1
198112;4.5;1
198201;4.3;1
198202;7.6;1
198203;10;1
198204;13;1
198205;17.5;1
198206;21.5;1
198207;23.3;1
198208;21.1;1
198209;22.1;1
198210;14;1
198211;10.9;1
198212;6.6;1
198301;8.5;1
198302;4.4;1
198303;9.3;1
198304;12.8;1
198305;15;1
198306;21.4;1
198307;27.2;1
198308;24.1;1
198309;19.3;1
198310;15.2;1
198311;10.2;1
198312;7.2;1
198401;7.1;1
198402;5.8;1
198403;8.4;1
198404;14;1
198405;13.5;1
198406;19.4;1
198407;22.4;1
198408;22.4;1
198409;17.2;1
198410;14.8;1
198411;12.4;1
198412;7.2;1
198501;1.3;1
198502;5.4;1
198503;8;1
198504;13.2;1
198505;16.5;1
198506;18;1
198507;22.3;1
198508;20.3;1
198509;20.1;1
198510;15.3;1
198511;6.8;1
198512;8.8;1
198601;6.1;1
198602;1.2;1
198603;9.1;1
198604;9.9;1
198605;17.2;1
198606;21.6;1
198607;21.8;1
198608;20.6;1
198609;16.9;1
198610;16.4;1
198611;10.9;1
198612;8.5;1
198701;-0.2;1
198702;5.8;1
198703;7.3;1
198704;15.9;1
198705;15;1
198706;17.5;1
198707;21.4;1
198708;21.7;1
198709;20.3;1
198710;14.8;1
198711;9.2;1
198712;6.7;1
198801;8.9;1
198802;7.5;1
198803;9;1
198804;14;1
198805;18.1;1
198806;19.2;1
198807;20.2;1
198808;21.9;1
198809;18.2;1
198810;15.3;1
198811;9.5;1
198812;9;1
198901;7.4;1
198902;9;1
198903;12.8;1
198904;11;1
198905;20.6;1
198906;21.4;1
198907;24.5;1
198908;23.1;1
198909;20.8;1
198910;16.9;1
198911;9.4;1
198912;6.8;1
199001;8.1;1
199002;12.2;1
199003;12.6;1
199004;13.3;1
199005;19.9;1
199006;18.7;1
199007;24;1
199008;25.5;1
199009;18.9;1
199010;17;1
199011;9.6;1
199012;6.3;1
199101;6;1
199102;3.8;1
199103;12.7;1
199104;13.5;1
199105;14.7;1
199106;17.3;1
199107;22.2;1
199108;24.4;1
199109;21.9;1
199110;14.3;1
199111;9.3;1
199112;5.9;1
199201;5.4;1
199202;8.6;1
199203;10.9;1
199204;13.3;1
199205;20;1
199206;20.4;1
199207;22.6;1
199208;22.4;1
199209;18.4;1
199210;12.1;1
199211;11.7;1
199212;6.1;1
199301;8.9;1
199302;5.1;1
199303;11.1;1
199304;15.1;1
199305;18.1;1
199306;21;1
199307;20.4;1
199308;21.3;1
199309;17.5;1
199310;12.3;1
199311;6.2;1
199312;8.9;1
199401;8.1;1
199402;6.7;1
199403;11.5;1
199404;12.6;1
199405;17.1;1
199406;19.9;1
199407;26.1;1
199408;22.5;1
199409;17.8;1
199410;15.4;1
199411;13.1;1
199412;8.7;1
199501;8;1
199502;10.1;1
199503;9.9;1
199504;13.1;1
199505;18;1
199506;19.7;1
199507;25.7;1
199508;25.9;1
199509;18.3;1
199510;18.1;1
199511;10.8;1
199512;4.1;1
199601;4.9;1
199602;4.9;1
199603;8.7;1
199604;14.4;1
199605;14.2;1
199606;21.2;1
199607;22.2;1
199608;22.3;1
199609;18;1
199610;15.8;1
199611;8.9;1
199612;3.4;1
199701;2.3;1
199702;10.1;1
199703;12.8;1
199704;14.1;1
199705;18.4;1
199706;20.2;1
199707;22.3;1
199708;26.5;1
199709;21.5;1
199710;15.1;1
199711;11;1
199712;7.9;1
199801;7.5;1
199802;10.5;1
199803;11.3;1
199804;13;1
199805;20;1
199806;19.8;1
199807;20.4;1
199808;23.2;1
199809;19.5;1
199810;13.7;1
199811;8;1
199812;7.7;1
199901;8.7;1
199902;7;1
199903;11.9;1
199904;14.1;1
199905;19.1;1
199906;20.1;1
199907;24.6;1
199908;23.4;1
199909;21.7;1
199910;14.8;1
199911;9.4;1
199912;7.4;1
200001;6.6;1
200002;9.5;1
200003;11.1;1
200004;13.6;1
200005;18.6;1
200006;21.1;1
200007;19.9;1
200008;23.7;1
200009;20.6;1
200010;14.8;1
200011;10.6;1
200012;8.2;1
200101;6.4;1
200102;8;1
200103;10.3;1
200104;12.2;1
200105;18.9;1
200106;20.7;1
200107;23.3;1
200108;24.3;1
200109;17.2;1
200110;18.1;1
200111;9.7;1
200112;5.6;1
200201;7.8;1
200202;10.5;1
200203;12.3;1
200204;14.8;1
200205;17.2;1
200206;20.3;1
200207;21.6;1
200208;22.7;1
200209;19.7;1
200210;15.2;1
200211;11.6;1
200212;7.5;1
200301;6;1
200302;6.8;1
200303;13.6;1
200304;15.5;1
200305;17.9;1
200306;22.8;1
200307;23.6;1
200308;27.1;1
200309;22.1;1
200310;12.7;1
200311;11.5;1
200312;7;1
200401;7.4;1
200402;7.8;1
200403;10.5;1
200404;14.7;1
200405;17.4;1
200406;20.8;1
200407;22;1
200408;23.4;1
200409;20.8;1
200410;15.7;1
200411;10.2;1
200412;6.2;1
200501;7.9;1
200502;5.2;1
200503;11;1
200504;14.6;1
200505;17.2;1
200506;22.8;1
200507;22.3;1
200508;21.8;1
200509;21.2;1
200510;18.3;1
200511;10;1
200512;6.7;1
200601;4.9;1
200602;5.3;1
200603;8.8;1
200604;13.5;1
200605;17.5;1
200606;22.3;1
200607;28;1
200608;20.4;1
200609;23.1;1
200610;18;1
200611;12.3;1
200612;8.1;1
200701;9.6;1
200702;9.5;1
200703;11.3;1
200704;19.2;1
200705;18.1;1
200706;20.5;1
200707;21.3;1
200708;21.2;1
200709;18.6;1
200710;14.6;1
200711;10.1;1
200712;7;1
200801;8.9;1
200802;10.1;1
200803;9.6;1
200804;13.8;1
200805;20.8;1
200806;20.4;1
200807;22.7;1
200808;21.9;1
200809;18.7;1
200810;14.7;1
200811;10.1;1
200812;5.3;1
200901;4.2;1
200902;6.8;1
200903;11.2;1
200904;16.2;1
200905;18.2;1
200906;21;1
200907;23.1;1
200908;24.9;1
200909;21;1
200910;15.5;1
200911;12.4;1
200912;5.9;1
201001;3.2;1
201002;6.1;1
201003;10.8;1
201004;15.4;1
201005;15.8;1
201006;21.9;1
201007;25.1;1
201008;21.2;1
201009;19.2;1
201010;14.9;1
201011;8.8;1
201012;2.2;1
201101;6.6;1
201102;8.9;1
201103;12.7;1
201104;19.2;1
201105;19.5;1
201106;20.9;1
201107;21;1
201108;21.9;1
201109;21.7;1
201110;16.8;1
