# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 24138004
# NOM_USUEL= COULOUNIEIX
# LATITUDE (°) = 45.16
# LONGITUDE(°)= 0.677
# ALTITUDE (m) = 217
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX124138004
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 196301 202212
# Date(s) de rupture(s) d'homogénéité : 196512 197012 197812 200412
#     Periode homogénéisée  196301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196301;5;1
196302;6.1;1
196303;13.1;1
196304;15.4;1
196305;18.6;1
196306;21.7;1
196307;25.4;1
196308;21.4;1
196309;19.6;1
196310;17;1
196311;13;1
196312;6.9;1
196401;5.1;1
196402;9.3;1
196403;11;1
196404;14.6;1
196405;21.1;1
196406;23.2;1
196407;26.9;1
196408;25.3;1
196409;24.1;1
196410;15.1;1
196411;9.8;1
196412;7.5;1
196501;7.1;1
196502;5.9;1
196503;12.4;1
196504;13.7;1
196505;18.2;1
196506;23.3;1
196507;24;1
196508;23.6;1
196509;18.5;1
196510;19.9;1
196511;11.5;1
196512;10;1
196601;7.4;1
196602;12.4;1
196603;11.3;1
196604;16.6;1
196605;19.6;1
196606;24.2;1
196607;22.8;1
196608;24;1
196609;24.3;1
196610;16.7;1
196611;9.4;1
196612;8.5;1
196701;7.4;1
196702;9.7;1
196703;12.8;1
196704;15.3;1
196705;18.4;1
196706;22.5;1
196707;27.9;1
196708;25.3;1
196709;21.7;1
196710;19.6;1
196711;13.3;1
196712;4.6;1
196801;8.7;1
196802;9.9;1
196803;12.8;1
196804;17.5;1
196805;17.5;1
196806;22.1;1
196807;24.5;1
196808;22.9;1
196809;20.5;1
196810;19.6;1
196811;12.7;1
196812;7.6;1
196901;9;1
196902;7;1
196903;11;1
196904;14.3;1
196905;19.3;1
196906;20.6;1
196907;26.4;1
196908;24.7;1
196909;20.6;1
196910;19.8;1
196911;10.4;1
196912;5;1
197001;8.6;1
197002;9;1
197003;9.4;1
197004;13.2;1
197005;19.2;1
197006;24.5;1
197007;25.2;1
197008;24.5;1
197009;24.3;1
197010;16.4;1
197011;14.6;1
197012;5.5;1
197101;8;1
197102;8.5;1
197103;8.9;1
197104;17.6;1
197105;19.4;1
197106;19.9;1
197107;27.1;1
197108;24;1
197109;22.9;1
197110;19.2;1
197111;9.1;1
197112;9.4;1
197201;7.6;1
197202;10.7;1
197203;14.4;1
197204;13.7;1
197205;17;1
197206;20;1
197207;25.5;1
197208;22.7;1
197209;19.7;1
197210;16.8;1
197211;11.4;1
197212;9.5;1
197301;5.9;1
197302;6.8;1
197303;12.7;1
197304;13.7;1
197305;20.4;1
197306;23.2;1
197307;22.8;1
197308;27.3;1
197309;24.2;1
197310;16.6;1
197311;13.1;1
197312;7;1
197401;10.1;1
197402;9.4;1
197403;12.6;1
197404;15.3;1
197405;18.7;1
197406;24.3;1
197407;25.9;1
197408;25.9;1
197409;19.6;1
197410;10.8;1
197411;10.8;1
197412;9.9;1
197501;10;1
197502;12.7;1
197503;9.3;1
197504;15.1;1
197505;17.4;1
197506;22.1;1
197507;25.8;1
197508;25.3;1
197509;20.9;1
197510;16.4;1
197511;10.7;1
197512;5.2;1
197601;7.4;1
197602;10.7;1
197603;13.3;1
197604;15.3;1
197605;20.1;1
197606;27.7;1
197607;27;1
197608;26.8;1
197609;20.1;1
197610;15.9;1
197611;9.3;1
197612;8.4;1
197701;7.7;1
197702;11;1
197703;14.6;1
197704;14.3;1
197705;17.1;1
197706;20.5;1
197707;23.6;1
197708;22.6;1
197709;22.6;1
197710;18.8;1
197711;10.8;1
197712;9.8;1
197801;6.6;1
197802;9.2;1
197803;12.2;1
197804;12.6;1
197805;17.6;1
197806;21.1;1
197807;24;1
197808;24.3;1
197809;22.7;1
197810;18.4;1
197811;11.9;1
197812;9.2;1
197901;6.6;1
197902;8.6;1
197903;10.4;1
197904;12.7;1
197905;17.5;1
197906;22.1;1
197907;25.4;1
197908;22.5;1
197909;22.8;1
197910;18.1;1
197911;11.5;1
197912;9.5;1
198001;6.3;1
198002;11.5;1
198003;10.9;1
198004;14.2;1
198005;17.6;1
198006;19.8;1
198007;22.7;1
198008;25.1;1
198009;24.1;1
198010;16.3;1
198011;10.9;1
198012;6.5;1
198101;8.3;1
198102;7.8;1
198103;14.7;1
198104;17.2;1
198105;17.3;1
198106;22.3;1
198107;23.1;1
198108;25.6;1
198109;21.5;1
198110;15.9;1
198111;12.8;1
198112;8.4;1
198201;10.5;1
198202;11;1
198203;11.1;1
198204;17.2;1
198205;20;1
198206;23.8;1
198207;27.9;1
198208;23.7;1
198209;24.8;1
198210;16.4;1
198211;12.9;1
198212;8.3;1
198301;9;1
198302;7.6;1
198303;12.5;1
198304;15.1;1
198305;17.4;1
198306;24.1;1
198307;29.9;1
198308;26;1
198309;23.7;1
198310;18;1
198311;14.8;1
198312;9.6;1
198401;7;1
198402;8.2;1
198403;10.8;1
198404;18.6;1
198405;15.5;1
198406;23.1;1
198407;27.2;1
198408;24.6;1
198409;19.7;1
198410;17.4;1
198411;14.2;1
198412;8.3;1
198501;2.1;1
198502;12.3;1
198503;10.7;1
198504;16.8;1
198505;17.8;1
198506;22.1;1
198507;26.8;1
198508;24.8;1
198509;27.2;1
198510;21.2;1
198511;8.7;1
198512;7.8;1
198601;7.6;1
198602;5.5;1
198603;12.3;1
198604;11.1;1
198605;20.6;1
198606;23.7;1
198607;26.5;1
198608;24.4;1
198609;23.5;1
198610;18.8;1
198611;12.8;1
198612;9.6;1
198701;2.8;1
198702;8.4;1
198703;11;1
198704;18;1
198705;17.9;1
198706;20.9;1
198707;24.1;1
198708;26.3;1
198709;26.1;1
198710;17.5;1
198711;11.2;1
198712;10.5;1
198801;10.3;1
198802;10.2;1
198803;10.8;1
198804;17;1
198805;19.1;1
198806;22.3;1
198807;24.1;1
198808;25.7;1
198809;22.4;1
198810;19.7;1
198811;12.8;1
198812;8.2;1
198901;9.2;1
198902;12;1
198903;15.6;1
198904;13.1;1
198905;24.1;1
198906;24.3;1
198907;27.7;1
198908;27;1
198909;24.2;1
198910;20.3;1
198911;14.2;1
198912;13.2;1
199001;9.5;1
199002;13.7;1
199003;15.3;1
199004;14.7;1
199005;22.7;1
199006;21.9;1
199007;27.5;1
199008;28.6;1
199009;23.9;1
199010;18.6;1
199011;10.7;1
199012;5.9;1
199101;7.8;1
199102;8;1
199103;14.6;1
199104;14.9;1
199105;18.2;1
199106;21;1
199107;26.3;1
199108;28.6;1
199109;24.8;1
199110;15.6;1
199111;10.9;1
199112;9.3;1
199201;7;1
199202;10.9;1
199203;12.8;1
199204;15.7;1
199205;22.3;1
199206;21;1
199207;25.2;1
199208;26;1
199209;21.2;1
199210;13.5;1
199211;14.1;1
199212;8.9;1
199301;9.5;1
199302;10.6;1
199303;14.1;1
199304;15.7;1
199305;20.3;1
199306;23.6;1
199307;23.6;1
199308;25.4;1
199309;19.6;1
199310;15.6;1
199311;10.5;1
199312;9.4;1
199401;8.2;1
199402;10.5;1
199403;15;1
199404;13.5;1
199405;20.6;1
199406;23;1
199407;26.9;1
199408;26.4;1
199409;19.4;1
199410;18;1
199411;14.4;1
199412;9.7;1
199501;8.2;1
199502;11.6;1
199503;12.8;1
199504;16.3;1
199505;20.8;1
199506;23.4;1
199507;28.1;1
199508;27.4;1
199509;19.5;1
199510;21.5;1
199511;13.3;1
199512;10;1
199601;12;1
199602;8.2;1
199603;13.2;1
199604;17.3;1
199605;18.9;1
199606;25.3;1
199607;25.8;1
199608;24;1
199609;20.5;1
199610;17.1;1
199611;10.9;1
199612;8.8;1
199701;8.6;1
199702;12.8;1
199703;17.1;1
199704;19.3;1
199705;21.5;1
199706;21.7;1
199707;24.8;1
199708;27.9;1
199709;24.9;1
199710;19.7;1
199711;12.9;1
199712;9.5;1
199801;10.3;1
199802;13.9;1
199803;14.7;1
199804;14;1
199805;21.9;1
199806;23.1;1
199807;25.4;1
199808;28.2;1
199809;21.9;1
199810;16.1;1
199811;10;1
199812;8.9;1
199901;9.3;1
199902;7.7;1
199903;14.5;1
199904;16;1
199905;22;1
199906;22.8;1
199907;26.9;1
199908;26.5;1
199909;23.7;1
199910;18.3;1
199911;10.2;1
199912;8.4;1
200001;7.3;1
200002;11.2;1
200003;14.1;1
200004;15.8;1
200005;21.6;1
200006;24.3;1
200007;24.1;1
200008;27.3;1
200009;24.2;1
200010;16.7;1
200011;11.9;1
200012;11.7;1
200101;9.2;1
200102;9.9;1
200103;14.8;1
200104;13.9;1
200105;21.1;1
200106;24.3;1
200107;25.1;1
200108;26.8;1
200109;20.3;1
200110;21.2;1
200111;9.8;1
200112;6.9;1
200201;10.4;1
200202;10.7;1
200203;15.1;1
200204;16.8;1
200205;19;1
200206;24.1;1
200207;24.6;1
200208;23.6;1
200209;22.5;1
200210;18.2;1
200211;13.3;1
200212;10.7;1
200301;7.2;1
200302;9.1;1
200303;17.5;1
200304;18.6;1
200305;20.8;1
200306;28.6;1
200307;27.2;1
200308;32.2;1
200309;23.9;1
200310;15.9;1
200311;14.4;1
200312;9.6;1
200401;8.4;1
200402;10.9;1
200403;12.2;1
200404;15.3;1
